Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
90     130    220    -1672.364583            -0.423         0.0            760       YES            
90     132    222    -1692.420771            -0.07          0.0            764       YES            
90     134    224    -1700.447447            -0.318         0.0            768       YES            
90     136    226    -1712.626762            -0.343         0.0            772       YES            
90     138    228    -1724.661569            -0.365         0.0            776       YES            
90     154    244    -1808.586997            0.256          0.0            782       YES            
90     156    246    -1815.977479            0.249          0.0            786       YES            
90     158    248    -1823.239892            0.24           0.0            790       YES            
90     160    250    -1830.260914            0.229          0.0            794       YES            
90     190    280    -1884.962288            0.486          0.0            798       YES            
90     192    282    -1886.288481            0.483          0.0            802       YES            
90     194    284    -1887.279749            0.483          0.0            806       YES            
90     196    286    -1887.954546            0.487          0.0            810       YES            
90     198    288    -1888.3374              0.496          0.0            814       YES            
90     224    314    -1876.753994            0.235          0.0            818       YES            
92     130    222    -1679.489766            -0.479         0.0            820       YES            
92     132    224    -1695.619641            -0.314         0.0            824       YES            
92     134    226    -1709.115999            -0.326         0.0            828       YES            
92     136    228    -1722.219414            -0.34          0.0            832       YES            
92     138    230    -1734.888333            -0.352         0.0            836       YES            
92     156    248    -1833.873837            0.259          0.0            842       YES            
92     158    250    -1841.710924            0.25           0.0            846       YES            
92     160    252    -1849.302315            0.239          0.0            850       YES            
92     162    254    -1856.323136            0.226          0.0            854       YES            
92     190    282    -1913.824825            0.481          0.0            858       YES            
92     192    284    -1915.798606            0.477          0.0            862       YES            
92     194    286    -1917.449148            0.477          0.0            866       YES            
92     196    288    -1918.756888            0.48           0.0            870       YES            
92     198    290    -1919.745582            0.485          0.0            874       YES            
94     130    224    -1683.757473            -0.494         0.0            876       YES            
94     132    226    -1706.196761            0.171          0.0            882       YES            
94     134    228    -1716.08519             -0.33          0.0            884       YES            
94     136    230    -1730.089144            -0.339         0.0            888       YES            
94     138    232    -1744.322692            0.461          0.0            895       YES            
94     140    234    -1765.225518            0.268          0.0            898       YES            
94     158    252    -1858.610893            0.261          0.0            902       YES            
94     160    254    -1866.754712            0.25           0.0            906       YES            
94     162    256    -1874.315807            0.236          0.0            910       YES            
94     190    284    -1940.819123            0.478          0.0            914       YES            
94     192    286    -1943.491135            0.473          0.0            918       YES            
94     194    288    -1945.858119            0.472          0.0            922       YES            
94     196    290    -1947.857511            0.474          0.0            926       YES            
94     198    292    -1949.515147            0.478          0.0            930       YES            
96     128    224    -1669.518337            -0.499         0.0            932       YES            
96     132    228    -1700.009287            -0.46          0.0            941       YES            
96     134    230    -1721.101681            -0.331         0.0            945       YES            
96     136    232    -1736.682608            0.455          0.0            950       YES            
96     162    258    -1890.913384            0.245          0.0            954       YES            
96     164    260    -1898.063449            0.226          0.0            958       YES            
96     174    270    -1934.117954            -0.13          0.0            961       YES            
96     186    282    -1967.217821            -0.003         0.0            965       YES            
96     188    284    -1967.988124            -0.006         0.0            969       YES            
96     190    286    -1966.203517            0.474          0.0            974       YES            
96     192    288    -1969.55685             0.467          0.0            978       YES            
96     194    290    -1972.62986             0.465          0.0            982       YES            
96     196    292    -1975.29963             0.466          0.0            986       YES            
96     198    294    -1977.579905            0.469          0.0            991       YES            
98     126    224    -1654.374677            0.436          0.0            994       YES            
98     132    230    -1710.575388            0.183          0.0            1006      YES            
98     162    260    -1906.093446            0.253          0.0            1010      YES            
98     184    282    -1986.048551            -0.002         0.0            1013      YES            
98     186    284    -1988.246829            -0.003         0.0            1017      YES            
98     188    286    -1989.650227            -0.007         0.0            1021      YES            
98     190    288    -1990.095358            0.465          0.0            1026      YES            
98     192    290    -1994.074414            0.452          0.0            1031      YES            
98     194    292    -1997.78392             0.446          0.0            1035      YES            
98     196    294    -2001.053362            0.443          0.0            1039      YES            
98     198    296    -2003.876288            0.444          0.0            1043      YES            
98     262    360    -1971.072245            -0.279         0.0            1045      YES            
100    130    230    -1691.002444            0.446          0.0            1058      YES            
100    132    232    -1709.31845             0.454          0.0            1062      YES            
100    162    262    -1919.820087            0.258          0.0            1066      YES            
100    168    268    -1942.968395            0.446          0.0            1070      YES            
100    182    282    -1998.434431            -0.028         0.0            1073      YES            
100    184    284    -2005.096544            -0.002         0.0            1077      YES            
100    186    286    -2007.936239            -0.003         0.0            1081      YES            
100    188    288    -2009.96897             -0.008         0.0            1085      YES            
100    190    290    -2013.226327            0.337          0.0            1090      YES            
100    192    292    -2018.117913            0.338          0.0            1094      YES            
100    194    294    -2022.563154            0.336          0.0            1098      YES            
100    196    296    -2026.694296            0.288          0.0            1102      YES            
100    198    298    -2031.012797            0.259          0.0            1106      YES            
100    258    358    -2017.748533            -0.329         0.0            1109      YES            
100    260    360    -2014.575504            -0.333         0.0            1113      YES            
100    262    362    -2011.3408              -0.336         0.0            1117      YES            
100    264    364    -2008.025944            -0.338         0.0            1121      YES            
102    130    232    -1690.064833            0.454          0.0            1130      YES            
102    136    238    -1746.546745            0.362          0.0            120       YES            
102    182    284    -2015.722928            -0.034         0.0            1133      YES            
102    184    286    -2018.76129             -0.176         0.0            1137      YES            
102    186    288    -2023.800063            -0.189         0.0            1141      YES            
102    188    290    -2028.357443            0.451          0.0            1146      YES            
102    190    292    -2034.072062            0.353          0.0            1150      YES            
102    192    294    -2039.703688            0.348          0.0            1154      YES            
102    194    296    -2044.926124            0.348          0.0            1158      YES            
102    256    358    -2061.673978            0.479          0.0            1162      YES            
102    258    360    -2058.63991             0.49           0.0            1166      YES            
102    260    362    -2055.47274             0.5            0.0            1171      YES            
102    262    364    -2052.133103            0.5            0.0            1174      YES            
102    264    366    -2048.648837            0.497          0.0            1179      YES            
104    136    240    -1745.954314            0.4            0.0            146       YES            
104    166    270    -1958.904829            0.452          0.0            1183      YES            
104    170    274    -1978.671228            0.448          0.0            1187      YES            
104    182    286    -2029.412952            -0.159         0.0            1189      YES            
104    184    288    -2035.162631            0.471          0.0            1195      YES            
104    186    290    -2041.353679            0.456          0.0            1198      YES            
104    188    292    -2047.498783            0.433          0.0            1202      YES            
104    190    294    -2053.65119             0.403          0.0            1206      YES            
104    258    362    -2096.378142            0.451          0.0            1210      YES            
104    260    364    -2093.510573            0.455          0.0            1214      YES            
104    262    366    -2090.51348             0.459          0.0            1218      YES            
104    264    368    -2087.397166            0.464          0.0            1223      YES            
106    184    290    -2051.067429            0.467          0.0            1227      YES            
106    186    292    -2057.966819            0.449          0.0            1230      YES            
106    188    294    -2064.882981            0.431          0.0            1234      YES            
106    190    296    -2071.705099            0.415          0.0            1238      YES            
106    192    298    -2078.33722             0.4            0.0            1242      YES            
106    258    364    -2133.045841            0.439          0.0            1246      YES            
106    260    366    -2130.552944            0.441          0.0            1250      YES            
106    262    368    -2127.901249            0.442          0.0            1254      YES            
106    264    370    -2125.124915            0.44           0.0            1258      YES            
108    186    294    -2072.782965            0.456          0.0            1263      YES            
108    188    296    -2080.267127            0.439          0.0            1266      YES            
108    190    298    -2087.660708            0.425          0.0            1270      YES            
108    192    300    -2094.896273            0.415          0.0            1274      YES            
