Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
4      4      8      -55.504782              -0.004         0.0            44        YES            
6      4      10     -64.922876              -0.007         0.0            48        YES            
14     16     30     -258.001999             -0.001         0.0            56        YES            
14     24     38     -303.042932             0.19           0.0            62        YES            
46     58     104    -892.955871             0.119          0.0            65        YES            
50     62     112    -953.63534              0.074          0.0            70        YES            
52     60     112    -941.093691             0.124          0.0            74        YES            
52     62     114    -961.203487             0.126          0.0            78        YES            
52     64     116    -980.652399             -0.136         0.0            80        YES            
52     68     120    -1017.121648            -0.117         0.0            84        YES            
56     64     120    -993.116446             0.341          0.0            89        YES            
56     88     144    -1189.685022            0.175          0.0            94        YES            
56     90     146    -1198.917699            0.2            0.0            97        YES            
56     94     150    -1215.879644            0.264          0.0            101       YES            
56     102    158    -1244.622188            0.305          0.0            105       YES            
58     92     150    -1229.213739            0.291          0.0            109       YES            
58     94     152    -1239.290066            0.317          0.0            113       YES            
58     96     154    -1248.638022            0.329          0.0            117       YES            
58     98     156    -1257.394048            0.335          0.0            121       YES            
58     100    158    -1265.470008            0.338          0.0            125       YES            
58     112    170    -1301.241736            0.281          0.0            129       YES            
58     114    172    -1305.807114            0.253          0.0            133       YES            
60     90     150    -1236.628703            0.28           0.0            138       YES            
60     92     152    -1249.014205            0.324          0.0            142       YES            
60     94     154    -1260.497112            0.342          0.0            145       YES            
60     96     156    -1271.117547            0.351          0.0            149       YES            
60     98     158    -1281.069899            0.356          0.0            153       YES            
60     100    160    -1290.302219            0.359          0.0            157       YES            
60     106    166    -1313.428609            0.373          0.0            162       YES            
60     116    176    -1341.403348            0.271          0.0            165       YES            
62     90     152    -1252.417278            0.302          0.0            170       YES            
62     96     158    -1290.697437            0.359          0.0            173       YES            
62     98     160    -1301.866861            0.364          0.0            177       YES            
62     100    162    -1312.295493            0.367          0.0            182       YES            
62     114    176    -1365.457008            0.329          0.0            185       YES            
62     118    180    -1376.232278            0.257          0.0            189       YES            
62     122    184    -1387.34683             -0.023         0.0            192       YES            
62     134    196    -1406.486491            0.183          0.0            197       YES            
64     90     154    -1265.874802            0.298          0.0            202       YES            
64     92     156    -1280.641146            0.332          0.0            206       YES            
64     94     158    -1294.578175            0.347          0.0            210       YES            
64     98     162    -1320.075953            0.359          0.0            214       YES            
66     86     152    -1244.20173             0.178          0.0            218       YES            
66     90     156    -1277.263965            0.281          0.0            222       YES            
66     92     158    -1293.042022            0.316          0.0            226       YES            
66     94     160    -1308.124922            0.335          0.0            230       YES            
68     86     154    -1251.588077            0.169          0.0            234       YES            
68     90     158    -1286.695167            0.262          0.0            238       YES            
68     96     164    -1335.099569            0.331          0.0            242       YES            
70     86     156    -1257.225993            0.157          0.0            246       YES            
70     94     164    -1329.00826             0.296          0.0            250       YES            
72     86     158    -1260.553213            -0.107         0.0            252       YES            
72     88     160    -1280.890352            0.187          0.0            258       YES            
72     132    204    -1555.633522            -0.078         0.0            260       YES            
74     86     160    -1262.92293             -0.09          0.0            264       YES            
74     88     162    -1283.927406            0.165          0.0            270       YES            
74     94     168    -1341.933238            0.235          0.0            274       YES            
76     88     164    -1285.227205            0.138          0.0            277       YES            
76     92     168    -1326.18314             0.183          0.0            282       YES            
76     94     170    -1345.757902            0.201          0.0            286       YES            
76     134    210    -1610.58417             -0.078         0.0            288       YES            
78     90     168    -1306.57306             0.13           0.0            294       YES            
78     92     170    -1327.525946            0.149          0.0            297       YES            
78     94     172    -1347.91664             0.164          0.0            302       YES            
78     96     174    -1367.753726            0.179          0.0            306       YES            
84     138    222    -1694.387027            0.443          0.0            313       YES            
86     132    218    -1686.377263            -0.018         0.0            316       YES            
