Z      N      A      Energy_new(MeV)     Energy_old(MeV)     Energy_diff(MeV)    beta2_new    beta2_old    beta3_new    fileID    
12     32     44     -266.292185         -266.283058         -0.009127           7e-06        -0.000007    0.0          5363      
12     34     46     -264.187773         -264.180197         -0.007576           0.0          -0.000002    0.0          5408      
12     36     48     -258.960112         -258.953885         -0.006227           0.0          -0.000001    -0.0         5483      
12     38     50     -253.009868         -252.996416         -0.013452           0.047779     -0.000003    1e-06        5621      
12     40     52     -247.135022         -247.073713         -0.061309           0.09618      -0.000001    2.5e-05      5682      
14     2      16     15.549781           18.869631           -3.31985            0.77469      0.000000     8.147938     5712      
14     4      18     -37.06315           -36.996708          -0.066442           0.0          -0.000003    -0.0         5783      
14     6      20     -92.991583          -92.91795           -0.073633           2e-06        -0.000004    0.0          5903      
14     8      22     -141.111379         -141.019333         -0.092046           0.00027      -0.000002    -0.0         5994      
14     10     24     -175.935066         -175.839651         -0.095415           -0.005224    -0.000025    1.3e-05      6002      
14     12     26     -207.481685         -207.392889         -0.088796           0.167672     0.171877     -7e-06       6140      
14     14     28     -235.056852         -234.990761         -0.066091           -0.113843    -0.118655    -6.2e-05     6181      
14     16     30     -257.238932         -257.159593         -0.079339           -0.000508    -0.000003    -0.0         6243      
14     18     32     -273.971752         -273.86432          -0.107432           -0.000517    -0.000001    -0.0         6332      
14     20     34     -287.527858         -287.448685         -0.079173           4.3e-05      -0.000001    0.0          6389      
14     22     36     -296.097922         -295.967992         -0.12993            0.000522     -0.000004    2e-06        6463      
14     24     38     -303.800704         -303.742367         -0.058337           0.193207     0.195363     -0.000389    6539      
14     26     40     -309.990804         -309.945834         -0.04497            0.222134     0.223014     0.000197     6675      
14     28     42     -314.965011         -314.950851         -0.01416            -0.196144    -0.196278    0.005921     6728      
14     30     44     -317.934594         -317.922787         -0.011807           -0.167858    -0.167859    0.000138     6803      
14     32     46     -319.328615         -319.314806         -0.013809           -0.000541    -0.000002    -0.0         6832      
14     34     48     -319.167094         -319.152623         -0.014471           -0.001261    -0.000001    -0.0         6921      
14     36     50     -316.289749         -316.259283         -0.030466           0.001629     -0.000001    3e-06        7001      
