EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
SKP,'',83,126,209,proton,particle,1i_13_2,"13, 1, 6, 0, 6",-1638.462842,-1.599626,0,0
SKP,z126_n184,126,184,310,Ground,Ground,Ground,"0, 0, 0, 0, 0",-2136.356087,0,0,0
SKP,'',126,185,311,neutron,particle,2h_9_2,"9, -1, 7, 0, 5",-2139.166425,-2.810338,0,0
SKP,'',126,185,311,neutron,particle,4p_3_2,"3, -1, 7, 0, 1",-2138.288261,-1.932174,0,unconstrained fixed
SKP,'',126,183,309,neutron,hole,2g_9_2,"9, 1, 6, 0, 4",-2124.674522,-11.681565,0,0
SKP,'',126,183,309,neutron,hole,3d_5_2,"5, 1, 6, 0, 2",-2127.101545,-9.254542,0,0
SKP,'',126,185,311,neutron,particle,1j_13_2,"13, -1, 7, 0, 7",-2140.957546,-4.601459,0,0
SKP,'',126,185,311,neutron,particle,3f_7_2,"7, -1, 7, 0, 3",-2139.464613,-3.108526,0,0
SKP,'',126,183,309,neutron,hole,2g_7_2,"7, 1, 6, 0, 4",-2127.083998,-9.272089,0,0
SKP,'',126,183,309,neutron,hole,1i_11_2,"11, 1, 6, 0, 6",-2124.692413,-11.663674,0,0
SKP,'',126,185,311,neutron,particle,2h_11_2,"11, -1, 7, 0, 5",-2141.979411,-5.623324,0,0
SKP,'',126,183,309,neutron,hole,4s_1_2,"1, 1, 6, 0, 0",-2128.085021,-8.271066,0,0
SKP,'',126,183,309,neutron,hole,3d_3_2,"3, 1, 6, 0, 2",-2128.237737,-8.11835,0,0
SKP,'',126,185,311,neutron,particle,1k_17_2,"17, 1, 8, 0, 8",-2140.654034,-4.297947,0,0
SKP,'',126,185,311,neutron,particle,3f_5_2,"5, -1, 7, 0, 3",-2138.15745,-1.801363,0,0
SKP,'',126,183,309,neutron,hole,1j_15_2,"15, -1, 7, 0, 7",-2125.808336,-10.547751,0,0
SKP,'',125,184,309,proton,hole,3p_3_2,"3, -1, 5, 0, 1",-2136.207779,-0.148308,0,0
SKP,'',125,184,309,proton,hole,2f_5_2,"5, -1, 5, 0, 3",-2135.245337,-1.11075,0,0
SKP,'',127,184,311,proton,particle,4s_1_2,"1, 1, 6, 0, 0",-2128.221974,8.134113,0,0
SKP,'',125,184,309,proton,hole,1h_9_2,"9, -1, 5, 0, 5",-2131.987279,-4.368808,0,0
SKP,'',127,184,311,proton,particle,2g_7_2,"7, 1, 6, 0, 4",-2130.608839,5.747248,0,0
SKP,'',127,184,311,proton,particle,3d_3_2,"3, 1, 6, 0, 2",-2128.691146,7.664941,0,0
SKP,'',125,184,309,proton,hole,2f_7_2,"7, -1, 5, 0, 3",-2133.601996,-2.754091,0,0
SKP,'',125,184,309,proton,hole,3p_1_2,"1, -1, 5, 0, 1",-2136.844996,0.488909,0,0
SKP,'',127,184,311,proton,particle,1j_15_2,"15, -1, 7, 0, 7",-2132.285996,4.070091,0,0
SKP,'',125,184,309,proton,hole,1i_13_2,"13, 1, 6, 0, 6",-2134.05169,-2.304397,0,0
SKP,'',127,184,311,proton,particle,3d_5_2,"5, 1, 6, 0, 2",-2129.607204,6.748883,0,0
SKP,'',127,184,311,proton,particle,1i_11_2,"11, 1, 6, 0, 6",-2133.622138,2.733949,0,0
SKP,'',127,184,311,proton,particle,2g_9_2,"9, 1, 6, 0, 4",-2132.677282,3.678805,0,0
