EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
SV-min,'',127,184,311,proton,particle,2g_9_2,"9, 1, 6, 0, 4",-2128.557984,3.996853,0,0
SV-min,'',127,184,311,proton,particle,3d_5_2,"5, 1, 6, 0, 2",-2125.356326,7.198511,0,0
SV-min,'',127,184,311,proton,particle,1j_15_2,"15, -1, 7, 0, 7",-2128.568984,3.985853,0,0
SV-min,'',125,184,309,proton,hole,1i_13_2,"13, 1, 6, 0, 6",-2130.144492,-2.410345,0,0
SV-min,'',125,184,309,proton,hole,3p_1_2,"1, -1, 5, 0, 1",-2133.491332,0.936495,0,0
SV-min,'',125,184,309,proton,hole,2f_7_2,"7, -1, 5, 0, 3",-2130.079895,-2.474942,0,0
SV-min,'',127,184,311,proton,particle,3d_3_2,"3, 1, 6, 0, 2",-2124.377602,8.177235,0,0
SV-min,'',127,184,311,proton,particle,2g_7_2,"7, 1, 6, 0, 4",-2126.355973,6.198864,0,0
SV-min,'',125,184,309,proton,hole,1h_9_2,"9, -1, 5, 0, 5",-2127.960357,-4.59448,0,0
SV-min,'',127,184,311,proton,particle,4s_1_2,"1, 1, 6, 0, 0",-2123.874776,8.680061,0,0
SV-min,'',125,184,309,proton,hole,2f_5_2,"5, -1, 5, 0, 3",-2131.820958,-0.733879,0,0
SV-min,'',125,184,309,proton,hole,3p_3_2,"3, -1, 5, 0, 1",-2132.809452,0.254615,0,0
