./UNEDF0/block1a/
       (Z,N)     E_HFB_LN(MeV)       beta2_in       beta3_in        Q20_out        Q30_out   file#     iter#
    (18, 26)       -374.735499          -0.05            0.1       0.001268         -1e-06    9697       715
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 715
    (18, 28)       -386.838726          -0.05            0.1       0.000437           -0.0    9772       632
    (18, 28)       -386.838726          -0.05            0.4       0.000418           -0.0    9817       693
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 632
    (18, 30)        -397.38287           -0.2            0.0      -0.008205           -0.0    9829        45
    (18, 30)        -397.38287           -0.2            0.2      -0.008192          4e-06    9859       357
    (18, 30)        -397.38287           -0.2            0.3      -0.008197          2e-06    9874       409
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 45
    (18, 32)       -405.671365          -0.15            0.0      -0.007652          1e-06    9905        44
    (18, 32)       -405.671365          -0.15            0.1      -0.007651          2e-06    9920       264
    (18, 32)       -405.671365          -0.15            0.2      -0.007651          1e-06    9935       102
    (18, 32)       -405.671365          -0.15            0.3      -0.007655          2e-06    9950       200
    (18, 32)       -405.671365          -0.15            0.4       -0.00765          4e-06    9965        44
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 44
    (18, 34)       -410.990887          -0.15            0.0      -0.013051           -0.0    9980        40
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 40
    (18, 36)       -414.293616          -0.15            0.0      -0.014853          2e-06   10055        44
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 44
    (18, 38)       -416.890109          -0.15            0.2        -0.0146          2e-06   10160       159
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 159
    (18, 40)       -418.495394           0.15            0.0       0.012278         -1e-06   10211        39
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 39
    (18, 42)       -418.163141            0.2            0.0       0.104229         -5e-06   10287       224
    (18, 42)       -418.163141            0.2            0.4       0.104213       -3.1e-05   10347       823
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 224
    (18, 44)       -417.495854            0.2            0.2        1.53372       -5.7e-05   10392       148
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 148
    (18, 46)       -416.918696            0.2            0.3       2.406973        4.5e-05   10482       119
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 119
    (18, 48)       -415.888265            0.2            0.0       2.814751          6e-05   10512       101
    (18, 48)       -415.888265            0.2            0.3       2.814746         -8e-05   10557       135
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 101
    (18, 50)       -414.792126           -0.1            0.4      -2.646793      -0.000159   10641       234
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 234
    (18, 52)       -413.536158           -0.1            0.2      -2.878109         0.0001   10686       112
    (18, 52)       -413.536158           -0.1            0.4      -2.878109        7.3e-05   10716       195
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 112
    (18, 54)       -411.844632          -0.05            0.4      -2.756767       -4.9e-05   10792       170
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 170
    (18, 56)       -409.694733          -0.05            0.0      -2.102681       -2.3e-05   10807       598
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 598
     (20, 8)       -117.559073          -0.05            0.0      -0.020419            0.0   10882        59
     (20, 8)       -117.559073          -0.05            0.3      -0.020418            0.0   10927       142
     (20, 8)       -117.559073          -0.05            0.4      -0.020419           -0.0   10942       107
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 59
    (20, 10)       -163.950851          -0.05            0.1      -0.008199            0.0   10972       102
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 102
    (20, 12)       -208.522771            0.0            0.2         -2e-06            0.0   11063        44
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 44
    (20, 14)       -250.320175            0.2            0.0        0.00182         -1e-06   11112        48
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 48
    (20, 16)       -285.566909            0.2            0.0       0.000424          2e-06   11187        49
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 49
    (20, 18)       -315.082946          -0.05            0.1      -0.000254         -1e-06   11272        57
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 57
    (20, 20)       -341.318217            0.0            0.4       0.000112           -0.0   11393       567
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 567
    (20, 22)       -362.825184            0.0            0.1          5e-06            0.0   11423        40
    (20, 22)       -362.825184            0.0            0.2        2.7e-05           -0.0   11438       141
    (20, 22)       -362.825184            0.0            0.4          2e-05           -0.0   11468       136
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 40
    (20, 24)        -382.06415           0.05            0.0      -0.000416            0.0   11484        39
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 39
    (20, 26)       -399.649753            0.0            0.1        2.1e-05           -0.0   11573       118
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 118
    (20, 28)       -415.267122           -0.2            0.0       -0.00156            0.0   11629        41
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 41
    (20, 30)       -428.629378           -0.2            0.2      -0.003304          4e-06   11734       653
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 653
    (20, 32)        -439.23132          -0.15            0.1      -0.004263          4e-06   11795       412
    (20, 32)        -439.23132          -0.15            0.3      -0.004268          3e-06   11825       451
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 412
    (20, 34)       -446.789396          -0.15            0.0       -0.00764          2e-06   11855        42
    (20, 34)       -446.789396          -0.15            0.2      -0.007634          5e-06   11885       119
    (20, 34)       -446.789396          -0.15            0.3       -0.00764          4e-06   11900       337
    (20, 34)       -446.789396          -0.15            0.4      -0.007642          2e-06   11915       228
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 42
    (20, 36)       -452.787679          -0.15            0.1      -0.008828         -1e-06   11945       176
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 176
    (20, 38)        -458.09343           -0.1            0.1       -0.00303          4e-06   12021       115
    (20, 38)        -458.09343           -0.1            0.2      -0.003031          1e-06   12036       196
    (20, 38)        -458.09343           -0.1            0.3      -0.003034          1e-06   12051       184
    (20, 38)        -458.09343           -0.1            0.4      -0.003032          1e-06   12066       224
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 115
    (20, 40)        -462.24934            0.2            0.0       0.006205          3e-06   12087       264
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 264
    (20, 42)       -464.470467            0.2            0.0       0.012422         -4e-06   12162        47
    (20, 42)       -464.470467            0.2            0.2       0.012492       -1.9e-05   12192       229
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 47
    (20, 44)       -465.569406           0.15            0.0       0.052472       0.000166   12236       281
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 281
    (20, 46)       -466.282809            0.2            0.4       1.396961       0.000586   12372       571
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 571
    (20, 48)       -466.843835            0.2            0.1       2.066748       0.000683   12402       125
    (20, 48)       -466.843835            0.2            0.2       2.066732       0.000485   12417       352
    (20, 48)       -466.843835            0.2            0.4       2.066723       0.000148   12447       369
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 125
    (20, 50)       -467.028872            0.2            0.2       1.971391      -0.000159   12492       180
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 180
    (20, 52)       -467.162535          -0.05            0.0      -1.606376         -1e-06   12532        65
    (20, 52)       -467.162535          -0.05            0.3      -1.606381      -0.000113   12577       241
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 65
    (20, 54)       -467.140292            0.0            0.0       -1.7e-05           -0.0   12608        27
    (20, 54)       -467.140292            0.0            0.1        8.1e-05         -1e-06   12623       115
    (20, 54)       -467.140292            0.0            0.2      -0.000157            0.0   12638       167
    (20, 54)       -467.140292            0.0            0.3      -0.000141          1e-06   12653       301
    (20, 54)       -467.140292            0.0            0.4        9.2e-05         -1e-06   12668       218
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 27
    (20, 56)       -467.003391            0.0            0.0          3e-06            0.0   12683        33
    (20, 56)       -467.003391            0.0            0.1        2.5e-05            0.0   12698        50
    (20, 56)       -467.003391            0.0            0.2        3.2e-05          1e-06   12713       103
    (20, 56)       -467.003391            0.0            0.4        2.8e-05          1e-06   12743        99
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 33
    (20, 58)       -466.555198          -0.05            0.0      -0.035127            0.0   12757        40
    (20, 58)       -466.555198          -0.05            0.2      -0.035118          3e-06   12787        99
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 40
    (20, 60)       -465.762306            0.0            0.1         -2e-06            0.0   12848        82
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 82
    (20, 62)       -463.759686            0.0            0.2         -2e-06          2e-06   12938        81
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 81
    (22, 12)       -201.160381           0.35            0.1       1.180717        0.00015   13005       423
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 423
    (22, 14)       -245.912279            0.2            0.1       0.013001        7.3e-05   13077       856
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 856
    (22, 16)       -285.061754            0.2            0.0       0.002892        1.6e-05   13137        54
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 54
    (22, 18)       -318.848322            0.0            0.2        0.00015           -0.0   13238        56
    (22, 18)       -318.848322            0.0            0.4        0.00016           -0.0   13268       408
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 56
    (22, 20)       -349.301193            0.0            0.1        2.5e-05            0.0   13298       170
    (22, 20)       -349.301193            0.0            0.3        2.4e-05           -0.0   13328       509
    (22, 20)       -349.301193            0.0            0.4          1e-06           -0.0   13343       419
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 170
    (22, 22)       -374.656605            0.0            0.1        1.6e-05            0.0   13373        86
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 86
    (22, 24)       -397.662936            0.0            0.4        2.8e-05           -0.0   13493       264
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 264
    (22, 26)       -418.957939           -0.2            0.0       -0.00058           -0.0   13504        57
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 57
    (22, 28)       -437.979222           -0.2            0.0       0.000364            0.0   13579        49
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 49
    (22, 30)       -454.024508          -0.25            0.0      -0.006288          1e-06   13653        59
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 59
    (22, 32)       -467.025711          -0.25            0.3       -0.00847          1e-06   13773       575
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 575
    (22, 34)       -476.947728           -0.3            0.4      -0.016272          3e-06   13862       563
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 563
    (22, 36)       -485.490406          -0.25            0.0      -0.015058          5e-06   13878        48
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 48
    (22, 38)       -493.290095            0.2            0.0       0.002261         -2e-06   13962        50
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 50
    (22, 40)       -499.896382           0.15            0.4       0.003194       -2.3e-05   14096        50
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 50
    (22, 42)       -504.607346            0.2            0.0       0.003117          2e-06   14112        47
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 47
    (22, 44)       -508.105704            0.2            0.0       0.020367         -8e-06   14187        82
    (22, 44)       -508.105704            0.2            0.1       0.020981        6.7e-05   14202       425
    (22, 44)       -508.105704            0.2            0.2       0.021007        6.7e-05   14217       571
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 82
    (22, 46)       -511.806927            0.2            0.2       2.129646       0.002197   14292       875
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 875
    (22, 48)       -514.327162            0.2            0.4       2.544284        5.9e-05   14397       360
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 360
    (22, 50)       -515.990323            0.2            0.1       2.503499       0.000154   14427       185
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 185
    (22, 52)       -517.057493            0.2            0.2       2.094668       0.000136   14517       122
    (22, 52)       -517.057493            0.2            0.3       2.094663        4.5e-05   14532       181
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 122
    (22, 54)       -518.011179           -0.1            0.0       -1.39536          5e-05   14556       128
    (22, 54)       -518.011179           -0.1            0.1       -1.39536        3.2e-05   14571       153
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 128
    (22, 56)        -518.78784            0.0            0.0        1.7e-05           -0.0   14633        40
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 40
    (22, 58)       -519.257132            0.0            0.1        1.8e-05            0.0   14723       109
    (22, 58)       -519.257132            0.0            0.2         -6e-06            0.0   14738       111
    (22, 58)       -519.257132            0.0            0.3       -2.7e-05         -1e-06   14753       106
    (22, 58)       -519.257132            0.0            0.4         -6e-06          2e-06   14768       144
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 106
    (22, 60)       -519.217783          -0.05            0.0      -0.022846            0.0   14782        40
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 40
    (22, 62)       -517.961931            0.0            0.2         -4e-06         -1e-06   14888        90
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 90
    (22, 64)       -514.525576            0.0            0.4          9e-06         -1e-06   14993       100
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 100
    (24, 12)       -192.350263           0.35            0.2       1.762611       0.000184   15045       419
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 419
    (24, 14)       -239.265065            0.2            0.2       1.010084         0.0002   15117        58
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 58
    (24, 16)        -281.44668           0.35            0.0       0.389342       -9.1e-05   15165        71
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 71
    (24, 18)        -319.12551            0.0            0.4        3.2e-05            0.0   15293        51
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 51
    (24, 20)       -353.628585           0.05            0.1      -0.000573           -0.0   15324       221
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 221
    (24, 22)       -382.702457            0.0            0.1          3e-05            0.0   15398        97
    (24, 22)       -382.702457            0.0            0.2          1e-05           -0.0   15413       181
    (24, 22)       -382.702457            0.0            0.3        3.7e-05            0.0   15428       240
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 97
    (24, 24)       -410.219335           0.05            0.0       1.325292        2.6e-05   15459       393
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 393
    (24, 26)       -434.801114           0.35            0.0       1.236083       0.000721   15540        63
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 63
    (24, 28)       -456.643024          -0.25            0.1      -0.014624          8e-06   15618       889
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 889
    (24, 30)       -475.395861          -0.25            0.1      -0.008293          3e-06   15693       557
    (24, 30)       -475.395861          -0.25            0.2       -0.00832          5e-06   15708       402
    (24, 30)       -475.395861          -0.25            0.4      -0.008321          3e-06   15738       551
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 402
    (24, 32)       -490.921437           -0.3            0.0      -0.012086         -2e-06   15752        53
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 53
    (24, 34)       -503.386318           -0.3            0.0      -0.023641         -4e-06   15827        52
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 52
    (24, 36)       -514.530544          -0.25            0.0      -0.020271         -1e-06   15903        63
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 63
    (24, 38)        -524.91305            0.3            0.0       0.007563          1e-06   15989        61
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 61
    (24, 40)       -534.027985            0.2            0.0       0.000755         -2e-06   16062        40
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 40
    (24, 42)       -541.301916            0.2            0.2        0.00795        5.8e-05   16167       657
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 657
    (24, 44)        -547.91049            0.2            0.1       1.824921       0.003865   16227        62
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 62
    (24, 46)       -553.938441            0.2            0.0       2.669062       -8.8e-05   16287        44
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 44
    (24, 48)       -558.508356            0.2            0.1        2.99188      -0.000554   16377       717
    (24, 48)       -558.508356            0.2            0.3       2.992031      -0.003491   16407       558
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 558
    (24, 50)       -561.872823            0.2            0.2       3.033714       0.001993   16467       338
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 338
    (24, 52)       -564.324876            0.2            0.3       2.696466      -0.000169   16557        78
    (24, 52)       -564.324876            0.2            0.4       2.696463      -0.000441   16572       208
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 78
    (24, 54)       -566.199695          -0.05            0.2      -1.621151       0.000296   16612       359
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 359
    (24, 56)       -567.885257          -0.05            0.0      -0.061989         -1e-06   16657        62
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 62
    (24, 58)       -569.276055            0.0            0.1       -4.4e-05          1e-06   16748       145
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 145
    (24, 60)       -570.055151          -0.05            0.3      -0.017164          1e-06   16852       122
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 122
    (24, 62)       -569.627385          -0.05            0.0      -0.013423           -0.0   16882        44
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 44
    (24, 64)       -567.443344          -0.05            0.0      -0.011011          1e-06   16957        42
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 42
    (24, 66)       -564.647413            0.0            0.0         -2e-06           -0.0   17033        25
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 25
============================================================================================================
