./UNEDF0/block1a/
       (Z,N)     E_HFB_LN(MeV)       beta2_in       beta3_in        Q20_out        Q30_out   file#     iter#
     (8, 10)       -142.084918          -0.05            0.0        3.1e-05           -0.0    2107        32
     (8, 10)       -142.084918          -0.05            0.1        3.2e-05           -0.0    2122       363
     (8, 10)       -142.084918          -0.05            0.3        3.1e-05           -0.0    2152       206
     (8, 10)       -142.084918          -0.05            0.4        3.4e-05           -0.0    2167       671
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 32
     (8, 12)       -154.224636          -0.25            0.0      -0.003296          2e-06    2178        39
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 39
     (8, 14)       -164.325559           -0.2            0.1      -0.003033            0.0    2269       215
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 215
     (8, 16)       -171.229298           -0.1            0.0      -0.003663          1e-06    2331        51
     (8, 16)       -171.229298           -0.1            0.3      -0.003665            0.0    2376       134
     (8, 16)       -171.229298           -0.1            0.4      -0.003664          1e-06    2391       148
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 51
     (8, 18)       -173.458896            0.0            0.4           -0.0            0.0    2468       174
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 174
     (8, 20)       -173.742049            0.0            0.1           -0.0           -0.0    2498        77
     (8, 20)       -173.742049            0.0            0.3            0.0            0.0    2528        61
     (8, 20)       -173.742049            0.0            0.4           -0.0           -0.0    2543       185
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 61
     (8, 22)       -171.503554           0.15            0.3       0.125833           -0.0    2606       102
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 102
     (8, 24)       -168.636328            0.2            0.2        0.39916       -1.2e-05    2667       505
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 505
     (8, 26)       -165.729789           0.15            0.0       0.392444         -4e-06    2711        94
     (8, 26)       -165.729789           0.15            0.3        0.39245          2e-06    2756       437
     (8, 26)       -165.729789           0.15            0.4        0.39245          8e-06    2771        77
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 77
     (10, 2)        -12.038681            0.0            0.0           -0.0            0.0    2783        20
     (10, 2)        -12.038681            0.0            0.1            0.0           -0.0    2798        61
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 20
     (10, 4)         -58.33212           0.05            0.0       0.008562            0.0    2859        72
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 72
     (10, 6)       -102.537017          -0.05            0.2      -0.000603            0.0    2962       165
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 165
     (10, 8)        -135.71278            0.0            0.0            0.0           -0.0    3008        24
     (10, 8)        -135.71278            0.0            0.1            0.0           -0.0    3023       243
     (10, 8)        -135.71278            0.0            0.2         -1e-06           -0.0    3038       136
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 24
    (10, 10)       -158.489844           -0.2            0.0      -0.002585            0.0    3079        43
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 43
    (10, 12)       -177.677816           -0.2            0.1      -0.001773          5e-06    3169       582
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 582
    (10, 14)       -193.977853           -0.3            0.0      -0.002705         -2e-06    3227       113
    (10, 14)       -193.977853           -0.3            0.1      -0.002708            0.0    3242       440
    (10, 14)       -193.977853           -0.3            0.2      -0.002705          1e-06    3257       350
    (10, 14)       -193.977853           -0.3            0.3      -0.002703          2e-06    3272       144
    (10, 14)       -193.977853           -0.3            0.4      -0.002698          2e-06    3287       633
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 113
    (10, 16)       -205.768809           0.25            0.0        0.00183         -3e-06    3313       681
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 681
    (10, 18)       -212.084791            0.2            0.0       0.003422           -0.0    3387       268
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 268
    (10, 20)       -216.129389            0.0            0.0           -0.0           -0.0    3458        24
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 24
    (10, 22)       -217.053517           0.25            0.0       0.569236       -4.5e-05    3538       224
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 224
    (10, 24)       -218.265953            0.2            0.0       1.333265        0.00023    3612        95
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 95
    (10, 26)       -218.043948            0.2            0.1       1.559452       -5.1e-05    3702       112
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 112
    (10, 28)       -216.859007           0.15            0.0       1.438139       -1.6e-05    3761        96
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 96
    (10, 30)       -215.404582           0.05            0.2       0.863379       -4.2e-05    3864        83
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 83
    (10, 32)       -214.477032            0.0            0.2          8e-06            0.0    3938       117
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 117
    (10, 34)       -212.691382           -0.1            0.1      -0.064956          1e-06    3996        83
    (10, 34)       -212.691382           -0.1            0.2      -0.064953          2e-06    4011        77
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 77
    (10, 36)       -208.072395           -0.1            0.3      -0.213191         -3e-06    4101       107
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 107
    (10, 38)       -203.241322            0.2            0.4       1.446369          4e-05    4197       147
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 147
     (12, 2)         -0.583143           0.35            0.4       3.980094       0.322056    4275       165
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 165
     (12, 4)        -49.847906            0.0            0.2         -1e-06           -0.0    4313       321
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 321
     (12, 6)        -99.517694           0.05            0.3       0.002696           -0.0    4404        86
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 86
     (12, 8)       -139.599847           0.05            0.0       0.000455           -0.0    4434        36
     (12, 8)       -139.599847           0.05            0.1       0.000456           -0.0    4449       220
     (12, 8)       -139.599847           0.05            0.2       0.000456           -0.0    4464       324
     (12, 8)       -139.599847           0.05            0.4       0.000454            0.0    4494       271
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 36
    (12, 10)       -169.233223           -0.2            0.4       0.000315            0.0    4564       326
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 326
    (12, 12)       -195.219174           0.15            0.0       0.247665       -8.1e-05    4586        53
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 53
    (12, 14)       -217.648749          -0.25            0.0      -0.000641            0.0    4653        52
    (12, 14)       -217.648749          -0.25            0.1      -0.000625          1e-06    4668        67
    (12, 14)       -217.648749          -0.25            0.2      -0.000606          1e-06    4683       514
    (12, 14)       -217.648749          -0.25            0.4      -0.000606         -1e-06    4713        74
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 52
    (12, 16)       -234.552734           0.15            0.0       0.000184          1e-06    4736       343
    (12, 16)       -234.552734           0.15            0.4       0.000177          1e-06    4796       374
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 343
    (12, 18)       -245.440608            0.2            0.0       0.001203          5e-06    4812        54
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 54
    (12, 20)       -253.789683            0.2            0.1       0.001165           -0.0    4902        44
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 44
    (12, 22)       -258.686064            0.2            0.2       0.472835       0.000297    4992        62
*************** Minimum iteration to achieve lowest g.s. energy (rounded to 6 decimals) is: 62
    (12, 24)       -263.609885            0.1            0.0       1.364594      -0.002854    5035       219
