 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Be       4      22     26           -43.882431              -30.553800                2.307615            -0.000008            -0.000002              -0.000002              -0.000003                  -0.000012                     -0.000015                   2.143678                0.696652              2.517475             4.625727               4.368121               2.108253              2.561090         32.385089       58.424345       -1.290937      -4.010700         -25.081650            
   Be       4      24     28           -39.848512              -30.970739                2.582282            -0.000007            -0.000002              -0.000002              -0.000002                  -0.000012                     -0.000014                   2.154527                0.724967              2.521109             4.840354               4.581487               2.319245              2.541927         33.101510       59.815766       -1.306150      -4.033919         -26.090427            
   Be       4      26     30           -34.698378              -31.419901                3.297712            -0.000003            -0.000001              -0.000001              -0.000001                  -0.000006                     -0.000007                   2.124396                0.815737              2.526206             5.038196               4.780153               2.511990              2.546982         33.920426       61.540781       -1.804715      -5.150135         -26.365632            
   Be       4      28     32           -27.222222              -31.856231                3.901876            -0.000004            -0.000001              -0.000001              -0.000001                  -0.000005                     -0.000006                   2.080869                0.556569              2.542407             5.181484               4.929481               2.639078              2.540302           No_Data         No_Data       -3.051925      -7.476156         -25.764625            
   Be       4      30     34           -19.938145              -32.254415                3.840986            -0.000004             0.000000               0.000000              -0.000001                  -0.000002                     -0.000004                   2.084475                0.610893              2.560711             5.306991               5.061834               2.746281              2.558621           No_Data         No_Data       -3.058308      -7.284077            No_Data            
   Be       4      32     36           -12.998757              -32.621483                3.732962            -0.000003             0.000000               0.000000              -0.000001                   0.000005                      0.000004                   2.050848                0.661249              2.576428             5.428498               5.189591               2.852071              2.551702           No_Data         No_Data       -2.833623      -6.939388            No_Data            
   Be       4      34     38            -6.350233              -32.970036                3.635074             0.000005             0.000003               0.000003               0.000002                   0.000034                      0.000035                   2.047396                0.688717              2.588667             5.548852               5.315461               2.960186              2.564059           No_Data         No_Data       -2.649280      -6.648524            No_Data            
   C        6      2      8            -18.749465                2.156208              -21.595875             0.000001             0.000001               0.000001               0.000001                   0.000000                      0.000001                   2.029982                4.465036              3.123223             2.049419               2.892390              -1.073804              3.249081          1.029512       -2.226310         No_Data        No_Data            No_Data            
   C        6      4      10           -54.070108               -2.702724              -16.232633             0.000001             0.000002               0.000002               0.000001                   0.000001                      0.000001                   2.666492                2.328205              2.613523             2.293622               2.490498              -0.319901              2.762699          8.082398       10.650364       21.056942      35.320643          -4.794333            
   C        6      6      12           -83.108122               -8.658305              -11.298231             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000001                   2.819407                2.497836              2.485015             2.472048               2.478540              -0.012968              2.619390         15.059260       24.590169       16.932028      29.038014         -11.388378            
   C        6      8      14           -99.803421              -14.171167               -5.572273             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.708034                2.378624              2.490626             2.692382               2.607827               0.201757              2.624713         20.154774       34.909234       10.785880      16.695300         -12.985469            
   C        6      10     16           -105.23132              -18.375055               -2.473834             0.000000             0.000001               0.000001               0.000000                   0.000001                      0.000001                   2.625093                1.517134              2.515853             2.927675               2.780399               0.411822              2.648664         23.422661       41.699363        4.661829       5.427899         -12.037132            
   C        6      12     18          -109.265845              -21.733089               -1.812112            -0.000004            -0.000005              -0.000005              -0.000002                  -0.000008                     -0.000010                   2.516936               -0.872557              2.542090             3.144332               2.957243               0.602242              2.651796         26.303741       47.620718        2.339552       4.034526         -17.433889            
   C        6      14     20          -112.718831              -24.587054               -1.170205            -0.000002            -0.000002              -0.000002              -0.000001                  -0.000003                     -0.000004                   2.378630                1.437214              2.568109             3.338921               3.127688               0.770812              2.676749         28.845578       52.926184        2.008822       3.452986         -22.773704            
   C        6      16     22          -114.574106              -26.878048                0.134118            -0.000001             0.000000               0.000000              -0.000001                  -0.000001                     -0.000001                   2.256777                1.565585              2.599679             3.506985               3.284489               0.907306              2.707053         31.103161       57.677355        2.429038       1.855276         -26.481460            
   C        6      18     24            -112.0745              -28.391590                1.313750            -0.000001             0.000000               0.000000              -0.000001                   0.000000                     -0.000001                   2.152928                0.943838              2.638809             3.716172               3.478258               1.077363              2.723420         31.995931       59.652794        0.004909      -2.499606         -26.877749            
   C        6      20     26          -108.967093              -29.298844                1.556294            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.130906                0.842230              2.671451             3.949363               3.693910               1.277913              2.755060         32.663818       61.073963       -0.660670      -3.107407         -28.245387            
   C        6      22     28          -105.831441              -29.911545                1.735635            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000006                     -0.000007                   2.110569                0.750012              2.689003             4.200132               3.925598               1.511129              2.772082         33.101629       61.949011       -0.771706      -3.135653         -29.638311            
   C        6      24     30          -102.459167              -30.314064                2.053074            -0.000002            -0.000002              -0.000002              -0.000001                  -0.000010                     -0.000011                   2.079901                0.744721              2.694619             4.452684               4.160927               1.758065              2.756551         33.422542       62.610655       -0.938771      -3.372275         -30.276736            
   C        6      26     32           -98.210997              -30.871831                2.568771            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000007                     -0.000008                   2.039295                0.867622              2.704666             4.657853               4.358816               1.953188              2.766373         33.838156       63.512620       -1.317914      -4.248170         -30.062486            
   C        6      28     34           -92.334099              -31.697216                3.006398            -0.000003            -0.000001              -0.000001              -0.000002                  -0.000009                     -0.000010                   2.018079                0.703698              2.725858             4.775687               4.482591               2.049829              2.787096         34.605413       65.111877       -2.152789      -5.876899         -29.335721            
   C        6      30     36           -86.361918              -32.631857                3.039436            -0.000003            -0.000001              -0.000001              -0.000002                  -0.000009                     -0.000011                   1.976063                0.742029              2.752303             4.866001               4.581939               2.113698              2.792253         35.242156       66.423774       -2.263227      -5.972181         -30.839697            
   C        6      32     38           -80.646758              -33.413340                3.018591            -0.000002             0.000000               0.000000              -0.000001                   0.000000                     -0.000001                   1.957508                0.768613              2.774290             4.968811               4.691063               2.194521              2.813927         35.828179       67.648002       -2.102260      -5.715160         -32.408614            
   C        6      34     40           -74.962235              -34.038221                3.007615            -0.000006            -0.000001              -0.000001              -0.000003                  -0.000013                     -0.000016                   1.913837                0.756347              2.789669             5.090147               4.815651               2.300479              2.829091         36.286618       68.612003       -2.079782      -5.684523         -33.663479            
   C        6      36     42           -69.362224              -34.477653                2.999797            -0.000001             0.000000               0.000000              -0.000001                   0.000003                      0.000002                   1.883301                0.749681              2.797424             5.233266               4.959090               2.435843              2.816200           No_Data         No_Data       -2.046992      -5.600012         -34.711991            
   O        8      2      10           -13.073691                3.664696              -24.044856             0.000000             0.000001               0.000000               0.000000                   0.000000                      0.000000                   1.564588                4.386176              3.579134             2.083349               3.334101              -1.495785              3.689472         -1.040602       -5.675775         No_Data        No_Data            No_Data            
   O        8      4      12            -55.10176                1.282529              -20.475309             0.000000             0.000001               0.000000               0.000000                   0.000000                      0.000000                   2.244992                2.270670              2.967817             2.332032               2.772138              -0.635786              3.099990          2.971569        1.031653       24.342458      42.028070          -8.052295            
   O        8      6      14           -93.979564               -2.572004              -16.682601             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.624895                2.375540              2.720485             2.483770               2.621654              -0.236716              2.864095          8.157872       10.871443       21.762007      38.877804         -11.609457            
   O        8      8      16           -121.70546               -7.338316              -10.454860             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.681786                2.465120              2.665099             2.650082               2.657601              -0.015018              2.790816         13.645930       21.902040       16.283279      27.725897         -10.297339            
   O        8      10     18          -136.123181              -11.674425               -6.476273             0.000000            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000001                   2.690080                1.613977              2.660623             2.818259               2.749315               0.157636              2.786542         18.103517       30.891861        9.248409      14.417721          -8.019760            
   O        8      12     20          -147.620242              -15.405973               -5.135075            -0.000001            -0.000002              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.642470                1.625132              2.673601             2.967954               2.853859               0.294354              2.798936         21.756902       38.354397        7.368085      11.497062         -14.088922            
   O        8      14     22          -157.219361              -18.551176               -3.935462            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.569363                1.518502              2.693890             3.119073               2.971509               0.425184              2.818323         24.724262       44.500530        6.371377       9.599120         -19.653516            
   O        8      16     24          -163.998623              -21.060400               -1.947091            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.506608                1.643697              2.722928             3.297271               3.117602               0.574343              2.825622         27.093952       49.424518        4.970731       6.779263         -22.979793            
   O        8      18     26          -165.448984              -23.142337               -0.287361            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.501665                1.160988              2.768167             3.477129               3.275372               0.708963              2.869242         29.014539       53.374484        2.127523       1.450361         -22.574878            
   O        8      20     28          -165.108724              -24.699867                0.524999            -0.000001             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.495423                1.130208              2.808524             3.661084               3.439130               0.852560              2.908197         30.383980       56.141631        0.975469      -0.340261         -24.734224            
   O        8      22     30          -163.065388              -25.583980                1.135898            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000005                     -0.000006                   2.460484                0.892858              2.829607             3.923047               3.663513               1.093440              2.928563         30.902501       57.233948       -0.010136      -2.043336         -25.798295            
   O        8      24     32          -160.357181              -26.291511                1.414960            -0.000001            -0.000002              -0.000002              -0.000001                  -0.000010                     -0.000011                   2.426399                0.906519              2.842598             4.156830               3.870339               1.314233              2.921312         31.202157       57.898015       -0.454416      -2.708208         -26.225740            
   O        8      26     34          -157.366191              -27.230715                1.565169            -0.000001            -0.000002              -0.000002              -0.000001                  -0.000010                     -0.000011                   2.418530                0.922470              2.859393             4.323940               4.027541               1.464548              2.937657         31.806510       59.155194       -0.581001      -2.990991         -26.607024            
   O        8      28     36          -154.223841              -28.404311                1.668872            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000010                     -0.000011                   2.410991                0.939340              2.881663             4.433472               4.139212               1.551809              2.959339         33.159407       61.889742       -0.640270      -3.142350         -27.712844            
   O        8      30     38          -151.011279              -29.697206                1.779600            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000009                     -0.000010                   2.399631                0.921946              2.907657             4.504524               4.218873               1.596868              2.984656         34.512528       64.649361       -0.675638      -3.212562         -30.377181            
   O        8      32     40          -147.769489              -30.936973                1.997102            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000005                     -0.000006                   2.370903                0.935629              2.934326             4.562942               4.287005               1.628616              2.991299         35.725571       67.122731       -0.692108      -3.241791         -33.107571            
   O        8      34     42           -143.84285              -31.796290                2.283375             0.000000             0.000000               0.000000               0.000000                   0.000003                      0.000002                   2.346029                0.915042              2.952864             4.669444               4.394480               1.716581              3.009486         36.570241       68.880615       -1.037985      -3.926639         -34.896092            
   O        8      36     44          -138.906571              -32.327401                2.562812             0.000000             0.000000               0.000000               0.000000                   0.000004                      0.000004                   2.326735                0.712939              2.962416             4.836682               4.553652               1.874266              3.018859         36.877192       69.544348       -1.654149      -4.936279         -35.644337            
   O        8      38     46          -133.565095              -32.491182                2.685356            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000016                     -0.000017                   2.313770                0.627747              2.963005             5.032495               4.737967               2.069491              3.019437           No_Data         No_Data       -2.000395      -5.341477         -35.902872            
   O        8      40     48          -128.406288              -32.617858                2.691785            -0.000001            -0.000002              -0.000002              -0.000001                  -0.000032                     -0.000033                   2.303253                0.616078              2.965038             5.200834               4.899572               2.235797              3.002158           No_Data         No_Data       -1.957492      -5.158808            No_Data            
   Ne       10     2      12            -4.342161                5.172830              -25.059653             0.000001             0.000000               0.000001               0.000001                   0.000000                      0.000001                   1.122964                4.281619              4.109742             2.102919               3.848640              -2.006823              4.206184         -3.021990       -8.731530         No_Data        No_Data            No_Data            
   Ne       10     4      14           -48.591051                3.633029              -22.621008             0.000001             0.000001               0.000001               0.000001                   0.000000                      0.000001                   1.358319                2.168164              3.518022             2.366468               3.231159              -1.151555              3.630218         -1.453700       -6.510709       25.349337      44.248891          -7.217360            
   Ne       10     6      16           -92.988471                0.973530              -20.521378             0.000000             0.000000               0.000000               0.000000                   0.000000                     -0.000001                   1.714420                2.289516              3.009469             2.514814               2.834109              -0.494656              3.139890          1.674112       -0.991093       24.427551      44.397421          -9.586712            
   Ne       10     8      18          -129.334404               -2.742797              -14.717367            -0.000001            -0.000001              -0.000001              -0.000002                  -0.000001                     -0.000002                   1.863637                2.466573              2.851711             2.654781               2.765918              -0.196931              2.989023          6.087184        7.628945       20.551012      36.345934          -7.054841            
   Ne       10     10     20          -152.933568               -6.949363              -10.740492             0.254770             0.265217               0.259962               0.260954                   0.268431                      0.529385                   1.918049                1.600388              2.849396             2.832440               2.840931              -0.016956              2.967315         10.709259       16.810388       13.833063      23.599165          -2.928109            
   Ne       10     12     22          -172.319867              -10.734240               -8.456061             0.293980             0.286069               0.289518               0.302235                   0.380602                      0.682836                   1.872478                1.608726              2.854684             2.964518               2.915106               0.109834              2.972394         14.607287       24.699625       11.297707      19.386299          -7.896686            
   Ne       10     14     24          -186.864884              -13.404712               -6.796667             0.120085             0.085225               0.098519               0.121009                   0.139325                      0.260334                   1.712816                1.537289              2.826236             3.042373               2.954239               0.216137              2.945083         16.963851       29.645523        8.845516      14.545018         -10.944642            
   Ne       10     16     26          -198.321243              -15.971121               -4.250041            -0.000005            -0.000002              -0.000003              -0.000005                  -0.000005                     -0.000010                   1.631547                1.552938              2.844917             3.192233               3.063314               0.347316              2.963015         19.230388       34.322621        7.273294      11.456360         -12.801883            
   Ne       10     18     28          -204.302468              -18.315734               -2.442245            -0.000003            -0.000002              -0.000002              -0.000003                  -0.000004                     -0.000008                   1.583253                1.242518              2.889942             3.348679               3.192420               0.458738              3.006271         21.469202       38.853485        4.388341       5.981225         -12.003845            
   Ne       10     20     30          -207.951841              -20.413275               -1.002032            -0.000003            -0.000001              -0.000001              -0.000003                  -0.000003                     -0.000006                   1.559275                1.429712              2.934539             3.487489               3.313441               0.552951              3.030070         23.448908       42.843118        3.160802       3.649373         -14.202857            
   Ne       10     22     32          -208.678842              -22.347602               -0.414528             0.245504             0.172800               0.189722               0.277699                   0.644290                      0.921989                   1.536850                1.164149              2.994355             3.665243               3.469554               0.670888              3.088036         24.805395       45.613454        1.660432       0.727002         -15.270118            
   Ne       10     24     34          -209.486553              -24.287333               -0.017618             0.339492             0.254509               0.272344               0.398568                   1.124961                      1.523529                   1.521714                1.132686              3.050573             3.820822               3.611372               0.770250              3.142578         26.538743       49.129372        1.552273       0.807711         -18.121165            
   Ne       10     26     36          -208.762988              -25.644818                0.429968             0.343898             0.247214               0.265402               0.410238                   1.272721                      1.682959                   1.481630                1.017300              3.075023             3.961764               3.736615               0.886742              3.166318         27.648479       51.396798        0.713211      -0.723565         -20.105807            
   Ne       10     28     38          -207.412863              -26.589005                0.650549             0.321002             0.194491               0.215799               0.385607                   1.153479                      1.539086                   1.439489                0.959234              3.085768             4.097523               3.857089               1.011755              3.176754         28.519751       53.189022        0.313205      -1.350126         -21.746672            
   Ne       10     30     40          -205.970749              -27.324910                0.752258             0.271423             0.121933               0.144579               0.326592                   0.821809                      1.148401                   1.412454                0.955492              3.088333             4.219967               3.967436               1.131634              3.160934         29.385778       54.959471        0.236307      -1.442114         -23.446909            
   Ne       10     32     42          -204.517941              -28.019286                0.865230             0.079754             0.024147               0.031816               0.095208                   0.180167                      0.275375                   1.367979                1.050004              3.076133             4.299126               4.041645               1.222994              3.149015         30.243668       56.748453        0.276344      -1.452809         -25.206662            
   Ne       10     34     44           -202.73662              -28.861394                1.544441             0.000000             0.000000               0.000000               0.000000                   0.000001                      0.000002                   1.335317                1.126461              3.091625             4.403611               4.142085               1.311986              3.164150         31.287558       58.893770        0.197573      -1.781322         -26.667131            
   Ne       10     36     46          -198.137434              -29.330057                2.367442            -0.000004            -0.000001              -0.000001              -0.000005                  -0.000011                     -0.000015                   1.313635                0.614862              3.099836             4.609781               4.326593               1.509946              3.172174         31.435617       59.230863       -1.428932      -4.599186         -25.994585            
   Ne       10     38     48          -193.115494              -29.522087                2.462409            -0.000011            -0.000007              -0.000008              -0.000013                  -0.000080                     -0.000093                   1.296916                0.616576              3.106673             4.798828               4.499090               1.692156              3.178855         31.580543       59.550399       -1.895251      -5.021941         -25.908923            
   Ne       10     40     50          -188.325825              -29.764669                2.430530             0.066330             0.039637               0.042044               0.081406                   0.490811                      0.572217                   1.277514                0.640813              3.119034             4.953597               4.645016               1.834564              3.172692         31.750152       59.919538       -1.766141      -4.789670         -26.460730            
   Ne       10     42     52          -183.918979              -30.146785                2.381520             0.176759             0.081760               0.089708               0.220792                   1.118635                      1.339427                   1.255049                0.643270              3.146634             5.081509               4.770756               1.934875              3.199829           No_Data         No_Data       -1.561382      -4.406847         -27.212692            
