 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Ne       10     10     20          -159.630263               -7.120072              -11.100083            -0.000004            -0.000004              -0.000004              -0.000004                  -0.000004                     -0.000008                   2.202438                2.303252              2.833417             2.803831               2.818663              -0.029586              2.951975         10.088199       14.895871       13.812467      22.143540          -1.490835            
   Ne       10     12     22          -179.101524              -10.677569               -9.305082             0.225804             0.216859               0.220803               0.233572                   0.284489                      0.518061                   2.149464                2.322946              2.863447             2.943738               2.907517               0.080292              2.980811         13.885665       22.612895       12.048730      19.471261          -6.067132            
   Ne       10     14     24          -194.308651              -13.263330               -7.647359            -0.000026            -0.000021              -0.000023              -0.000027                  -0.000033                     -0.000060                   1.977487                2.272349              2.849301             3.023131               2.951946               0.173830              2.967224         16.358068       27.825343        9.901212      15.207127          -9.520021            
   Ne       10     16     26          -206.423673              -15.894519               -5.360442            -0.000003            -0.000001              -0.000002              -0.000003                  -0.000003                     -0.000005                   1.868783                2.250339              2.872558             3.143301               3.042022               0.270743              2.989564         18.920064       33.119957        8.318856      12.115023         -11.640365            
   Ne       10     18     28          -213.288763              -18.332584               -3.390985            -0.000002            -0.000001              -0.000001              -0.000002                  -0.000002                     -0.000004                   1.830420                1.948221              2.910418             3.263263               3.141799               0.352845              3.025960         21.320807       37.990340        5.531825       6.865090         -11.685047            
   Ne       10     20     30          -217.358023              -20.596638               -1.828507            -0.000002             0.000000              -0.000001              -0.000002                  -0.000001                     -0.000003                   1.757728                2.044587              2.949804             3.368027               3.234633               0.418224              3.044856         23.643637       42.726344        4.031035       4.069261         -13.759600            
   Ne       10     24     34          -218.194600              -25.063801               -0.298695             0.302561             0.245151               0.258260               0.355654                   0.973863                      1.329517                   1.775864                1.747900              3.052479             3.622192               3.464368               0.569714              3.144429         28.444857       52.354881        2.199245       0.935194         -19.254551            
   Mg       12     8      20          -140.673979               -1.537656              -18.771848            -0.000002            -0.000001              -0.000002              -0.000003                  -0.000001                     -0.000004                   2.263405                3.076948              2.992547             2.681440               2.872151              -0.311108              3.123674          3.876633        3.187255       24.177216      42.132228          -9.712901            
   Mg       12     10     22          -170.587331               -4.697793              -14.647430             0.235289             0.240109               0.237361               0.318715                   0.245210                      0.563925                   2.230367                2.202155              2.991259             2.845180               2.925764              -0.146079              3.122440          7.694937       10.957068       17.596228      29.913353          -4.800607            
   Mg       12     12     24          -196.794882               -7.658957              -12.264459             0.305592             0.304347               0.304977               0.418017                   0.407099                      0.825117                   2.193759                2.242056              3.005939             2.972485               2.989259              -0.033455              3.117944         11.018291       17.693358       15.325882      26.207551          -8.864619            
   Mg       12     14     26          -217.267600              -10.546270              -10.225268             0.185409             0.140683               0.160941               0.248894                   0.228098                      0.476991                   2.038565                2.166912              2.977799             3.029849               3.005938               0.052050              3.090824         13.487501       22.958949       12.440844      20.472718          -9.866076            
   Mg       12     16     28          -234.325031              -13.129972               -7.881073            -0.000005            -0.000003              -0.000003              -0.000006                  -0.000005                     -0.000011                   1.931064                2.165285              2.977859             3.123783               3.062096               0.145924              3.090881         15.850603       27.901358       10.694815      17.057432         -11.716380            
   Mg       12     18     30          -246.200942              -15.549188               -5.791262            -0.000002            -0.000001              -0.000002              -0.000003                  -0.000003                     -0.000007                   1.905007                1.923729              3.012801             3.232536               3.146484               0.219736              3.124560         18.323804       32.912180        7.982463      11.875912         -11.477269            
   Mg       12     20     32          -254.999367              -17.860394               -4.055954            -0.000002            -0.000001              -0.000001              -0.000003                  -0.000002                     -0.000005                   1.836420                2.009885              3.049449             3.328082               3.226416               0.278634              3.159912         20.617747       37.641345        6.366020       8.798426         -13.410605            
   Mg       12     22     34          -259.235264              -20.023008               -2.412315            -0.000006            -0.000004              -0.000005              -0.000009                  -0.000013                     -0.000022                   1.796930                1.693641              3.077512             3.416862               3.301077               0.339351              3.187002         22.744126       41.975858        3.969712       4.235897         -13.577241            
   Mg       12     24     36          -264.545427              -21.806644               -2.261709             0.313831             0.256909               0.272966               0.472305                   0.984051                      1.456356                   1.824291                1.757788              3.152955             3.556790               3.427469               0.403835              3.242056         24.975491       46.350828        4.380797       5.310164         -18.986021            
   Mg       12     26     38          -267.170226              -23.587378               -1.288766             0.332701             0.272921               0.288449               0.511055                   1.194722                      1.705776                   1.812694                1.635350              3.185378             3.653200               3.512205               0.467822              3.273597         26.852581       50.145076        3.008969       2.624799         -20.675626            
   Mg       12     28     40          -267.795901              -25.224436               -0.481028             0.312109             0.250394               0.265120               0.484342                   1.239952                      1.724294                   1.771203                1.544875              3.201678             3.744175               3.590044               0.542498              3.289460         28.386588       53.312460        1.902950       0.625676         -22.470751            
   Si       14     8      22          -141.019333                0.311644              -21.683572            -0.000002            -0.000001              -0.000002              -0.000004                  -0.000001                     -0.000004                   2.188747                2.991900              3.145322             2.705016               2.992715              -0.440307              3.270329          2.398753        0.345354       27.038591      48.101383         -14.177582            
   Si       14     10     24          -175.839651               -2.449956              -17.100956            -0.000023            -0.000028              -0.000025              -0.000038                  -0.000028                     -0.000066                   2.206490                2.024294              3.085319             2.833722               2.983067              -0.251598              3.212662          4.844589        5.252320       19.918257      34.820319          -6.865672            
