 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4            -18.895319               -7.060384               -7.666880             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.456602                5.034595              2.053304             2.058836               2.056072               0.005533              2.214037           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -23.400261              -16.405107               -1.361244             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.684632                2.421217              1.981693             2.619845               2.425853               0.638153              2.120592           No_Data         No_Data        5.980378       4.504942            No_Data            
   He       2      6      8            -24.620786              -22.224544                0.294561             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.356555                2.231830              2.010096             2.979346               2.769025               0.969251              2.119950           No_Data         No_Data        2.936787       1.220525            No_Data            
   He       2      8      10           -22.756808              -25.387353                1.606044             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.270122                1.720075              2.043202             3.390128               3.166909               1.346926              2.124212           No_Data         No_Data        1.043964      -1.863978            No_Data            
   He       2      10     12           -18.002291              -26.866970                2.895812             0.000000             0.000000               0.000000               0.000000                   0.000001                      0.000001                   5.105500                1.182285              2.063873             3.907638               3.665327               1.843765              2.116855           No_Data         No_Data       -0.926079      -4.754517            No_Data            
   He       2      12     14           -11.109544              -28.035289                3.529176             0.000000             0.000001               0.000001               0.000000                   0.000002                      0.000002                   5.076076                0.855324              2.086416             4.210120               3.976786               2.123705              2.111524           No_Data         No_Data       -2.427570      -6.892747            No_Data            
   Be       4      2      6            -21.158666                0.093645              -16.752869             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.709589                5.244164              2.649577             1.992281               2.450150              -0.657296              2.796831          5.214770        2.263347         No_Data        No_Data            No_Data            
   Be       4      4      8            -43.573356               -7.723423               -9.400792             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.328116                2.843338              2.318237             2.313276               2.315758              -0.004961              2.461732         14.592922       20.173095       15.251096      22.414690           3.621964            
   Be       4      6      10           -58.735468              -14.705909               -5.155241             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.142384                2.799737              2.275266             2.547632               2.442333               0.272367              2.421309         21.306811       34.114683       10.402594      15.162113          -7.035207            
   Be       4      8      12           -64.887207              -19.521977               -1.350886             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.097208                2.438380              2.310967             2.854534               2.685597               0.543567              2.431125         25.248865       42.130400        5.694929       6.151740         -11.966422            
   Be       4      10     14            -63.23157              -22.306805                0.829658             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.937531                1.464608              2.345200             3.319725               3.072988               0.974525              2.463689         26.636156       45.229279        1.123676      -1.655638         -12.174762            
   Be       4      12     16           -61.075955              -24.911596                1.115007             0.000001             0.000001               0.000001               0.000000                   0.000001                      0.000001                   2.877670                1.485233              2.376108             3.554047               3.299229               1.177940              2.469735         28.960079       49.966412        0.397114      -2.155615         -14.773664            
   Be       4      14     18            -59.13676              -27.467859                1.447773             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.778576                1.563074              2.408198             3.689347               3.446057               1.281150              2.500624           No_Data         No_Data        0.554556      -1.939195         -19.727217            
   Be       4      16     20           -55.906463              -29.377576                1.981226             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.647390                1.462768              2.437523             3.847322               3.609683               1.409800              2.505817           No_Data         No_Data       -0.102228      -3.230298            No_Data            
   Be       4      18     22           -50.699568              -30.495105                2.536936             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.554660                0.959573              2.459705             4.099021               3.853193               1.639316              2.527400           No_Data         No_Data       -1.392277      -5.206896            No_Data            
   Be       4      20     24           -45.479354              -30.938921                2.618068             0.000000             0.000000               0.000000               0.000000                  -0.000002                     -0.000002                   2.486918                0.894569              2.477355             4.364953               4.110989               1.887598              2.521664           No_Data         No_Data       -1.683037      -5.220214            No_Data            
   C        6      2      8            -18.647481                2.329978              -21.892027             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.458192                4.964082              3.072204             2.024931               2.846738              -1.047274              3.200069          1.328299       -2.511186         No_Data        No_Data            No_Data            
   C        6      4      10           -54.169577               -2.663526              -16.223087             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.131035                2.686350              2.583321             2.280720               2.466739              -0.302602              2.734145          8.527687       10.596221       21.586264      35.522096          -4.710911            
   C        6      6      12           -83.311492               -8.606522              -11.219666             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.249993                2.909389              2.470022             2.456422               2.463231              -0.013601              2.605170         15.484201       24.576025       17.368828      29.141916         -11.438137            
   C        6      8      14           -100.03532              -14.092389               -5.698000             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.127272                2.758061              2.476495             2.670904               2.589374               0.194410              2.611308         20.686297       35.148113       11.195639      16.723828         -12.999853            
   C        6      10     16          -105.231857              -18.348312               -2.475171             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.989956                1.789404              2.503876             2.897412               2.756428               0.393537              2.637290         23.963888       42.000288        4.872001       5.196538         -12.044651            
   C        6      12     18          -109.392142              -21.858088               -1.880379             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000001                   2.888264                1.827924              2.531890             3.089771               2.915695               0.557881              2.642020         27.041061       48.316188        3.888807       4.160286         -17.860573            
   C        6      14     20          -113.035947              -24.902435               -1.215089             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.714694                1.739526              2.557953             3.263802               3.069140               0.705850              2.667007         29.696229       53.899187        3.605628       3.643805         -23.659992            
   C        6      16     22          -114.881098              -27.227427                0.295881             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.573371                1.901685              2.587031             3.438165               3.228369               0.851135              2.694909         32.097699       58.974635        2.743182       1.845152         -27.444338            
   C        6      18     24          -111.432297              -28.684970                1.679835             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.469940                1.073937              2.619673             3.676882               3.443148               1.057209              2.704882         32.878665       60.732730       -0.236590      -3.448801         -27.225835            
   C        6      20     26          -107.663043              -29.637677                1.870502             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.432803                1.013868              2.651364             3.917878               3.664663               1.266514              2.735587         33.551705       62.183690       -0.840725      -3.769255         -28.663476            
   C        6      22     28          -104.001147              -30.335840                2.063866             0.000000             0.000000               0.000000               0.000000                  -0.000002                     -0.000002                   2.418420                0.960272              2.671667             4.164528               3.893122               1.492861              2.755269           No_Data         No_Data       -0.843879      -3.661896         -30.221794            
   O        8      2      10           -12.384649                3.910880              -24.524287             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   1.884767                4.894008              3.552057             2.054884               3.307295              -1.497174              3.663211         -0.959937       -6.262832         No_Data        No_Data            No_Data            
   O        8      4      12           -54.974216                1.318675              -20.624384             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.545004                2.677577              2.928381             2.315334               2.739319              -0.613047              3.062257          3.240340        0.804640       25.080577      42.589568          -8.026735            
   O        8      6      14             -94.1929               -2.676090              -16.588774             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.030198                2.773036              2.697801             2.468748               2.602106              -0.229053              2.842557          8.580800       10.881408       22.334649      39.218684         -11.723324            
   O        8      8      16          -121.950687               -7.425227              -10.555676             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.081071                2.852925              2.650872             2.635921               2.643407              -0.014951              2.777233         14.061856       21.915368       16.691874      27.757788         -10.339196            
   O        8      10     18          -136.259511              -11.717853               -6.536859             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.084297                1.907916              2.651524             2.801562               2.735895               0.150038              2.777856         18.550954       31.027654        9.534833      14.308825          -7.924192            
   O        8      12     20          -148.128389              -15.482609               -5.347475             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.060899                1.917729              2.665679             2.939038               2.832862               0.273360              2.791370         22.342705       38.736247        7.847262      11.868878         -14.596532            
   O        8      14     22          -158.409799              -18.702963               -4.097071             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.988141                1.845491              2.685445             3.072333               2.937548               0.386888              2.810252         25.538344       45.373852        7.022315      10.281410         -20.717657            
   O        8      16     24          -165.167568              -21.229730               -1.706341             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.910553                1.971535              2.713303             3.247631               3.079840               0.534329              2.816348         27.885198       50.286470        5.287398       6.757769         -23.831621            
   O        8      18     26          -165.609274              -23.292451                0.022673             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.857030                1.404410              2.756342             3.436683               3.242587               0.680341              2.857836         29.751974       54.176977        1.908826       0.441707         -22.428176            
   O        8      20     28          -164.726313              -24.983989                0.702080             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.836031                1.357685              2.796681             3.617925               3.403565               0.821245              2.896762         31.166053       57.063271        0.939567      -0.882961         -24.994016            
   O        8      22     30          -162.265034              -26.030996                1.338339             0.000000             0.000000               0.000000               0.000000                  -0.000001                     -0.000001                   2.811915                1.118227              2.819878             3.869742               3.619676               1.049864              2.919163         31.747112       58.263888        0.007317      -2.461279         -26.301992            
   O        8      24     32          -159.026849              -26.894708                1.630400             0.000000            -0.000001              -0.000001               0.000000                  -0.000003                     -0.000003                   2.771648                1.154354              2.835683             4.088881               3.814379               1.253198              2.914584           No_Data         No_Data       -0.482802      -3.238186         -26.725702            
   O        8      26     34          -155.531775              -27.980166                1.760470             0.000000            -0.000001              -0.000001               0.000000                  -0.000004                     -0.000004                   2.746726                1.182830              2.854807             4.237627               3.955985               1.382820              2.933194           No_Data         No_Data       -0.578946      -3.495074            No_Data            
