 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Be       4      22     26            -49.18755              -33.214258                2.821778            -0.000003            -0.000001              -0.000001              -0.000001                  -0.000003                     -0.000005                   1.963924                1.111620              2.575186             4.445673               4.212319               1.870488              2.617840         34.864154       63.875072       -1.921580      -6.174586         -28.970213            
   Be       4      24     28           -43.070407              -33.488324                3.124144            -0.000004            -0.000001              -0.000001              -0.000001                  -0.000004                     -0.000005                   1.916128                1.118221              2.588108             4.700326               4.460248               2.112218              2.608391         35.077715       64.357235       -1.943652      -6.117143         -29.457929            
   Be       4      26     30           -36.222069              -33.814824                3.542924            -0.000003             0.000000               0.000000              -0.000001                  -0.000002                     -0.000003                   1.908056                1.150281              2.598352             4.919954               4.677465               2.321602              2.618556         35.481463       65.147527       -2.289919      -6.848339         -29.208896            
   Be       4      28     32           -27.901626              -34.216360                4.009739            -0.000003             0.000000               0.000000              -0.000001                  -0.000001                     -0.000002                   1.893583                0.956722              2.607389             5.112026               4.869909               2.504638              2.605337           No_Data         No_Data       -3.106720      -8.320443         -28.527084            
   Be       4      30     34           -19.221836              -34.673773                4.164158            -0.000002             0.000000               0.000000              -0.000001                   0.000002                      0.000001                   1.895605                0.951409              2.616975             5.282327               5.042419               2.665353              2.614930           No_Data         No_Data       -3.385830      -8.679791            No_Data            
   Be       4      32     36           -10.824442              -35.075551                4.165059            -0.000006            -0.000002              -0.000002              -0.000002                  -0.000022                     -0.000024                   1.863298                0.988250              2.624814             5.442470               5.205269               2.817656              2.600548           No_Data         No_Data       -3.228868      -8.397395            No_Data            
   Be       4      34     38            -2.615128              -35.434724                4.140666            -0.000003            -0.000001              -0.000001              -0.000001                  -0.000008                     -0.000009                   1.835106                0.977905              2.630811             5.593758               5.359568               2.962948              2.606601           No_Data         No_Data       -3.121580      -8.209314            No_Data            
   C        6      2      8              -30.2665                1.078195              -24.559005             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000000                   2.918525                4.743047              2.829325             2.027961               2.651786              -0.801364              2.967673          1.656517       -3.206073         No_Data        No_Data            No_Data            
   C        6      4      10           -65.861318               -4.112961              -16.965460             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000001                   3.178553                3.000986              2.559241             2.308732               2.462098              -0.250510              2.711405          8.152188        9.790339       21.669426      35.594818          -4.088746            
   C        6      6      12            -92.56665               -9.367937              -11.935334             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.948179                3.110596              2.513691             2.491339               2.502540              -0.022353              2.646610         14.085945       22.276348       16.408457      26.705332          -8.195671            
