 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Be       4      22     26           -43.754782              -34.080122                3.243991            -0.000004            -0.000001              -0.000001              -0.000001                  -0.000003                     -0.000004                   2.593141                1.252290              2.557804             4.389033               4.160107               1.831230              2.600743         36.862331       66.354214       -2.252511      -7.136567         -30.292228            
   Be       4      24     28           -36.744147              -34.418249                3.544885            -0.000006            -0.000001              -0.000001              -0.000002                  -0.000004                     -0.000006                   2.562775                1.228799              2.571735             4.642388               4.406560               2.070654              2.592147         37.151053       66.982452       -2.264774      -7.010636         -31.043579            
   Be       4      26     30           -28.985916              -34.766830                3.977988            -0.000003             0.000000               0.000000              -0.000001                   0.000001                      0.000000                   2.531364                1.215978              2.583052             4.862055               4.623554               2.279003              2.603375         37.460364       67.644707       -2.656728      -7.758231         -30.924221            
   Be       4      28     32           -19.786145              -35.189337                4.465610            -0.000005            -0.000001              -0.000001              -0.000002                  -0.000005                     -0.000007                   2.515336                1.062300              2.593187             5.057771               4.819128               2.464584              2.591124           No_Data         No_Data       -3.460747      -9.199771         -30.144937            
   Be       4      30     34           -10.072412              -35.667239                4.666054            -0.000005            -0.000001              -0.000001              -0.000002                  -0.000006                     -0.000008                   2.505640                1.049177              2.602755             5.239442               5.001911               2.636688              2.600699           No_Data         No_Data       -3.801129      -9.713734            No_Data            
   Be       4      32     36            -0.685279              -36.108980                4.696411            -0.000004            -0.000001              -0.000001              -0.000001                  -0.000011                     -0.000012                   2.507533                1.083574              2.611250             5.404921               5.169612               2.793671              2.586857           No_Data         No_Data       -3.627191      -9.387134            No_Data            
   Be       4      34     38              8.53603              -36.500602                4.691634            -0.000005            -0.000001              -0.000001              -0.000002                  -0.000014                     -0.000016                   2.469575                1.090281              2.618489             5.557769               5.325324               2.939281              2.594164           No_Data         No_Data       -3.523728      -9.221309            No_Data            
   C        6      2      8            -29.742703                1.205235              -25.047719             0.000001             0.000001               0.000001               0.000001                   0.000000                      0.000001                   3.475734                5.878642              2.819101             2.011302               2.640423              -0.807799              2.957927          1.955300       -3.723799         No_Data        No_Data            No_Data            
   C        6      4      10           -65.569223               -4.187676              -16.969521             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000001                   3.735765                3.614017              2.539819             2.298669               2.446213              -0.241151              2.693081          8.819150       10.099179       22.659590      35.826520          -3.802722            
   C        6      6      12           -92.613085               -9.561430              -12.151292             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.550063                3.671622              2.494938             2.474476               2.484728              -0.020462              2.628805         14.870573       22.623375       17.164751      27.043863          -8.843041            
   C        6      8      14          -109.290681              -14.371337               -7.278425             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.411272                3.340608              2.512433             2.645371               2.589234               0.132938              2.645415         19.924462       33.143703       11.844913      16.677597         -11.000972            
   C        6      10     16          -115.770905              -18.513233               -3.893183             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   3.225135                2.486898              2.539545             2.829693               2.724511               0.290148              2.671178         23.820526       41.249008        6.153865       6.480224         -11.323927            
   C        6      12     18          -119.852708              -22.055863               -2.718223            -0.000006            -0.000007              -0.000007              -0.000003                  -0.000010                     -0.000013                   3.083519                2.395288              2.565722             2.994830               2.858959               0.429108              2.674459         27.154787       48.173406        4.481995       4.081804         -17.030811            
   C        6      14     20          -123.256348              -25.159919               -1.753729            -0.000005            -0.000004              -0.000004              -0.000002                  -0.000007                     -0.000009                   2.917749                2.347585              2.591778             3.150970               2.994198               0.559192              2.699466         30.073741       54.348332        4.073257       3.403640         -23.277046            
   C        6      16     22          -124.511986              -27.776111               -0.309601            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.773705                2.396417              2.623489             3.303476               3.132697               0.679987              2.729926         32.686731       59.855358        2.999820       1.255638         -27.303970            
   C        6      18     24          -121.614469              -29.802138                1.097977            -0.000002             0.000000              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.692738                1.939655              2.662554             3.472032               3.288397               0.809478              2.746433         34.400289       63.427997        0.719278      -2.897517         -28.657842            
   C        6      20     26          -116.631239              -31.259853                1.909009            -0.000001             0.000000               0.000000              -0.000001                   0.000000                     -0.000001                   2.618077                1.661383              2.701201             3.678304               3.477274               0.977103              2.783916         35.495794       65.739892       -0.691097      -4.983231         -30.144766            
   C        6      22     28           -110.66968              -32.197587                2.481957            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000003                     -0.000004                   2.563631                1.368293              2.728067             3.952096               3.723830               1.224030              2.809992         36.035835       66.914898       -1.465942      -5.961559         -31.478333            
   C        6      24     30          -104.144474              -32.764165                2.885307            -0.000001             0.000000              -0.000001              -0.000001                  -0.000003                     -0.000003                   2.526993                1.273579              2.745065             4.236016               3.982731               1.490952              2.805884         36.245048       67.400328       -1.941667      -6.525206         -32.089693            
   C        6      26     32            -97.27482              -33.453733                3.189392            -0.000003            -0.000001              -0.000001              -0.000001                  -0.000006                     -0.000008                   2.491526                1.293058              2.762527             4.446743               4.182931               1.684216              2.822970         36.655898       68.288905       -2.151509      -6.869654         -32.230674            
