Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
72     94     166    -0.004592           -1337.942121        -1337.937529        0.07733        0.279185       0.267005       0.01218        
72     96     168    -0.003112           -1355.484004        -1355.480892        0.076155       0.304237       0.294865       0.009372       
72     130    202    -0.074547           -1548.457142        -1548.382595        0.046743       0.053513       0.054925       -0.001412      
72     132    204    -0.448663           -1553.4014          -1552.952737        0.095428       0.0682         0.088233       -0.020033      
72     134    206    -0.568981           -1557.88887         -1557.319889        0.131282       0.050674       0.124944       -0.07427       
72     136    208    -0.296372           -1562.260965        -1561.964593        0.157291       0.024088       0.160849       -0.136761      
74     96     170    -0.003437           -1362.383798        -1362.380361        0.07493        0.305577       0.296809       0.008768       
74     98     172    -0.00405            -1380.300213        -1380.296163        0.063783       0.314583       0.308824       0.005759       
74     130    204    -0.027867           -1572.956849        -1572.928982        0.026392       0.048397       0.048013       0.000384       
74     132    206    -0.325816           -1578.526752        -1578.200936        0.082111       0.066252       0.0816         -0.015348      
74     134    208    -0.448907           -1583.712429        -1583.263522        0.126866       0.03432        0.111104       -0.076784      
74     136    210    -0.456866           -1588.914267        -1588.457401        0.14821        0.006333       0.142791       -0.136458      
76     96     172    -0.005536           -1367.229144        -1367.223608        0.069496       0.299409       0.291608       0.007801       
76     98     174    -0.001556           -1386.082739        -1386.081183        0.058094       0.306431       0.301382       0.005049       
76     132    208    -0.356645           -1602.180562        -1601.823917        0.075429       0.055366       0.06522        -0.009854      
76     134    210    -0.593006           -1608.090238        -1607.497232        0.117224       0.028676       0.091663       -0.062987      
76     136    212    -0.807724           -1613.977725        -1613.170001        0.13829        0.002907       0.117807       -0.1149        
76     138    214    -0.412423           -1619.291613        -1618.87919         0.139859       -0.024808      0.143132       -0.16794       
78     90     168    -0.004131           -1307.587578        -1307.583447        0.04131        0.147898       0.13351        0.014388       
78     96     174    -0.001844           -1369.809827        -1369.807983        0.065245       0.288612       0.280803       0.007809       
78     100    178    -0.000569           -1408.975673        -1408.975104        0.025804       0.303274       0.302168       0.001106       
78     132    210    -0.421673           -1624.407744        -1623.986071        0.070434       0.039731       0.03394        0.005791       
78     138    216    -0.689383           -1643.339278        -1642.649895        0.128759       -0.015106      -0.093469      0.078363       
78     140    218    -0.438246           -1649.021184        -1648.582938        0.121294       -0.044952      0.212315       -0.257267      
80     92     172    -0.000206           -1328.228159        -1328.227953        0.02993        0.111841       0.102088       0.009753       
80     96     176    -0.001861           -1370.462025        -1370.460164        0.049666       0.273598       0.268566       0.005032       
80     134    214    -0.807903           -1652.649413        -1651.84151         0.089531       0.027178       0.0            0.027178       
80     136    216    -1.120171           -1659.625908        -1658.505737        0.104051       0.016834       -0.035797      0.052631       
80     138    218    -0.713397           -1666.014357        -1665.30096         0.108915       9.2e-05        -0.064712      0.064804       
80     140    220    -0.353456           -1672.196239        -1671.842783        0.101289       -0.028141      -0.073196      0.045055       
80     142    222    -0.188556           -1678.31761         -1678.129054        0.089518       -0.05169       -0.077836      0.026146       
82     92     174    -0.070629           -1326.786209        -1326.71558         0.05166        0.01488        0.00133        0.01355        
82     94     176    -0.057145           -1348.736169        -1348.679024        0.053112       0.023442       0.003756       0.019686       
82     96     178    -0.027908           -1370.296555        -1370.268647        0.042014       0.012255       -0.003135      0.01539        
82     134    216    -0.770481           -1671.890392        -1671.119911        0.08728        0.023962       0.000461       0.023501       
82     136    218    -1.076587           -1679.623987        -1678.5474          0.098098       0.019106       0.000677       0.018429       
82     138    220    -0.990907           -1686.757529        -1685.766622        0.097682       0.007564       0.001202       0.006362       
82     140    222    -0.761423           -1693.561215        -1692.799792        0.091841       -0.014227      -0.026076      0.011849       
82     142    224    -0.583988           -1700.312502        -1699.728514        0.084467       -0.035235      -0.040973      0.005738       
82     144    226    -0.066493           -1706.824444        -1706.757951        0.074511       -0.043796      0.227816       -0.271612      
84     134    218    -0.772869           -1685.086151        -1684.313282        0.095264       0.044395       -0.046484      0.090879       
84     136    220    -0.389634           -1693.531956        -1693.142322        0.103598       0.03428        0.085553       -0.051273      
84     192    276    -0.113327           -1829.063135        -1828.949808        0.044729       0.034389       -0.0           0.034389       
84     194    278    -0.385999           -1828.383345        -1827.997346        0.068917       0.040129       0.04247        -0.002341      
84     196    280    -0.101138           -1827.424106        -1827.322968        0.087334       0.054823       -0.061392      0.116215       
86     192    278    -0.19359            -1861.888962        -1861.695372        0.052635       0.053391       0.0543         -0.000909      
86     194    280    -0.020748           -1861.687337        -1861.666589        0.06291        0.070874       0.081558       -0.010684      
88     136    224    -0.842846           -1720.133819        -1719.290973        0.146841       0.171314       0.167423       0.003891       
88     138    226    -0.096233           -1730.771853        -1730.67562         0.070692       0.190144       0.188287       0.001857       
88     192    280    -0.252763           -1893.2583          -1893.005537        0.055802       0.055625       0.05757        -0.001945      
