 Nrows 
   180 
    Z     N          Q20                 Q30           beta2       beta3
   104   176         42.199146      0.3234232162     0.32306        0.01 
   104   180         56.827129      0.3327298843    0.424882        0.01 
   104   192         50.192484      0.3614419453    0.350264        0.01 
   104   198         45.888274      0.3762435078    0.309694        0.01 
   104   230         48.521172      0.4602015345    0.276862        0.01 
   104   232         49.516056      0.4657294313    0.279741        0.01 
   104   234         50.943544      0.4712903305    0.284973        0.01 
   104   250         79.546887      0.5169656092    0.411965        0.01 
   104   262          0.425521      0.5526081677    0.002085        0.01 
   104   264         74.344044      0.5586641024    0.360919        0.01 
   106   144         32.323431      0.2578310078    0.298901        0.01 
   106   150          33.17919      0.2703554068    0.294923        0.01 
   106   166         33.566778      0.3052059085    0.269694        0.01 
   106   176          38.47212       0.328060049    0.291054        0.01 
   106   200         45.919398       0.386276228    0.303182        0.01 
   106   202         44.713395      0.3913420916    0.292031        0.01 
   106   230         46.491107      0.4657294313    0.262652        0.01 
   106   236         48.691863       0.482511136    0.267089        0.01 
   106   238         50.054867      0.4881710422     0.27191        0.01 
   106   242         53.095525      0.4995898619    0.282923        0.01 
   108   148         32.798792      0.2703554068    0.291542        0.01 
   108   194         56.097785      0.3762435078    0.378597        0.01 
   108   198         52.743487       0.386276228    0.348238        0.01 
   108   200         50.178874      0.3913420916    0.327727        0.01 
   108   202         47.422749      0.3964409576    0.306403        0.01 
   108   244         48.945057      0.5111406911    0.255886        0.01 
   108   248         80.581363      0.5228235297    0.413423        0.01 
   108   252         82.328461      0.5346383778    0.414593        0.01 
   110   156         32.541004      0.2918894526    0.271355        0.01 
   110   164         31.465664      0.3097107319    0.249744        0.01 
   110   174           73.9647      0.3327298843    0.553015        0.01 
   110   190          60.09291      0.3712766512    0.410076        0.01 
   110   196         58.965116       0.386276228    0.389316        0.01 
   110   204         38.013215      0.4067376967    0.240415        0.01 
   110   232         42.156884       0.482511136    0.231243        0.01 
   112   162         30.645523      0.3097107319    0.243235        0.01 
   112   190         64.977244      0.3762435078    0.438523        0.01 
   114   192         10.616291       0.386276228    0.070094        0.01 
   114   198         71.612177       0.401572826    0.457761        0.01 
   114   200         72.494263      0.4067376967    0.458491        0.01 
   114   208         33.884511      0.4277272034    0.205503        0.01 
   114   220         37.953035      0.4602015345     0.21656        0.01 
   114   244         31.104643      0.5287144526    0.158099        0.01 
   116   212         34.535556      0.4438158583    0.203105        0.01 
   116   214         35.488226       0.449244748    0.206603        0.01 
   116   228         35.537594      0.4881710422    0.193049        0.01 
   116   240         30.782908      0.5228235297    0.157932        0.01 
   118   218         36.065219      0.4657294313    0.203751        0.01 
   118   236         29.901471      0.5169656092    0.154857        0.01 
   118   238         28.521578      0.5228235297     0.14633        0.01 
   118   240         27.013409      0.5287144526    0.137304        0.01 
   120   166         75.980852      0.3374327218    0.561483        0.01 
   120   168         76.432497      0.3421685618    0.558299        0.01 
   120   232         29.889908      0.5111406911    0.156265        0.01 
   120   280         15.655092        0.66004738     0.06614        0.01 
   120   294         55.431905      0.7070592546    0.221141        0.01 
   120   298         56.698361      0.7207882401    0.222597        0.01 
   106   190          -0.00118      0.3614419453      -8e-06        0.01 
   106   244         55.068516      0.5053487753    0.290647        0.01 
   106   264          0.797327      0.5647530395    0.003836        0.01 
   112   198          26.70336      0.3964409576    0.172533        0.01 
   120   284         23.970238      0.6733143323    0.099605        0.01 
   120   286         47.486351      0.6799973121    0.195705        0.01 
