Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  Q20_control (b)
94     134    228    -0.038583           -1729.785012        -1729.746429        0.132486       0.202836       0.209882       20.211254      
94     188    282    -0.511864           -1973.599285        -1973.087421        0.084287       0.05824        0.001          0.137247       
94     190    284    -0.913633           -1976.972061        -1976.058428        0.120399       0.100012       0.107359       15.112289      
94     192    286    -0.760272           -1980.314471        -1979.554199        0.142027       0.133196       0.14239        20.476144      
94     194    288    -0.573234           -1983.706784        -1983.13355         0.156759       0.160144       0.168554       24.709161      
94     196    290    -0.2145             -1986.945361        -1986.730861        0.156131       0.183296       0.190164       28.357757      
94     242    336    -0.012972           -1999.721629        -1999.708657        0.039569       0.150613       0.141729       28.078285      
96     128    224    -0.314262           -1683.724441        -1683.410179        0.075209       0.045728       -0.0           -2e-06         
96     130    226    -0.058341           -1700.082134        -1700.023793        0.11294        0.130093       0.145974       13.635386      
96     188    284    -0.702657           -1996.249801        -1995.547144        0.091511       0.052942       0.00102        0.141324       
96     190    286    -0.842485           -2000.024963        -1999.182478        0.123017       0.092171       0.111363       15.823025      
96     192    288    -0.376997           -2003.792172        -2003.415175        0.139808       0.133085       0.148542       21.576145      
96     194    290    -0.09153            -2007.82215         -2007.73062         0.131244       0.16925        0.176107       26.085885      
98     128    226    -0.267807           -1683.200004        -1682.932197        0.068377       0.038226       -0.0           -2e-06         
98     186    284    -0.007757           -2013.426739        -2013.418982        0.018042       0.001366       -0.0           -0.0           
98     188    286    -0.814796           -2017.513238        -2016.698442        0.095164       0.045921       0.001097       0.153223       
98     190    288    -0.760685           -2021.722098        -2020.961413        0.124293       0.081804       0.112075       16.072396      
98     192    290    -0.087832           -2025.909973        -2025.822141        0.127282       0.135623       0.150994       22.142624      
98     262    360    -0.044006           -2064.91131         -2064.867304        0.023793       0.040225       0.039047       8.396884       
100    128    228    -0.159028           -1681.34758         -1681.188552        0.057636       0.029339       0.0            0.0            
100    186    286    -0.106891           -2032.803987        -2032.697096        0.04524        0.006275       -0.0           -0.0           
100    188    288    -0.805001           -2037.354338        -2036.549337        0.09318        0.037067       0.001074       0.151168       
100    190    290    -0.627782           -2042.01823         -2041.390448        0.121041       0.071122       0.109675       15.869391      
100    262    362    -0.110805           -2101.712711        -2101.601906        0.043563       0.038777       0.039009       8.445195       
100    264    364    -0.151138           -2099.310061        -2099.158923        0.063203       0.06677        0.071204       15.888008      
102    128    230    -0.055473           -1678.191563        -1678.13609         0.034948       0.017157       -0.0           -1e-06         
102    186    288    -0.100306           -2050.794398        -2050.694092        0.043906       0.004058       -0.0           -0.0           
102    188    290    -0.645797           -2055.766102        -2055.120305        0.08628        0.027111       -0.0           -1e-06         
102    190    292    -0.391584           -2060.87555         -2060.483966        0.114827       0.062203       0.104753       15.284374      
102    262    364    -0.113061           -2137.374684        -2137.261623        0.041552       0.004832       -0.002186      -0.507301      
104    186    290    -0.030245           -2067.454043        -2067.423798        0.027534       0.000816       -0.0           -1e-06         
104    188    292    -0.399825           -2072.833545        -2072.43372         0.073699       0.016368       -0.0           -4e-06         
104    190    294    -0.112907           -2078.364154        -2078.251247        0.09975        0.060156       0.097962       14.40435       
104    262    366    -0.068996           -2172.06491         -2171.995914        0.036068       0.002488       -0.000202      -0.063972      
106    188    294    -0.155206           -2088.650842        -2088.495636        0.053587       0.006502       -0.000612      -0.088353      
106    190    296    -0.005355           -2094.706983        -2094.701628        0.031544       0.093058       0.089337       13.234033      
108    190    298    -0.005658           -2109.863802        -2109.858144        0.021157       0.083835       0.078022       11.647427      
108    192    300    -0.001731           -2116.998358        -2116.996627        0.02525        0.120937       0.115551       17.597068      
110    166    276    -0.005308           -1998.017966        -1998.012658        0.053588       0.22994        0.221518       29.577321      
110    190    300    -0.008234           -2123.755652        -2123.747418        0.016467       0.069919       0.061899       9.326618       
110    192    302    -0.004              -2131.267049        -2131.263049        0.025898       0.111956       0.104647       16.043338      
110    194    304    0.022918            -2139.061553        -2139.084471        0.13197        0.381989       60.063618      0.0            
110    196    306    0.021556            -2146.800327        -2146.821883        0.122974       0.37308        59.408031      0.0            
110    230    340    -4.2e-05            -2242.304203        -2242.304161        0.017253       0.217955       0.217104       42.354737      
112    192    304    -0.005593           -2144.251099        -2144.245506        0.022667       0.099193       0.091755       14.17841       
112    194    306    -0.002171           -2152.368276        -2152.366105        0.029848       0.127505       0.119237       18.694989      
114    160    274    -0.011077           -1957.801257        -1957.79018         0.066522       0.240071       0.227456       29.872933      
114    164    278    -0.000284           -1989.307626        -1989.307342        0.050924       0.222756       0.213501       28.67348       
114    166    280    -0.001345           -2003.852816        -2003.851471        0.049727       0.213531       0.203757       27.66744       
114    192    306    -0.008599           -2155.925021        -2155.916422        0.022558       0.087491       0.077016       12.021849      
114    194    308    -0.005661           -2164.433326        -2164.427665        0.02956        0.114777       0.104729       16.568679      
116    168    284    -0.027783           -2019.514248        -2019.486465        0.057933       0.191324       0.174258       24.118429      
116    192    308    -0.015693           -2166.085164        -2166.069471        0.020003       0.075043       0.062868       9.869136       
116    194    310    -0.011437           -2175.0223          -2175.010863        0.030392       0.101671       0.089533       14.293188      
116    196    312    -0.008561           -2183.904302        -2183.895741        0.032373       0.120618       0.108888       17.65306       
116    220    336    0.011829            -2276.320657        -2276.332486        0.029985       0.210845       0.207901       39.139049      
116    222    338    -0.00114            -2282.438506        -2282.437366        0.03768        0.209347       0.204571       38.928518      
116    224    340    -0.000782           -2288.303492        -2288.30271         0.034694       0.204967       0.200572       38.555537      
118    194    312    0.044139            -2183.929781        -2183.97392         0.052476       0.088027       86.974668      0.0            
118    196    314    -0.043431           -2193.234738        -2193.191307        0.049531       0.106154       0.093893       15.250587      
118    198    316    -0.014167           -2202.432077        -2202.41791         0.034535       0.123789       0.109596       18.077188      
118    200    318    -0.00992            -2211.505529        -2211.495609        0.037416       0.137269       0.123929       20.745823      
118    202    320    -0.010935           -2220.414825        -2220.40389         0.04011        0.150189       0.138121       23.468096      
118    220    338    -0.001553           -2291.306262        -2291.304709        0.036429       0.209803       0.20517        38.912858      
118    222    340    -0.000814           -2297.920956        -2297.920142        0.036031       0.205108       0.20033        38.403623      
118    270    388    -0.017896           -2381.947956        -2381.93006         0.018923       0.071681       0.071303       17.170142      
118    272    390    -0.027888           -2382.165977        -2382.138089        0.024519       0.090246       0.089571       21.858587      
118    274    392    -0.010035           -2382.379803        -2382.369768        -0.01695       0.104568       0.104182       25.754026      
120    198    318    -0.074668           -2210.518657        -2210.443989        0.076357       0.103718       -0.088968      -14.66759      
120    202    322    0.057022            -2229.341843        -2229.398865        0.038644       0.13892        -69.844879     0.0            
120    218    338    -0.001627           -2297.597648        -2297.596021        0.030365       0.213174       0.210065       39.742436      
120    220    340    -0.001555           -2304.972157        -2304.970602        0.032394       0.209735       0.206086       39.395719      
120    222    342    -0.002012           -2312.031551        -2312.029539        0.03457        0.204392       0.20001        38.641539      
120    270    390    -0.15834            -2407.616155        -2407.457815        0.05119        0.052338       0.046522       11.196085      
120    272    392    -0.205781           -2408.03724         -2407.831459        0.059437       0.075129       0.069659       16.990367      
120    274    394    -0.236563           -2408.551275        -2408.314712        0.063702       0.096187       0.089489       22.112662      
120    276    396    -0.209665           -2409.061665        -2408.852           0.063582       0.112958       0.109169       27.406902      
14     2      16     -0.040608           12.30713            12.347738           -0.0           -0.359522      -0.303244      -1.169178      
84     136    220    -0.254983           -1695.137714        -1694.882731        0.079273       0.088971       0.091613       8.151369       
86     134    220    -0.949872           -1698.530637        -1697.580765        0.123869       0.12485        0.122119       10.913588      
86     136    222    -0.880052           -1708.589775        -1707.709723        0.135448       0.142433       0.142949       13.059482      
86     138    224    -0.559124           -1718.167457        -1717.608333        0.136167       0.157907       0.162116       15.111344      
88     136    224    -1.251062           -1720.488669        -1719.237607        0.162587       0.170027       0.173594       16.16183       
88     138    226    -0.772886           -1731.243767        -1730.470881        0.162041       0.188008       0.19309        18.334415      
90     130    220    -0.966911           -1691.029843        -1690.062932        0.116445       0.107341       0.107984       9.553094       
90     132    222    -1.216401           -1704.685047        -1703.468646        0.144004       0.143479       0.145321       13.199613      
120    194    314    -0.519295           -2191.66753         -2191.148235        7e-05          0.49072        -0.067002      -10.716103     
120    196    316    -1.284347           -2202.178794        -2200.894447        0.002199       0.492151       -0.079403      -12.898546     
120    200    320    -0.06939            -2219.994744        -2219.925354        3.3e-05        -0.375493      0.10601        17.750157      
