Z      N      quad_gs_beta2
56      52      0.084274      2.345234
56      54      0.173556      5.016329
56      56      0.204697      6.113253
56      58      0.239463      7.39448
56      60      0.299444      9.617389
56      62      0.324875      10.784407
56      64      0.317938      10.797563
56      66      0.296265      10.311787
56      68      0.273833      9.742694
56      70      0.252545      9.188649
56      72      0.22701      8.443737
56      74      0.192483      7.312294
56      76      0.150861      5.85139
56      78      0.104852      4.1519
56      80      -0.001445      -0.058383
56      82      -0.000486      -0.020138
56      84      0.06536      2.779182
56      86      0.12932      5.673011
56      88      0.166117      7.421899
56      90      0.189677      8.781457
56      92      0.213797      10.23926
56      94      0.245808      12.085292
56      96      0.267648      13.589257
56      98      0.276535      14.411123
56      100      0.280498      14.985274
56      102      0.279084      15.247356
56      104      0.271496      15.18922
56      106      0.259305      14.822175
56      108      0.24517      14.312235
56      110      0.2298      13.696754
56      112      0.211997      12.897028
56      114      0.190066      11.797223
56      116      0.164543      10.416627
56      118      0.13642      8.804896
56      120      0.109048      7.173481
56      122      0.081122      5.436094
56      124      -0.000238      -0.016235
56      126      -0.001332      -0.092654
56      128      0.068228      4.864781
56      130      0.114324      8.37254
56      132      0.135889      10.20181
56      134      0.149884      11.526285
56      136      0.158351      12.465149
56      138      0.161226      12.983557
