Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
54     96     150    -1203.985634            12.362244      0.0            829       YES            
56     52     108    -835.106429             4.071688       0.0            846       YES            
56     54     110    -863.127006             5.669019       0.0            860       YES            
56     56     112    -889.870699             6.729877       0.0            877       YES            
56     58     114    -915.514401             9.321797       0.0            900       YES            
56     66     122    -1008.666108            10.979853      0.0            918       YES            
56     84     140    -1168.850744            4.216252       0.0            931       YES            
56     86     142    -1180.039782            6.138357       0.0            948       YES            
56     88     144    -1190.384069            7.987321       0.0            965       YES            
56     90     146    -1200.348328            10.085787      0.0            982       YES            
56     92     148    -1210.487573            12.525985      0.0            998       YES            
56     94     150    -1219.980416            13.840684      0.0            1016      YES            
56     96     152    -1228.802262            14.412654      0.0            1033      YES            
56     132    188    -1313.435138            7.958031       0.0            1049      YES            
56     134    190    -1313.099845            9.694307       0.0            1066      YES            
56     136    192    -1312.470705            11.444401      0.0            1083      YES            
56     138    194    -1311.6776              13.474148      0.0            1100      YES            
58     54     112    -856.827638             7.033804       0.0            1118      YES            
58     56     114    -885.751604             9.410659       0.0            1137      YES            
58     58     116    -914.611792             11.089047      0.0            1155      YES            
58     84     142    -1182.262892            4.409667       0.0            1169      YES            
58     86     144    -1194.575972            6.628895       0.0            1186      YES            
58     88     146    -1206.377948            9.572815       0.0            1203      YES            
58     90     148    -1218.918034            12.431982      0.0            1219      YES            
58     92     150    -1231.143292            14.308852      0.0            1237      YES            
58     132    190    -1350.514369            7.63658        0.0            1253      YES            
58     134    192    -1350.819908            9.555312       0.0            1270      YES            
58     136    194    -1350.83046             11.507487      0.0            1287      YES            
58     138    196    -1351.087199            18.380068      0.0            1304      YES            
60     84     144    -1193.914619            4.174847       0.0            1322      YES            
60     86     146    -1207.234013            7.176272       0.0            1339      YES            
60     88     148    -1220.888801            11.328264      0.0            1356      YES            
60     90     150    -1235.613648            14.174829      0.0            1373      YES            
60     130    190    -1384.554659            3.570708       0.0            1389      YES            
60     132    192    -1385.808638            6.236471       0.0            1404      YES            
60     134    194    -1386.636186            8.412408       0.0            1423      YES            
60     136    196    -1387.144287            17.483365      0.0            1442      YES            
62     84     146    -1203.91408             3.501404       0.0            1458      YES            
62     86     148    -1218.349192            8.186798       0.0            1475      YES            
62     88     150    -1233.477712            11.959842      0.0            1492      YES            
62     90     152    -1249.10233             14.983612      0.0            1509      YES            
62     130    192    -1417.521682            0.168457       0.0            1523      YES            
62     132    194    -1419.372212            3.935175       0.0            1540      YES            
62     134    196    -1420.698661            5.747427       0.0            1557      YES            
62     136    198    -1422.523782            18.183654      0.0            1576      YES            
64     84     148    -1212.502047            -2.665566      0.0            1588      YES            
64     86     150    -1227.971652            8.886724       0.0            1611      YES            
64     88     152    -1244.345036            12.037127      0.0            1628      YES            
64     90     154    -1260.840081            14.853389      0.0            1645      YES            
64     130    194    -1448.623056            0.134403       0.0            1659      YES            
64     132    196    -1451.005397            1.817082       0.0            1676      YES            
64     134    198    -1453.135068            -0.483294      0.0            1691      YES            
64     136    200    -1455.79137             17.820124      0.0            1712      YES            
66     66     132    -1004.936933            -10.322453     0.0            1720      YES            
66     130    196    -1477.356445            2.15399        0.0            1744      YES            
66     132    198    -1480.533744            3.71498        0.0            1761      YES            
66     134    200    -1483.43532             -8.249315      0.0            1775      YES            
66     136    202    -1487.205846            16.884782      0.0            1797      YES            
68     130    198    -1504.641564            4.130271       0.0            1812      YES            
68     132    200    -1508.593878            5.932256       0.0            1829      YES            
68     134    202    -1512.323008            12.365207      0.0            1848      YES            
68     190    258    -1542.820221            10.001956      0.0            1865      YES            
70     130    200    -1530.526466            5.167733       0.0            1880      YES            
70     132    202    -1535.30414             7.58405        0.0            1897      YES            
70     134    204    -1539.857047            11.899182      0.0            1914      YES            
70     166    236    -1592.293261            27.417329      0.0            1933      YES            
70     168    238    -1592.558537            26.693925      0.0            1949      YES            
72     132    204    -1560.507993            7.945881       0.0            1965      YES            
72     168    240    -1629.900206            22.342831      0.0            1982      YES            
72     170    242    -1631.000847            21.232711      0.0            1999      YES            
74     170    244    -1667.325853            19.597437      0.0            2016      YES            
76     90     166    -1294.052917            9.361489       0.0            2035      YES            
76     136    212    -1618.541239            11.103904      0.0            2050      YES            
78     134    212    -1633.561515            4.820214       0.0            2067      YES            
78     136    214    -1640.031545            6.755556       0.0            2084      YES            
78     138    216    -1646.529334            -7.913697      0.0            2099      YES            
80     134    214    -1653.961432            0.0            0.0            2117      YES            
80     136    216    -1661.210591            0.0            0.0            2134      YES            
80     138    218    -1667.983349            0.0            0.0            2151      YES            
80     140    220    -1674.801537            -6.74941       0.0            2167      YES            
82     134    216    -1672.47242             0.0            0.0            2185      YES            
82     136    218    -1680.465959            0.0            0.0            2202      YES            
82     138    220    -1687.991979            0.0            0.0            2219      YES            
82     140    222    -1695.169093            0.0            0.0            2236      YES            
82     142    224    -1702.149826            0.0531         0.0            2254      YES            
84     132    216    -1672.089974            0.0            0.0            2270      YES            
84     134    218    -1681.261201            0.0            0.0            2287      YES            
84     136    220    -1690.789557            10.455469      0.0            2307      YES            
84     154    238    -1767.110549            24.382324      0.0            2324      YES            
84     156    240    -1774.051739            24.221838      0.0            2341      YES            
84     158    242    -1780.789227            23.553941      0.0            2358      YES            
84     160    244    -1787.203968            21.810455      0.0            2375      YES            
84     162    246    -1793.437606            18.588059      0.0            2390      YES            
84     194    278    -1856.132719            0.0            0.0            2406      YES            
84     196    280    -1855.646065            0.0            0.0            2423      YES            
84     198    282    -1854.886238            -4.618516      0.0            2437      YES            
86     130    216    -1669.10743             6.135756       0.0            2459      YES            
86     132    218    -1680.134112            9.09149        0.0            2475      YES            
86     134    220    -1691.154541            11.666543      0.0            2492      YES            
86     136    222    -1702.1776              14.018999      0.0            2509      YES            
86     138    224    -1712.985182            15.977766      0.0            2526      YES            
86     140    226    -1723.516018            17.542802      0.0            2543      YES            
86     142    228    -1733.731136            18.885101      0.0            2560      YES            
86     152    238    -1779.026133            23.555353      0.0            2579      YES            
86     154    240    -1786.797485            23.36677       0.0            2596      YES            
86     156    242    -1794.320417            22.931957      0.0            2611      YES            
86     158    244    -1801.686203            22.21032       0.0            2628      YES            
86     160    246    -1808.873166            21.101243      0.0            2645      YES            
86     164    250    -1822.556879            18.294318      0.0            2662      YES            
86     192    278    -1884.592462            0.0            0.0            2678      YES            
86     194    280    -1885.158804            11.91564       0.0            2697      YES            
86     196    282    -1886.102519            17.531791      0.0            2713      YES            
88     128    216    -1662.122429            -0.0           0.0            2729      YES            
88     130    218    -1674.637854            8.332774       0.0            2747      YES            
88     132    220    -1687.122763            11.504601      0.0            2764      YES            
88     134    222    -1699.779146            14.321111      0.0            2781      YES            
88     136    224    -1712.380096            16.877442      0.0            2798      YES            
88     138    226    -1724.480348            18.834318      0.0            2815      YES            
88     140    228    -1736.13453             20.282244      0.0            2832      YES            
88     142    230    -1747.371793            21.515632      0.0            2849      YES            
88     144    232    -1758.139008            22.69951       0.0            2868      YES            
88     154    242    -1804.616011            24.37871       0.0            2885      YES            
88     156    244    -1812.706413            23.866299      0.0            2900      YES            
88     158    246    -1820.689298            23.239539      0.0            2919      YES            
88     160    248    -1828.495069            22.318711      0.0            2936      YES            
88     162    250    -1836.047187            21.130618      0.0            2951      YES            
88     172    260    -1870.378413            -14.255794     0.0            2965      YES            
88     190    278    -1910.814792            0.036838       0.0            2983      YES            
88     192    280    -1911.861515            3.909548       0.0            3003      YES            
88     194    282    -1913.432287            16.754956      0.0            3019      YES            
88     196    284    -1915.449594            20.879755      0.0            3036      YES            
88     198    286    -1917.476247            23.833638      0.0            3053      YES            
88     200    288    -1919.420825            26.261663      0.0            3070      YES            
88     202    290    -1921.161614            28.280112      0.0            3087      YES            
88     204    292    -1922.516696            29.882732      0.0            3104      YES            
90     128    218    -1665.02746             -0.0           0.0            3120      YES            
90     130    220    -1678.709894            10.113791      0.0            3138      YES            
90     132    222    -1692.851927            13.965329      0.0            3155      YES            
90     134    224    -1707.397011            17.122551      0.0            3172      YES            
90     136    226    -1721.621786            19.621516      0.0            3189      YES            
90     138    228    -1734.969091            21.481949      0.0            3206      YES            
90     140    230    -1747.696747            22.905625      0.0            3223      YES            
90     156    246    -1829.500593            25.68643       0.0            3242      YES            
