Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
68     86     154    -1253.376741            -5.821116      0.0            1028      YES            
68     130    198    -1494.519273            3.097743       0.0            1047      YES            
68     132    200    -1497.510966            5.356128       0.0            1064      YES            
68     134    202    -1500.532656            -8.950533      0.0            1078      YES            
68     136    204    -1503.650222            -10.604536     0.0            1095      YES            
68     138    206    -1506.88099             17.567333      0.0            1117      YES            
70     90     160    -1295.390485            11.928999      0.0            1135      YES            
70     92     162    -1313.080852            14.101143      0.0            1152      YES            
70     94     164    -1330.261733            16.036437      0.0            1169      YES            
70     96     166    -1346.827951            17.788188      0.0            1190      YES            
70     130    200    -1522.244761            3.935507       0.0            1200      YES            
70     132    202    -1526.028271            6.580322       0.0            1217      YES            
70     134    204    -1529.574188            10.45307       0.0            1235      YES            
70     136    206    -1533.613233            14.353418      0.0            1252      YES            
72     92     164    -1319.823447            13.224168      0.0            1271      YES            
72     94     166    -1337.937529            15.296883      0.0            1288      YES            
72     96     168    -1355.480892            17.352654      0.0            1305      YES            
72     130    202    -1548.382595            4.17812        0.0            1319      YES            
72     132    204    -1552.952737            6.977726       0.0            1336      YES            
72     134    206    -1557.319889            10.188317      0.0            1354      YES            
72     136    208    -1561.964593            13.437215      0.0            1371      YES            
74     92     166    -1324.607224            12.113684      0.0            1390      YES            
74     94     168    -1343.683109            15.335689      0.0            1406      YES            
74     96     170    -1362.380361            17.76301       0.0            1424      YES            
74     98     172    -1380.296163            18.916511      0.0            1441      YES            
74     130    204    -1572.928982            3.68397        0.0            1455      YES            
74     132    206    -1578.200936            6.504807       0.0            1472      YES            
74     134    208    -1583.263522            9.12308        0.0            1489      YES            
74     136    210    -1588.457401            12.017485      0.0            1507      YES            
76     96     172    -1367.223608            17.770513      0.0            1526      YES            
76     98     174    -1386.081183            18.805017      0.0            1543      YES            
76     132    208    -1601.823917            5.231242       0.0            1557      YES            
76     134    210    -1607.497232            7.579224       0.0            1574      YES            
76     136    212    -1613.170001            9.976113       0.0            1591      YES            
76     138    214    -1618.87919             12.402572      0.0            1609      YES            
78     90     168    -1307.583447            7.551984       0.0            1628      YES            
78     96     174    -1369.807983            17.42959       0.0            1646      YES            
78     100    178    -1408.975104            19.617351      0.0            1661      YES            
78     132    210    -1623.986071            2.733576       0.0            1676      YES            
78     134    212    -1630.235191            5.130055       0.0            1693      YES            
78     136    214    -1636.540126            -7.040413      0.0            1708      YES            
78     138    216    -1642.649895            -8.129072      0.0            1725      YES            
78     140    218    -1648.582938            19.204588      0.0            1748      YES            
80     92     172    -1328.227953            6.009259       0.0            1761      YES            
80     96     176    -1370.460164            16.976225      0.0            1782      YES            
80     132    212    -1645.00302             0.0            0.0            1794      YES            
80     134    214    -1651.84151             3e-06          0.0            1811      YES            
80     136    216    -1658.505737            -3.072302      0.0            1827      YES            
80     138    218    -1665.30096             -5.647155      0.0            1844      YES            
80     140    220    -1671.842783            -6.511245      0.0            1861      YES            
80     142    222    -1678.129054            -7.05138       0.0            1878      YES            
82     92     174    -1326.71558             0.080536       0.0            1897      YES            
82     94     176    -1348.679024            0.231878       0.0            1914      YES            
82     96     178    -1370.268647            -0.19856       0.0            1929      YES            
82     132    214    -1663.504793            -0.0           0.0            1947      YES            
82     134    216    -1671.119911            0.040391       0.0            1965      YES            
82     136    218    -1678.5474              0.060579       0.0            1982      YES            
82     138    220    -1685.766622            0.109315       0.0            1999      YES            
82     140    222    -1692.799792            -2.388545      0.0            2014      YES            
82     142    224    -1699.728514            -3.819089      0.0            2031      YES            
82     144    226    -1706.757951            21.977056      0.0            2053      YES            
84     132    216    -1675.474983            0.195172       0.0            2067      YES            
84     134    218    -1684.313282            -3.971013      0.0            2082      YES            
84     136    220    -1693.142322            7.593977       0.0            2101      YES            
84     192    276    -1828.949808            -0.0           0.0            2117      YES            
84     194    278    -1827.997346            5.804808       0.0            2136      YES            
84     196    280    -1827.322968            -8.574418      0.0            2149      YES            
86     132    218    -1686.704817            6.356737       0.0            2169      YES            
86     134    220    -1697.103903            9.832549       0.0            2186      YES            
86     192    278    -1861.695372            7.329937       0.0            2203      YES            
86     194    280    -1861.666589            11.316749      0.0            2221      YES            
88     132    220    -1696.12069             7.912505       0.0            2237      YES            
88     134    222    -1707.621951            12.212041      0.0            2255      YES            
88     136    224    -1719.290973            15.573799      0.0            2273      YES            
88     138    226    -1730.67562             17.882724      0.0            2290      YES            
88     192    280    -1893.005537            7.837929       0.0            2305      YES            
88     194    282    -1893.634763            11.383351      0.0            2322      YES            
90     130    220    -1692.084356            -0.101411      0.0            2337      YES            
90     132    222    -1703.607919            7.591584       0.0            2356      YES            
90     134    224    -1716.389062            15.029085      0.0            2375      YES            
90     136    226    -1729.674279            18.51608       0.0            2392      YES            
90     138    228    -1742.332994            20.698637      0.0            2409      YES            
90     192    282    -1922.72048             4.046158       0.0            2424      YES            
90     194    284    -1923.734522            8.956773       0.0            2441      YES            
92     130    222    -1697.707734            -0.061343      0.0            2456      YES            
92     132    224    -1709.83974             -0.389775      0.0            2473      YES            
92     134    226    -1724.035068            18.186193      0.0            2494      YES            
92     136    228    -1738.639066            21.144496      0.0            2511      YES            
92     138    230    -1752.437229            22.908493      0.0            2528      YES            
92     192    284    -1951.173256            -0.253076      0.0            2541      YES            
92     194    286    -1952.407499            -5.116091      0.0            2558      YES            
92     196    288    -1953.825619            11.623366      0.0            2577      YES            
94     130    224    -1700.700481            0.109643       0.0            2594      YES            
94     132    226    -1714.053038            -5.446648      0.0            2608      YES            
94     134    228    -1730.15492             21.744543      0.0            2630      YES            
94     136    230    -1745.709541            23.428677      0.0            2647      YES            
94     188    282    -1972.34707             -0.074351      0.0            2660      YES            
94     190    284    -1974.084146            -1e-06         0.0            2678      YES            
94     192    286    -1976.198197            -6.332799      0.0            2694      YES            
94     194    288    -1978.573327            10.965473      0.0            2713      YES            
94     196    290    -1980.926078            13.725063      0.0            2730      YES            
94     198    292    -1983.045943            16.796434      0.0            2747      YES            
96     128    224    -1687.727154            -0.062198      0.0            2762      YES            
96     130    226    -1701.733704            -2.090572      0.0            2778      YES            
96     132    228    -1717.55313             24.648774      0.0            2802      YES            
96     134    230    -1734.545341            24.988543      0.0            2817      YES            
96     186    282    -1991.655291            -0.0           0.0            2831      YES            
96     188    284    -1993.932136            -1e-06         0.0            2848      YES            
96     190    286    -1996.786553            -7.036175      0.0            2864      YES            
96     192    288    -1999.831062            11.479196      0.0            2883      YES            
96     194    290    -2003.232944            14.590291      0.0            2900      YES            
96     196    292    -2006.416563            17.648724      0.0            2917      YES            
96     198    294    -2009.676894            25.8536        0.0            2934      YES            
98     126    224    -1670.751783            -0.0           0.0            2950      YES            
98     128    226    -1686.537701            1e-06          0.0            2967      YES            
98     130    228    -1702.044844            -6.767022      0.0            2982      YES            
98     132    230    -1719.626546            28.332228      0.0            3006      YES            
98     134    232    -1737.240027            27.418389      0.0            3021      YES            
98     186    284    -2011.360594            -1e-06         0.0            3035      YES            
98     188    286    -2014.238666            -4e-06         0.0            3052      YES            
98     190    288    -2018.284997            -9.001665      0.0            3068      YES            
98     192    290    -2022.307828            14.326189      0.0            3087      YES            
98     194    292    -2026.643925            17.754135      0.0            3104      YES            
98     196    294    -2030.808315            22.058038      0.0            3121      YES            
98     198    296    -2034.849008            26.417402      0.0            3138      YES            
98     232    330    -2063.122571            -30.091182     0.0            3150      YES            
98     234    332    -2063.477635            -29.978777     0.0            3167      YES            
98     236    334    -2063.668953            -29.660847     0.0            3184      YES            
98     238    336    -2063.672539            -29.038017     0.0            3202      YES            
98     262    360    -2051.206438            5.106752       0.0            3226      YES            
100    126    226    -1667.414657            -0.0           0.0            3239      YES            
100    128    228    -1684.053529            0.0            0.0            3256      YES            
100    130    230    -1701.256734            -28.38208      0.0            3265      YES            
100    132    232    -1719.809412            31.276294      0.0            3295      YES            
100    134    234    -1738.128531            29.332798      0.0            3310      YES            
100    184    284    -2025.426988            -0.0           0.0            3324      YES            
100    186    286    -2029.845324            -1e-06         0.0            3341      YES            
100    188    288    -2033.62946             -6.063097      0.0            3357      YES            
100    190    290    -2038.304264            -10.076098     0.0            3374      YES            
100    192    292    -2043.396592            16.590623      0.0            3393      YES            
100    194    294    -2048.576111            20.538006      0.0            3410      YES            
100    196    296    -2053.61762             24.48813       0.0            3427      YES            
100    198    298    -2058.387679            27.428457      0.0            3444      YES            
100    234    334    -2095.582844            -31.509579     0.0            3456      YES            
100    236    336    -2096.223622            -31.196085     0.0            3473      YES            
100    238    338    -2096.63297             -30.607105     0.0            3490      YES            
100    240    340    -2096.78214             -29.676456     0.0            3507      YES            
100    242    342    -2096.697743            -28.355001     0.0            3524      YES            
100    250    350    -2095.08777             -18.480285     0.0            3542      YES            
100    260    360    -2091.121219            -0.038802      0.0            3560      YES            
100    262    362    -2087.458996            -0.401086      0.0            3577      YES            
100    264    364    -2084.558332            13.490335      0.0            3600      YES            
102    128    230    -1680.351194            -0.288046      0.0            3612      YES            
102    130    232    -1699.293771            -28.752601     0.0            3622      YES            
102    132    234    -1717.609887            -30.079519     0.0            3639      YES            
102    134    236    -1737.581408            33.329837      0.0            3668      YES            
102    182    284    -2034.468549            -4.2e-05       0.0            3681      YES            
102    184    286    -2042.087094            -1e-06         0.0            3698      YES            
102    186    288    -2047.118857            -2e-06         0.0            3715      YES            
102    188    290    -2051.687196            -6.923159      0.0            3731      YES            
102    190    292    -2056.971705            -10.892002     0.0            3748      YES            
102    192    294    -2062.919767            18.565439      0.0            3767      YES            
102    194    296    -2068.840261            23.314831      0.0            3784      YES            
102    196    298    -2074.651634            26.79556       0.0            3801      YES            
102    214    316    -2113.093435            42.289108      0.0            3820      YES            
102    226    328    -2124.462245            42.897384      0.0            3835      YES            
102    228    330    -2125.30925             42.571708      0.0            3852      YES            
