Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
86     140    226    0.051898            -1727.283481        -1727.231583        0.173002       0.01           -0.004357      YES
86     192    278    0.036415            -1870.398394        -1870.361979        0.083646       0.01           -0.007793      YES
86     194    280    0.067216            -1870.656898        -1870.589682        0.101614       0.01           -0.011486      YES
86     196    282    0.075295            -1870.781426        -1870.706131        0.114905       0.01           -0.012409      YES
86     198    284    0.125892            -1870.781465        -1870.655573        0.126606       0.01           -0.012648      YES
86     200    286    0.128209            -1870.693562        -1870.565353        0.138171       0.01           -0.011939      YES
86     202    288    0.184704            -1870.514268        -1870.329564        0.148388       0.01           -0.013499      YES
88     130    218    0.003344            -1683.89905         -1683.895706        0.084736       0.010002       -0.007286      NO
88     132    220    0.055844            -1696.009168        -1695.953324        0.121862       0.010001       -0.005261      NO
88     134    222    0.051024            -1707.759838        -1707.708814        0.146035       0.010001       -0.005371      NO
88     136    224    0.062961            -1719.237607        -1719.174646        0.16792        0.010001       -0.002107      NO
88     138    226    0.089701            -1730.470881        -1730.38118         0.186149       0.009996       -0.001859      NO
88     140    228    0.082452            -1741.340155        -1741.257703        0.200426       0.01           -0.005916      YES
88     190    278    0.011052            -1898.633919        -1898.622867        0.075217       0.01           -0.014083      YES
88     192    280    0.04638             -1899.766595        -1899.720215        0.100774       0.01           -0.015301      YES
88     194    282    0.05763             -1900.785308        -1900.727678        0.118759       0.01           -0.015556      YES
88     196    284    0.054147            -1901.712036        -1901.657889        0.134023       0.01           -0.014569      YES
88     198    286    0.12089             -1902.593209        -1902.472319        0.149161       0.01           -0.010642      YES
88     200    288    0.198242            -1903.394584        -1903.196342        0.16244        0.01           -0.010035      YES
88     202    290    0.258888            -1904.036993        -1903.778105        0.173142       0.01           -0.013461      YES
88     204    292    0.312134            -1904.472821        -1904.160687        0.181524       0.01           -0.016875      YES
90     130    220    0.062693            -1690.062932        -1690.000239        0.10662        0.01           -0.000721      NO
90     132    222    0.070539            -1703.468646        -1703.398107        0.141923       0.010001       -0.001556      NO
90     134    224    0.083383            -1716.65583         -1716.572447        0.169608       0.010001       0.000612       NO
90     136    226    0.108429            -1729.616172        -1729.507743        0.192911       0.010001       0.003009       NO
90     138    228    0.11478             -1742.139944        -1742.025164        0.209928       0.01           0.00091        YES
90     190    280    0.014944            -1925.812039        -1925.797095        0.086247       0.01           -0.014707      YES
90     192    282    0.014362            -1927.69807         -1927.683708        0.113661       0.01           -0.013176      YES
90     194    284    0.035963            -1929.543532        -1929.507569        0.133752       0.01           -0.01234       YES
90     196    286    0.146831            -1931.430656        -1931.283825        0.152424       0.01           -0.009047      YES
90     198    288    0.261415            -1933.336216        -1933.074801        0.169353       0.01           -0.005992      YES
90     200    290    0.358587            -1935.083138        -1934.724551        0.182451       0.01           -0.008626      YES
92     128    220    -0.000142           -1680.437712        -1680.437854        1.1e-05        0.01           -0.039957      YES
92     130    222    0.060918            -1694.792919        -1694.732001        0.121886       0.010001       0.00605        NO
92     132    224    0.079104            -1709.49279         -1709.413686        0.158601       0.010001       0.002691       NO
92     134    226    0.098131            -1724.078321        -1723.98019         0.188302       0.01           0.003798       NO
92     188    280    0.006846            -1949.314915        -1949.308069        8e-06          0.01           -0.057201      YES
92     190    282    0.024557            -1951.599213        -1951.574656        0.095195       0.01           -0.008254      YES
92     192    284    0.07326             -1954.294389        -1954.221129        0.124962       0.01           -0.006786      YES
92     194    286    0.14794             -1957.041514        -1956.893574        0.147579       0.01           -0.006076      YES
92     196    288    0.247952            -1959.877651        -1959.629699        0.167868       0.01           -0.003802      YES
92     198    290    0.341724            -1962.677409        -1962.335685        0.18406        0.01           -0.005356      YES
94     128    222    -0.002719           -1682.572623        -1682.575342        1e-05          0.01           -0.047492      YES
94     130    224    0.052381            -1698.11944         -1698.067059        0.133714       0.010001       0.012026       NO
94     132    226    0.040819            -1714.011256        -1713.970437        0.173165       0.01           0.003263       NO
94     134    228    0.070458            -1729.746429        -1729.675971        0.202701       0.01           -0.000135      YES
94     188    282    0.00131             -1973.087421        -1973.086111        0.000976       0.01           -0.057264      YES
94     190    284    0.040687            -1976.058428        -1976.017741        0.101796       0.01           0.001784       YES
94     192    286    0.106922            -1979.554199        -1979.447277        0.134167       0.01           0.000971       YES
94     194    288    0.184471            -1983.13355         -1982.949079        0.157989       0.01           -0.002155      YES
94     196    290    0.225861            -1986.730861        -1986.505           0.177456       0.01           -0.00584       YES
94     242    336    0.119885            -1999.708657        -1999.588772        0.127116       0.01           -0.023497      YES
96     128    224    -0.004443           -1683.410179        -1683.414622        9e-06          0.01           -0.045719      YES
96     130    226    0.037921            -1700.023793        -1699.985872        0.142982       0.01           0.012889       YES
96     188    284    -0.005228           -1995.547144        -1995.552372        0.000999       0.01           -0.051943      YES
96     190    286    0.048321            -1999.182478        -1999.134157        0.105914       0.01           0.013743       YES
96     192    288    0.116042            -2003.415175        -2003.299133        0.140411       0.01           0.007326       YES
96     194    290    0.173512            -2007.73062         -2007.557108        0.165375       0.01           -0.003875      YES
98     128    226    -0.005239           -1682.932197        -1682.937436        7e-06          0.01           -0.038219      YES
98     186    284    -0.003786           -2013.418982        -2013.422768        1.1e-05        0.01           -0.001355      YES
98     188    286    -0.009115           -2016.698442        -2016.707557        0.001076       0.01           -0.044845      YES
98     190    288    0.056676            -2020.961413        -2020.904737        0.10702        0.01           0.025216       YES
98     192    290    0.105351            -2025.822141        -2025.71679         0.143042       0.01           0.007419       YES
98     262    360    0.286534            -2064.867304        -2064.58077         0.035628       0.01           -0.004597      YES
100    128    228    -0.004873           -1681.188552        -1681.193425        4e-06          0.01           -0.029335      YES
100    186    286    -0.006227           -2032.697096        -2032.703323        7e-06          0.01           -0.006268      YES
100    188    288    -0.010638           -2036.549337        -2036.559975        0.001055       0.01           -0.036012      YES
100    190    290    0.065796            -2041.390448        -2041.324652        0.10507        0.01           0.033948       YES
100    262    362    0.208086            -2101.601906        -2101.39382         0.03571        0.01           -0.003067      YES
100    264    364    0.316421            -2099.158923        -2098.842502        0.064737       0.01           -0.002033      YES
102    128    230    -0.003337           -1678.13609         -1678.139427        1e-06          0.01           -0.017156      YES
102    186    288    -0.006476           -2050.694092        -2050.700568        2e-06          0.01           -0.004056      YES
102    188    290    -0.014092           -2055.120305        -2055.134397        5e-06          0.01           -0.027106      YES
102    190    292    0.06182             -2060.483966        -2060.422146        0.100683       0.01           0.03848        YES
102    262    364    0.184133            -2137.261623        -2137.07749         -0.001998      0.01           -0.00683       YES
104    186    290    -0.004619           -2067.423798        -2067.428417        -3e-06         0.01           -0.000819      YES
104    188    292    -0.012304           -2072.43372         -2072.446024        -0.0           0.01           -0.016368      YES
104    190    294    0.059136            -2078.251247        -2078.192111        0.094494       0.01           0.034338       YES
104    262    366    0.172307            -2171.995914        -2171.823607        -0.00019       0.01           -0.002678      YES
106    188    294    -0.007788           -2088.495636        -2088.503424        -0.000606      0.01           -0.007108      YES
106    190    296    0.02588             -2094.701628        -2094.675748        0.08649        0.01           -0.006568      YES
108    190    298    0.042494            -2109.858144        -2109.81565         0.075782       0.01           -0.008053      YES
108    192    300    0.048533            -2116.996627        -2116.948094        0.11132        0.01           -0.009617      YES
110    166    276    0.082161            -1998.012658        -1997.930497        0.212256       0.01           -0.017684      YES
110    190    300    -0.042755           -2123.747418        -2123.790173        0.060214       0.01           -0.009705      YES
110    192    302    0.061316            -2131.263049        -2131.201733        0.101209       0.01           -0.010747      YES
110    194    304    0.249977            -2139.084471        -2138.834494        0.338811       0.01           -0.043178      YES
110    196    306    0.242158            -2146.821883        -2146.579725        0.332249       0.01           -0.040831      YES
110    230    340    0.342858            -2242.304161        -2241.961303        0.201893       0.01           -0.016062      YES
112    192    304    0.02283             -2144.245506        -2144.222676        0.088975       0.01           -0.010218      YES
