Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
94     190    284    -1971.110228            63.404511      0.0            521       YES            
94     192    286    -1974.699025            64.455955      0.0            525       YES            
94     194    288    -1977.940756            65.565505      0.0            530       YES            
94     196    290    -1980.944477            66.365723      0.0            534       YES            
94     242    336    -1998.885177            47.304654      0.0            537       YES            
96     128    224    -1679.788702            49.421731      0.0            542       YES            
96     130    226    -1697.128059            51.41038       0.0            546       YES            
96     188    284    -1989.426342            -37.272192     0.0            548       YES            
96     190    286    -1993.988188            -39.483783     0.0            552       YES            
96     192    288    -2003.08576             21.712041      0.0            557       YES            
96     194    290    -2002.517041            -41.608483     0.0            560       YES            
98     128    226    -1680.363222            49.315647      0.0            566       YES            
98     186    284    -2012.563725            -0.981241      0.0            568       YES            
98     188    286    -2016.37084             0.477319       0.0            573       YES            
98     190    288    -2020.657808            16.19123       0.0            577       YES            
98     192    290    -2025.517589            22.316212      0.0            581       YES            
98     262    360    -2063.914007            9.336109       0.0            585       YES            
100    128    228    -1680.657466            30.489273      0.0            590       YES            
100    186    286    -2031.88951             -0.999752      0.0            592       YES            
100    188    288    -2035.750089            -2.75178       0.0            596       YES            
100    190    290    -2040.529103            48.685986      0.0            601       YES            
100    262    362    -2095.068986            68.352052      0.0            605       YES            
100    264    364    -2098.056643            15.9344        0.0            609       YES            
102    128    230    -1677.84255             32.791436      0.0            614       YES            
102    186    288    -2049.926756            -1.008107      0.0            616       YES            
102    188    290    -2054.376274            -2.995007      0.0            620       YES            
102    190    292    -2060.152506            51.988272      0.0            625       YES            
102    262    364    -2131.338008            73.007586      0.0            629       YES            
104    186    290    -2066.693438            -0.997505      0.0            632       YES            
104    188    292    -2071.409186            -3.133491      0.0            635       YES            
104    190    294    -2077.855331            53.64997       0.0            641       YES            
104    262    366    -2166.224122            74.585372      0.0            645       YES            
106    188    294    -2087.818675            -3.037771      0.0            648       YES            
106    190    296    -2094.093784            56.048847      0.0            653       YES            
108    190    298    -2108.98417             58.183833      0.0            657       YES            
108    192    300    -2116.972113            57.393258      0.0            661       YES            
110    166    276    -1994.669582            67.619921      0.0            666       YES            
110    190    300    -2122.784408            -7.550286      0.0            667       YES            
110    192    302    -2130.904196            60.493741      0.0            673       YES            
110    194    304    -2139.084471            60.063618      0.0            20        YES            
110    196    306    -2146.821883            59.408031      0.0            41        YES            
110    230    340    -2242.188604            42.46771       0.0            677       YES            
112    192    304    -2143.279801            64.671797      0.0            682       YES            
112    194    306    -2152.00479             64.199351      0.0            686       YES            
114    160    274    -1953.061029            -25.544106     0.0            688       YES            
114    164    278    -1987.10462             71.029572      0.0            694       YES            
114    166    280    -2003.84547             27.778221      0.0            697       YES            
114    192    306    -2154.340846            73.10725       0.0            702       YES            
114    194    308    -2163.650016            69.360239      0.0            705       YES            
116    168    284    -2018.970527            74.152877      0.0            710       YES            
116    192    308    -2162.57117             -59.786014     0.0            712       YES            
116    194    310    -2172.424845            -60.845309     0.0            716       YES            
116    196    312    -2181.755971            -61.369507     0.0            720       YES            
116    220    336    -2271.938867            -63.87309      0.0            724       YES            
116    222    338    -2277.754446            -65.380122     0.0            728       YES            
116    224    340    -2285.136995            95.288865      0.0            733       YES            
118    194    312    -2183.97392             86.974668      0.0            738       YES            
118    196    314    -2191.978624            -63.752176     0.0            740       YES            
118    198    316    -2201.420228            -64.715342     0.0            744       YES            
118    200    318    -2210.438133            -65.246757     0.0            748       YES            
118    202    320    -2219.283637            -62.174457     0.0            752       YES            
118    220    338    -2288.350384            -66.39951      0.0            756       YES            
118    222    340    -2294.793633            -67.75091      0.0            760       YES            
118    270    388    -2378.485075            -86.210684     0.0            764       YES            
118    272    390    -2379.467737            -86.345431     0.0            768       YES            
118    274    392    -2380.305881            -86.494838     0.0            772       YES            
120    198    318    -2210.356796            -67.098162     0.0            776       YES            
120    202    322    -2229.398865            -69.844879     0.0            780       YES            
120    218    338    -2295.439638            -68.890483     0.0            784       YES            
120    220    340    -2302.757133            -69.747098     0.0            788       YES            
120    222    342    -2309.805748            -70.64957      0.0            792       YES            
120    270    390    -2404.242275            -89.707531     0.0            796       YES            
120    272    392    -2405.545778            -89.980754     0.0            800       YES            
120    274    394    -2406.720037            -90.340666     0.0            804       YES            
120    276    396    -2407.756445            -90.87716      0.0            808       YES            
