Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
60     68     128    0.002435            -1044.734104        -1044.736539        0.078041       0.366107       0.36063        0.005477       
60     86     146    -0.236929           -1208.009687        -1207.772758        0.121647       0.160009       0.155293       0.004716       
60     88     148    -0.353468           -1220.550007        -1220.196539        0.148356       0.208102       0.207055       0.001047       
60     132    192    -0.324481           -1349.209941        -1348.88546         0.091184       0.108016       0.095047       0.012969       
60     134    194    -0.716957           -1348.054542        -1347.337585        0.128099       0.141968       0.133313       0.008655       
60     136    196    -1.032273           -1346.824631        -1345.792358        0.144664       0.167205       0.163482       0.003723       
60     138    198    -0.502372           -1345.395593        -1344.893221        0.149208       0.190655       0.239776       -0.049121      
62     86     148    -0.078828           -1220.516067        -1220.437239        0.106502       0.153224       0.157826       -0.004602      
62     88     150    -0.026721           -1234.464971        -1234.43825         0.076039       0.224619       0.220431       0.004188       
62     132    194    -0.619116           -1386.54397         -1385.924854        0.111331       0.095964       0.073352       0.022612       
62     134    196    -1.046523           -1385.93055         -1384.884027        0.142422       0.131929       0.130776       0.001153       
62     136    198    -1.276636           -1385.355532        -1384.078896        0.15608        0.162287       0.175615       -0.013328      
64     130    194    -0.240247           -1421.165974        -1420.925727        0.061311       0.047713       0.0            0.047713       
64     132    196    -0.87288            -1421.697307        -1420.824427        0.117902       0.081933       0.059302       0.022631       
64     134    198    -1.02355            -1421.687327        -1420.663777        0.150917       0.123905       0.140462       -0.016557      
64     136    200    -0.812158           -1421.8678          -1421.055642        0.158217       0.162178       0.195986       -0.033808      
66     130    196    -0.27184            -1453.135784        -1452.863944        0.070596       0.049463       0.017414       0.032049       
66     132    198    -0.860786           -1454.505193        -1453.644407        0.120973       0.077318       0.082463       -0.005145      
66     134    200    -0.507266           -1455.294703        -1454.787437        0.149653       0.129339       0.150059       -0.02072       
66     136    202    -0.287862           -1456.426464        -1456.138602        0.155308       0.172374       0.192862       -0.020488      
66     168    234    -0.007372           -1445.796368        -1445.788996        0.066634       0.230205       0.219211       0.010994       
66     170    236    -0.024935           -1442.650499        -1442.625564        0.053332       0.206949       0.200585       0.006364       
68     130    198    -0.068391           -1483.095887        -1483.027496        0.041622       0.046195       0.041426       0.004769       
68     132    200    -0.182835           -1485.184964        -1485.002129        0.107877       0.081127       0.110833       -0.029706      
68     134    202    -0.051629           -1487.168015        -1487.116386        0.092829       0.148669       0.15206        -0.003391      
68     162    230    -0.012489           -1497.80557         -1497.793081        0.08268        0.271649       0.265234       0.006415       
68     164    232    -0.01348            -1495.69794         -1495.68446         0.080004       0.257939       0.245306       0.012633       
68     170    238    -0.010221           -1488.526703        -1488.516482        0.064481       0.215701       0.203256       0.012445       
70     86     156    -0.00219            -1254.355925        -1254.353735        0.033036       0.157092       0.149239       0.007853       
70     164    234    -0.016652           -1537.926822        -1537.91017         0.081102       0.2515         0.237082       0.014418       
70     166    236    -0.017725           -1536.561595        -1536.54387         0.076781       0.239912       0.225621       0.014291       
70     168    238    -0.015315           -1534.882047        -1534.866732        0.071534       0.226639       0.212577       0.014062       
70     170    240    -0.016816           -1532.72961         -1532.712794        0.063639       0.208392       0.194978       0.013414       
72     86     158    -0.001629           -1258.553602        -1258.551973        0.029512       0.151979       0.145184       0.006795       
72     166    238    -0.022576           -1577.227169        -1577.204593        0.074332       0.229189       0.213815       0.015374       
72     168    240    -0.01908            -1576.339298        -1576.320218        0.06882        0.215638       0.200585       0.015053       
72     174    246    -0.010272           -1570.995208        -1570.984936        0.040118       0.153257       0.142719       0.010538       
82     140    222    -0.008111           -1681.266115        -1681.258004        0.017639       0.000281       0.0            0.000281       
84     134    218    -0.001144           -1676.441607        -1676.440463        0.026712       0.100871       0.099963       0.000908       
84     156    240    -0.006358           -1752.427361        -1752.421003        0.07499        0.256677       0.243937       0.01274        
84     160    244    -0.019208           -1762.292436        -1762.273228        0.076141       0.238823       0.222873       0.01595        
84     162    246    -0.026695           -1766.533887        -1766.507192        0.07222        0.223559       0.206627       0.016932       
84     196    280    -0.035885           -1792.416943        -1792.381058        0.056921       0.106843       0.104648       0.002195       
86     130    216    -0.043844           -1669.349401        -1669.305557        0.019396       0.077408       0.075772       0.001636       
86     132    218    -0.533476           -1679.961588        -1679.428112        0.102753       0.119574       0.108262       0.011312       
86     134    220    -0.677594           -1689.725931        -1689.048337        0.128804       0.140783       0.130026       0.010757       
86     136    222    -0.574468           -1698.942884        -1698.368416        0.144732       0.159387       0.150365       0.009022       
86     138    224    -0.275123           -1707.889471        -1707.614348        0.1279         0.177657       0.169604       0.008053       
86     140    226    -0.025916           -1716.693578        -1716.667662        0.049943       0.188167       0.186191       0.001976       
86     152    238    -0.001501           -1763.076156        -1763.074655        0.050695       0.247467       0.241358       0.006109       
86     154    240    -0.005211           -1769.195832        -1769.190621        0.065463       0.249042       0.238755       0.010287       
86     156    242    -0.009518           -1775.213184        -1775.203666        0.071811       0.247535       0.234762       0.012773       
86     158    244    -0.011037           -1781.048246        -1781.037209        0.074129       0.241167       0.226425       0.014742       
86     192    278    -0.136328           -1831.180504        -1831.044176        0.073354       0.099017       0.084551       0.014466       
86     194    280    -0.367954           -1829.83274         -1829.464786        0.115438       0.12286        0.11122        0.01164        
86     196    282    -0.364614           -1828.371102        -1828.006488        0.129575       0.139933       0.131909       0.008024       
86     198    284    -0.042943           -1826.75537         -1826.712427        0.063652       0.152226       0.15134        0.000886       
88     130    218    -0.803592           -1677.896045        -1677.092453        0.102117       0.107839       0.093129       0.01471        
88     132    220    -1.59444            -1690.213072        -1688.618632        0.13944        0.140765       0.125389       0.015376       
88     134    222    -1.82366            -1701.514342        -1699.690682        0.167107       0.162781       0.150794       0.011987       
88     136    224    -1.669555           -1712.1923          -1710.522745        0.188186       0.182669       0.174897       0.007772       
88     138    226    -1.18922            -1722.409969        -1721.220749        0.193085       0.202211       0.194097       0.008114       
88     140    228    -0.433573           -1731.981704        -1731.548131        0.156114       0.217252       0.20828        0.008972       
88     142    230    -0.018996           -1741.451073        -1741.432077        0.029485       0.220841       0.22045        0.000391       
88     152    240    -0.000723           -1782.970076        -1782.969353        0.026579       0.242953       0.241246       0.001707       
88     154    242    -0.00315            -1789.745987        -1789.742837        0.060947       0.246215       0.237083       0.009132       
88     156    244    -0.01237            -1796.457856        -1796.445486        0.069637       0.244201       0.231834       0.012367       
88     192    280    -1.01774            -1863.472072        -1862.454332        0.125167       0.117135       0.096342       0.020793       
88     194    282    -1.506621           -1863.297989        -1861.791368        0.146803       0.137353       0.122476       0.014877       
88     196    284    -1.57675            -1862.881214        -1861.304464        0.156194       0.153367       0.145824       0.007543       
88     198    286    -0.901611           -1861.979355        -1861.077744        0.113798       0.170031       0.166258       0.003773       
88     200    288    -0.194958           -1860.998745        -1860.803787        0.065196       0.182497       0.181784       0.000713       
90     118    208    -0.002259           -1585.340726        -1585.338467        0.023009       0.137964       0.132949       0.005015       
90     130    220    -1.256995           -1684.430084        -1683.173089        0.123882       0.117031       0.101865       0.015166       
90     132    222    -1.9245             -1697.921235        -1695.996735        0.159588       0.151707       0.14032        0.011387       
90     134    224    -1.859357           -1710.552411        -1708.693054        0.187741       0.1753         0.173871       0.001429       
90     136    226    -1.191097           -1722.580741        -1721.389644        0.209532       0.196797       0.20219        -0.005393      
90     138    228    -0.636241           -1734.132901        -1733.49666         0.196802       0.212481       0.219419       -0.006938      
90     154    244    -6.8e-05            -1808.636883        -1808.636815        0.045583       0.24753        0.242584       0.004946       
90     156    246    -0.011122           -1816.035335        -1816.024213        0.066429       0.247189       0.236299       0.01089        
90     158    248    -0.015559           -1823.305835        -1823.290276        0.072485       0.241861       0.227829       0.014032       
90     160    250    -0.02258            -1830.330206        -1830.307626        0.073519       0.233181       0.217071       0.01611        
90     190    280    -0.239275           -1893.18            -1892.940725        0.110371       0.089774       -0.0           0.089774       
90     192    282    -1.661327           -1893.784035        -1892.122708        0.143148       0.12226        0.099578       0.022682       
90     194    284    -2.108034           -1894.419253        -1892.311219        0.115378       0.147863       0.132098       0.015765       
90     196    286    -1.913813           -1894.871499        -1892.957686        0.122813       0.167038       0.160857       0.006181       
90     198    288    -1.064605           -1894.849988        -1893.785383        0.126601       0.179857       0.181405       -0.001548      
90     224    314    -0.004709           -1877.047526        -1877.042817        0.107173       0.242921       0.211464       0.031457       
92     130    222    -1.473401           -1689.207741        -1687.73434         0.136064       0.117578       0.107369       0.010209       
92     132    224    -1.853622           -1703.691872        -1701.83825         0.171916       0.156579       0.154154       0.002425       
92     134    226    -1.468669           -1717.630061        -1716.161392        0.201118       0.184949       0.192921       -0.007972      
92     136    228    -0.598345           -1731.032594        -1730.434249        0.222874       0.210331       0.221115       -0.010784      
92     138    230    -0.149602           -1743.959286        -1743.809684        0.192902       0.226388       0.237229       -0.010841      
92     156    248    -0.001773           -1833.926224        -1833.924451        0.04767        0.250741       0.245426       0.005315       
92     158    250    -0.006406           -1841.768944        -1841.762538        0.068481       0.248448       0.236789       0.011659       
92     160    252    -0.017352           -1849.365976        -1849.348624        0.074037       0.241419       0.226406       0.015013       
92     162    254    -0.027141           -1856.388878        -1856.361737        0.074119       0.231292       0.214299       0.016993       
92     190    282    -0.670208           -1921.257022        -1920.586814        0.126297       0.087923       -0.0           0.087923       
92     192    284    -2.02802            -1922.2996          -1920.27158         0.15397        0.120642       0.101165       0.019477       
92     194    286    -2.243337           -1923.60978         -1921.366443        0.120985       0.150004       0.142376       0.007628       
92     196    288    -1.670448           -1924.848038        -1923.17759         0.18255        0.163826       0.173619       -0.009793      
92     198    290    -0.807342           -1925.714468        -1924.907126        0.132425       0.185739       0.192505       -0.006766      
94     130    224    -1.568739           -1692.484703        -1690.915964        0.143035       0.111          0.111525       -0.000525      
94     132    226    -1.369811           -1707.634622        -1706.264811        0.178952       0.156364       0.16532        -0.008956      
94     134    228    -0.856254           -1722.668686        -1721.812432        0.207459       0.194444       0.204436       -0.009992      
94     136    230    -0.402424           -1737.487124        -1737.0847          0.221843       0.226477       0.229755       -0.003278      
94     138    232    -0.437014           -1751.95128         -1751.514266        0.133842       0.24183        0.244089       -0.002259      
94     140    234    -0.091442           -1765.359557        -1765.268115        0.059904       0.254925       0.255024       -9.9e-05       
94     158    252    -0.000207           -1858.661283        -1858.661076        0.038688       0.251334       0.247814       0.00352        
94     160    254    -0.006006           -1866.80196         -1866.795954        0.069762       0.249285       0.237034       0.012251       
94     162    256    -0.017693           -1874.369633        -1874.35194         0.074872       0.239952       0.224134       0.015818       
