Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
94     130    224    -0.446381           -1698.565821        -1698.11944         0.12529        0.121688       12.479023      
94     132    226    -0.309552           -1714.320808        -1714.011256        0.137358       0.169902       16.800351      
94     134    228    -0.038583           -1729.785012        -1729.746429        0.132486       0.202836       20.211254      
94     188    282    -0.511864           -1973.599285        -1973.087421        0.084287       0.05824        0.137247       
94     190    284    -0.913633           -1976.972061        -1976.058428        0.120399       0.100012       15.112289      
94     192    286    -0.760272           -1980.314471        -1979.554199        0.142027       0.133196       20.476144      
94     194    288    -0.573234           -1983.706784        -1983.13355         0.156759       0.160144       24.709161      
94     196    290    -0.2145             -1986.945361        -1986.730861        0.156131       0.183296       28.357757      
94     242    336    -0.012972           -1999.721629        -1999.708657        0.039569       0.150613       28.078285      
96     128    224    -0.314262           -1683.724441        -1683.410179        0.075209       0.045728       -2e-06         
96     130    226    -0.058341           -1700.082134        -1700.023793        0.11294        0.130093       13.635386      
96     188    284    -0.702657           -1996.249801        -1995.547144        0.091511       0.052942       0.141324       
96     190    286    -0.842485           -2000.024963        -1999.182478        0.123017       0.092171       15.823025      
96     192    288    -0.376997           -2003.792172        -2003.415175        0.139808       0.133085       21.576145      
96     194    290    -0.09153            -2007.82215         -2007.73062         0.131244       0.16925        26.085885      
98     128    226    -0.267807           -1683.200004        -1682.932197        0.068377       0.038226       -2e-06         
98     186    284    -0.007757           -2013.426739        -2013.418982        0.018042       0.001366       -0.0           
98     188    286    -0.814796           -2017.513238        -2016.698442        0.095164       0.045921       0.153223       
98     190    288    -0.760685           -2021.722098        -2020.961413        0.124293       0.081804       16.072396      
98     192    290    -0.087832           -2025.909973        -2025.822141        0.127282       0.135623       22.142624      
98     262    360    -0.044006           -2064.91131         -2064.867304        0.023793       0.040225       8.396884       
100    128    228    -0.159028           -1681.34758         -1681.188552        0.057636       0.029339       0.0            
100    186    286    -0.106891           -2032.803987        -2032.697096        0.04524        0.006275       -0.0           
100    188    288    -0.805001           -2037.354338        -2036.549337        0.09318        0.037067       0.151168       
100    190    290    -0.627782           -2042.01823         -2041.390448        0.121041       0.071122       15.869391      
100    262    362    -0.110805           -2101.712711        -2101.601906        0.043563       0.038777       8.445195       
100    264    364    -0.151138           -2099.310061        -2099.158923        0.063203       0.06677        15.888008      
102    128    230    -0.055473           -1678.191563        -1678.13609         0.034948       0.017157       -1e-06         
102    186    288    -0.100306           -2050.794398        -2050.694092        0.043906       0.004058       -0.0           
102    188    290    -0.645797           -2055.766102        -2055.120305        0.08628        0.027111       -1e-06         
102    190    292    -0.391584           -2060.87555         -2060.483966        0.114827       0.062203       15.284374      
102    262    364    -0.113061           -2137.374684        -2137.261623        0.041552       0.004832       -0.507301      
104    186    290    -0.030245           -2067.454043        -2067.423798        0.027534       0.000816       -1e-06         
104    188    292    -0.399825           -2072.833545        -2072.43372         0.073699       0.016368       -4e-06         
104    190    294    -0.112907           -2078.364154        -2078.251247        0.09975        0.060156       14.40435       
104    262    366    -0.068996           -2172.06491         -2171.995914        0.036068       0.002488       -0.063972      
106    188    294    -0.155206           -2088.650842        -2088.495636        0.053587       0.006502       -0.088353      
106    190    296    -0.005355           -2094.706983        -2094.701628        0.031544       0.093058       13.234033      
108    190    298    -0.005658           -2109.863802        -2109.858144        0.021157       0.083835       11.647427      
108    192    300    -0.001731           -2116.998358        -2116.996627        0.02525        0.120937       17.597068      
110    166    276    -0.005308           -1998.017966        -1998.012658        0.053588       0.22994        29.577321      
110    190    300    -0.008234           -2123.755652        -2123.747418        0.016467       0.069919       9.326618       
110    192    302    -0.004              -2131.267049        -2131.263049        0.025898       0.111956       16.043338      
110    194    304    0.022918            -2139.061553        -2139.084471        0.13197        0.381989       60.063618      
110    196    306    0.021556            -2146.800327        -2146.821883        0.122974       0.37308        59.408031      
110    230    340    -4.2e-05            -2242.304203        -2242.304161        0.017253       0.217955       42.354737      
112    192    304    -0.005593           -2144.251099        -2144.245506        0.022667       0.099193       14.17841       
112    194    306    -0.002171           -2152.368276        -2152.366105        0.029848       0.127505       18.694989      
114    160    274    -0.011077           -1957.801257        -1957.79018         0.066522       0.240071       29.872933      
114    164    278    -0.000284           -1989.307626        -1989.307342        0.050924       0.222756       28.67348       
114    166    280    -0.001345           -2003.852816        -2003.851471        0.049727       0.213531       27.66744       
114    192    306    -0.008599           -2155.925021        -2155.916422        0.022558       0.087491       12.021849      
114    194    308    -0.005661           -2164.433326        -2164.427665        0.02956        0.114777       16.568679      
116    168    284    -0.027783           -2019.514248        -2019.486465        0.057933       0.191324       24.118429      
116    192    308    -0.015693           -2166.085164        -2166.069471        0.020003       0.075043       9.869136       
116    194    310    -0.011437           -2175.0223          -2175.010863        0.030392       0.101671       14.293188      
116    196    312    -0.008561           -2183.904302        -2183.895741        0.032373       0.120618       17.65306       
116    220    336    0.011829            -2276.320657        -2276.332486        0.029985       0.210845       39.139049      
116    222    338    -0.00114            -2282.438506        -2282.437366        0.03768        0.209347       38.928518      
116    224    340    -0.000782           -2288.303492        -2288.30271         0.034694       0.204967       38.555537      
118    194    312    -0.054274           -2183.929781        -2183.875507        0.052476       0.088027       -12.016419     
