Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
12     2      14     14.530523               -0.849499      0.010005       1         YES            
12     14     26     -211.283913             -0.43701       0.010001       2         YES            
16     4      20     -19.250429              -0.067187      0.009999       3         YES            
24     36     60     -510.793528             0.584567       0.01           4         YES            
26     24     50     -417.548566             1.688124       0.01           5         YES            
26     34     60     -523.976296             1.375677       0.01           6         YES            
26     36     62     -537.344722             0.983943       0.01           7         YES            
46     36     82     -596.781267             1.937027       0.01           8         YES            
52     72     124    -1050.117364            4.758966       0.01           9         YES            
52     74     126    -1065.744939            3.837733       0.01           10        YES            
56     56     112    -898.272539             6.830874       0.01           11        YES            
56     78     134    -1127.158988            5.01692        0.01           12        YES            
56     90     146    -1198.071613            9.284406       0.01           13        YES            
56     118    174    -1275.967506            9.294635       0.01           14        YES            
58     88     146    -1207.923148            8.495764       0.01           15        YES            
58     90     148    -1218.249944            10.882085      0.01           16        YES            
60     60     120    -949.832083             13.590838      0.01           17        YES            
60     74     134    -1111.109897            9.154494       0.01           18        YES            
60     86     146    -1212.101593            6.559482       0.01           19        YES            
60     88     148    -1224.428119            9.29818        0.01           20        YES            
60     136    196    -1366.563371            9.651517       0.01           21        YES            
60     138    198    -1366.527582            10.805127      0.01           22        NO             
60     140    200    -1366.252125            11.818571      0.01           23        NO             
62     132    194    -1401.816792            5.901304       0.01           183       YES            
62     134    196    -1402.71258             7.39851        0.01           24        YES            
62     136    198    -1403.366773            8.810033       0.01           25        YES            
62     138    200    -1403.81003             -11.151847     0.01           26        YES            
64     132    196    -1435.496914            5.71807        0.01           27        YES            
64     134    198    -1436.954636            -7.088336      0.01           28        YES            
64     136    200    -1438.437445            -10.162563     0.01           29        YES            
66     88     154    -1262.451387            10.847976      0.01           30        YES            
66     132    198    -1467.316016            6.191273       0.01           31        YES            
66     134    200    -1469.531504            -8.484117      0.01           32        YES            
66     136    202    -1471.914007            -11.454123     0.01           33        YES            
68     92     160    -1304.972302            15.48971       0.01           34        YES            
68     132    200    -1497.497971            7.192399       0.01           35        YES            
68     134    202    -1500.488979            11.295208      0.01           184       YES            
70     92     162    -1313.530007            14.102452      0.01           185       YES            
70     136    206    -1533.815693            14.772073      0.01           36        YES            
72     92     164    -1320.489986            12.922982      0.01           186       YES            
72     130    202    -1548.394589            4.405407       0.01           37        YES            
74     96     170    -1362.705814            17.442339      0.01           38        YES            
74     98     172    -1380.677803            19.194736      0.01           39        YES            
74     136    210    -1588.649642            13.417848      0.01           40        YES            
76     98     174    -1386.526479            18.78857       0.01           41        YES            
80     96     176    -1371.246255            16.646286      0.01           42        YES            
86     132    218    -1686.885725            8.903076       0.01           187       YES            
86     134    220    -1697.124935            11.41699       0.01           43        YES            
86     136    222    -1707.132728            13.642421      0.01           44        YES            
88     130    218    -1684.616565            6.096155       0.01           188       YES            
88     132    220    -1696.391051            10.714969      0.01           189       YES            
88     134    222    -1707.926216            13.511637      0.01           190       YES            
88     136    224    -1719.284106            16.178404      0.01           45        YES            
88     138    226    -1730.398734            18.451749      0.01           46        YES            
88     140    228    -1741.103213            20.393225      0.01           47        YES            
88     196    284    -1896.191783            18.308171      0.01           48        YES            
88     198    286    -1896.839184            21.757651      0.01           49        YES            
88     200    288    -1897.530802            25.060828      0.01           50        YES            
88     202    290    -1898.101014            27.751708      0.01           51        YES            
90     130    220    -1691.241875            7.449205       0.010001       191       YES            
90     132    222    -1704.085571            12.204066      0.01           192       YES            
90     134    224    -1717.009841            15.803961      0.01           52        YES            
90     136    226    -1729.92219             18.920265      0.01           53        YES            
90     138    228    -1742.361514            21.178906      0.01           54        YES            
90     194    284    -1924.705577            14.905455      0.01           55        YES            
90     196    286    -1925.919652            20.432058      0.01           56        YES            
