Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
86     156    242    -1775.156187            0.23526        25.554599      0.0            674       YES            
86     158    244    -1780.990088            0.227018       24.996587      0.0            678       YES            
86     192    278    -1821.454739            0.442397       65.692389      0.0            682       YES            
86     194    280    -1821.127732            0.447087       67.379621      0.0            686       YES            
86     196    282    -1820.530451            0.4502         68.903208      0.0            690       YES            
86     198    284    -1819.73118             0.454661       70.72275       0.0            694       YES            
88     130    218    -1675.800826            -0.024579      -2.089718      0.0            697       YES            
88     132    220    -1685.591123            -0.059824      -5.2577        0.0            701       YES            
88     134    222    -1695.29939             -0.082327      -7.4233        0.0            705       YES            
88     136    224    -1701.678896            -0.326493      -31.839249     0.0            708       YES            
88     138    226    -1713.02352             -0.341662      -33.988703     0.0            712       YES            
88     140    228    -1723.680811            -0.34522       -34.943845     0.0            716       YES            
88     142    230    -1741.381113            0.22084        21.80264       0.0            722       YES            
88     152    240    -1782.918437            0.241703       25.847558      0.0            726       YES            
88     154    242    -1789.689145            0.23754        25.765806      0.0            730       YES            
88     156    244    -1796.396202            0.232287       25.533032      0.0            734       YES            
88     192    280    -1854.830329            0.429276       64.03102       0.0            738       YES            
88     194    282    -1855.156021            0.429595       65.011624      0.0            742       YES            
88     196    284    -1855.194862            0.434089       66.704081      0.0            746       YES            
88     198    286    -1855.006313            0.443748       69.296483      0.0            750       YES            
88     200    288    -1854.629051            0.454234       72.177533      0.0            754       YES            
90     118    208    -1580.955755            -0.392495      -34.822655     0.0            756       YES            
90     130    220    -1672.364583            -0.3811        -36.882412     0.0            760       YES            
90     132    222    -1692.420771            -0.068453      -6.154487      0.0            764       YES            
90     134    224    -1700.447447            -0.296531      -28.602809     0.0            768       YES            
90     136    226    -1712.626762            -0.317655      -31.344389     0.0            772       YES            
90     138    228    -1724.661569            -0.335585      -33.778887     0.0            776       YES            
90     154    244    -1808.586997            0.24294        26.664951      0.0            782       YES            
90     156    246    -1815.977479            0.236654       26.3202        0.0            786       YES            
90     158    248    -1823.239892            0.228193       25.696317      0.0            790       YES            
90     160    250    -1830.260914            0.217459       24.783216      0.0            794       YES            
90     190    280    -1884.962288            0.428369       63.474486      0.0            798       YES            
90     192    282    -1886.288481            0.425343       63.860852      0.0            802       YES            
90     194    284    -1887.279749            0.424774       64.679374      0.0            806       YES            
90     196    286    -1887.954546            0.42714        66.018577      0.0            810       YES            
90     198    288    -1888.3374              0.433042       67.988493      0.0            814       YES            
90     224    314    -1876.753994            0.213303       37.273869      0.0            818       YES            
92     130    222    -1683.195776            0.496711       49.833797      0.0            823       YES            
92     132    224    -1698.076572            0.499928       51.062382      0.0            826       YES            
92     134    226    -1709.115999            -0.303889      -29.780998     0.0            828       YES            
92     136    228    -1722.219414            -0.315058      -31.482483     0.0            832       YES            
92     138    230    -1734.888333            -0.324937      -33.076855     0.0            836       YES            
92     156    248    -1833.873837            0.24573        27.638718      0.0            842       YES            
92     158    250    -1841.710924            0.2371         27.002854      0.0            846       YES            
92     160    252    -1849.302315            0.226686       26.131891      0.0            850       YES            
92     162    254    -1856.323136            0.214546       25.004082      0.0            854       YES            
92     190    282    -1913.824825            0.425939       63.570849      0.0            858       YES            
92     192    284    -1915.798606            0.422474       63.872571      0.0            862       YES            
92     194    286    -1917.449148            0.421329       64.586169      0.0            866       YES            
92     196    288    -1918.756888            0.422636       65.733223      0.0            870       YES            
92     198    290    -1919.745582            0.426053       67.259909      0.0            874       YES            
94     130    224    -1688.053044            0.499132       50.837747      0.0            879       YES            
94     132    226    -1706.196761            0.165445       15.577301      0.0            882       YES            
94     134    228    -1716.08519             -0.30735       -30.573839     0.0            884       YES            
94     136    230    -1730.089144            -0.314877      -31.885294     0.0            888       YES            
94     138    232    -1744.322692            0.420493       44.011126      0.0            895       YES            
94     140    234    -1765.225518            0.255101       25.951357      0.0            898       YES            
94     158    252    -1858.610893            0.248045       28.581698      0.0            902       YES            
94     160    254    -1866.754712            0.237214       27.673151      0.0            906       YES            
94     162    256    -1874.315807            0.224293       26.459689      0.0            910       YES            
94     190    284    -1940.819123            0.424655       63.880177      0.0            914       YES            
94     192    286    -1943.491135            0.420658       64.069501      0.0            918       YES            
94     194    288    -1945.858119            0.419143       64.696749      0.0            922       YES            
94     196    290    -1947.857511            0.419787       65.7034        0.0            926       YES            
94     198    292    -1949.515147            0.421729       66.936755      0.0            930       YES            
96     128    224    -1669.518337            -0.436263      -44.88978      0.0            932       YES            
96     130    226    -1686.143757            -0.440844      -46.159646     0.0            936       YES            
96     132    228    -1701.047546            -0.444996      -47.41002      0.0            940       YES            
96     134    230    -1721.101681            -0.307837      -31.076431     0.0            945       YES            
96     136    232    -1736.682608            0.415872       43.424699      0.0            950       YES            
96     162    258    -1890.913384            0.233336       27.872562      0.0            954       YES            
96     164    260    -1898.063449            0.215675       26.085805      0.0            958       YES            
96     174    270    -1934.117954            -0.12489       -15.947507     0.0            961       YES            
96     186    282    -1967.217821            -0.002883      -0.396616      0.0            965       YES            
96     188    284    -1967.988124            -0.005995      -0.819983      0.0            969       YES            
96     190    286    -1966.203517            0.422583       64.078792      0.0            974       YES            
96     192    288    -1969.55685             0.41688        63.941947      0.0            978       YES            
96     194    290    -1972.62986             0.414546       64.390627      0.0            982       YES            
96     196    292    -1975.29963             0.414657       65.266869      0.0            986       YES            
96     198    294    -1977.579905            0.415999       66.344845      0.0            991       YES            
98     126    224    -1654.374677            0.400977       39.337677      0.0            994       YES            
98     128    226    -1669.424201            -0.441212      -46.242011     0.0            996       YES            
98     130    228    -1687.080711            -0.446787      -47.689966     0.0            1000      YES            
98     132    230    -1710.575388            0.17628        17.182973      0.0            1006      YES            
98     162    260    -1906.093446            0.240609       29.135089      0.0            1010      YES            
98     184    282    -1986.048551            -0.001956      -0.279399      0.0            1013      YES            
98     186    284    -1988.246829            -0.002864      -0.397531      0.0            1017      YES            
98     188    286    -1989.650227            -0.006831      -0.943243      0.0            1021      YES            
98     190    288    -1990.095358            0.416763       63.614581      0.0            1026      YES            
98     192    290    -1994.074414            0.40639        62.62611       0.0            1031      YES            
98     194    292    -1997.78392             0.400561       62.405194      0.0            1035      YES            
98     196    294    -2001.053362            0.397961       62.758367      0.0            1039      YES            
98     198    296    -2003.876288            0.397638       63.505441      0.0            1043      YES            
98     262    360    -1971.936075            0.452926       107.08206      0.0            1046      YES            
100    126    226    -1654.438349            0.487377       49.944012      0.0            1051      YES            
100    128    228    -1674.152459            0.494832       51.659939      0.0            1055      YES            
100    130    230    -1691.002444            0.40921        42.043365      0.0            1058      YES            
100    132    232    -1709.31845             0.415552       43.411844      0.0            1062      YES            
100    162    262    -1919.820087            0.245404       30.139082      0.0            1066      YES            
100    168    268    -1942.968395            0.407426       54.196042      0.0            1070      YES            
100    182    282    -1998.434431            -0.027346      -3.534217      0.0            1073      YES            
100    184    284    -2005.096544            -0.001951      -0.280441      0.0            1077      YES            
100    186    286    -2007.936239            -0.002915      -0.407916      0.0            1081      YES            
100    188    288    -2009.96897             -0.008091      -1.127998      0.0            1085      YES            
100    190    290    -2013.226327            0.312635       46.73697       0.0            1090      YES            
100    192    292    -2018.117913            0.313274       47.356496      0.0            1094      YES            
100    194    294    -2022.563154            0.311454       47.579275      0.0            1098      YES            
100    196    296    -2026.694296            0.268237       41.239147      0.0            1102      YES            
100    198    298    -2031.012797            0.242024       37.487007      0.0            1106      YES            
100    258    358    -2019.902051            0.437168       100.730655     0.0            1110      YES            
100    260    360    -2016.435649            0.442457       103.330984     0.0            1114      YES            
100    262    362    -2012.763655            0.446006       105.533529     0.0            1118      YES            
100    264    364    -2008.860798            0.446702       106.999008     0.0            1122      YES            
102    128    230    -1671.447537            0.476932       50.198645      0.0            1127      YES            
102    130    232    -1690.936604            0.486316       52.159617      0.0            1131      YES            
102    136    238    -1746.546745            0.338854       35.938462      0.0            120       YES            
102    182    284    -2015.722928            -0.03251       -4.279422      0.0            1133      YES            
102    184    286    -2018.76129             -0.168213      -23.757248     0.0            1137      YES            
102    186    288    -2023.800063            -0.179413      -25.759918     0.0            1141      YES            
102    188    290    -2028.357443            0.408727       62.452505      0.0            1146      YES            
102    190    292    -2034.072062            0.326905       49.591686      0.0            1150      YES            
102    192    294    -2039.703688            0.321887       49.332245      0.0            1154      YES            
102    194    296    -2044.926124            0.322317       49.936064      0.0            1158      YES            
102    256    358    -2061.673978            0.414678       94.305501      0.0            1162      YES            
102    258    360    -2058.63991             0.421878       97.176568      0.0            1166      YES            
