Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
98     192    290    -2019.196699            0.467008       74.272284      0.0            500       YES            
98     194    292    -2023.275721            0.407853       64.467764      0.0            503       YES            
98     196    294    -2027.450561            -0.272678      -42.484813     0.0            506       YES            
98     198    296    -2031.600754            -0.275629      -43.532052     0.0            510       YES            
98     262    360    -2053.89641             -0.271764      -63.172783     0.0            514       YES            
100    126    226    -1663.013947            0.385483       38.144214      0.0            519       YES            
100    128    228    -1679.938502            -0.446184      -47.598103     0.0            521       YES            
100    130    230    -1701.264855            0.407904       41.807755      0.0            527       YES            
100    132    232    -1719.624389            0.413742       43.119838      0.0            531       YES            
100    184    284    -2018.952565            0.467211       71.014543      0.0            536       YES            
100    186    286    -2024.892292            0.458953       70.512167      0.0            540       YES            
100    188    288    -2030.577249            0.448926       69.669507      0.0            543       YES            
100    190    290    -2035.997336            0.43861        68.728566      0.0            547       YES            
100    192    292    -2040.380803            -0.264712      -40.448888     0.0            550       YES            
100    194    294    -2045.40871             -0.269644      -41.792025     0.0            554       YES            
100    196    296    -2050.279686            -0.273473      -42.971595     0.0            558       YES            
100    198    298    -2054.973256            -0.276473      -44.030863     0.0            562       YES            
100    260    360    -2091.815506            0.443342       106.102119     0.0            568       YES            
100    262    362    -2090.603318            -0.272334      -63.50583      0.0            570       YES            
100    264    364    -2089.409535            -0.27345       -64.519444     0.0            574       YES            
102    128    230    -1677.435514            -0.448567      -48.668509     0.0            577       YES            
102    184    286    -2037.162171            0.445637       67.819233      0.0            584       YES            
102    186    288    -2043.707851            0.435024       66.845779      0.0            588       YES            
102    188    290    -2050.014268            0.418534       64.788824      0.0            591       YES            
102    190    292    -2056.209252            0.372309       57.587402      0.0            595       YES            
102    192    294    -2062.268103            0.342933       53.262986      0.0            599       YES            
102    194    296    -2068.030111            0.299865       46.679077      0.0            603       YES            
102    196    298    -2071.468538            -0.275164      -43.637353     0.0            606       YES            
102    260    362    -2127.732183            0.434818       104.039166     0.0            611       YES            
102    262    364    -2126.540435            0.439759       106.639847     0.0            616       YES            
102    264    366    -2125.334562            0.444507       109.246432     0.0            620       YES            
104    184    288    -2054.069226            0.427595       65.303184      0.0            624       YES            
104    186    290    -2061.28086             0.414626       63.886962      0.0            628       YES            
104    188    292    -2068.330118            0.395486       61.355312      0.0            631       YES            
104    190    294    -2075.259429            0.377417       58.986824      0.0            635       YES            
104    192    296    -2081.920922            0.364455       57.454475      0.0            639       YES            
104    194    298    -2088.174462            0.349942       55.60408       0.0            643       YES            
104    196    300    -2094.094018            0.327133       52.308003      0.0            647       YES            
104    260    364    -2162.427442            0.420215       100.412082     0.0            651       YES            
104    262    366    -2161.60473             0.422747       102.262368     0.0            655       YES            
104    264    368    -2160.673047            0.424923       104.054256     0.0            659       YES            
106    184    290    -2069.606154            0.420712       64.735312      0.0            664       YES            
106    186    292    -2077.468553            0.409183       63.556051      0.0            668       YES            
106    188    294    -2085.162218            0.395483       61.963652      0.0            671       YES            
106    190    296    -2092.674405            0.384193       60.749236      0.0            675       YES            
106    260    366    -2196.179087            0.40286        96.207886      0.0            679       YES            
106    262    368    -2195.640626            0.402087       97.071943      0.0            683       YES            
106    264    370    -2195.014338            0.398587       97.206558      0.0            687       YES            
108    186    294    -2091.949796            0.413905       64.992735      0.0            692       YES            
108    262    370    -2228.420782            0.395028       95.594686      0.0            695       YES            
108    264    372    -2228.12885             0.391819       95.757954      0.0            699       YES            
108    266    374    -2227.746546            0.387509       95.603981      0.0            703       YES            
108    268    376    -2227.265467            0.382518       95.237408      0.0            707       YES            
108    270    378    -2226.678938            0.377144       94.736457      0.0            711       YES            
108    272    380    -2225.977318            0.371463       94.121719      0.0            715       YES            
110    264    374    -2259.267038            0.391373       96.184111      0.0            719       YES            
110    266    376    -2259.237318            0.385769       95.680115      0.0            723       YES            
110    268    378    -2259.107894            0.380276       95.174301      0.0            727       YES            
112    188    300    -2124.94027             0.421905       68.636626      0.0            63        YES            
112    192    304    -2143.105335            0.400917       66.48146       0.0            732       YES            
112    216    328    -2222.23712             0.399103       75.792338      0.0            735       YES            
112    264    376    -2288.87287             0.405499       100.485187     0.0            739       YES            
