Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
92     196    288    -1946.800656            0.436294       68.173178      0.0            773       YES            
92     198    290    -1948.826758            0.442568       70.239741      0.0            777       YES            
94     130    224    -1686.795785            -0.425795      -43.244624     0.0            779       YES            
94     132    226    -1705.378103            -0.296681      -28.816238     0.0            783       YES            
94     134    228    -1720.269143            -0.304362      -30.090265     0.0            787       YES            
94     136    230    -1734.659554            -0.310589      -31.241497     0.0            791       YES            
94     190    284    -1964.873565            0.427721       64.459785      0.0            797       YES            
94     192    286    -1968.356867            0.424064       64.708975      0.0            801       YES            
94     194    288    -1971.510182            0.422912       65.3951        0.0            805       YES            
94     196    290    -1974.364887            0.424421       66.557906      0.0            809       YES            
94     198    292    -1976.954205            0.428524       68.195585      0.0            813       YES            
94     232    326    -1991.571129            0.194007       36.007101      0.0            817       YES            
96     128    224    -1672.316717            -0.434426      -44.392141     0.0            819       YES            
96     130    226    -1694.594127            0.118303       11.00161       0.0            825       YES            
96     132    228    -1709.087763            -0.299263      -29.522257     0.0            828       YES            
96     188    284    -1989.632426            -0.007103      -0.986768      0.0            832       YES            
96     190    286    -1989.047694            0.422634       64.086882      0.0            838       YES            
96     192    288    -1993.160032            0.41316        63.300368      0.0            841       YES            
96     194    290    -1996.939791            0.407869       63.217574      0.0            845       YES            
96     196    292    -2000.39848             0.407062       63.921649      0.0            849       YES            
96     230    326    -2027.62984             0.217751       40.270124      0.0            853       YES            
96     232    328    -2026.868713            0.201763       37.692538      0.0            857       YES            
96     240    336    -2022.183286            -0.14371       -27.905408     0.0            860       YES            
98     128    226    -1672.145214            -0.440176      -45.839263     0.0            863       YES            
98     130    228    -1693.736374            0.409913       41.259085      0.0            869       YES            
98     186    284    -2007.371436            -0.004129      -0.579518      0.0            872       YES            
98     188    286    -2010.344926            -0.00807       -1.128451      0.0            876       YES            
98     190    288    -2011.770305            0.393471       59.580876      0.0            881       YES            
98     192    290    -2018.095987            0.118077       17.189189      0.0            885       YES            
98     194    292    -2022.593933            0.164065       24.360771      0.0            889       YES            
98     196    294    -2027.304172            0.206747       31.235827      0.0            893       YES            
98     230    328    -2061.31008             0.223491       41.624574      0.0            897       YES            
98     234    332    -2060.315374            0.197687       37.556297      0.0            901       YES            
98     238    336    -2058.118343            0.309283       61.380701      0.0            905       YES            
