Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
58     58     116    -0.046394           -914.658186         -914.611792         0.060008       0.340512       0.340856       -0.000344      
58     84     142    -0.119888           -1182.38278         -1182.262892        0.05596        0.108498       0.104625       0.003873       
58     86     144    -0.908436           -1195.484408        -1194.575972        0.170085       0.165388       0.148773       0.016615       
58     88     146    -1.071449           -1207.449397        -1206.377948        0.198153       0.198612       0.208304       -0.009692      
58     90     148    -0.10825            -1219.026284        -1218.918034        0.153947       0.261208       0.26056        0.000648       
58     92     150    -0.000471           -1231.143763        -1231.143292        0.046243       0.294226       0.290896       0.00333        
58     132    190    -0.420449           -1350.934818        -1350.514369        0.10015        0.117854       0.104591       0.013263       
58     134    192    -0.709449           -1351.529357        -1350.819908        0.129206       0.141286       0.127252       0.014034       
58     136    194    -0.899784           -1351.730244        -1350.83046         0.143937       0.160715       0.149014       0.011701       
58     138    196    -0.472192           -1351.559391        -1351.087199        0.146266       0.179948       0.23079        -0.050842      
60     84     144    -0.14809            -1194.062709        -1193.914619        0.066247       0.099672       0.096462       0.00321        
60     86     146    -0.887119           -1208.121132        -1207.234013        0.17081        0.159483       0.157112       0.002371       
60     88     148    -0.374115           -1221.262916        -1220.888801        0.185622       0.216147       0.240304       -0.024157      
60     90     150    -0.000863           -1235.614511        -1235.613648        0.059007       0.295362       0.289839       0.005523       
60     130    190    -0.238236           -1384.792895        -1384.554659        0.058617       0.071426       0.050758       0.020668       
60     132    192    -0.729639           -1386.538277        -1385.808638        0.119529       0.106232       0.084648       0.021584       
60     134    194    -1.05194            -1387.688126        -1386.636186        0.145519       0.128747       0.110716       0.018031       
60     136    196    -1.356482           -1388.500769        -1387.144287        0.161205       0.151139       0.222097       -0.070958      
62     84     146    -0.182503           -1204.096583        -1203.91408         0.085091       0.088215       0.078748       0.009467       
62     86     148    -0.594457           -1218.943649        -1218.349192        0.169405       0.145475       0.175824       -0.030349      
62     88     150    -0.042696           -1233.520408        -1233.477712        0.098656       0.253468       0.246888       0.00658        
62     90     152    -0.000477           -1249.102807        -1249.10233         0.051665       0.302902       0.298992       0.00391        
62     130    192    -0.610137           -1418.131819        -1417.521682        0.079744       0.06223        0.002425       0.059805       
62     132    194    -1.122828           -1420.49504         -1419.372212        0.121241       0.08659        0.053527       0.033063       
62     134    196    -1.491963           -1422.190624        -1420.698661        0.156828       0.10705        0.074599       0.032451       
62     136    198    -0.947587           -1423.471369        -1422.523782        0.175118       0.129207       0.227902       -0.098695      
64     84     148    -0.070887           -1212.572934        -1212.502047        0.078218       0.069505       -0.058786      0.128291       
64     86     150    -0.282503           -1228.254155        -1227.971652        0.160048       0.120831       0.18697        -0.066139      
64     88     152    -9e-05              -1244.345126        -1244.345036        0.052735       0.249552       0.243023       0.006529       
64     90     154    -0.000662           -1260.840743        -1260.840081        0.050008       0.294871       0.290914       0.003957       
64     130    194    -0.701135           -1449.324191        -1448.623056        0.094022       0.053381       0.001873       0.051508       
64     132    196    -1.479284           -1452.484681        -1451.005397        0.131049       0.073232       0.024428       0.048804       
64     134    198    -1.794802           -1454.92987         -1453.135068        0.156309       0.084509       -0.006136      0.090645       
64     136    200    -1.076268           -1456.867638        -1455.79137         0.177099       0.09758        0.221247       -0.123667      
66     66     132    -0.021643           -1004.958576        -1004.936933        0.018375       -0.257558      -0.258007      0.000449       
66     130    196    -0.636256           -1477.992701        -1477.356445        0.09715        0.054737       0.029704       0.025033       
66     132    198    -1.536596           -1482.07034         -1480.533744        0.136811       0.072934       0.049055       0.023879       
66     134    200    -1.960287           -1485.395607        -1483.43532         0.162514       0.080364       -0.104753      0.185117       
66     136    202    -0.929835           -1488.135681        -1487.205846        0.182132       0.08765        0.207471       -0.119821      
68     130    198    -0.231943           -1504.873507        -1504.641564        0.080958       0.060171       0.05598        0.004191       
68     132    200    -0.963353           -1509.557231        -1508.593878        0.126935       0.075902       0.076891       -0.000989      
68     134    202    -1.169948           -1513.492956        -1512.323008        0.155972       0.078367       0.154693       -0.076326      
68     190    258    -0.004736           -1542.824957        -1542.820221        0.032332       0.079549       0.079718       -0.000169      
70     130    200    -0.005294           -1530.53176         -1530.526466        0.041247       0.068503       0.069045       -0.000542      
70     132    202    -0.338283           -1535.642423        -1535.30414         0.100725       0.083141       0.096818       -0.013677      
70     134    204    -0.197106           -1540.054153        -1539.857047        0.148686       0.082102       0.147291       -0.065189      
70     166    236    -0.009044           -1592.302305        -1592.293261        0.08439        0.260637       0.251435       0.009202       
70     168    238    -0.016114           -1592.574651        -1592.558537        0.081029       0.250577       0.241022       0.009555       
72     132    204    -0.054284           -1560.562277        -1560.507993        0.051495       0.097009       0.100532       -0.003523      
72     168    240    -0.011525           -1629.911731        -1629.900206        0.065925       0.214969       0.201111       0.013858       
72     170    242    -0.01046            -1631.011307        -1631.000847        0.060014       0.201587       0.188353       0.013234       
74     170    244    -0.010014           -1667.335867        -1667.325853        0.054773       0.187201       0.173768       0.013433       
76     90     166    -0.000207           -1294.053124        -1294.052917        0.021352       0.170169       0.167658       0.002511       
76     136    212    -0.347198           -1618.888437        -1618.541239        0.136769       -0.006373      0.131234       -0.137607      
78     134    212    -0.143734           -1633.705249        -1633.561515        0.079568       0.022556       0.058278       -0.035722      
78     136    214    -0.830262           -1640.861807        -1640.031545        0.118193       0.000607       0.079215       -0.078608      
78     138    216    -0.741406           -1647.27074         -1646.529334        0.13307        -0.023281      -0.091015      0.067734       
80     134    214    -0.091304           -1654.052736        -1653.961432        0.047804       0.008893       0.0            0.008893       
80     136    216    -0.397087           -1661.607678        -1661.210591        0.082049       0.005906       0.0            0.005906       
