Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
102    192    294    -2059.365044            52.938614      0.0            2652      YES            
102    194    296    -2065.147045            50.287572      0.0            2669      YES            
102    232    334    -2125.184813            42.345908      0.0            2679      YES            
102    234    336    -2125.269338            41.083819      0.0            2696      YES            
102    236    338    -2125.149966            39.222149      0.0            2715      YES            
102    260    362    -2123.466717            0.111691       0.0            2727      YES            
102    262    364    -2119.989839            0.125786       0.0            2744      YES            
102    264    366    -2116.559511            8.930317       0.0            2767      YES            
104    134    238    -1726.241407            -32.040664     0.0            2772      YES            
104    136    240    -1744.881562            -33.086211     0.0            2789      YES            
104    170    274    -1989.142185            26.040648      0.0            2817      YES            
104    184    288    -2054.546575            0.0            0.0            2831      YES            
104    186    290    -2060.443532            1e-06          0.0            2848      YES            
104    188    292    -2065.272504            1e-06          0.0            2865      YES            
104    190    294    -2070.666811            12.638933      0.0            2883      YES            
104    192    296    -2076.966397            19.429569      0.0            2900      YES            
104    198    302    -2096.526255            49.115283      0.0            2917      YES            
104    234    338    -2155.554972            41.939066      0.0            2934      YES            
104    260    364    -2157.71612             0.162222       0.0            2948      YES            
104    262    366    -2154.606958            0.300136       0.0            2965      YES            
104    264    368    -2151.444239            0.610835       0.0            2982      YES            
106    164    270    -1968.151373            31.2579        0.0            3009      YES            
106    186    292    -2075.281321            1e-06          0.0            3018      YES            
106    188    294    -2080.73362             0.0            0.0            3035      YES            
106    190    296    -2086.676099            12.219599      0.0            3053      YES            
106    192    298    -2093.487831            19.317073      0.0            3070      YES            
106    198    304    -2115.366739            54.231282      0.0            3094      YES            
106    200    306    -2121.293354            51.448337      0.0            3111      YES            
106    262    368    -2188.110908            0.381737       0.0            3118      YES            
106    264    370    -2185.311333            0.924171       0.0            3135      YES            
108    158    266    -1934.568487            32.601896      0.0            3162      YES            
108    164    272    -1975.037707            31.015844      0.0            3179      YES            
108    170    278    -2008.894789            27.328017      0.0            3191      YES            
108    188    296    -2094.942467            1e-06          0.0            3205      YES            
108    190    298    -2101.349542            11.173708      0.0            3223      YES            
108    192    300    -2108.624499            18.386143      0.0            3240      YES            
108    262    370    -2220.489592            0.382754       0.0            3254      YES            
108    264    372    -2218.07218             0.955278       0.0            3271      YES            
108    266    374    -2216.031488            16.107995      0.0            3293      YES            
108    268    376    -2214.454734            22.944901      0.0            3310      YES            
108    270    378    -2213.140813            28.474656      0.0            3327      YES            
108    272    380    -2212.004518            33.632336      0.0            3345      YES            
110    166    276    -1991.938608            29.536125      0.0            3366      YES            
110    168    278    -2004.098173            28.376309      0.0            3382      YES            
110    188    298    -2107.894483            -0.012138      0.0            3391      YES            
110    190    300    -2114.741365            9.440952       0.0            3410      YES            
110    192    302    -2122.42449             16.771746      0.0            3427      YES            
110    198    308    -2143.993584            -38.612179     0.0            3438      YES            
110    228    338    -2229.053172            41.267846      0.0            3468      YES            
110    264    374    -2249.712191            0.846138       0.0            3475      YES            
110    266    376    -2247.814086            11.90735       0.0            3492      YES            
110    268    378    -2246.508067            21.307447      0.0            3514      YES            
110    270    380    -2245.462642            26.941664      0.0            3531      YES            
110    272    382    -2244.597035            32.142023      0.0            3549      YES            
110    274    384    -2243.837732            37.176261      0.0            3566      YES            
110    276    386    -2243.146892            44.300217      0.0            3580      YES            
112    160    272    -1952.222998            30.521893      0.0            3604      YES            
112    162    274    -1967.758604            30.132892      0.0            3621      YES            
112    164    276    -1982.067147            29.49244       0.0            3638      YES            
112    168    280    -2008.6367              27.183079      0.0            3648      YES            
112    190    302    -2126.874244            6.611654       0.0            3665      YES            
112    192    304    -2134.91424             14.710164      0.0            3682      YES            
112    194    306    -2143.211976            19.694841      0.0            3699      YES            
112    236    348    -2263.329644            35.908563      0.0            3720      YES            
112    266    378    -2278.53788             3.307246       0.0            3730      YES            
112    268    380    -2277.427196            18.924755      0.0            3752      YES            
112    270    382    -2276.611096            24.777143      0.0            3769      YES            
112    272    384    -2275.971885            29.997368      0.0            3787      YES            
112    274    386    -2275.455048            35.382078      0.0            3804      YES            
112    276    388    -2275.130633            44.310672      0.0            3821      YES            
112    278    390    -2274.812581            49.712923      0.0            3835      YES            
112    280    392    -2274.312042            51.998536      0.0            3852      YES            
112    282    394    -2273.62825             54.016793      0.0            3869      YES            
112    284    396    -2272.787954            55.887021      0.0            3886      YES            
112    286    398    -2271.792721            57.547831      0.0            3903      YES            
114    154    268    -1899.208793            30.960996      0.0            3927      YES            
114    164    278    -1983.452839            28.214787      0.0            3937      YES            
114    192    306    -2146.105327            12.298366      0.0            3954      YES            
114    194    308    -2154.726931            16.956395      0.0            3971      YES            
114    196    310    -2163.362965            20.758762      0.0            3988      YES            
114    198    312    -2171.921892            24.389017      0.0            4005      YES            
114    200    314    -2178.982452            -41.675743     0.0            4015      YES            
114    202    316    -2186.776846            -43.86071      0.0            4032      YES            
114    224    338    -2261.909461            40.057567      0.0            4063      YES            
114    266    380    -2308.257251            1.664267       0.0            4069      YES            
114    268    382    -2307.215172            15.327314      0.0            4092      YES            
114    270    384    -2306.603085            21.927424      0.0            4109      YES            
114    272    386    -2306.160411            27.349746      0.0            4127      YES            
114    276    390    -2305.881163            43.642087      0.0            4144      YES            
114    278    392    -2305.860959            48.599397      0.0            4161      YES            
114    280    394    -2305.676581            51.653259      0.0            4178      YES            
114    282    396    -2305.356444            54.540842      0.0            4192      YES            
114    284    398    -2304.893314            56.420779      0.0            4209      YES            
114    286    400    -2304.290255            58.048399      0.0            4226      YES            
114    288    402    -2303.521184            59.402328      0.0            4243      YES            
114    290    404    -2302.537558            60.49365       0.0            4260      YES            
114    292    406    -2301.318463            61.363544      0.0            4277      YES            
114    294    408    -2299.873937            62.059294      0.0            4294      YES            
114    296    410    -2298.247399            62.614332      0.0            4311      YES            
116    192    308    -2155.971422            -9.494271      0.0            4323      YES            
116    194    310    -2164.921616            -21.653565     0.0            4340      YES            
116    196    312    -2173.881123            17.801388      0.0            4362      YES            
116    266    382    -2336.673799            1.06524        0.0            4375      YES            
116    268    384    -2335.893355            8.329446       0.0            4392      YES            
116    270    386    -2335.406726            18.009093      0.0            4415      YES            
116    272    388    -2335.421086            -85.028816     0.0            4422      YES            
116    276    392    -2335.432493            41.482223      0.0            4450      YES            
116    278    394    -2335.692014            46.737199      0.0            4467      YES            
116    280    396    -2335.817091            50.640479      0.0            4484      YES            
116    282    398    -2335.816353            53.558754      0.0            4501      YES            
116    284    400    -2335.695953            56.139373      0.0            4515      YES            
