Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
4      4      8      0.013336            -55.534939          -55.548275          0.074351       0.134812       0.000773       0.134039       
6      4      10     0.012527            -64.954158          -64.966685          0.074613       0.134238       0.000798       0.13344        
12     2      14     -0.020611           -0.114478           -0.093867           0.249283       0.156202       -0.027555      0.183757       
14     2      16     -0.034617           12.313121           12.347738           0.070535       -0.341243      -0.303244      -0.037999      
14     16     30     0.008956            -258.014301         -258.023257         0.101138       0.204305       2e-06          0.204303       
14     24     38     -8.8e-05            -303.068237         -303.068149         0.015265       0.158405       0.15721        0.001195       
46     58     104    -0.001015           -892.995874         -892.994859         0.025105       0.119877       0.11428        0.005597       
50     62     112    -0.002545           -953.653154         -953.650609         0.013513       0.077821       0.071936       0.005885       
52     60     112    -0.000695           -941.133876         -941.133181         0.024725       0.126942       0.119755       0.007187       
52     62     114    -0.000307           -961.232452         -961.232145         0.023181       0.127543       0.121369       0.006174       
52     64     116    -0.001975           -980.678008         -980.676033         0.027833       -0.121184      -0.13121       0.010026       
52     68     120    -0.001232           -1017.128098        -1017.126866        0.024278       -0.102748      -0.112178      0.00943        
56     64     120    0.008676            -993.146912         -993.155588         0.155486       0.347926       0.317938       0.029988       
56     88     144    -0.037324           -1189.774133        -1189.736809        0.024474       0.167567       0.166117       0.00145        
56     90     146    -0.075406           -1199.039087        -1198.963681        0.105965       0.200858       0.189677       0.011181       
56     94     150    -8.2e-05            -1215.922526        -1215.922444        0.017307       0.246563       0.245808       0.000755       
56     102    158    -0.001498           -1244.693834        -1244.692336        0.042605       0.282244       0.279084       0.00316        
58     92     150    0.003565            -1229.250346        -1229.253911        0.082745       0.284798       0.272466       0.012332       
58     94     152    0.000485            -1239.329558        -1239.330043        0.08762        0.306184       0.294844       0.01134        
58     96     154    -0.000909           -1248.686769        -1248.68586         0.085592       0.314275       0.303888       0.010387       
58     98     156    -0.002528           -1257.444394        -1257.441866        0.08276        0.317849       0.308546       0.009303       
58     100    158    -0.001253           -1265.522551        -1265.521298        0.077766       0.319062       0.311014       0.008048       
58     112    170    -0.000488           -1301.374304        -1301.373816        0.063023       0.262964       0.254984       0.00798        
58     114    172    -0.002009           -1305.964862        -1305.962853        0.056775       0.237357       0.229004       0.008353       
60     90     150    -0.001452           -1236.669144        -1236.667692        0.080782       0.277228       0.264821       0.012407       
60     92     152    0.000768            -1249.053136        -1249.053904        0.089388       0.313657       0.302476       0.011181       
60     94     154    -0.00058            -1260.541009        -1260.540429        0.085748       0.326747       0.317228       0.009519       
60     96     156    -0.001183           -1271.165705        -1271.164522        0.080945       0.332634       0.324633       0.008001       
60     98     158    -0.000711           -1281.119228        -1281.118517        0.077084       0.335497       0.328452       0.007045       
60     100    160    -0.000729           -1290.350039        -1290.34931         0.072281       0.336996       0.330937       0.006059       
60     106    166    -0.001067           -1313.493045        -1313.491978        0.064134       0.343431       0.339003       0.004428       
60     116    176    -0.002257           -1341.527329        -1341.525072        0.055819       0.25058        0.243742       0.006838       
62     90     152    -0.00182            -1252.463324        -1252.461504        0.084532       0.296944       0.284754       0.01219        
62     96     158    -0.000528           -1290.744951        -1290.744423        0.069859       0.338812       0.333159       0.005653       
62     98     160    -0.000395           -1301.91215         -1301.911755        0.063452       0.341108       0.336556       0.004552       
62     100    162    -0.001164           -1312.345734        -1312.34457         0.057676       0.342326       0.33863        0.003696       
62     114    176    -4.7e-05            -1365.545599        -1365.545552        0.03267        0.301842       0.300265       0.001577       
62     118    180    -0.000784           -1376.337158        -1376.336374        0.048626       0.228738       0.221617       0.007121       
62     122    184    -0.002487           -1387.850423        -1387.847936        0.013322       0.069366       0.061569       0.007797       
62     134    196    -2.9e-05            -1406.676792        -1406.676763        0.01015        0.166361       0.165847       0.000514       
64     90     154    -0.003647           -1265.929846        -1265.926199        0.076105       0.291479       0.281217       0.010262       
64     92     156    -0.001022           -1280.685616        -1280.684594        0.075868       0.319282       0.311387       0.007895       
64     94     158    -0.000423           -1294.626766        -1294.626343        0.067356       0.329637       0.323985       0.005652       
64     98     162    -4.2e-05            -1320.130777        -1320.130735        0.044214       0.33593        0.333647       0.002283       
66     86     152    -0.006703           -1244.256743        -1244.25004         0.055658       0.187833       0.171515       0.016318       
66     90     156    -0.000851           -1277.318569        -1277.317718        0.058434       0.273562       0.266544       0.007018       
66     92     158    -0.001977           -1293.094611        -1293.092634        0.066351       0.30448        0.297653       0.006827       
66     94     160    -0.001256           -1308.174174        -1308.172918        0.058776       0.318447       0.31375        0.004697       
68     86     154    -0.008054           -1251.647031        -1251.638977        0.050923       0.178916       0.163718       0.015198       
68     90     158    -3.2e-05            -1286.756424        -1286.756392        0.023621       0.250787       0.249406       0.001381       
68     96     164    -3.4e-05            -1335.166856        -1335.166822        0.028758       0.312364       0.311198       0.001166       
70     86     156    -0.008891           -1257.286698        -1257.277807        0.044943       0.16589        0.151425       0.014465       
70     94     164    -5.1e-05            -1329.07136         -1329.071309        0.022283       0.281149       0.280222       0.000927       
72     86     158    -0.004351           -1261.19694         -1261.192589        0.037128       0.148607       0.135967       0.01264        
72     88     160    -0.001615           -1280.951105        -1280.94949         0.047654       0.191564       0.180634       0.01093        
72     132    204    -0.001897           -1556.561417        -1556.55952         0.018551       0.11539        0.110749       0.004641       
74     86     160    -0.002157           -1263.398797        -1263.39664         0.025319       0.124045       0.115425       0.00862        
74     88     162    -0.001863           -1283.991458        -1283.989595        0.039885       0.169587       0.159291       0.010296       
74     94     168    -0.000569           -1342.002364        -1342.001795        0.025097       0.226789       0.224913       0.001876       
76     88     164    -0.000455           -1285.306654        -1285.306199        0.029772       0.141821       0.13328        0.008541       
76     92     168    -0.00132            -1326.251392        -1326.250072        0.032943       0.182611       0.177095       0.005516       
76     94     170    -0.000265           -1345.829022        -1345.828757        0.029531       0.197433       0.193799       0.003634       
76     134    210    -0.002602           -1611.430579        -1611.427977        0.010648       0.113299       0.111812       0.001487       
78     90     168    -0.000395           -1306.643851        -1306.643456        0.021369       0.130638       0.125664       0.004974       
78     92     170    -0.002854           -1327.611591        -1327.608737        0.024296       0.148665       0.143964       0.004701       
78     94     172    -0.001084           -1347.982338        -1347.981254        0.024837       0.162577       0.15858        0.003997       
78     96     174    -0.000854           -1367.818901        -1367.818047        0.021094       0.17497        0.172572       0.002398       
84     136    220    -0.254983           -1695.137714        -1694.882731        0.079273       0.088971       0.091613       -0.002642      
84     138    222    -0.124803           -1703.618923        -1703.49412         0.080999       0.109825       0.113082       -0.003257      
86     132    218    -0.8654             -1687.991099        -1687.125699        0.106444       0.099855       0.095919       0.003936       
86     134    220    -0.949872           -1698.530637        -1697.580765        0.123869       0.12485        0.122119       0.002731       
86     136    222    -0.880052           -1708.589775        -1707.709723        0.135448       0.142433       0.142949       -0.000516      
86     138    224    -0.559124           -1718.167457        -1717.608333        0.136167       0.157907       0.162116       -0.004209      
86     140    226    -0.170313           -1727.453794        -1727.283481        0.082867       0.177359       0.179651       -0.002292      
86     192    278    -0.050924           -1870.449318        -1870.398394        0.046307       0.091439       0.088731       0.002708       
86     194    280    -0.183309           -1870.840207        -1870.656898        0.067222       0.1131         0.1086         0.0045         
86     196    282    -0.251477           -1871.032903        -1870.781426        0.082305       0.127314       0.123581       0.003733       
86     198    284    -0.222162           -1871.003627        -1870.781465        0.086634       0.139254       0.136889       0.002365       
86     200    286    -0.115977           -1870.809539        -1870.693562        0.075669       0.15011        0.150142       -3.2e-05       
86     202    288    -0.035153           -1870.549421        -1870.514268        0.046995       0.161887       0.161927       -4e-05         
88     130    218    -0.912207           -1684.811257        -1683.89905         0.102199       0.092022       0.08528        0.006742       
88     132    220    -1.244788           -1697.253956        -1696.009168        0.130946       0.127123       0.124364       0.002759       
88     134    222    -1.414752           -1709.17459         -1707.759838        0.149834       0.151406       0.150217       0.001189       
88     136    224    -1.251062           -1720.488669        -1719.237607        0.162587       0.170027       0.173594       -0.003567      
88     138    226    -0.772886           -1731.243767        -1730.470881        0.162041       0.188008       0.19309        -0.005082      
88     140    228    -0.286217           -1741.626372        -1741.340155        0.091859       0.206342       0.208771       -0.002429      
88     190    278    -0.332321           -1898.96624         -1898.633919        0.072633       0.0893         0.079217       0.010083       
88     192    280    -0.659741           -1900.426336        -1899.766595        0.105981       0.116075       0.107137       0.008938       
88     194    282    -0.919184           -1901.704492        -1900.785308        0.126324       0.134315       0.127192       0.007123       
88     196    284    -0.982261           -1902.694297        -1901.712036        0.139364       0.148592       0.144357       0.004235       
88     198    286    -0.790037           -1903.383246        -1902.593209        0.118456       0.159803       0.161421       -0.001618      
88     200    288    -0.455525           -1903.850109        -1903.394584        0.109466       0.172475       0.176404       -0.003929      
88     202    290    -0.190071           -1904.227064        -1904.036993        0.087275       0.186603       0.188688       -0.002085      
88     204    292    -0.068845           -1904.541666        -1904.472821        0.055909       0.198399       0.19851        -0.000111      
90     130    220    -0.966911           -1691.029843        -1690.062932        0.116445       0.107341       0.107984       -0.000643      
90     132    222    -1.216401           -1704.685047        -1703.468646        0.144004       0.143479       0.145321       -0.001842      
90     134    224    -1.167645           -1717.823475        -1716.65583         0.164275       0.168996       0.174787       -0.005791      
90     136    226    -0.726546           -1730.342718        -1729.616172        0.177001       0.189902       0.199491       -0.009589      
90     138    228    -0.179167           -1742.319111        -1742.139944        0.120884       0.209018       0.218061       -0.009043      
90     190    280    -0.72444            -1926.536479        -1925.812039        0.101204       0.100954       0.090962       0.009992       
90     192    282    -1.055847           -1928.753917        -1927.69807         0.127748       0.126837       0.12103        0.005807       
90     194    284    -1.26073            -1930.804262        -1929.543532        0.147033       0.146092       0.143449       0.002643       
90     196    286    -1.121609           -1932.552265        -1931.430656        0.1599         0.161471       0.164213       -0.002742      
90     198    288    -0.63226            -1933.968476        -1933.336216        0.165064       0.175345       0.182736       -0.007391      
90     200    290    -0.053208           -1935.136346        -1935.083138        0.15468        0.191077       0.197461       -0.006384      
92     128    220    -0.182276           -1680.619988        -1680.437712        0.057957       0.039968       -0.0           0.039968       
92     130    222    -0.794106           -1695.587025        -1694.792919        0.122744       0.115836       0.123786       -0.00795       
92     132    224    -0.816137           -1710.308927        -1709.49279         0.148407       0.15591        0.162705       -0.006795      
92     134    226    -0.524322           -1724.602643        -1724.078321        0.166517       0.184504       0.194226       -0.009722      
92     188    280    -0.149518           -1949.464433        -1949.314915        0.066791       0.057209       -0.0           0.057209       
92     190    282    -0.908272           -1952.507485        -1951.599213        0.114144       0.103449       0.100486       0.002963       
92     192    284    -1.055152           -1955.349541        -1954.294389        0.138382       0.131748       0.133021       -0.001273      
92     194    286    -1.065937           -1958.107451        -1957.041514        0.156811       0.153655       0.158004       -0.004349      
92     196    288    -0.726493           -1960.604144        -1959.877651        0.168673       0.17167        0.180139       -0.008469      
92     198    290    -0.118342           -1962.795751        -1962.677409        0.16683        0.189416       0.198113       -0.008697      
94     128    222    -0.312952           -1682.885575        -1682.572623        0.071745       0.047502       -0.0           0.047502       
94     130    224    -0.446381           -1698.565821        -1698.11944         0.12529        0.121688       0.136062       -0.014374      
94     132    226    -0.309552           -1714.320808        -1714.011256        0.137358       0.169902       0.178212       -0.00831       
94     134    228    -0.038583           -1729.785012        -1729.746429        0.132486       0.202836       0.209882       -0.007046      
94     188    282    -0.511864           -1973.599285        -1973.087421        0.084287       0.05824        0.001          0.05724        
94     190    284    -0.913633           -1976.972061        -1976.058428        0.120399       0.100012       0.107359       -0.007347      
94     192    286    -0.760272           -1980.314471        -1979.554199        0.142027       0.133196       0.14239        -0.009194      
94     194    288    -0.573234           -1983.706784        -1983.13355         0.156759       0.160144       0.168554       -0.00841       
94     196    290    -0.2145             -1986.945361        -1986.730861        0.156131       0.183296       0.190164       -0.006868      
94     242    336    -0.012972           -1999.721629        -1999.708657        0.039569       0.150613       0.141729       0.008884       
96     128    224    -0.314262           -1683.724441        -1683.410179        0.075209       0.045728       -0.0           0.045728       
96     130    226    -0.058341           -1700.082134        -1700.023793        0.11294        0.130093       0.145974       -0.015881      
96     188    284    -0.702657           -1996.249801        -1995.547144        0.091511       0.052942       0.00102        0.051922       
96     190    286    -0.842485           -2000.024963        -1999.182478        0.123017       0.092171       0.111363       -0.019192      
96     192    288    -0.376997           -2003.792172        -2003.415175        0.139808       0.133085       0.148542       -0.015457      
96     194    290    -0.09153            -2007.82215         -2007.73062         0.131244       0.16925        0.176107       -0.006857      
98     128    226    -0.267807           -1683.200004        -1682.932197        0.068377       0.038226       -0.0           0.038226       
98     186    284    -0.007757           -2013.426739        -2013.418982        0.018042       0.001366       -0.0           0.001366       
98     188    286    -0.814796           -2017.513238        -2016.698442        0.095164       0.045921       0.001097       0.044824       
98     190    288    -0.760685           -2021.722098        -2020.961413        0.124293       0.081804       0.112075       -0.030271      
98     192    290    -0.087832           -2025.909973        -2025.822141        0.127282       0.135623       0.150994       -0.015371      
98     262    360    -0.044006           -2064.91131         -2064.867304        0.023793       0.040225       0.039047       0.001178       
100    128    228    -0.159028           -1681.34758         -1681.188552        0.057636       0.029339       0.0            0.029339       
100    186    286    -0.106891           -2032.803987        -2032.697096        0.04524        0.006275       -0.0           0.006275       
100    188    288    -0.805001           -2037.354338        -2036.549337        0.09318        0.037067       0.001074       0.035993       
100    190    290    -0.627782           -2042.01823         -2041.390448        0.121041       0.071122       0.109675       -0.038553      
100    262    362    -0.110805           -2101.712711        -2101.601906        0.043563       0.038777       0.039009       -0.000232      
100    264    364    -0.151138           -2099.310061        -2099.158923        0.063203       0.06677        0.071204       -0.004434      
102    128    230    -0.055473           -1678.191563        -1678.13609         0.034948       0.017157       -0.0           0.017157       
102    186    288    -0.100306           -2050.794398        -2050.694092        0.043906       0.004058       -0.0           0.004058       
102    188    290    -0.645797           -2055.766102        -2055.120305        0.08628        0.027111       -0.0           0.027111       
102    190    292    -0.391584           -2060.87555         -2060.483966        0.114827       0.062203       0.104753       -0.04255       
102    262    364    -0.113061           -2137.374684        -2137.261623        0.041552       0.004832       -0.002186      0.007018       
104    186    290    -0.030245           -2067.454043        -2067.423798        0.027534       0.000816       -0.0           0.000816       
104    188    292    -0.399825           -2072.833545        -2072.43372         0.073699       0.016368       -0.0           0.016368       
104    190    294    -0.112907           -2078.364154        -2078.251247        0.09975        0.060156       0.097962       -0.037806      
104    262    366    -0.068996           -2172.06491         -2171.995914        0.036068       0.002488       -0.000202      0.00269        
106    188    294    -0.155206           -2088.650842        -2088.495636        0.053587       0.006502       -0.000612      0.007114       
106    190    296    -0.005355           -2094.706983        -2094.701628        0.031544       0.093058       0.089337       0.003721       
108    190    298    -0.005658           -2109.863802        -2109.858144        0.021157       0.083835       0.078022       0.005813       
108    192    300    -0.001731           -2116.998358        -2116.996627        0.02525        0.120937       0.115551       0.005386       
110    166    276    -0.005308           -1998.017966        -1998.012658        0.053588       0.22994        0.221518       0.008422       
110    190    300    -0.008234           -2123.755652        -2123.747418        0.016467       0.069919       0.061899       0.00802        
110    192    302    -0.004              -2131.267049        -2131.263049        0.025898       0.111956       0.104647       0.007309       
110    230    340    -4.2e-05            -2242.304203        -2242.304161        0.017253       0.217955       0.217104       0.000851       
112    192    304    -0.005593           -2144.251099        -2144.245506        0.022667       0.099193       0.091755       0.007438       
