Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2    
96     238    334    -0.002825           -2014.202559        -2014.199734        0.102762       0.298639       0.280959       0.01768        
98     160    258    0.022005            -1907.700945        -1907.72295         0.061904       0.29799        0.291898       0.006092       
98     162    260    0.034778            -1917.19846         -1917.233238        0.120153       0.316346       0.294138       0.022208       
98     188    286    -0.043636           -2011.219425        -2011.175789        0.029795       0.00447        3.8e-05        0.004432       
98     190    288    -0.41278            -2015.163671        -2014.750891        0.076607       0.029189       -8e-05         0.029269       
98     192    290    -0.104794           -2019.004362        -2018.899568        0.119323       0.08126        0.278094       -0.196834      
98     218    316    -0.009623           -2055.551974        -2055.542351        0.096789       0.285984       0.268501       0.017483       
98     236    334    -0.015979           -2052.15398         -2052.138001        0.117407       0.313378       0.292874       0.020504       
98     246    344    -0.009707           -2043.558322        -2043.548615        0.01806        0.311819       0.311319       0.0005         
100    158    258    0.017941            -1908.707148        -1908.725089        0.031659       0.294454       0.293104       0.00135        
100    162    262    0.038752            -1929.656224        -1929.694976        0.116201       0.317746       0.297577       0.020169       
100    188    288    -0.226872           -2031.325499        -2031.098627        0.059223       0.017878       -0.000202      0.01808        
100    190    290    -0.210524           -2035.879967        -2035.669443        0.08765        0.032311       0.315435       -0.283124      
100    216    316    -0.001858           -2083.616489        -2083.614631        0.108977       0.288422       0.2656         0.022822       
100    228    328    -0.020556           -2088.163165        -2088.142609        0.122685       0.303856       0.278699       0.025157       
100    230    330    -0.012605           -2088.036952        -2088.024347        0.107531       0.301959       0.28306        0.018899       
100    232    332    -0.030879           -2087.708358        -2087.677479        0.108122       0.305388       0.28685        0.018538       
100    234    334    -0.027064           -2087.17862         -2087.151556        0.105605       0.308249       0.290247       0.018002       
100    236    336    -0.016749           -2086.463313        -2086.446564        0.102558       0.311373       0.294794       0.016579       
100    238    338    -0.018601           -2085.540876        -2085.522275        0.096253       0.313841       0.299512       0.014329       
100    240    340    -0.011433           -2084.448476        -2084.437043        0.084193       0.315201       0.30429        0.010911       
100    242    342    -0.014974           -2083.172336        -2083.157362        0.060113       0.314559       0.308994       0.005565       
100    244    344    -0.007105           -2081.730946        -2081.723841        0.128634       0.334046       0.31325        0.020796       
100    260    360    -0.019919           -2067.428889        -2067.40897         0.025264       0.002906       0.000781       0.002125       
100    262    362    -0.083835           -2064.228594        -2064.144759        0.043966       0.006483       0.001143       0.00534        
100    264    364    -0.152655           -2060.657692        -2060.505037        0.067378       0.032298       -0.000319      0.032617       
102    154    256    0.012536            -1893.154717        -1893.167253        0.032732       0.292082       0.290529       0.001553       
102    156    258    0.024681            -1905.806085        -1905.830766        0.096646       0.304535       0.289178       0.015357       
102    174    276    0.023065            -1997.377917        -1997.400982        0.129508       0.342175       0.321496       0.020679       
102    188    290    -0.205001           -2049.818288        -2049.613287        0.055906       0.007231       0.000204       0.007027       
102    230    332    -0.01205            -2119.355714        -2119.343664        0.090961       0.287869       0.272298       0.015571       
102    232    334    -0.019257           -2119.519701        -2119.500444        0.090923       0.291406       0.276329       0.015077       
102    234    336    -0.033755           -2119.473614        -2119.439859        0.091575       0.295801       0.280932       0.014869       
102    238    340    -0.005857           -2118.744294        -2118.738437        0.086291       0.303966       0.29156        0.012406       
102    242    344    -0.009552           -2117.280738        -2117.271186        0.128627       0.325985       0.303098       0.022887       
102    244    346    -0.006032           -2116.293071        -2116.287039        0.130842       0.331625       0.308922       0.022703       
102    260    362    -0.040043           -2104.556221        -2104.516178        0.033686       0.003565       0.001865       0.0017         
102    262    364    -0.11125            -2101.785615        -2101.674365        0.050957       0.006122       0.001422       0.0047         
102    264    366    -0.138436           -2098.55774         -2098.419304        0.064286       0.011716       0.001564       0.010152       
104    148    252    0.02884             -1854.675995        -1854.704835        0.017627       0.288209       0.287891       0.000318       
104    154    258    0.032762            -1898.93406         -1898.966822        0.089415       0.297557       0.28357        0.013987       
104    172    276    0.030095            -2001.090832        -2001.120927        0.117422       0.310668       0.391507       -0.080839      
104    176    280    0.364455            -2019.346995        -2019.71145         0.122287       0.324872       0.397732       -0.07286       
104    180    284    0.014549            -2036.736345        -2036.750894        0.013261       0.390885       0.391641       -0.000756      
104    192    296    -0.00753            -2080.204499        -2080.196969        0.127653       0.345145       0.326752       0.018393       
104    198    302    -0.022489           -2097.978729        -2097.95624         0.132164       0.318241       0.290931       0.02731        
104    230    334    -0.003129           -2149.234109        -2149.23098         0.080738       0.272243       0.257889       0.014354       
104    232    336    -0.018564           -2149.888142        -2149.869578        0.079937       0.274268       0.260191       0.014077       
104    234    338    -0.010794           -2150.286262        -2150.275468        0.085976       0.27926        0.264592       0.014668       
104    250    354    -0.001259           -2147.129713        -2147.128454        0.183705       0.398146       0.369953       0.028193       
104    262    366    -0.056109           -2137.993143        -2137.937034        0.040732       0.002951       0.001977       0.000974       
104    264    368    -0.138507           -2135.242108        -2135.103601        0.05716        0.004382       0.323634       -0.319252      
106    144    250    0.039865            -1821.643573        -1821.683438        0.015383       0.283371       0.283429       -5.8e-05       
106    150    256    0.022363            -1872.391652        -1872.414015        0.077659       0.290828       0.280111       0.010717       
106    166    272    0.005359            -1980.463255        -1980.468614        0.020394       0.257528       0.256503       0.001025       
106    176    282    -0.020056           -2031.552258        -2031.532202        0.113027       0.298578       0.275635       0.022943       
106    200    306    -0.022867           -2122.685906        -2122.663039        0.133436       0.31399        0.284939       0.029051       
106    202    308    -0.02132            -2128.450092        -2128.428772        0.131119       0.305177       0.274923       0.030254       
106    230    336    -0.009961           -2177.504276        -2177.494315        0.076852       0.258764       0.245653       0.013111       
106    236    342    -0.001005           -2180.160868        -2180.159863        0.065723       0.258046       0.248887       0.009159       
106    238    344    -0.007071           -2180.557446        -2180.550375        0.064176       0.260505       0.252948       0.007557       
106    242    348    -0.009823           -2180.767502        -2180.757679        0.126767       0.292559       0.262125       0.030434       
108    148    256    0.027789            -1855.672153        -1855.699942        0.063512       0.284069       0.276501       0.007568       
108    194    302    -0.000431           -2120.053811        -2120.05338         0.149294       0.373054       0.351282       0.021772       
108    198    306    -0.035022           -2133.713583        -2133.678561        0.142171       0.349088       0.324865       0.024223       
108    200    308    -0.019595           -2140.137937        -2140.118342        0.137997       0.333073       0.30672        0.026353       
108    202    310    -0.030503           -2146.375477        -2146.344974        0.133939       0.316631       0.287788       0.028843       
108    244    352    -0.006161           -2210.32022         -2210.314059        0.04547        0.242936       0.238309       0.004627       
108    248    356    -0.003374           -2210.906833        -2210.903459        0.147987       0.390664       0.372876       0.017788       
108    252    360    -0.01474            -2210.725986        -2210.711246        0.173898       0.397488       0.373019       0.024469       
110    156    266    0.035033            -1921.465522        -1921.500555        0.070124       0.269268       0.258587       0.010681       
110    164    274    0.02849             -1979.969324        -1979.997814        0.053966       0.246156       0.238558       0.007598       
110    174    284    0.024034            -2040.200006        -2040.22404         0.136283       0.499875       0.493637       0.006238       
110    190    300    0.03726             -2118.247529        -2118.284789        0.041989       0.379152       0.377578       0.001574       
110    196    306    0.028049            -2142.069           -2142.097049        0.07068        0.364801       0.359909       0.004892       
110    204    314    -0.005055           -2169.181977        -2169.176922        0.133808       0.325674       0.228461       0.097213       
