Z      N      A      Energy_new-old(MeV)      beta2_new    beta2_old    beta3_new    fileID    
2      2      4      -0.120769                0.355647     0.000000     0.526174     17        
2      4      6      -0.125237                -0.005642    0.000000     0.0          122       
2      6      8      -0.093863                0.004869     0.000000     -0.0         161       
4      2      6      -0.065104                -0.006548    0.000001     0.0          259       
4      4      8      -0.303071                -0.00051     0.000001     0.0          302       
4      6      10     -0.105574                0.000536     0.000001     0.0          387       
4      8      12     -0.089245                0.001926     0.000000     -0.0         461       
4      10     14     -0.019302                -0.0         0.000002     -0.0         548       
4      12     16     -0.059757                0.008436     -0.000002    9e-06        609       
4      14     18     -0.014715                1e-06        -0.000004    0.0          728       
4      16     20     -0.01286                 -0.003583    -0.000003    0.0          817       
4      18     22     -0.010664                -0.0         0.000000     -0.0         848       
4      20     24     -0.078447                0.485986     -0.000001    -0.534444    960       
6      2      8      -0.082352                0.006304     0.000001     0.0          1045      
6      4      10     -0.122819                0.001084     0.000001     -0.0         1079      
6      6      12     -0.104443                0.566921     0.000000     -0.959258    1147      
6      8      14     -0.037066                -0.0         0.000000     0.0          1268      
6      10     16     -0.032624                -0.0         0.000000     0.0          1343      
6      12     18     -0.02896                 -0.001683    -0.000007    0.0          1357      
6      14     20     -0.041207                0.000619     -0.000004    0.0          1479      
6      16     22     -0.021253                -1e-06       -0.000001    0.0          1568      
6      18     24     -0.018603                -0.001255    -0.000001    -0.0         1612      
6      20     26     -0.021139                0.004334     0.000000     -0.0         1659      
6      22     28     -0.11605                 -0.076697    -0.000001    -3e-06       1744      
8      2      10     -0.09345                 -0.027964    0.000000     0.0          1836      
8      4      12     -0.144897                0.004937     0.000000     0.0          1932      
8      6      14     -0.063309                0.322887     0.000000     0.295143     1973      
8      8      16     -0.050746                0.319592     0.000000     -0.268816    2047      
8      10     18     -0.051778                1.9e-05      -0.000001    0.0          2167      
8      12     20     -0.070713                -0.000186    -0.000001    -0.0         2182      
8      14     22     -0.033282                -0.000102    -0.000001    0.0          2287      
8      16     24     -0.036114                -0.001325    -0.000001    4e-06        2344      
8      18     26     -0.043208                -0.00154     0.000000     -0.0         2405      
8      20     28     -0.027369                -0.005532    0.000000     -0.0         2494      
8      22     30     -0.110836                -0.02496     -0.000001    -5e-06       2585      
8      24     32     -0.147331                -0.073972    -0.000007    1.2e-05      2674      
8      26     34     -0.280616                -0.106433    -0.000005    4e-06        2764      
