Z      N      A      Binding_Energy_(MeV)    Q20_T          Q30_T          fileID                Convergence    
10     28     38     -214.585921             1.428186       7.4e-05        blockblock1a-003792   YES            
10     30     40     -211.378716             0.995478       -1e-06         blockblock1a-003866   YES            
10     32     42     -208.699801             -0.040665      -0.0           blockblock1a-003921   YES            
10     34     44     -204.887508             -0.130961      0.0            blockblock1a-004026   YES            
10     36     46     -198.455934             4.684193       0.196712       blockblock1a-004109   YES            
10     38     48     -191.076802             2.128085       -2.6e-05       blockblock1a-004169   YES            
12     2      14     4.217375                -0.078046      0.0            blockblock1a-004237   YES            
12     4      16     -48.286792              1e-06          -0.0           blockblock1a-004343   YES            
12     6      18     -98.651595              0.006969       -1e-06         blockblock1a-004359   YES            
12     8      20     -140.739772             0.000557       0.0            blockblock1a-004434   YES            
12     10     22     -170.646908             0.485196       0.000102       blockblock1a-004511   YES            
12     12     24     -196.849431             0.743196       0.006665       blockblock1a-004642   YES            
12     14     26     -217.363275             0.421578       -5e-06         blockblock1a-004667   YES            
12     16     28     -234.479571             -0.00231       0.0            blockblock1a-004787   YES            
12     18     30     -246.276377             -0.002588      1e-06          blockblock1a-004862   YES            
12     20     32     -255.120713             0.000679       1e-06          blockblock1a-004949   YES            
12     22     34     -259.37405              0.013163       1e-06          blockblock1a-004995   YES            
12     24     36     -264.600083             1.379682       0.001526       blockblock1a-005038   YES            
12     26     38     -267.22251              1.644318       8.7e-05        blockblock1a-005129   YES            
12     28     40     -267.855928             1.629787       -0.00089       blockblock1a-005202   YES            
12     30     42     -267.169024             -1.149742      -0.000195      blockblock1a-005300   YES            
12     32     44     -266.292185             5.2e-05        0.0            blockblock1a-005363   YES            
12     34     46     -264.187773             0.0            0.0            blockblock1a-005408   YES            
12     36     48     -258.960112             1.5e-05        -0.0           blockblock1a-005543   YES            
12     38     50     -253.009868             0.512103       1e-06          blockblock1a-005621   YES            
12     40     52     -247.135022             1.101268       2.8e-05        blockblock1a-005682   YES            
14     2      16     18.526599               -1.568095      0.0            blockblock1a-005701   YES            
14     4      18     -37.06315               1e-06          -0.0           blockblock1a-005783   YES            
14     6      20     -92.991583              4e-06          0.0            blockblock1a-005903   YES            
14     8      22     -141.111379             0.000798       -0.0           blockblock1a-005994   YES            
14     10     24     -175.935066             -0.012839      -0.0           blockblock1a-006047   YES            
14     12     26     -207.481685             0.461074       -2e-06         blockblock1a-006140   YES            
14     14     28     -235.056852             -0.352551      -2e-05         blockblock1a-006181   YES            
14     16     30     -257.238932             -0.001831      -0.0           blockblock1a-006243   YES            
14     18     32     -273.971752             -0.002026      -0.0           blockblock1a-006332   YES            
14     20     34     -287.527858             7.9e-05        0.0            blockblock1a-006389   YES            
14     22     36     -296.097922             0.002599       1e-06          blockblock1a-006463   YES            
14     24     38     -303.800704             1.031484       -0.000232      blockblock1a-006539   YES            
14     26     40     -309.990804             1.339658       0.00013        blockblock1a-006675   YES            
14     28     42     -314.965011             -1.261678      0.004309       blockblock1a-006728   YES            
14     30     44     -317.934594             -1.18137       0.00011        blockblock1a-006803   YES            
14     32     46     -319.328615             -0.004281      -0.0           blockblock1a-006832   YES            
14     34     48     -319.167094             -0.011038      -0.0           blockblock1a-006921   YES            
14     36     50     -316.289749             0.022837       3e-06          blockblock1a-007001   YES            
14     38     52     -312.634618             0.046443       -3e-06         blockblock1a-007090   YES            
14     40     54     -308.431845             -0.037465      -1e-06         blockblock1a-007192   YES            
16     4      20     -23.805849              0.051389       -2e-06         blockblock1a-007269   YES            
16     6      22     -84.310519              -1e-06         0.0            blockblock1a-007283   YES            
16     8      24     -137.564263             0.001866       -0.0           blockblock1a-007389   YES            
16     10     26     -177.309632             0.0            -0.0           blockblock1a-007433   YES            
16     12     28     -213.484074             -0.000698      2e-06          blockblock1a-007519   YES            
16     14     30     -246.068974             -0.003627      1e-06          blockblock1a-007577   YES            
16     16     32     -272.340508             -0.00246       2e-06          blockblock1a-007682   YES            
16     18     34     -293.675033             0.000247       -0.0           blockblock1a-007739   YES            
16     20     36     -311.800202             9.2e-05        1e-06          blockblock1a-007814   YES            
16     22     38     -324.50652              0.005608       2.5e-05        blockblock1a-007904   YES            
16     24     40     -335.917758             0.723421       0.002383       blockblock1a-008009   YES            
16     26     42     -346.263221             1.021309       2.9e-05        blockblock1a-008048   YES            
16     28     44     -354.323675             -0.954437      0.010039       blockblock1a-008137   YES            
16     30     46     -360.551072             -0.972605      0.000911       blockblock1a-008229   YES            
16     32     48     -364.577922             -0.000972      1e-06          blockblock1a-008317   YES            
16     34     50     -366.763936             -4e-06         -0.0           blockblock1a-008378   YES            
16     36     52     -366.612072             -0.0           -0.0           blockblock1a-008408   YES            
16     38     54     -365.801871             -0.001446      -1e-06         blockblock1a-008512   YES            
16     40     56     -364.117563             -0.027438      -5e-06         blockblock1a-008586   YES            
16     42     58     -360.579344             -0.04467       0.0            blockblock1a-008677   YES            
16     44     60     -357.501708             2.217515       -0.000331      blockblock1a-008712   YES            
16     46     62     -354.35055              2.964821       -0.000201      blockblock1a-008832   YES            
16     48     64     -350.477498             3.335104       -0.000125      blockblock1a-008922   YES            
18     6      24     -71.217986              0.0            0.0            blockblock1a-008963   YES            
18     8      26     -128.642401             -0.0           -0.0           blockblock1a-009068   YES            
18     10     28     -172.731902             -0.0           0.0            blockblock1a-009128   YES            
18     12     30     -213.493123             0.002836       -0.0           blockblock1a-009225   YES            
18     14     32     -250.691833             0.001035       2e-06          blockblock1a-009240   YES            
18     16     34     -281.501653             0.000254       0.0            blockblock1a-009314   YES            
18     18     36     -307.742822             0.000391       -0.0           blockblock1a-009390   YES            
18     20     38     -330.634417             0.000377       -1e-06         blockblock1a-009464   YES            
18     22     40     -347.561305             0.00775        2.9e-05        blockblock1a-009552   YES            
18     24     42     -362.519593             0.004466       -1.2e-05       blockblock1a-009653   YES            
18     26     44     -376.443112             0.009322       -5e-05         blockblock1a-009744   YES            
18     28     46     -388.48603              0.009863       2.5e-05        blockblock1a-009792   YES            
18     30     48     -397.633657             0.000554       -1e-06         blockblock1a-009863   YES            
18     32     50     -404.761748             -0.000103      1e-06          blockblock1a-009967   YES            
18     34     52     -409.412587             -0.000215      -0.0           blockblock1a-009997   YES            
18     36     54     -412.171358             0.000538       -1e-06         blockblock1a-010119   YES            
18     38     56     -414.345452             -0.000427      0.0            blockblock1a-010177   YES            
18     40     58     -415.523879             6e-06          0.0            blockblock1a-010223   YES            
18     42     60     -414.560751             -1.5e-05       0.0            blockblock1a-010328   YES            
18     44     62     -412.56333              0.67923        -0.000123      blockblock1a-010392   YES            
18     46     64     -411.04899              1.768521       0.000286       blockblock1a-010452   YES            
18     48     66     -408.873127             2.248639       5.6e-05        blockblock1a-010542   YES            
18     50     68     -406.200316             -2.195505      -0.000167      blockblock1a-010608   YES            
18     52     70     -403.442262             -2.509107      6.5e-05        blockblock1a-010698   YES            
18     54     72     -400.04836              -2.570884      -4.7e-05       blockblock1a-010758   YES            
18     56     74     -395.907278             -2.177404      2.6e-05        blockblock1a-010818   YES            
20     8      28     -116.263027             0.0            0.0            blockblock1a-010913   YES            
20     10     30     -164.371129             -0.006497      0.0            blockblock1a-011017   YES            
20     12     32     -209.540115             -0.007344      -1e-06         blockblock1a-011074   YES            
20     14     34     -251.175164             0.002061       0.0            blockblock1a-011113   YES            
20     16     36     -286.467021             2.2e-05        0.0            blockblock1a-011198   YES            
20     18     38     -317.451792             0.000755       -1e-06         blockblock1a-011303   YES            
20     20     40     -344.97856              0.000103       0.0            blockblock1a-011338   YES            
20     22     42     -366.092942             0.000997       -2e-06         blockblock1a-011437   YES            
20     24     44     -385.001807             -0.0           -0.0           blockblock1a-011483   YES            
20     26     46     -402.838338             0.008989       -3.3e-05       blockblock1a-011603   YES            
20     28     48     -418.550228             0.000183       -0.0           blockblock1a-011678   YES            
20     30     50     -430.55725              0.000269       2e-06          blockblock1a-011752   YES            
20     32     52     -440.325775             -0.000494      0.0            blockblock1a-011842   YES            
20     34     54     -447.603582             -0.000565      -0.0           blockblock1a-011872   YES            
20     36     56     -453.336551             -2e-06         -1e-06         blockblock1a-011993   YES            
20     38     58     -458.532179             7e-06          3e-06          blockblock1a-012053   YES            
20     40     60     -462.561644             0.000661       2e-06          blockblock1a-012114   YES            
20     42     62     -464.295912             2e-06          -0.0           blockblock1a-012188   YES            
20     44     64     -464.86868              -0.001041      0.0            blockblock1a-012247   YES            
20     46     66     -465.204706             0.002651       1e-06          blockblock1a-012309   YES            
20     48     68     -465.23938              -0.049228      -1e-06         blockblock1a-012425   YES            
20     50     70     -464.471256             -0.093845      -0.0           blockblock1a-012486   YES            
20     52     72     -462.795391             -2e-06         -0.0           blockblock1a-012533   YES            
20     54     74     -460.589159             -0.052159      6e-06          blockblock1a-012652   YES            
20     56     76     -458.321074             4e-06          -1e-06         blockblock1a-012728   YES            
20     58     78     -455.535995             8e-06          1e-06          blockblock1a-012803   YES            
20     60     80     -452.024821             0.04512        -1e-06         blockblock1a-012864   YES            
20     62     82     -447.177005             -1e-06         -1e-06         blockblock1a-012938   YES            
22     12     34     -200.612254             0.816977       8.4e-05        blockblock1a-012990   YES            
22     14     36     -245.538518             0.55566        -0.018775      blockblock1a-013120   YES            
22     16     38     -284.864318             0.003136       -0.0           blockblock1a-013196   YES            
22     18     40     -320.076748             8.6e-05        -0.0           blockblock1a-013213   YES            
22     20     42     -351.778265             -8.3e-05       0.0            blockblock1a-013304   YES            
22     22     44     -376.616728             -0.001245      -1e-06         blockblock1a-013380   YES            
22     24     46     -399.226055             0.000372       -0.0           blockblock1a-013478   YES            
22     26     48     -420.631826             0.013914       -6.1e-05       blockblock1a-013568   YES            
22     28     50     -439.752079             0.000355       1e-06          blockblock1a-013614   YES            
22     30     52     -454.536211             -0.001618      1e-06          blockblock1a-013672   YES            
22     32     54     -466.960625             2.3e-05        -0.0           blockblock1a-013793   YES            
22     34     56     -476.94355              3.9e-05        0.0            blockblock1a-013823   YES            
22     36     58     -485.440189             -0.0           -0.0           blockblock1a-013883   YES            
22     38     60     -493.367033             0.00031        2e-06          blockblock1a-014004   YES            
22     40     62     -500.10854              2e-06          1e-06          blockblock1a-014093   YES            
22     42     64     -504.443522             -0.004811      -2e-06         blockblock1a-014105   YES            
22     44     66     -507.559241             -0.016261      -1e-06         blockblock1a-014239   YES            
22     46     68     -510.380295             -0.021664      -1.3e-05       blockblock1a-014255   YES            
22     48     70     -512.932714             -0.032655      -1.2e-05       blockblock1a-014375   YES            
22     50     72     -514.311005             0.091678       0.000559       blockblock1a-014426   YES            
22     52     74     -513.904835             -0.433409      4.2e-05        blockblock1a-014523   YES            
22     54     76     -512.748152             -0.79188       -5.7e-05       blockblock1a-014613   YES            
22     56     78     -511.462645             0.047339       1.3e-05        blockblock1a-014664   YES            
22     58     80     -509.659846             -0.0           0.0            blockblock1a-014708   YES            
22     60     82     -506.997584             0.0            -0.0           blockblock1a-014783   YES            
22     62     84     -502.985937             0.0            0.0            blockblock1a-014858   YES            
22     64     86     -497.30942              0.08559        -3e-06         blockblock1a-014979   YES            
24     12     36     -191.383307             1.763835       9e-06          blockblock1a-015060   YES            
24     14     38     -238.768542             1.360744       0.002048       blockblock1a-015088   YES            
24     16     40     -281.475151             0.996688       -3.7e-05       blockblock1a-015165   YES            
24     18     42     -319.625566             0.007196       -2.2e-05       blockblock1a-015238   YES            
24     20     44     -355.36319              0.001723       -0.0           blockblock1a-015345   YES            
24     22     46     -383.83604              0.01724        9.1e-05        blockblock1a-015402   YES            
24     24     48     -412.057719             1.51621        -0.005124      blockblock1a-015519   YES            
24     26     50     -436.373897             1.489654       0.002371       blockblock1a-015592   YES            
24     28     52     -457.552869             0.965924       9e-06          blockblock1a-015609   YES            
24     30     54     -475.325257             0.940865       -0.00159       blockblock1a-015741   YES            
24     32     56     -490.265715             0.99534        0.000632       blockblock1a-015775   YES            
24     34     58     -502.965298             0.844411       -0.00024       blockblock1a-015894   YES            
24     36     60     -513.986365             0.004801       -0.0           blockblock1a-015909   YES            
24     38     62     -524.68128              0.000529       2e-06          blockblock1a-016014   YES            
24     40     64     -534.148181             -0.004599      -4e-06         blockblock1a-016114   YES            
24     42     66     -541.105005             -0.003178      -2e-06         blockblock1a-016175   YES            
24     44     68     -547.188541             1.183951       0.00491        blockblock1a-016257   YES            
24     46     70     -553.522912             2.119044       0.000346       blockblock1a-016300   YES            
24     48     72     -557.524606             1.680662       0.000364       blockblock1a-016410   YES            
24     50     74     -560.681576             0.057637       0.000379       blockblock1a-016466   YES            
24     52     76     -561.685637             0.658725       0.000153       blockblock1a-016530   YES            
24     54     78     -561.985804             1.392307       0.000896       blockblock1a-016605   YES            
24     56     80     -561.537678             0.062075       0.0            blockblock1a-016659   YES            
24     58     82     -560.701679             -0.02694       -0.0           blockblock1a-016747   YES            
24     60     84     -558.887072             0.0            0.0            blockblock1a-016808   YES            
24     62     86     -555.939578             2.6e-05        2e-06          blockblock1a-016928   YES            
24     64     88     -551.82357              -0.006552      -1e-06         blockblock1a-017019   YES            
24     66     90     -547.258555             4.9e-05        5e-06          blockblock1a-017048   YES            
26     14     40     -229.403514             1.782998       -6.7e-05       blockblock1b-000013   YES            
26     16     42     -275.668865             1.403989       -0.000138      blockblock1b-000087   YES            
26     18     44     -317.216647             0.265157       0.000833       blockblock1b-000207   YES            
26     20     46     -356.784121             0.011074       7.1e-05        blockblock1b-000269   YES            
26     22     48     -388.785726             -0.002671      0.0            blockblock1b-000352   YES            
26     24     50     -419.999715             1.538053       -2.2e-05       blockblock1b-000443   YES            
26     26     52     -447.790632             1.506038       -6.9e-05       blockblock1b-000459   YES            
26     28     54     -472.405459             0.750745       0.000667       blockblock1b-000552   YES            
26     30     56     -493.104737             1.011666       7e-06          blockblock1b-000609   YES            
26     32     58     -510.848169             1.23727        -0.000818      blockblock1b-000729   YES            
26     34     60     -526.322594             1.134684       -0.000112      blockblock1b-000759   YES            
26     36     62     -540.050777             -0.649028      3.8e-05        blockblock1b-000894   YES            
26     38     64     -553.308749             -0.003712      1e-06          blockblock1b-000935   YES            
26     40     66     -565.464129             -0.003634      -0.0           blockblock1b-001039   YES            
26     42     68     -574.976049             -0.003866      2e-06          blockblock1b-001070   YES            
26     44     70     -583.112468             -0.015077      5e-06          blockblock1b-001190   YES            
26     46     72     -591.762306             1.692128       -0.000171      blockblock1b-001210   YES            
26     48     74     -598.249936             -0.031128      0.000131       blockblock1b-001292   YES            
26     50     76     -604.218506             0.042038       0.000331       blockblock1b-001421   YES            
26     52     78     -606.551586             0.141305       -9e-06         blockblock1b-001436   YES            
26     54     80     -608.2397               1.185993       0.000333       blockblock1b-001530   YES            
26     56     82     -609.086968             0.045747       -1e-06         blockblock1b-001584   YES            
26     58     84     -609.244705             -0.021724      -1e-06         blockblock1b-001717   YES            
26     60     86     -608.398068             -0.013585      2e-06          blockblock1b-001762   YES            
26     62     88     -606.633609             -7.7e-05       0.0            blockblock1b-001823   YES            
26     64     90     -604.120502             1.8e-05        0.0            blockblock1b-001928   YES            
26     66     92     -601.308713             -0.035891      -2e-06         blockblock1b-002019   YES            
26     68     94     -598.46595              -5e-06         -2e-06         blockblock1b-002093   YES            
