 Nrows 
   233 
    Z     N          Q20                 Q30           beta2       beta3
   100   260     -0.2615253254      0.5346383778   -0.001317        0.01 
   100   262      9.0853774067      0.5405953054    0.045332        0.01 
   100   264     14.0373647492      0.5465852354      0.0694        0.01 
   102   128     -0.6690296767       0.218228165   -0.007109        0.01 
   102   184     -0.0382960192      0.3374327218   -0.000283        0.01 
   102   186              -0.0      0.3421685618        -0.0        0.01 
   102   188       0.424335369      0.3469374041    0.003064        0.01 
   102   190     13.9311482471      0.3517392488    0.099447        0.01 
   102   192      18.596251493      0.3565740959    0.131247        0.01 
   102   194     22.3808763237      0.3614419453    0.156183        0.01 
   102   196     25.6100636089      0.3663427971    0.176723        0.01 
   102   260     -0.0745557309      0.5405953054   -0.000372        0.01 
   102   262      8.8192676915      0.5465852354    0.043602        0.01 
   102   264     14.5537772183      0.5526081677    0.071299        0.01 
   104   184              -0.0      0.3421685618        -0.0        0.01 
   104   186              -0.0      0.3469374041        -0.0        0.01 
   104   188      0.7902260225      0.3517392488    0.005641        0.01 
   104   190     14.2391741529      0.3565740959    0.100496        0.01 
   104   192     19.2360352603      0.3614419453    0.134237        0.01 
   104   194      50.559163449      0.3663427971    0.348885        0.01 
   104   196     26.5831285821      0.3712766512    0.181404        0.01 
   104   260      0.0384308257      0.5465852354     0.00019        0.01 
   104   262      7.8187335386      0.5526081677    0.038304        0.01 
   104   264     14.3786181127      0.5586641024    0.069804        0.01 
   106   184              -0.0      0.3469374041        -0.0        0.01 
   106   186      0.0778879044      0.3517392488    0.000556        0.01 
   106   188      1.0227109441      0.3565740959    0.007218        0.01 
   106   190     13.9725176672      0.3614419453    0.097506        0.01 
   106   260      0.0873647127      0.5526081677    0.000428        0.01 
   106   262      0.0729188988      0.5586641024    0.000354        0.01 
   106   264     13.8032201898      0.5647530395    0.066408        0.01 
   108   186     -0.0532750506      0.3565740959   -0.000376        0.01 
   108   262      0.1935127996      0.5647530395    0.000931        0.01 
   108   264      12.548608256       0.570874979    0.059832        0.01 
   108   266      17.959416827      0.5770299208    0.084869        0.01 
   108   268     22.7813879495       0.583217865    0.106703        0.01 
   108   270     27.2613151791      0.5894388115    0.126562        0.01 
   108   272      31.293835989      0.5956927604    0.144011        0.01 
   110   264     10.1485549752      0.5770299208    0.047958        0.01 
   110   266     16.5479605616       0.583217865    0.077507        0.01 
   110   268     21.5545368068      0.5894388115    0.100068        0.01 
   112   188     61.8263922759      0.3712766512    0.421905        0.01 
   112   192    -52.1690142288      0.3812433667    -0.34823        0.01 
   112   216     41.6833710707      0.4438158583    0.245141        0.01 
   112   264      0.4434452899       0.583217865    0.002077        0.01 
   112   266     14.3862769196      0.5894388115    0.066789        0.01 
   112   268     19.6744964651      0.5956927604     0.09054        0.01 
   114   266     10.8418340196      0.5956927604    0.049893        0.01 
   114   268     17.0732645876      0.6019797117    0.077885        0.01 
   114   280     49.0090768197      0.6403944693    0.212337        0.01 
   114   282     50.7651269517      0.6469124371    0.218097        0.01 
   114   288      55.061276489       0.666664355    0.230699        0.01 
   116   190     -7.0488656225       0.386276228    -0.04654        0.01 
   116   266      0.7411530792      0.6019797117    0.003381        0.01 
   116   268     13.3899260966      0.6082996654    0.060553        0.01 
   116   270     18.8655873246      0.6146526214     0.08458        0.01 
   116   272    -73.6783799636      0.6210385798   -0.327489        0.01 
   116   282     50.0667089859      0.6534634074    0.213298        0.01 
   116   284     51.7196783055        0.66004738    0.218507        0.01 
   118   190     -6.1235487278      0.3913420916   -0.039994        0.01 
   118   266      0.5183225731      0.6082996654    0.002344        0.01 
   118   268      6.7457077023      0.6146526214    0.030243        0.01 
   118   270     14.5282896969      0.6210385798    0.064576        0.01 
   118   272    -76.6011159004      0.6274575406   -0.337575        0.01 
   120   190               0.0      0.3964409576         0.0        0.01 
   120   216     42.6732635302      0.4657294313    0.241083        0.01 
   120   240     90.2317974218      0.5346383778    0.454393        0.01 
   120   264      0.1592117119      0.6082996654     0.00072        0.01 
   120   266      0.3116011527      0.6146526214    0.001397        0.01 
   120   268      0.8866450337      0.6210385798    0.003941        0.01 
   120   270     -8.5542734717      0.6274575406   -0.037698        0.01 
   120   272    -62.8049813993      0.6339095037   -0.274427        0.01 
    62   132      5.5661677908       0.155259645    0.078547        0.01 
    68   134     10.6386986591      0.1683285831     0.14035        0.01 
    70    92     13.4976645809      0.1082642715    0.257223        0.01 
    72    92     12.4228924736      0.1109539646    0.231949        0.01 
    86   132       8.742205798       0.196050573    0.101571        0.01 
    88   130      6.0596652293       0.196050573    0.070404        0.01 
    88   132     10.4727270829      0.1996643324    0.119839        0.01 
    88   134     13.0985137006      0.2033110942    0.147642        0.01 
    90   130      7.3554393237      0.1996643324    0.084168        0.01 
    90   132     11.8899073952      0.2033110942    0.134019        0.01 
