Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  Q20_control (b)
62     134    196    -0.796397           -1403.477299        -1402.680902        0.128716       0.095955       0.065071       4.94747        
62     136    198    -0.899097           -1403.87605         -1402.976953        0.140993       0.097893       -0.074387      -5.860553      
62     138    200    -0.408819           -1403.948067        -1403.539248        0.146615       0.093209       -0.119743      -9.706224      
62     140    202    -0.034643           -1403.84733         -1403.812687        0.121981       0.067911       -0.134006      -11.117308     
64     86     150    -1.2779             -1238.216405        -1236.938505        0.118627       0.084166       -0.064364      -3.027784      
64     88     152    -1.304311           -1252.320213        -1251.015902        0.186667       0.121367       0.213319       10.438862      
64     132    196    -1.066686           -1436.883218        -1435.816532        0.132038       0.087153       0.046273       3.468098       
64     134    198    -1.464447           -1438.499899        -1437.035452        0.154096       0.094154       0.05487        4.248416       
64     136    200    -1.215807           -1439.643494        -1438.427687        0.165982       0.094242       -0.119431      -9.546665      
64     138    202    -0.547383           -1440.467768        -1439.920385        0.143537       0.079378       -0.136933      -11.197961     
64     140    204    -0.012481           -1441.0336          -1441.021119        0.149935       0.068066       -0.150011      -12.541492     
66     72     138    0.011004            -1100.063054        -1100.074058        0.043309       0.332478       0.330632       14.230415      
66     84     150    -0.047629           -1230.821654        -1230.774025        0.037074       0.02642        0.000211       0.009797       
66     86     152    -1.060613           -1247.151643        -1246.09103         0.127744       0.079964       -0.108369      -5.196937      
66     88     154    -0.932048           -1262.614555        -1261.682507        0.186904       0.110148       0.206038       10.291986      
66     94     160    0.010409            -1309.500281        -1309.51069         0.123961       0.335489       0.315614       17.232924      
66     130    196    -0.580181           -1465.825691        -1465.24551         0.0758         0.051812       0.032378       2.379379       
66     132    198    -1.365092           -1468.860221        -1467.495129        0.111992       0.073295       0.053483       4.07658        
66     134    200    -1.681061           -1471.29879         -1469.617729        0.165829       0.090557       -0.106832      -8.422372      
66     136    202    -1.13501            -1473.249224        -1472.114214        0.14806        0.078844       -0.128401      -10.372842     
66     138    204    -0.489612           -1474.849938        -1474.360326        0.159685       0.072371       -0.142827      -11.800272     
68     86     154    -0.47973            -1253.856471        -1253.376741        0.126535       0.083905       -0.11898       -5.821116      
68     130    198    -0.445194           -1494.964467        -1494.519273        0.075983       0.052834       0.041702       3.097743       
68     132    200    -1.217305           -1498.728271        -1497.510966        0.11404        0.071159       0.069283       5.356128       
68     134    202    -1.360798           -1501.893454        -1500.532656        0.137391       0.074817       -0.112296      -8.950533      
68     136    204    -0.959779           -1504.610001        -1503.650222        0.155854       0.067242       -0.13002       -10.604536     
68     138    206    -0.083081           -1506.964071        -1506.88099         0.1917         0.071283       0.208831       17.567333      
70     94     164    -0.008386           -1330.270119        -1330.261733        0.086737       0.29749        0.28455        16.036437      
70     96     166    0.006025            -1346.821926        -1346.827951        0.081745       0.316074       0.307533       17.788188      
70     130    200    -0.208506           -1522.453267        -1522.244761        0.065171       0.053352       0.052305       3.935507       
70     132    202    -0.791391           -1526.819662        -1526.028271        0.107503       0.068908       0.08406        6.580322       
70     134    204    -1.068224           -1530.642412        -1529.574188        0.135725       0.064689       0.129358       10.45307       
70     136    206    -0.507925           -1534.121158        -1533.613233        0.166871       0.052614       0.173405       14.353418      
72     94     166    -0.004592           -1337.942121        -1337.937529        0.07733        0.279185       0.267005       15.296883      
72     96     168    -0.003112           -1355.484004        -1355.480892        0.076155       0.304237       0.294865       17.352654      
72     130    202    -0.074547           -1548.457142        -1548.382595        0.046743       0.053513       0.054925       4.17812        
72     132    204    -0.448663           -1553.4014          -1552.952737        0.095428       0.0682         0.088233       6.977726       
72     134    206    -0.568981           -1557.88887         -1557.319889        0.131282       0.050674       0.124944       10.188317      
72     136    208    -0.296372           -1562.260965        -1561.964593        0.157291       0.024088       0.160849       13.437215      
74     96     170    -0.003437           -1362.383798        -1362.380361        0.07493        0.305577       0.296809       17.76301       
74     98     172    -0.00405            -1380.300213        -1380.296163        0.063783       0.314583       0.308824       18.916511      
74     130    204    -0.027867           -1572.956849        -1572.928982        0.026392       0.048397       0.048013       3.68397        
74     132    206    -0.325816           -1578.526752        -1578.200936        0.082111       0.066252       0.0816         6.504807       
74     134    208    -0.448907           -1583.712429        -1583.263522        0.126866       0.03432        0.111104       9.12308        
74     136    210    -0.456866           -1588.914267        -1588.457401        0.14821        0.006333       0.142791       12.017485      
76     96     172    -0.005536           -1367.229144        -1367.223608        0.069496       0.299409       0.291608       17.770513      
76     98     174    -0.001556           -1386.082739        -1386.081183        0.058094       0.306431       0.301382       18.805017      
76     132    208    -0.356645           -1602.180562        -1601.823917        0.075429       0.055366       0.06522        5.231242       
76     134    210    -0.593006           -1608.090238        -1607.497232        0.117224       0.028676       0.091663       7.579224       
76     136    212    -0.807724           -1613.977725        -1613.170001        0.13829        0.002907       0.117807       9.976113       
76     138    214    -0.412423           -1619.291613        -1618.87919         0.139859       -0.024808      0.143132       12.402572      
