Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  Q20_control (b)
90     136    226    -0.999612           -1726.470888        -1725.471276        0.181206       0.190515       0.197773       18.656494      
90     138    228    -0.330314           -1738.472196        -1738.141882        0.149864       0.207169       0.216979       20.872549      
90     192    282    -1.106188           -1920.854531        -1919.748343        0.124171       0.114632       0.085038       11.829314      
90     194    284    -1.432029           -1922.548604        -1921.116575        0.150191       0.13993        0.126205       17.930782      
90     196    286    -1.320317           -1924.01761         -1922.697293        0.165435       0.158525       0.154291       22.320949      
90     198    288    -0.771921           -1925.18854         -1924.416619        0.169023       0.174631       0.176629       25.96312       
90     200    290    -0.125304           -1926.163503        -1926.038199        0.150009       0.191333       0.193063       28.818833      
92     130    222    -1.254952           -1691.410673        -1690.155721        0.123372       0.112743       0.100418       9.013995       
92     132    224    -1.503841           -1706.2284          -1704.724559        0.156278       0.151575       0.155177       14.317019      
92     134    226    -1.197769           -1720.604154        -1719.406385        0.179273       0.181207       0.192863       18.178288      
92     136    228    -0.507498           -1734.426501        -1733.919003        0.193222       0.206385       0.21956        21.100019      
92     190    282    -0.187281           -1945.772682        -1945.585401        0.096214       0.072802       0.000678       0.094707       
92     192    284    -1.556204           -1948.065168        -1946.508964        0.138971       0.115263       -0.001029      -0.145922      
92     194    286    -1.673712           -1950.376333        -1948.702621        0.163473       0.142489       0.138109       19.818356      
92     196    288    -1.234919           -1952.554085        -1951.319166        0.179551       0.163534       0.16975        24.808901      
92     198    290    -0.523119           -1954.478863        -1953.955744        0.184222       0.182457       0.190919       28.375935      
94     130    224    -1.294043           -1694.376369        -1693.082326        0.131507       0.10912        0.109135       9.973289       
94     132    226    -1.072765           -1709.990673        -1708.917908        0.163962       0.15562        0.175928       16.568707      
94     134    228    -0.629776           -1725.436965        -1724.807189        0.183959       0.194549       0.215476       20.750885      
94     136    230    -0.198727           -1740.534589        -1740.335862        0.124321       0.222001       0.235555       23.103659      
94     190    284    -1.018326           -1971.031841        -1970.013515        0.11551        0.074972       -0.000583      -0.081613      
94     192    286    -1.937948           -1973.742436        -1971.804488        0.147786       0.10986        0.100493       14.343682      
94     194    288    -1.616134           -1976.519035        -1974.902901        0.171573       0.139776       0.148624       21.550384      
94     196    290    -0.878409           -1979.272359        -1978.39395         0.187892       0.164699       0.181571       26.835155      
94     198    292    -0.099145           -1981.878139        -1981.778994        0.188002       0.189713       0.201127       30.228434      
94     232    326    -0.001761           -1991.932018        -1991.930257        0.065949       0.205901       0.192091       35.649805      
96     128    224    -0.16359            -1679.643319        -1679.479729        0.069942       0.032561       0.000844       0.077422       
96     130    226    -1.214347           -1695.86236         -1694.648013        0.136661       0.101044       0.119124       11.080534      
96     132    228    -0.512566           -1712.173118        -1711.660552        0.167076       0.157399       0.215485       20.75584       
96     188    284    -0.5478             -1991.068864        -1990.521064        0.084721       0.035214       0.0            0.0            
96     190    286    -1.942714           -1994.709861        -1992.767147        0.12786        0.072021       0.0            0.0            
96     192    288    -2.169692           -1997.9109          -1995.741208        0.155851       0.102932       0.110253       15.898336      
96     194    290    -1.474563           -2001.100768        -1999.626205        0.177862       0.135496       0.155667       22.840104      
96     196    292    -0.641412           -2004.395678        -2003.754266        0.193532       0.163912       0.190681       28.511297      
96     230    326    -0.000888           -2027.91736         -2027.916472        0.068729       0.225274       0.214117       39.585646      
96     232    328    -0.0014             -2027.178577        -2027.177177        0.068795       0.21372        0.19981        37.327719      
96     240    336    -0.002148           -2023.360052        -2023.357904        0.05591        0.167731       0.150345       29.241685      
98     128    226    -0.465318           -1679.128           -1678.662682        0.087065       0.035146       -0.0           -0.0           
98     130    228    -0.826387           -1695.93781         -1695.111423        0.140222       0.092193       0.297487       28.951011      
98     186    284    -0.210442           -2008.401696        -2008.191254        0.05737        0.010909       0.0            0.0            
98     188    286    -1.268833           -2012.439349        -2011.170516        0.105511       0.041261       0.0            0.0            
98     190    288    -2.626151           -2016.650846        -2014.024695        0.13657        0.068286       -0.001316      -0.185437      
98     192    290    -2.087874           -2020.459078        -2018.371204        0.16289        0.09802        0.117486       17.108042      
98     194    292    -1.348419           -2024.208429        -2022.86001         0.185314       0.133895       0.159628       23.700673      
98     196    294    -0.575683           -2028.119106        -2027.543423        0.197073       0.163572       0.198096       29.921209      
98     230    328    -0.007357           -2061.552226        -2061.544869        0.068197       0.231159       0.220642       41.087512      
98     234    332    -0.009001           -2060.614979        -2060.605978        0.069334       0.211001       0.195902       37.221693      
98     238    336    -0.006604           -2059.187039        -2059.180435        0.063158       0.187987       0.170948       33.138128      
100    126    226    -0.046052           -1659.334509        -1659.288457        0.032997       0.006614       0.000572       0.054251       
100    128    228    -0.586605           -1677.055624        -1676.469019        0.089999       0.029448       -0.0           -0.0           
100    168    268    -0.003892           -1954.861056        -1954.857164        0.062657       0.215434       0.2018         25.586964      
100    184    284    -0.01939            -2022.272048        -2022.252658        0.022634       0.000854       0.0            0.0            
100    186    286    -0.491882           -2027.38748         -2026.895598        0.076921       0.014855       -0.00022       -0.030754      
100    188    288    -1.532509           -2032.010661        -2030.478152        0.113665       0.038955       -0.000542      -0.076044      
100    190    290    -2.442018           -2036.812276        -2034.370258        0.143983       0.065749       0.079583       11.399251      
100    192    292    -1.856161           -2041.308345        -2039.452184        0.170046       0.096373       0.123386       18.140739      
100    194    294    -1.109102           -2045.712505        -2044.603403        0.189963       0.134876       0.161833       24.282272      
100    196    296    -0.420565           -2050.259815        -2049.83925         0.192867       0.165718       0.203763       31.071354      
100    230    330    -0.005045           -2093.871607        -2093.866562        0.060822       0.233796       0.224951       42.192124      
100    232    332    -0.006856           -2093.844208        -2093.837352        0.070991       0.228923       0.216409       41.004603      
100    234    334    -0.005014           -2093.594946        -2093.589932        0.072105       0.220024       0.205405       39.307804      
100    236    336    -0.004141           -2093.181866        -2093.177725        0.070915       0.210889       0.192839       37.26802       
100    262    362    -0.409932           -2084.67411         -2084.264178        0.066392       0.018146       -0.000641      -0.171113      
100    264    364    -1.04668            -2081.674646        -2080.627966        0.097333       0.053445       0.043262       9.417414       
102    128    230    -0.469705           -1673.416296        -1672.946591        0.082525       0.01905        -0.0           -0.0           
102    184    286    -0.055749           -2039.098337        -2039.042588        0.037497       0.001587       0.0            1e-06          
102    186    288    -0.494939           -2044.812632        -2044.317693        0.078008       0.00941        0.0            1e-06          
102    188    290    -1.37834            -2049.898895        -2048.520555        0.112655       0.031897       0.0            1e-06          
102    190    292    -2.018424           -2055.292393        -2053.273969        0.146197       0.063141       55.257214      0.0            
102    192    294    -1.086133           -2060.481558        -2059.395425        0.174996       0.095475       53.016662      0.0            
102    194    296    -0.31512            -2065.498678        -2065.183558        0.185594       0.138265       50.493595      0.0            
102    232    334    -0.000219           -2125.185032        -2125.184813        0.081365       0.239892       0.221953       42.345908      
102    234    336    -0.00566            -2125.274998        -2125.269338        0.079341       0.231721       0.213171       41.083819      
102    236    338    -0.005425           -2125.155391        -2125.149966        0.075995       0.220591       0.201519       39.222149      
102    260    362    -0.017094           -2123.483811        -2123.466717        0.037315       0.002846       0.000573       0.111691       
