EDF	 Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       beta2_control  delta_beta2  
UNEDF1 	 94     190    284    -0.784028           -1975.32921         -1974.545182        0.100479       0.067245       -0.0           0.067245       
UNEDF1 	 94     192    286    -1.721342           -1977.878844        -1976.157502        0.137509       0.103219       -0.0           0.103219       
UNEDF1 	 94     196    290    -1.420028           -1983.09744         -1981.677412        0.18115        0.155132       0.17347        -0.018338      
UNEDF1 	 94     198    292    -0.424406           -1985.506087        -1985.081681        0.190752       0.177361       0.196786       -0.019425      
UNEDF1 	 88     130    218    -0.470217           -1685.069937        -1684.59972         0.073841       0.095024       0.070404       0.02462        
UNEDF1 	 88     132    220    -1.072705           -1697.477356        -1696.404651        0.117269       0.132143       0.119839       0.012304       
UNEDF1 	 90     130    220    -0.99011            -1692.183348        -1691.193238        0.104448       0.108041       0.084168       0.023873       
UNEDF1 	 92     130    222    -1.357127           -1697.517403        -1696.160276        0.120685       0.109702       0.089768       0.019934       

UNEDF2 	 54     88     142    -0.112447           -1168.039259        -1167.926812        0.101112       0.159135       0.148186       0.010949       
UNEDF2 	 58     90     148    -0.453538           -1218.707124        -1218.253586        0.166903       0.213714       0.241303       -0.027589      
UNEDF2 	 86     194    280    -0.020748           -1861.687337        -1861.666589        0.06291        0.070874       0.081558       -0.010684      
UNEDF2 	 90     130    220    -0.377232           -1692.461588        -1692.084356        0.103269       0.089293       -0.001148      0.090441       
UNEDF2 	 90     192    282    -0.466067           -1923.186547        -1922.72048         0.063644       0.040914       0.029618       0.011296       
UNEDF2 	 92     130    222    -0.390686           -1698.09842         -1697.707734        0.110742       0.087765       -0.000665      0.08843        
UNEDF2 	 92     132    224    -2.54464            -1712.38438         -1709.83974         0.15531        0.128166       -0.004215      0.132381       
UNEDF2 	 92     136    228    -0.867584           -1739.50665         -1738.639066        0.181918       0.196058       0.21876        -0.022702      
UNEDF2 	 92     138    230    -0.0494             -1752.486629        -1752.437229        0.163463       0.221199       0.23298        -0.011781      
UNEDF2 	 92     192    284    -0.545621           -1951.718877        -1951.173256        0.080676       0.039814       -0.001789      0.041603       
UNEDF2 	 92     194    286    -0.70594            -1953.113439        -1952.407499        0.092279       0.045508       -0.035758      0.081266       
UNEDF2 	 92     196    288    -0.379279           -1954.204898        -1953.825619        0.092521       0.045314       0.079225       -0.033911      
UNEDF2 	 94     130    224    -1.583094           -1702.283575        -1700.700481        0.121546       0.082897       0.001194       0.081703       
UNEDF2 	 94     132    226    -3.259727           -1717.312765        -1714.053038        0.159854       0.116824       -0.058767      0.175591       
UNEDF2 	 94     136    230    -0.332308           -1746.041849        -1745.709541        0.182428       0.206757       0.237577       -0.03082       
UNEDF2 	 94     188    282    -0.309883           -1972.656953        -1972.34707         0.05622        0.023434       -0.00054       0.023974       
UNEDF2 	 94     190    284    -1.694044           -1975.77819         -1974.084146        0.095004       0.049568       -0.0           0.049568       
UNEDF2 	 94     192    286    -2.175624           -1978.373821        -1976.198197        0.114736       0.061209       -0.04499       0.106199       
UNEDF2 	 94     196    290    -0.955208           -1981.881286        -1980.926078        0.134704       0.082954       0.093198       -0.010244      
UNEDF2 	 94     198    292    -0.455325           -1983.501268        -1983.045943        0.169085       0.148331       0.112078       0.036253       
UNEDF2 	 56     86     142    -0.219272           -1180.151054        -1179.931782        0.087163       0.135836       0.124737       0.011099       
UNEDF2 	 56     88     144    -0.552157           -1189.674428        -1189.122271        0.139712       0.176107       0.166089       0.010018       
UNEDF2 	 58     86     144    -0.49824            -1197.822865        -1197.324625        0.107339       0.133607       0.119996       0.013611       
UNEDF2 	 88     132    220    -1.417197           -1697.537887        -1696.12069         0.127291       0.116552       0.089145       0.027407       
UNEDF2 	 88     134    222    -1.483146           -1709.105097        -1707.621951        0.150751       0.14946        0.134149       0.015311       
UNEDF2 	 90     132    222    -2.298434           -1705.906353        -1703.607919        0.145058       0.128245       0.084032       0.044213       
UNEDF2 	 92     134    226    -2.081133           -1726.116201        -1724.035068        0.177776       0.167774       0.191967       -0.024193      
UNEDF2 	 94     134    228    -1.426989           -1731.581909        -1730.15492         0.185023       0.165323       0.224677       -0.059354      

SLY4 	 56     86     142    -0.152701           -1176.809304        -1176.656603        0.100529       0.161519       0.149395       0.012124       
SLY4 	 56     88     144    -0.504639           -1186.76425         -1186.259611        0.149614       0.194021       0.18127        0.012751       
SLY4 	 58     66     124    0.010929            -1018.441364        -1018.452293        0.103525       0.364029       0.353788       0.010241       
SLY4 	 58     84     142    -0.001947           -1181.966922        -1181.964975        0.028627       0.110491       0.096318       0.014173       
SLY4 	 58     86     144    -0.271387           -1193.542059        -1193.270672        0.121008       0.164687       0.154065       0.010622       
SLY4 	 58     90     148    -0.142132           -1214.774321        -1214.632189        0.12892        0.2237         0.240941       -0.017241      
SLY4 	 86     132    218    -0.533476           -1679.961588        -1679.428112        0.102753       0.119574       0.108262       0.011312       
SLY4 	 86     134    220    -0.677594           -1689.725931        -1689.048337        0.128804       0.140783       0.130026       0.010757       
SLY4 	 86     154    240    -0.005211           -1769.195832        -1769.190621        0.065463       0.249042       0.238755       0.010287       
SLY4 	 86     156    242    -0.009518           -1775.213184        -1775.203666        0.071811       0.247535       0.234762       0.012773       
SLY4 	 86     158    244    -0.011037           -1781.048246        -1781.037209        0.074129       0.241167       0.226425       0.014742       
SLY4 	 86     192    278    -0.136328           -1831.180504        -1831.044176        0.073354       0.099017       0.084551       0.014466       
SLY4 	 86     194    280    -0.367954           -1829.83274         -1829.464786        0.115438       0.12286        0.11122        0.01164        
SLY4 	 88     130    218    -0.803592           -1677.896045        -1677.092453        0.102117       0.107839       0.093129       0.01471        
SLY4 	 88     132    220    -1.59444            -1690.213072        -1688.618632        0.13944        0.140765       0.125389       0.015376       
SLY4 	 88     134    222    -1.82366            -1701.514342        -1699.690682        0.167107       0.162781       0.150794       0.011987       
SLY4 	 88     156    244    -0.01237            -1796.457856        -1796.445486        0.069637       0.244201       0.231834       0.012367       
SLY4 	 88     192    280    -1.01774            -1863.472072        -1862.454332        0.125167       0.117135       0.096342       0.020793       
SLY4 	 88     194    282    -1.506621           -1863.297989        -1861.791368        0.146803       0.137353       0.122476       0.014877       
SLY4 	 90     130    220    -1.256995           -1684.430084        -1683.173089        0.123882       0.117031       0.101865       0.015166       
SLY4 	 90     132    222    -1.9245             -1697.921235        -1695.996735        0.159588       0.151707       0.14032        0.011387       
SLY4 	 90     156    246    -0.011122           -1816.035335        -1816.024213        0.066429       0.247189       0.236299       0.01089        
SLY4 	 90     158    248    -0.015559           -1823.305835        -1823.290276        0.072485       0.241861       0.227829       0.014032       
SLY4 	 90     160    250    -0.02258            -1830.330206        -1830.307626        0.073519       0.233181       0.217071       0.01611        
SLY4 	 90     190    280    -0.239275           -1893.18            -1892.940725        0.110371       0.089774       -0.0           0.089774       
SLY4 	 90     192    282    -1.661327           -1893.784035        -1892.122708        0.143148       0.12226        0.099578       0.022682       
SLY4 	 90     194    284    -2.108034           -1894.419253        -1892.311219        0.115378       0.147863       0.132098       0.015765       
SLY4 	 90     224    314    -0.004709           -1877.047526        -1877.042817        0.107173       0.242921       0.211464       0.031457       
SLY4 	 92     130    222    -1.473401           -1689.207741        -1687.73434         0.136064       0.117578       0.107369       0.010209       
SLY4 	 92     136    228    -0.598345           -1731.032594        -1730.434249        0.222874       0.210331       0.221115       -0.010784      
SLY4 	 92     138    230    -0.149602           -1743.959286        -1743.809684        0.192902       0.226388       0.237229       -0.010841      
SLY4 	 92     158    250    -0.006406           -1841.768944        -1841.762538        0.068481       0.248448       0.236789       0.011659       
SLY4 	 92     160    252    -0.017352           -1849.365976        -1849.348624        0.074037       0.241419       0.226406       0.015013       
SLY4 	 92     162    254    -0.027141           -1856.388878        -1856.361737        0.074119       0.231292       0.214299       0.016993       
SLY4 	 92     190    282    -0.670208           -1921.257022        -1920.586814        0.126297       0.087923       -0.0           0.087923       
SLY4 	 92     192    284    -2.02802            -1922.2996          -1920.27158         0.15397        0.120642       0.101165       0.019477       
SLY4 	 94     160    254    -0.006006           -1866.80196         -1866.795954        0.069762       0.249285       0.237034       0.012251       
SLY4 	 94     162    256    -0.017693           -1874.369633        -1874.35194         0.074872       0.239952       0.224134       0.015818       
SLY4 	 94     190    284    -1.939035           -1947.954368        -1946.015333        0.137535       0.082701       -0.00026       0.082961       
SLY4 	 94     192    286    -2.421806           -1949.387128        -1946.965322        0.112855       0.120336       0.104519       0.015817       
SLY4 	 94     196    290    -1.247948           -1952.887019        -1951.639071        0.136224       0.168332       0.182511       -0.014179      
SLY4 	 94     198    292    -0.303839           -1954.450422        -1954.146583        0.134085       0.189107       0.200205       -0.011098      

SV-MIN 	 54     90     144    -0.00077            -1175.434682        -1175.433912        0.058706       0.196024       0.178587       0.017437       
SV-MIN 	 88     130    218    -0.629613           -1680.482676        -1679.853063        0.082059       0.095054       0.073877       0.021177       
SV-MIN 	 88     132    220    -1.149374           -1693.16125         -1692.011876        0.123024       0.13132        0.119837       0.011483       
SV-MIN 	 88     192    280    -0.602747           -1891.913119        -1891.310372        0.090586       0.102306       0.00163        0.100676       
SV-MIN 	 88     194    282    -0.770533           -1892.853445        -1892.082912        0.124216       0.129697       0.115183       0.014514       
SV-MIN 	 90     130    220    -1.051395           -1686.83461         -1685.783215        0.109347       0.109255       0.09187        0.017385       
SV-MIN 	 90     192    282    -1.106188           -1920.854531        -1919.748343        0.124171       0.114632       0.085038       0.029594       
SV-MIN 	 90     194    284    -1.432029           -1922.548604        -1921.116575        0.150191       0.13993        0.126205       0.013725       
SV-MIN 	 92     130    222    -1.254952           -1691.410673        -1690.155721        0.123372       0.112743       0.100418       0.012325       
SV-MIN 	 92     134    226    -1.197769           -1720.604154        -1719.406385        0.179273       0.181207       0.192863       -0.011656      
SV-MIN 	 92     136    228    -0.507498           -1734.426501        -1733.919003        0.193222       0.206385       0.21956        -0.013175      
SV-MIN 	 92     190    282    -0.187281           -1945.772682        -1945.585401        0.096214       0.072802       0.000678       0.072124       
SV-MIN 	 92     192    284    -1.556204           -1948.065168        -1946.508964        0.138971       0.115263       -0.001029      0.116292       
SV-MIN 	 94     132    226    -1.072765           -1709.990673        -1708.917908        0.163962       0.15562        0.175928       -0.020308      
SV-MIN 	 94     134    228    -0.629776           -1725.436965        -1724.807189        0.183959       0.194549       0.215476       -0.020927      
SV-MIN 	 94     136    230    -0.198727           -1740.534589        -1740.335862        0.124321       0.222001       0.235555       -0.013554      
SV-MIN 	 94     190    284    -1.018326           -1971.031841        -1970.013515        0.11551        0.074972       -0.000583      0.075555       
SV-MIN 	 94     196    290    -0.878409           -1979.272359        -1978.39395         0.187892       0.164699       0.181571       -0.016872      
SV-MIN 	 94     198    292    -0.099145           -1981.878139        -1981.778994        0.188002       0.189713       0.201127       -0.011414      
SV-MIN 	 94     232    326    -0.001761           -1991.932018        -1991.930257        0.065949       0.205901       0.192091       0.01381        

SKMS 	 54     54     108    -0.332307           -867.937114         -867.604807         0.178964       0.189354       0.164595       0.024759       
SKMS 	 54     56     110    -0.452287           -892.710339         -892.258052         0.180786       0.2049         0.192198       0.012702       
SKMS 	 54     86     140    -0.34374            -1163.680054        -1163.336314        0.113403       0.13555        0.123832       0.011718       
SKMS 	 56     54     110    -0.543172           -863.670178         -863.127006         0.092361       0.206294       0.195838       0.010456       
SKMS 	 56     56     112    -0.903836           -890.774535         -889.870699         0.209156       0.240342       0.223271       0.017071       
SKMS 	 56     86     142    -0.780029           -1180.819811        -1180.039782        0.158265       0.161778       0.141783       0.019995       
SKMS 	 56     88     144    -1.245352           -1191.629421        -1190.384069        0.188724       0.190704       0.178097       0.012607       
SKMS 	 58     86     144    -0.908436           -1195.484408        -1194.575972        0.170085       0.165388       0.148773       0.016615       
SKMS 	 58     132    190    -0.420449           -1350.934818        -1350.514369        0.10015        0.117854       0.104591       0.013263       
SKMS 	 58     134    192    -0.709449           -1351.529357        -1350.819908        0.129206       0.141286       0.127252       0.014034       
SKMS 	 58     136    194    -0.899784           -1351.730244        -1350.83046         0.143937       0.160715       0.149014       0.011701       
SKMS 	 58     138    196    -0.472192           -1351.559391        -1351.087199        0.146266       0.179948       0.23079        -0.050842      
SKMS 	 86     130    216    -1.476153           -1670.583583        -1669.10743         0.122174       0.087919       0.07233        0.015589       
SKMS 	 86     154    240    -0.003893           -1786.801378        -1786.797485        0.061085       0.229334       0.218563       0.010771       
SKMS 	 86     156    242    -0.013903           -1794.33432         -1794.320417        0.063107       0.224355       0.211712       0.012643       
SKMS 	 86     158    244    -0.016151           -1801.702354        -1801.686203        0.063151       0.216506       0.202554       0.013952       
SKMS 	 86     160    246    -0.016334           -1808.8895          -1808.873166        0.060237       0.204865       0.190252       0.014613       
SKMS 	 86     164    250    -0.018743           -1822.575622        -1822.556879        0.051809       0.176924       0.161511       0.015413       
SKMS 	 86     192    278    -0.270403           -1884.862865        -1884.592462        0.060337       0.040802       0.0            0.040802       
SKMS 	 86     194    280    -0.667665           -1885.826469        -1885.158804        0.133158       0.106328       0.086054       0.020274       
SKMS 	 88     128    216    -0.570401           -1662.69283         -1662.122429        0.081078       0.069147       -0.0           0.069147       
SKMS 	 88     130    218    -2.402534           -1677.040388        -1674.637854        0.140198       0.108738       0.095435       0.013303       
SKMS 	 88     156    244    -0.010914           -1812.717327        -1812.706413        0.063915       0.230543       0.218464       0.012079       
SKMS 	 88     158    246    -0.017684           -1820.706982        -1820.689298        0.065615       0.223683       0.209965       0.013718       
SKMS 	 88     160    248    -0.020728           -1828.515797        -1828.495069        0.064474       0.213926       0.198986       0.01494        
SKMS 	 88     162    250    -0.023394           -1836.070581        -1836.047187        0.061633       0.201847       0.185855       0.015992       
