Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total      beta3_total    fileID    Convergence    
56     112    168    -1266.24206             0.209721       12.682492      0.0            1968      YES            
56     114    170    -1269.611512            0.191899       11.84459       0.0            1989      YES            
56     116    172    -1272.677181            0.169418       10.671798      0.0            2007      YES            
56     118    174    -1275.685524            0.142874       9.180655       0.0            2028      YES            
56     120    176    -1278.750225            0.111471       7.301247       0.0            2051      YES            
56     122    178    -1282.077942            0.061383       4.095852       0.0            2072      YES            
56     124    180    -1286.493955            6e-05          0.004062       0.0            2092      YES            
56     126    182    -1289.652344            -0.000525      -0.036455      0.0            2109      YES            
56     128    184    -1288.921524            0.006693       0.475397       0.0            2135      YES            
56     130    186    -1287.886202            0.06073        4.425066       0.0            2157      YES            
56     132    188    -1287.039625            0.084925       6.339398       0.0            2178      YES            
56     134    190    -1285.934748            0.093904       7.176457       0.0            2199      YES            
56     136    192    -1284.56053             0.090326       7.061846       0.0            2219      YES            
56     138    194    -1283.062112            -0.07187       -5.746655      0.0            2235      YES            
58     58     116    -922.131942             0.333698       10.817591      0.0            2266      YES            
58     60     118    -950.044513             0.364224       12.212842      0.0            2287      YES            
58     62     120    -975.706284             0.380958       13.169588      0.0            2308      YES            
58     64     122    -999.721687             0.378367       13.416688      0.0            2329      YES            
58     66     124    -1022.17913             0.352672       12.756211      0.0            2350      YES            
58     68     126    -1043.942828            0.321981       11.869759      0.0            2371      YES            
58     70     128    -1064.728878            0.291957       10.973149      0.0            2392      YES            
58     72     130    -1084.41435             0.254184       9.729335       0.0            2413      YES            
58     74     132    -1103.101939            0.213821       8.343653       0.0            2431      YES            
58     76     134    -1121.488504            0.171632       6.832937       0.0            2452      YES            
58     78     136    -1139.690344            0.133335       5.419634       0.0            2472      YES            
58     80     138    -1157.469254            0.070834       2.937319       0.0            2492      YES            
58     82     140    -1175.457139            -0.00012       -0.005073      0.0            2508      YES            
58     84     142    -1186.433569            0.062208       2.70593        0.0            2535      YES            
58     92     150    -1229.378376            0.281817       13.88902       0.0            2559      YES            
58     94     152    -1239.360353            0.299874       15.18441       0.0            2581      YES            
58     96     154    -1248.315405            0.308315       16.008546      0.0            2602      YES            
58     98     156    -1256.570473            0.309994       16.480256      0.0            2623      YES            
58     100    158    -1264.381758            0.308797       16.795613      0.0            2644      YES            
58     102    160    -1271.497223            0.306553       17.054078      0.0            2665      YES            
58     104    162    -1277.621825            0.299013       16.99784       0.0            2685      YES            
58     106    164    -1283.110563            0.278864       16.156688      0.0            2707      YES            
58     108    166    -1288.523556            0.252061       14.868839      0.0            2726      YES            
58     110    168    -1293.87687             0.230457       13.858412      0.0            2745      YES            
58     112    170    -1298.865839            0.212673       13.04313       0.0            2766      YES            
58     114    172    -1303.324314            0.194538       12.168445      0.0            2787      YES            
58     116    174    -1307.365877            0.174004       11.100845      0.0            2808      YES            
58     118    176    -1311.138143            0.14943        9.719837       0.0            2826      YES            
58     120    178    -1315.179638            -0.110116      -7.280666      0.0            2845      YES            
58     122    180    -1319.497616            -0.054525      -3.676852      0.0            2865      YES            
58     124    182    -1325.049429            0.000732       0.050395       0.0            2891      YES            
58     126    184    -1329.171124            -0.000439      -0.030858      0.0            2907      YES            
58     128    186    -1328.997176            -0.002455      -0.176189      0.0            2928      YES            
58     130    188    -1328.204209            0.039751       2.919358       0.0            2955      YES            
58     132    190    -1327.697184            0.069428       5.22012        0.0            2976      YES            
58     134    192    -1327.013213            0.080065       6.158177       0.0            2997      YES            
58     136    194    -1326.112471            0.080273       6.31277        0.0            3018      YES            
58     138    196    -1325.222555            -0.065979      -5.303846      0.0            3033      YES            
58     140    198    -1324.176947            -0.012385      -1.016869      0.0            3055      YES            
58     142    200    -1323.257003            -0.002412      -0.2027        0.0            3076      YES            
58     144    202    -1321.969766            -0.0           -1e-06         0.0            3098      YES            
58     146    204    -1320.161569            -0.0           -0.0           0.0            3119      YES            
58     148    206    -1317.946666            -0.0           -3e-06         0.0            3140      YES            
58     150    208    -1316.014493            0.211226       19.288296      0.0            3164      YES            
80     86     166    -1262.516854            -0.0           -6e-06         0.0            3182      YES            
80     88     168    -1284.636614            0.017996       1.023485       0.0            3204      YES            
80     90     170    -1306.597198            0.081626       4.751195       0.0            3225      YES            
80     94     174    -1349.246702            0.11267        6.833728       0.0            3248      YES            
80     98     178    -1391.466362            0.28881        18.693575      0.0            3271      YES            
80     100    180    -1411.860416            0.301602       19.949186      0.0            3292      YES            
80     102    182    -1431.453273            0.305407       20.600205      0.0            3313      YES            
80     104    184    -1450.02905             0.298889       20.510394      0.0            3334      YES            
80     106    186    -1467.603202            0.284103       19.806802      0.0            3354      YES            
80     108    188    -1484.460034            -0.181261      -12.642573     0.0            3369      YES            
80     110    190    -1501.492041            -0.169863      -12.036806     0.0            3390      YES            
80     112    192    -1518.136581            -0.156785      -11.284904     0.0            3411      YES            
80     114    194    -1534.442728            -0.144026      -10.529476     0.0            3432      YES            
80     116    196    -1550.444484            -0.129636      -9.623725      0.0            3453      YES            
80     118    198    -1566.007308            -0.109456      -8.247145      0.0            3474      YES            
80     120    200    -1580.858141            -0.082243      -6.289739      0.0            3495      YES            
80     122    202    -1595.111628            8e-06          0.000656       0.0            3518      YES            
80     124    204    -1609.865266            -0.0           -1.9e-05       0.0            3539      YES            
80     126    206    -1623.084801            0.00018        0.014428       0.0            3561      YES            
80     128    208    -1630.956636            0.0            0.0            0.0            3581      YES            
80     130    210    -1638.022092            -0.000475      -0.039444      0.0            3601      YES            
80     144    224    -1685.039944            0.240136       22.992675      0.0            3627      YES            
80     146    226    -1691.846225            0.254867       24.879034      0.0            3648      YES            
80     148    228    -1698.13063             0.262574       26.09451       0.0            3669      YES            
80     150    230    -1703.848872            0.264601       26.740527      0.0            3690      YES            
80     152    232    -1709.127402            0.263102       27.020513      0.0            3711      YES            
80     154    234    -1714.06367             0.260143       27.143858      0.0            3732      YES            
80     156    236    -1718.703927            0.25642        27.180616      0.0            3753      YES            
80     158    238    -1722.989445            0.251445       27.068593      0.0            3774      YES            
80     160    240    -1726.700774            0.243273       26.574471      0.0            3795      YES            
80     162    242    -1729.825155            0.227704       25.197448      0.0            3815      YES            
80     164    244    -1732.998847            -0.173154      -19.238573     0.0            3831      YES            
80     166    246    -1736.878731            -0.165162      -18.610502     0.0            3852      YES            
80     168    248    -1740.555372            -0.155693      -17.792939     0.0            3873      YES            
80     170    250    -1744.050821            -0.145202      -16.829775     0.0            3894      YES            
80     172    252    -1747.269035            -0.133128      -15.648628     0.0            3915      YES            
80     174    254    -1750.189451            -0.116832      -13.924341     0.0            3937      YES            
80     176    256    -1752.900996            -0.094872      -11.458387     0.0            3958      YES            
80     178    258    -1755.468915            -0.066711      -8.165668      0.0            3979      YES            
80     180    260    -1758.147081            0.001199       0.148823       0.0            4002      YES            
80     182    262    -1761.71487             0.000414       0.052169       0.0            4023      YES            
80     184    264    -1764.030769            -0.0           -0.0           0.0            4043      YES            
80     186    266    -1762.849411            -0.000528      -0.068501      0.0            4063      YES            
80     188    268    -1760.886821            -0.001216      -0.16012       0.0            4084      YES            
80     190    270    -1759.015722            -0.0           -0.0           0.0            4106      YES            
86     100    186    -1409.88321             0.312495       21.890279      0.0            4131      YES            
86     102    188    -1432.142185            0.313269       22.330839      0.0            4152      YES            
86     104    190    -1453.331945            0.288          20.772703      0.0            4172      YES            
86     106    192    -1473.930346            0.256654       18.726281      0.0            4193      YES            
86     108    194    -1493.927897            0.223541       16.498113      0.0            4214      YES            
86     110    196    -1513.470701            0.183489       13.681885      0.0            4234      YES            
86     112    198    -1532.717288            0.150698       11.382735      0.0            4255      YES            
86     114    200    -1551.673334            0.125272       9.599535       0.0            4275      YES            
86     116    202    -1570.256536            0.104589       8.133877       0.0            4296      YES            
86     118    204    -1588.794436            -0.094078      -7.431         0.0            4314      YES            
86     120    206    -1606.706198            -0.074368      -5.962886      0.0            4336      YES            
86     122    208    -1623.98513             -0.05082       -4.136621      0.0            4357      YES            
86     124    210    -1640.713265            0.001115       0.092144       0.0            4380      YES            
86     126    212    -1656.347362            -0.000321      -0.026971      0.0            4399      YES            
86     128    214    -1666.807683            0.00051        0.04351        0.0            4422      YES            
86     130    216    -1676.376892            0.007378       0.639947       0.0            4443      YES            
86     136    222    -1707.392945            0.141507       12.987732      0.0            4465      YES            
86     138    224    -1717.469696            0.165314       15.46651       0.0            4486      YES            
86     140    226    -1727.14286             0.183829       17.518538      0.0            4508      YES            
86     142    228    -1736.44997             0.198953       19.302949      0.0            4529      YES            
86     144    230    -1745.424347            0.212094       20.944039      0.0            4550      YES            
86     146    232    -1753.990215            0.222179       22.31833       0.0            4571      YES            
86     148    234    -1762.084969            0.22803        23.284241      0.0            4592      YES            
86     150    236    -1769.761853            0.229482       23.802394      0.0            4613      YES            
86     152    238    -1777.056946            0.228507       24.068044      0.0            4634      YES            
86     154    240    -1784.00301             0.226735       24.251689      0.0            4655      YES            
86     156    242    -1790.670318            0.224202       24.352909      0.0            4676      YES            
86     158    244    -1797.09004             0.218636       24.102114      0.0            4697      YES            
86     160    246    -1803.164423            0.204533       22.83776       0.0            4717      YES            
86     162    248    -1809.002476            0.185276       20.926123      0.0            4738      YES            
86     164    250    -1814.570943            0.168301       19.239863      0.0            4759      YES            
86     166    252    -1819.774009            0.147783       17.090043      0.0            4780      YES            
86     168    254    -1824.950902            0.125521       14.684139      0.0            4801      YES            
86     170    256    -1830.216148            -0.135762      -16.170015     0.0            4818      YES            
86     172    258    -1835.390556            -0.119887      -14.46427      0.0            4839      YES            
86     174    260    -1840.31961             -0.101601      -12.416889     0.0            4860      YES            
86     176    262    -1845.031177            -0.079459      -9.837884      0.0            4882      YES            
86     178    264    -1849.580726            -0.059755      -7.499827      0.0            4903      YES            
86     180    266    -1853.887897            -0.029749      -3.785331      0.0            4924      YES            
86     182    268    -1858.6291              0.000538       0.06943        0.0            4947      YES            
86     184    270    -1862.43452             0.0            1e-06          0.0            4967      YES            
86     186    272    -1862.705217            0.000477       0.063294       0.0            4989      YES            
86     188    274    -1862.157091            0.001317       0.177381       0.0            5010      YES            
86     190    276    -1861.708259            0.013057       1.782499       0.0            5031      YES            
86     196    282    -1861.749568            0.101828       14.53034       0.0            5053      YES            
86     198    284    -1861.79867             0.118749       17.196673      0.0            5074      YES            
86     200    286    -1861.703224            0.133421       19.609864      0.0            5095      YES            
86     202    288    -1861.430673            0.147959       22.078526      0.0            5117      YES            
86     204    290    -1860.971613            0.16059        24.32751       0.0            5138      YES            
86     206    292    -1860.371698            0.171677       26.400045      0.0            5159      YES            
86     208    294    -1859.621404            0.180297       28.13549       0.0            5180      YES            
86     210    296    -1858.715965            0.186639       29.547541      0.0            5201      YES            
86     212    298    -1857.669954            0.191351       30.726536      0.0            5222      YES            
86     214    300    -1856.490892            0.194966       31.748291      0.0            5243      YES            
88     104    192    -1451.270549            0.294457       21.645499      0.0            5264      YES            
88     106    194    -1472.830484            0.25357        18.811324      0.0            5285      YES            
88     108    196    -1493.826905            0.226453       17.009473      0.0            5306      YES            
88     110    198    -1514.164356            0.198827       15.11808       0.0            5327      YES            
88     112    200    -1534.12922             0.172407       13.282751      0.0            5347      YES            
88     114    202    -1553.825468            0.147221       11.503232      0.0            5368      YES            
88     116    204    -1573.231661            0.124288       9.850979       0.0            5390      YES            
88     118    206    -1592.248942            0.096952       7.793544       0.0            5409      YES            
88     120    208    -1610.864703            0.071275       5.813014       0.0            5430      YES            
88     122    210    -1628.958621            -0.051042      -4.225607      0.0            5449      YES            
88     124    212    -1646.56686             0.001446       0.121472       0.0            5472      YES            
88     126    214    -1662.974529            0.000334       0.028536       0.0            5493      YES            
88     128    216    -1674.337625            0.000592       0.051345       0.0            5514      YES            
88     130    218    -1684.850878            0.022339       1.968581       0.0            5535      YES            
88     140    228    -1741.447043            0.202872       19.652864      0.0            5558      YES            
88     142    230    -1751.718165            0.214432       21.12962       0.0            5579      YES            
88     144    232    -1761.573303            0.224105       22.455209      0.0            5600      YES            
88     146    234    -1770.954525            0.231177       23.544067      0.0            5621      YES            
88     148    236    -1779.829962            0.233955       24.200419      0.0            5642      YES            
88     150    238    -1788.294269            0.232449       24.404841      0.0            5663      YES            
88     152    240    -1796.380541            0.22845        24.335636      0.0            5684      YES            
88     154    242    -1804.087811            0.223608       24.166871      0.0            5705      YES            
88     156    244    -1811.45942             0.218353       23.943889      0.0            5726      YES            
88     158    246    -1818.563148            0.209957       23.345868      0.0            5746      YES            
88     160    248    -1825.394927            0.196971       22.185944      0.0            5767      YES            
88     162    250    -1832.03729             0.180588       20.589581      0.0            5788      YES            
88     164    252    -1838.377427            0.165199       19.073188      0.0            5809      YES            
88     166    254    -1844.330882            0.148234       17.328735      0.0            5830      YES            
88     168    256    -1850.139888            0.130059       15.393536      0.0            5851      YES            
88     170    258    -1855.841693            0.115513       13.855639      0.0            5872      YES            
88     172    260    -1861.364406            0.10032        12.198276      0.0            5892      YES            
88     174    262    -1866.611479            -0.092558      -11.420345     0.0            5910      YES            
88     176    264    -1871.996187            -0.074629      -9.332505      0.0            5932      YES            
88     178    266    -1877.18593             -0.055976      -7.095262      0.0            5953      YES            
88     180    268    -1882.07736             -0.024522      -3.150498      0.0            5974      YES            
88     182    270    -1887.335721            0.000507       0.066111       0.0            5997      YES            
88     184    272    -1891.589937            0.0            0.0            0.0            6017      YES            
88     186    274    -1892.400454            0.0            0.0            0.0            6038      YES            
88     188    276    -1892.356289            0.0            0.0            0.0            6059      YES            
88     190    278    -1892.444917            0.019067       2.625344       0.0            6081      YES            
88     196    284    -1894.32411             0.101433       14.576809      0.0            6102      YES            
88     198    286    -1894.966365            0.119847       17.476178      0.0            6124      YES            
88     200    288    -1895.477923            0.134949       19.968516      0.0            6145      YES            
88     202    290    -1895.796594            0.149608       22.469259      0.0            6166      YES            
88     204    292    -1895.925985            0.164917       25.150712      0.0            6188      YES            
88     206    294    -1895.906737            0.175986       27.238062      0.0            6209      YES            
88     208    296    -1895.732379            0.183755       28.850446      0.0            6230      YES            
88     210    298    -1895.369181            0.189261       30.134981      0.0            6251      YES            
88     212    300    -1894.832544            0.193194       31.189528      0.0            6272      YES            
88     214    302    -1894.145614            0.195657       32.018483      0.0            6293      YES            
88     216    304    -1893.300774            0.196129       32.52175       0.0            6314      YES            
88     218    306    -1892.277508            0.194298       32.634424      0.0            6335      YES            
88     220    308    -1891.069752            0.190432       32.390303      0.0            6356      YES            
90     108    198    -1491.963285            0.240201       18.400089      0.0            6377      YES            
90     110    200    -1513.000238            0.216034       16.755198      0.0            6398      YES            
90     112    202    -1533.582175            0.191533       15.043968      0.0            6419      YES            
90     114    204    -1553.887539            0.16516        13.146875      0.0            6440      YES            
90     116    206    -1574.103265            0.136858       11.044705      0.0            6461      YES            
90     118    208    -1594.005344            0.105647       8.643076       0.0            6480      YES            
90     120    210    -1613.548271            0.071092       5.897068       0.0            6501      YES            
90     122    212    -1632.48921             0.026761       2.251842       0.0            6522      YES            
90     124    214    -1651.292609            0.0            1e-06          0.0            6542      YES            
90     126    216    -1668.450282            0.000289       0.025063       0.0            6564      YES            
90     128    218    -1680.731982            0.000408       0.035961       0.0            6585      YES            
90     140    230    -1754.186148            0.226893       22.375586      0.0            6608      YES            
90     142    232    -1765.404449            0.236076       23.666005      0.0            6629      YES            
90     144    234    -1776.132407            0.243463       24.801635      0.0            6650      YES            
90     146    236    -1786.337931            0.248469       25.710189      0.0            6671      YES            
90     148    238    -1795.973564            0.249092       26.159934      0.0            6692      YES            
90     150    240    -1805.155714            0.245401       26.138447      0.0            6713      YES            
90     152    242    -1813.899905            0.23923        25.832391      0.0            6734      YES            
90     154    244    -1822.218191            0.232298       25.427981      0.0            6755      YES            
90     156    246    -1830.19723             0.225241       24.997387      0.0            6776      YES            
90     158    248    -1837.90486             0.216578       24.364075      0.0            6797      YES            
90     160    250    -1845.318796            0.203207       23.151319      0.0            6818      YES            
90     162    252    -1852.536362            0.184668       21.291167      0.0            6838      YES            
90     164    254    -1859.566735            0.167118       19.509675      0.0            6859      YES            
