EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
UNE0,16O,8,8,16,Ground,Ground,Ground,"0, 0, 0, 0, 0",-126.757388,0.0,100,0
UNE0,'',8,9,17,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-122.98584,3.771548,100,0
UNE0,'',8,7,15,neutron,hole,1p_3_2,"3, -1, 1, 0, 1",-109.638008,-17.11938,100,0
UNE0,'',8,9,17,neutron,particle,2s_1_2,"1, 1, 2, 0, 0",-130.897085,-4.139697,100,0
UNE0,'',8,9,17,neutron,particle,1d_3_2,"3, 1, 2, 0, 2",-127.455362,-0.697974,100,0
UNE0,'',8,7,15,neutron,hole,1p_1_2,"1, -1, 1, 0, 1",-115.866468,-10.89092,100,0
UNE0,'',8,9,17,neutron,particle,1d_5_2,"5, 1, 2, 0, 2",-133.853874,-7.096486,100,0
UNE0,'',9,8,17,proton,particle,1d_5_2,"5, 1, 2, 0, 2",-130.220561,-3.463173,100,0
UNE0,'',9,8,17,proton,particle,2s_1_2,"1, 1, 2, 0, 0",-127.532038,-0.77465,100,0
UNE0,'',9,8,17,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-119.746856,7.010532,100,0
UNE0,'',7,8,15,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-112.445714,-14.311674,100,0
UNE0,'',7,8,15,proton,hole,1p_1_2,"1, -1, 1, 1, 0",-112.436161,-14.321227,100,3
UNE0,'',9,8,17,proton,particle,1d_3_2,"3, 1, 2, 0, 2",-124.100102,2.657286,100,0
UNE0,40Ca,20,20,40,Ground,Ground,Ground,"0, 0, 0, 0, 0",-341.318197,0.0,100,0
UNE0,'',20,19,39,neutron,hole,1d_3_2,"3, 1, 2, 0, 2",-327.87659,-13.441607,100,0
UNE0,'',20,21,41,neutron,particle,1f_5_2,"5, -1, 3, 0, 3",-344.252962,-2.934765,100,0
UNE0,'',20,21,41,neutron,particle,1f_7_2,"7, -1, 3, 0, 3",-351.461972,-10.143775,100,0
UNE0,'',20,19,39,neutron,hole,2s_1_2,"1, 1, 2, 0, 0",-325.20794,-16.110257,100,0
UNE0,'',20,21,41,neutron,particle,2p_1_2,"1, -1, 3, 0, 1",-345.855786,-4.537589,100,0
UNE0,'',20,19,39,neutron,hole,1d_5_2,"5, 1, 2, 0, 2",-322.109729,-19.208468,100,0
UNE0,'',20,21,41,neutron,particle,1g_9_2,"9, 1, 4, 0, 4",-341.662978,-0.344781,100,0
UNE0,'',20,21,41,neutron,particle,2p_3_2,"3, -1, 3, 0, 1",-347.781854,-6.463657,100,0
UNE0,'',19,20,39,proton,hole,1p_1_2,"1, -1, 1, 0, 1",-323.657952,-17.660245,100,0
UNE0,'',21,20,41,proton,particle,1f_5_2,"5, -1, 3, 0, 3",-337.387466,3.930731,100,0
UNE0,'',19,20,39,proton,hole,1d_3_2,"3, 1, 2, 0, 2",-334.338967,-6.97923,100,0
UNE0,'',19,20,39,proton,hole,2s_1_2,"1, 1, 2, 0, 0",-331.809869,-9.508328,100,0
UNE0,'',21,20,41,proton,particle,1f_7_2,"7, -1, 3, 0, 3",-344.358286,-3.040089,100,0
UNE0,'',19,20,39,proton,hole,1p_3_2,"3, -1, 1, 0, 1",-320.244638,-21.073559,100,0
UNE0,'',19,20,39,proton,hole,1d_5_2,"5, 1, 2, 0, 2",-328.576742,-12.741455,100,0
UNE0,'',21,20,41,proton,particle,2p_1_2,"1, -1, 3, 0, 1",-339.212221,2.105976,100,0
UNE0,'',21,20,41,proton,particle,2p_3_2,"3, -1, 3, 0, 1",-340.991473,0.326724,100,0
UNE0,'',21,20,41,proton,particle,1g_9_2,"9, 1, 4, 0, 4",-334.91965,6.398547,100,0
