EDF		 Z	 N	 beta2		 beta3		 S2n		 S2p		 Binding
oct-SkM* 	 120 	 280 	 0.635428 	 0.295524 	 1.803312 	 33.546317 	 -2434.153756
oct-SkM* 	 120 	 282 	 0.649791 	 0.302129 	 1.457865 	 34.267039 	 -2435.611621
oct-SkM* 	 120 	 288 	 0.69705 	 0.316292 	 10.299463 	 37.165836 	 -2439.205188
oct-SkM* 	 120 	 292 	 0.528522 	 3e-06 	 	4.188234 	 31.487432 	 -2434.620946

oct-SkP 	 106 	 254 	 0.855919 	 -1.9e-05 	 3.855253 	 38.580454 	 -2183.107713

oct-SkP 	 110 	 264 	 0.564371 	 0.334568 	 -1.129936 	 33.178819 	 -2238.359093

oct-SkP 	 112 	 172 	 0.509185 	 0.084144 	 12.558299 	 6.225963 	 -2035.201703
oct-SkP 	 112 	 174 	 0.512959 	 0.068035 	 12.437609 	 7.439306 	 -2047.639312
oct-SkP 	 112 	 176 	 0.54293 	 0.284241 	 11.9768 	 8.177235 	 -2059.616112
oct-SkP 	 112 	 178 	 0.522281 	 0.000734 	 11.541333 	 8.871238 	 -2071.157445
oct-SkP 	 112 	 180 	 0.563939 	 0.392599 	 11.263164 	 9.53181 	 -2082.420609
oct-SkP 	 112 	 252 	 0.514902 	 0.355434 	 0.843345 	 29.156446 	 -2269.882132
oct-SkP 	 112 	 262 	 0.546999 	 0.322453 	 -0.636375 	 31.480618 	 -2270.969647
oct-SkP 	 112 	 264 	 0.553011 	 0.319282 	 -0.357255 	 32.253299 	 -2270.612392
oct-SkP 	 112 	 266 	 0.55968 	 0.309796 	 -0.711446 	 33.031735 	 -2269.900946

oct-SkP 	 114 	 172 	 0.510818 	 0.068947 	 13.400261 	 4.731585 	 -2039.933288
oct-SkP 	 114 	 174 	 0.513766 	 0.028209 	 13.130761 	 5.424737 	 -2053.064049
oct-SkP 	 114 	 188 	 0.619847 	 0.34443 	 9.257296 	 10.62214 	 -2132.555594
oct-SkP 	 114 	 190 	 0.639224 	 0.331837 	 9.909609 	 12.48062 	 -2142.465203
oct-SkP 	 114 	 192 	 0.647064 	 0.325391 	 9.450887 	 13.019177 	 -2151.91609
oct-SkP 	 114 	 194 	 0.652192 	 0.322303 	 9.002062 	 13.477635 	 -2160.918152
oct-SkP 	 114 	 202 	 0.670381 	 0.304332 	 9.388021 	 15.481645 	 -2193.246026
oct-SkP 	 114 	 204 	 0.674112 	 0.298561 	 7.305951 	 15.969508 	 -2200.551977
oct-SkP 	 114 	 206 	 0.588198 	 0.000323 	 6.822497 	 15.831081 	 -2207.374474
oct-SkP 	 114 	 246 	 0.509936 	 0.294314 	 1.659053 	 26.260213 	 -2293.100706
oct-SkP 	 114 	 262 	 1.233784 	 3.8e-05 	 58.62566 	 88.984428 	 -2359.954075  ***
oct-SkP 	 114 	 264 	 0.547785 	 0.307053 	 -59.196354 	 30.145329 	 -2300.757721
oct-SkP 	 114 	 266 	 0.551913 	 0.30617 	 -0.109466 	 30.747309 	 -2300.648255
oct-SkP 	 114 	 268 	 0.555862 	 0.30654 	 -0.334265 	 32.475089 	 -2300.31399
oct-SkP 	 114 	 270 	 0.559658 	 0.306245 	 -0.530315 	 32.946345 	 -2299.783675
oct-SkP 	 114 	 272 	 0.538921 	 0.000643 	 -0.707446 	 33.380339 	 -2299.076229
oct-SkP 	 114 	 274 	 0.545109 	 -0.000446 	 -0.927633 	 33.778851 	 -2298.148596
oct-SkP 	 114 	 276 	 0.607311 	 0.000162 	 -0.978233 	 34.343899 	 -2297.170363
oct-SkP 	 114 	 278 	 0.654331 	 -0.066139 	 -0.290592 	 35.753072 	 -2296.879771
oct-SkP 	 114 	 280 	 0.622134 	 -0.00059 	 -2.147538 	 35.477619 	 -2294.732233
oct-SkP 	 114 	 282 	 0.627624 	 -0.000152 	 -1.527751 	 35.969635 	 -2293.204482
oct-SkP 	 114 	 284 	 1.256698 	 5.6e-05 	 36.553096 	 74.686376 	 -2329.757578  ***
oct-SkP 	 114 	 286 	 1.255285 	 -1.7e-05 	 -2.044492 	 74.632378 	 -2327.713086

oct-SkP 	 116 	 190 	 0.690092 	 -0.0545 	 11.704625 	 10.808307 	 -2153.27351
oct-SkP 	 116 	 192 	 0.644934 	 0.316741 	 8.654931 	 10.012351 	 -2161.928441
oct-SkP 	 116 	 194 	 0.719028 	 -0.051353 	 10.822465 	 11.832754 	 -2172.750906
oct-SkP 	 116 	 196 	 1.3226 	 1.7e-05 	 60.160902 	 65.322751 	 -2232.911808  ***
oct-SkP 	 116 	 198 	 0.630541 	 0.002759 	 -43.520824 	 13.467737 	 -2189.390984
