EDF,Isotope,Z,N,A,Blocking Type,Hole/Particle,S.P. Orbit,Nilson Label,Binding Energy(MeV),S.P. Energy(MeV),error flag, unmatch flag
UNE1,'',82,125,207,neutron,hole,3p_1_2,"1, 1, 6, 4, 0",-1630.447936,-9.513478,0,3
UNE1,'',82,125,207,neutron,hole,1i_13_2,"13, 1, 6, 0, 6",-1630.411551,-9.549863,0,3
UNE1,'',82,125,207,neutron,hole,2f_7_2,"7, -1, 5, 0, 3",-1628.742506,-11.218908,0,3
UNE1,'',82,127,209,neutron,particle,1j_15_2,"15, -1, 7, 0, 7",-1641.079061,-1.117647,0,0
UNE1,'',82,127,209,neutron,particle,3d_3_2,"3, 1, 6, 0, 2",-1640.278175,-0.316761,0,0
UNE1,'',82,127,209,neutron,particle,2g_7_2,"7, 1, 6, 0, 4",-1640.520775,-0.559361,0,0
UNE1,'',82,127,209,neutron,particle,4s_1_2,"1, 1, 6, 0, 0",-1640.573038,-0.611624,0,0
UNE1,'',82,125,207,neutron,hole,1h_9_2,"9, -1, 5, 0, 5",-1628.872857,-11.088557,0,3
UNE1,'',82,125,207,neutron,hole,2f_5_2,"5, 1, 6, 4, 2",-1630.456486,-9.504928,0,3
UNE1,'',82,127,209,neutron,particle,1i_11_2,"11, 1, 6, 0, 6",-1641.579211,-1.617797,0,0
UNE1,'',82,125,207,neutron,hole,3p_3_2,"3, -1, 5, 0, 1",-1630.984668,-8.976746,0,3
UNE1,'',82,127,209,neutron,particle,2g_9_2,"9, 1, 6, 0, 4",-1643.062728,-3.101314,0,0
UNE1,'',82,127,209,neutron,particle,3d_5_2,"5, 1, 6, 1, 3",-1640.581143,-0.619729,0,3
UNE1,'',83,126,209,proton,particle,3p_1_2,"1, -1, 5, 0, 1",-1638.570512,1.390902,0,0
UNE1,'',83,126,209,proton,particle,2f_7_2,"0, 0, 0, 0, 0",9999,11638.961414,2,3
UNE1,'',83,126,209,proton,particle,1h_9_2,"9, -1, 5, 0, 5",-1643.528577,-3.567163,0,0
UNE1,'',81,126,207,proton,hole,2d_3_2,"3, 1, 4, 0, 2",-1630.299279,-9.662135,0,3
UNE1,'',83,126,209,proton,particle,2f_5_2,"5, -1, 5, 0, 3",-1640.23531,-0.273896,0,0
UNE1,'',83,126,209,proton,particle,3p_3_2,"3, -1, 5, 0, 1",-1639.218396,0.743018,0,0
UNE1,'',81,126,207,proton,hole,2d_5_2,"5, 1, 4, 0, 2",-1628.884221,-11.077193,0,3
UNE1,'',81,126,207,proton,hole,3s_1_2,"0, 0, 0, 0, 0",9999,-11638.961414,2,3
UNE1,'',81,126,207,proton,hole,1g_7_2,"7, 1, 4, 0, 4",-1626.785031,-13.176383,0,3
UNE1,'',81,126,207,proton,hole,1h_11_2,"11, -1, 5, 0, 5",-1629.92938,-10.032034,0,3
UNE1,'',83,126,209,proton,particle,1i_13_2,"13, 1, 6, 0, 6",-1641.195241,-1.233827,0,0
UNE1,z126_n184,126,184,310,Ground,Ground,Ground,"0, 0, 0, 0, 0",-2139.088146,0.0,0,0
UNE1,'',126,183,309,neutron,hole,3d_5_2,"5, 1, 6, 4, 2",-2127.878587,-11.209559,0,3
UNE1,'',126,183,309,neutron,hole,2g_9_2,"9, 1, 6, 0, 4",-2127.843748,-11.244398,0,3
UNE1,'',126,185,311,neutron,particle,1j_13_2,"13, 1, 8, 2, 6",-2143.886032,-4.797886,0,3
UNE1,'',126,185,311,neutron,particle,2h_9_2,"9, -1, 7, 0, 5",-2141.801136,-2.71299,0,0
UNE1,'',126,185,311,neutron,particle,4p_3_2,"3, -1, 7, 1, 2",-2140.74649,-1.658344,0,3
UNE1,'',126,183,309,neutron,hole,3d_3_2,"3, 1, 6, 0, 2",-2131.672476,-7.41567,0,3
UNE1,'',126,183,309,neutron,hole,1j_15_2,"15, -1, 7, 0, 7",-2128.438509,-10.649637,0,3
UNE1,'',126,185,311,neutron,particle,3f_5_2,"5, -1, 7, 0, 3",-2140.713737,-1.625591,0,0
UNE1,'',126,185,311,neutron,particle,1k_17_2,"17, 1, 8, 0, 8",-2143.857272,-4.769126,0,0
UNE1,'',126,185,311,neutron,particle,3f_7_2,"7, -1, 7, 0, 3",-2141.910187,-2.822041,0,0
UNE1,'',126,183,309,neutron,hole,4s_1_2,"1, 1, 6, 0, 0",-2131.53842,-7.549726,0,3
UNE1,'',126,183,309,neutron,hole,2g_7_2,"7, 1, 6, 0, 4",-2130.188906,-8.89924,0,3
UNE1,'',126,183,309,neutron,hole,1i_11_2,"11, 1, 6, 0, 6",-2127.189077,-11.899069,0,3
UNE1,'',126,185,311,neutron,particle,2h_11_2,"11, -1, 7, 1, 6",-2144.305687,-5.217541,0,3
UNE1,'',127,184,311,proton,particle,4s_1_2,"1, 1, 6, 0, 0",-2130.361171,8.726975,0,0
UNE1,'',125,184,309,proton,hole,1h_9_2,"9, -1, 5, 0, 5",-2134.139618,-4.948528,0,3
UNE1,'',127,184,311,proton,particle,2g_7_2,"7, 1, 6, 0, 4",-2133.104192,5.983954,0,0
UNE1,'',125,184,309,proton,hole,3p_3_2,"3, -1, 5, 0, 1",-2139.309369,0.221223,0,3
UNE1,'',125,184,309,proton,hole,2f_5_2,"5, -1, 5, 0, 3",-2138.218004,-0.870142,0,3
UNE1,'',125,184,309,proton,hole,2f_7_2,"7, -1, 5, 0, 3",-2136.692253,-2.395893,0,3
UNE1,'',125,184,309,proton,hole,3p_1_2,"1, -1, 5, 0, 1",-2139.872184,0.784038,0,3
UNE1,'',127,184,311,proton,particle,3d_3_2,"3, 1, 6, 0, 2",-2131.041439,8.046707,0,0
UNE1,'',125,184,309,proton,hole,1i_13_2,"13, 1, 6, 0, 6",-2136.612877,-2.475269,0,3
UNE1,'',127,184,311,proton,particle,1j_15_2,"15, -1, 7, 0, 7",-2135.237678,3.850468,0,0
UNE1,'',127,184,311,proton,particle,3d_5_2,"5, 1, 6, 0, 2",-2131.866758,7.221388,0,0
UNE1,'',127,184,311,proton,particle,1i_11_2,"11, 1, 6, 0, 6",-2137.048595,2.039551,0,0
UNE1,'',127,184,311,proton,particle,2g_9_2,"9, 1, 6, 0, 4",-2135.052265,4.035881,0,0
