Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
92     190    282    -1951.599213            14.009494      0.0            1880      YES            
92     192    284    -1954.294389            18.936033      0.0            1897      YES            
92     194    286    -1957.041514            22.908386      0.0            1914      YES            
92     196    288    -1959.877651            26.554169      0.0            1931      YES            
92     198    290    -1962.677409            29.678655      0.0            1948      YES            
94     128    222    -1682.572623            -1e-06         0.0            1964      YES            
94     130    224    -1698.11944             12.479023      0.0            1982      YES            
94     132    226    -1714.011256            16.800351      0.0            2001      YES            
94     134    228    -1729.746429            20.211254      0.0            2018      YES            
94     188    282    -1973.087421            0.137247       0.0            2033      YES            
94     190    284    -1976.058428            15.112289      0.0            2050      YES            
94     192    286    -1979.554199            20.476144      0.0            2067      YES            
94     194    288    -1983.13355             24.709161      0.0            2084      YES            
94     196    290    -1986.730861            28.357757      0.0            2101      YES            
94     242    336    -1999.708657            28.078285      0.0            2119      YES            
96     128    224    -1683.410179            -2e-06         0.0            2134      YES            
96     130    226    -1700.023793            13.635386      0.0            2152      YES            
96     188    284    -1995.547144            0.141324       0.0            2169      YES            
96     190    286    -1999.182478            15.823025      0.0            2186      YES            
96     192    288    -2003.415175            21.576145      0.0            2203      YES            
96     194    290    -2007.73062             26.085885      0.0            2220      YES            
98     128    226    -1682.932197            -2e-06         0.0            2236      YES            
98     186    284    -2013.418982            -0.0           0.0            2253      YES            
98     188    286    -2016.698442            0.153223       0.0            2271      YES            
98     190    288    -2020.961413            16.072396      0.0            2288      YES            
98     192    290    -2025.822141            22.142624      0.0            2305      YES            
98     262    360    -2064.867304            8.396884       0.0            2325      YES            
100    128    228    -1681.188552            0.0            0.0            2338      YES            
100    186    286    -2032.697096            -0.0           0.0            2355      YES            
100    188    288    -2036.549337            0.151168       0.0            2373      YES            
100    190    290    -2041.390448            15.869391      0.0            2390      YES            
100    262    362    -2101.601906            8.445195       0.0            2410      YES            
100    264    364    -2099.158923            15.888008      0.0            2427      YES            
102    128    230    -1678.13609             -1e-06         0.0            2440      YES            
102    186    288    -2050.694092            -0.0           0.0            2457      YES            
102    188    290    -2055.120305            -1e-06         0.0            2474      YES            
102    190    292    -2060.483966            15.284374      0.0            2492      YES            
102    262    364    -2137.261623            -0.507301      0.0            2506      YES            
104    186    290    -2067.423798            -1e-06         0.0            2525      YES            
104    188    292    -2072.43372             -4e-06         0.0            2542      YES            
104    190    294    -2078.251247            14.40435       0.0            2560      YES            
104    262    366    -2171.995914            -0.063972      0.0            2574      YES            
106    188    294    -2088.495636            -0.088353      0.0            2592      YES            
106    190    296    -2094.701628            13.234033      0.0            2611      YES            
108    190    298    -2109.858144            11.647427      0.0            2628      YES            
108    192    300    -2116.996627            17.597068      0.0            2645      YES            
110    166    276    -1998.012658            29.577321      0.0            2664      YES            
110    190    300    -2123.747418            9.326618       0.0            2679      YES            
110    192    302    -2131.263049            16.043338      0.0            2696      YES            
110    230    340    -2242.304161            42.354737      0.0            2713      YES            
112    192    304    -2144.245506            14.17841       0.0            2730      YES            
112    194    306    -2152.366105            18.694989      0.0            2747      YES            
114    160    274    -1957.79018             29.872933      0.0            2764      YES            
114    164    278    -1989.307342            28.67348       0.0            2781      YES            
114    166    280    -2003.851471            27.66744       0.0            2798      YES            
114    192    306    -2155.916422            12.021849      0.0            2815      YES            
114    194    308    -2164.427665            16.568679      0.0            2832      YES            
116    168    284    -2019.486465            24.118429      0.0            2849      YES            
116    192    308    -2166.069471            9.869136       0.0            2866      YES            
116    194    310    -2175.010863            14.293188      0.0            2883      YES            
116    196    312    -2183.895741            17.65306       0.0            2900      YES            
116    220    336    -2276.332486            39.139049      0.0            2924      YES            
116    222    338    -2282.437366            38.928518      0.0            2934      YES            
116    224    340    -2288.30271             38.555537      0.0            2957      YES            
118    194    312    -2183.875507            -12.016419     0.0            2964      YES            
118    196    314    -2193.191307            15.250587      0.0            2985      YES            
118    198    316    -2202.41791             18.077188      0.0            3002      YES            
118    200    318    -2211.495609            20.745823      0.0            3019      YES            
118    202    320    -2220.40389             23.468096      0.0            3036      YES            
118    220    338    -2291.304709            38.912858      0.0            3059      YES            
118    222    340    -2297.920142            38.403623      0.0            3076      YES            
118    270    388    -2381.93006             17.170142      0.0            3090      YES            
118    272    390    -2382.138089            21.858587      0.0            3107      YES            
118    274    392    -2382.369768            25.754026      0.0            3124      YES            
120    194    314    -2191.148235            -10.716103     0.0            3134      YES            
120    196    316    -2200.894447            -12.898546     0.0            3151      YES            
120    198    318    -2210.443989            -14.66759      0.0            3168      YES            
120    200    320    -2219.925354            17.750157      0.0            3193      YES            
120    202    322    -2229.320744            20.994211      0.0            3210      YES            
120    218    338    -2297.596021            39.742436      0.0            3229      YES            
120    220    340    -2304.970602            39.395719      0.0            3246      YES            
120    222    342    -2312.029539            38.641539      0.0            3263      YES            
120    270    390    -2407.457815            11.196085      0.0            3277      YES            
120    272    392    -2407.831459            16.990367      0.0            3294      YES            
120    274    394    -2408.314712            22.112662      0.0            3311      YES            
120    276    396    -2408.852               27.406902      0.0            3328      YES            
