Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
88     192    280    -1862.454332            13.259854      0.0            1898      YES            
88     194    282    -1861.791368            17.233355      0.0            1914      YES            
88     196    284    -1861.304464            20.882036      0.0            1931      YES            
88     198    286    -1861.077744            24.202926      0.0            1948      YES            
88     200    288    -1860.803787            26.873758      0.0            1965      YES            
90     118    208    -1585.338467            10.790166      0.0            1982      YES            
90     130    220    -1683.173089            9.018331       0.0            1999      YES            
90     132    222    -1695.996735            12.774547      0.0            2016      YES            
90     134    224    -1708.693054            16.139166      0.0            2033      YES            
90     136    226    -1721.389644            19.159183      0.0            2050      YES            
90     138    228    -1733.49666             21.212477      0.0            2067      YES            
90     154    244    -1808.636815            26.62459       0.0            2084      YES            
90     156    246    -1816.024213            26.279884      0.0            2101      YES            
90     158    248    -1823.290276            25.653928      0.0            2118      YES            
90     160    250    -1830.307626            24.735815      0.0            2135      YES            
90     190    280    -1892.940725            -0.0           0.0            2151      YES            
90     192    282    -1892.122708            13.855279      0.0            2170      YES            
90     194    284    -1892.311219            18.778227      0.0            2186      YES            
90     196    286    -1892.957686            23.252105      0.0            2203      YES            
90     198    288    -1893.785383            26.651545      0.0            2220      YES            
90     224    314    -1877.042817            36.901407      0.0            2237      YES            
92     130    222    -1687.73434             9.686265       0.0            2254      YES            
92     132    224    -1701.83825             14.265542      0.0            2271      YES            
92     134    226    -1716.161392            18.226827      0.0            2288      YES            
92     136    228    -1730.434249            21.307751      0.0            2305      YES            
92     138    230    -1743.809684            23.295359      0.0            2329      YES            
92     156    248    -1833.924451            27.603425      0.0            2339      YES            
92     158    250    -1841.762538            26.966072      0.0            2356      YES            
92     160    252    -1849.348624            26.09729       0.0            2373      YES            
92     162    254    -1856.361737            24.973719      0.0            2390      YES            
92     190    282    -1920.586814            -0.0           0.0            2406      YES            
92     192    284    -1920.27158             14.283278      0.0            2425      YES            
92     194    286    -1921.366443            20.414594      0.0            2441      YES            
92     196    288    -1923.17759             25.376571      0.0            2458      YES            
92     198    290    -1924.907126            28.615745      0.0            2475      YES            
94     130    224    -1690.915964            10.235949      0.0            2492      YES            
94     132    226    -1706.264811            15.5642        0.0            2509      YES            
94     134    228    -1721.812432            19.720867      0.0            2526      YES            
94     136    230    -1737.0847              22.605931      0.0            2550      YES            
94     138    232    -1751.514266            24.433562      0.0            2567      YES            
94     140    234    -1765.268115            25.942636      0.0            2584      YES            
94     158    252    -1858.661076            28.554946      0.0            2594      YES            
94     160    254    -1866.795954            27.65137       0.0            2611      YES            
94     162    256    -1874.35194             26.439895      0.0            2628      YES            
94     190    284    -1946.015333            -0.036129      0.0            2645      YES            
94     192    286    -1946.965322            14.962006      0.0            2664      YES            
94     194    288    -1948.952967            21.689689      0.0            2679      YES            
94     196    290    -1951.639071            26.983776      0.0            2696      YES            
94     198    292    -1954.146583            30.106726      0.0            2713      YES            
96     128    224    -1678.353848            -0.028937      0.0            2728      YES            
