Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
66     90     156    0.003238            -1274.513743        -1274.516981        0.074202       0.284264       14.242279      
66     92     158    0.008834            -1290.525192        -1290.534026        0.073947       0.31154        16.145008      
66     94     160    0.007005            -1305.798001        -1305.805006        0.07382        0.324533       17.309586      
66     132    198    -0.247093           -1468.101711        -1467.854618        0.067676       0.068896       4.795378       
66     134    200    -0.296246           -1470.230782        -1469.934536        0.096113       0.111824       10.48908       
68     68     136    0.007389            -1039.878932        -1039.886321        0.018022       0.344924       14.634841      
68     132    200    -0.054189           -1497.958665        -1497.904476        0.046766       0.07631        6.292322       
70     92     162    -0.000124           -1308.636149        -1308.636025        0.033449       0.259765       14.043983      
70     94     164    -0.001921           -1325.963409        -1325.961488        0.040175       0.286066       15.871897      
70     96     166    0.000205            -1342.811308        -1342.811513        0.029609       0.30664        17.659759      
72     90     162    -0.000777           -1296.642384        -1296.641607        0.056115       0.215548       11.029661      
74     90     164    -0.002857           -1300.52991         -1300.527053        0.04926        0.194495       10.038669      
74     98     172    -2.9e-05            -1375.059659        -1375.05963         0.013223       0.288309       17.539077      
76     88     164    -0.001704           -1281.525919        -1281.524215        0.036023       0.146931       7.229322       
78     96     174    -0.000478           -1363.947183        -1363.946705        0.028883       0.176125       10.380962      
78     98     176    -0.016766           -1383.859274        -1383.842508        0.015212       0.273827       17.206215      
86     132    218    -0.368009           -1683.572166        -1683.204157        0.083617       0.106776       8.485426       
86     134    220    -0.469683           -1694.172861        -1693.703178        0.106714       0.130958       11.041776      
86     136    222    -0.341236           -1704.244778        -1703.903542        0.113281       0.149638       13.214913      
86     138    224    -0.105728           -1713.975896        -1713.870168        0.089896       0.16768        15.346177      
86     194    280    -0.006071           -1861.334775        -1861.328704        0.033843       0.100078       13.528179      
86     196    282    -0.03387            -1861.176145        -1861.142275        0.069464       0.125923       17.283678      
88     130    218    -0.629613           -1680.482676        -1679.853063        0.082059       0.095054       6.361637       
88     132    220    -1.149374           -1693.16125         -1692.011876        0.123024       0.13132        10.646826      
88     134    222    -1.337873           -1705.158207        -1703.820334        0.145277       0.154948       13.38082       
88     136    224    -1.107023           -1716.500818        -1715.393795        0.158467       0.174284       15.910374      
88     138    226    -0.620465           -1727.31894         -1726.698475        0.154364       0.192502       18.10408       
88     140    228    -0.164423           -1737.790556        -1737.626133        0.073241       0.207265       19.978966      
88     192    280    -0.602747           -1891.913119        -1891.310372        0.090586       0.102306       0.220976       
88     194    282    -0.770533           -1892.853445        -1892.082912        0.124216       0.129697       16.184064      
88     196    284    -0.80934            -1893.537461        -1892.728121        0.13924        0.14786        19.834392      
88     198    286    -0.503527           -1893.973798        -1893.470271        0.136514       0.163502       23.148094      
88     200    288    -0.140321           -1894.345878        -1894.205557        0.101618       0.178443       26.041922      
90     130    220    -1.051395           -1686.83461         -1685.783215        0.109347       0.109255       8.090547       
90     132    222    -1.564033           -1700.675241        -1699.111208        0.143786       0.144451       12.418975      
90     134    224    -1.55363            -1713.899697        -1712.346067        0.166551       0.16953        15.771196      
90     136    226    -0.999612           -1726.470888        -1725.471276        0.181206       0.190515       18.656494      
90     138    228    -0.330314           -1738.472196        -1738.141882        0.149864       0.207169       20.872549      
90     192    282    -1.106188           -1920.854531        -1919.748343        0.124171       0.114632       11.829314      
90     194    284    -1.432029           -1922.548604        -1921.116575        0.150191       0.13993        17.930782      
90     196    286    -1.320317           -1924.01761         -1922.697293        0.165435       0.158525       22.320949      
90     198    288    -0.771921           -1925.18854         -1924.416619        0.169023       0.174631       25.96312       
90     200    290    -0.125304           -1926.163503        -1926.038199        0.150009       0.191333       28.818833      
92     130    222    -1.254952           -1691.410673        -1690.155721        0.123372       0.112743       9.013995       
92     132    224    -1.503841           -1706.2284          -1704.724559        0.156278       0.151575       14.317019      
92     134    226    -1.197769           -1720.604154        -1719.406385        0.179273       0.181207       18.178288      
92     136    228    -0.507498           -1734.426501        -1733.919003        0.193222       0.206385       21.100019      
92     190    282    -0.187281           -1945.772682        -1945.585401        0.096214       0.072802       0.094707       
92     192    284    -1.556204           -1948.065168        -1946.508964        0.138971       0.115263       -0.145922      
92     194    286    -1.673712           -1950.376333        -1948.702621        0.163473       0.142489       19.818356      
92     196    288    -1.234919           -1952.554085        -1951.319166        0.179551       0.163534       24.808901      
92     198    290    -0.523119           -1954.478863        -1953.955744        0.184222       0.182457       28.375935      
94     130    224    -1.294043           -1694.376369        -1693.082326        0.131507       0.10912        9.973289       
94     132    226    -1.072765           -1709.990673        -1708.917908        0.163962       0.15562        16.568707      
94     134    228    -0.629776           -1725.436965        -1724.807189        0.183959       0.194549       20.750885      
94     136    230    -0.198727           -1740.534589        -1740.335862        0.124321       0.222001       23.103659      
94     190    284    -1.018326           -1971.031841        -1970.013515        0.11551        0.074972       -0.081613      
94     192    286    -1.937948           -1973.742436        -1971.804488        0.147786       0.10986        14.343682      
94     194    288    -1.616134           -1976.519035        -1974.902901        0.171573       0.139776       21.550384      
94     196    290    -0.878409           -1979.272359        -1978.39395         0.187892       0.164699       26.835155      
94     198    292    -0.099145           -1981.878139        -1981.778994        0.188002       0.189713       30.228434      
94     232    326    -0.001761           -1991.932018        -1991.930257        0.065949       0.205901       35.649805      
96     128    224    -0.16359            -1679.643319        -1679.479729        0.069942       0.032561       0.077422       
96     130    226    -1.214347           -1695.86236         -1694.648013        0.136661       0.101044       11.080534      
96     132    228    -0.512566           -1712.173118        -1711.660552        0.167076       0.157399       20.75584       
96     188    284    -0.5478             -1991.068864        -1990.521064        0.084721       0.035214       0.0            
96     190    286    -1.942714           -1994.709861        -1992.767147        0.12786        0.072021       0.0            
96     192    288    -2.169692           -1997.9109          -1995.741208        0.155851       0.102932       15.898336      
96     194    290    -1.474563           -2001.100768        -1999.626205        0.177862       0.135496       22.840104      
96     196    292    -0.641412           -2004.395678        -2003.754266        0.193532       0.163912       28.511297      
96     230    326    -0.000888           -2027.91736         -2027.916472        0.068729       0.225274       39.585646      
96     232    328    -0.0014             -2027.178577        -2027.177177        0.068795       0.21372        37.327719      
