Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
4      4      8      -55.548275              0.001          0.0            17        YES            
6      4      10     -64.966685              0.001          0.0            30        YES            
12     2      14     -0.093867               -0.09          0.0            42        YES            
14     2      16     12.424498               -0.11          0.0            59        YES            
14     16     30     -258.023257             0.0            0.0            81        YES            
14     24     38     -303.068149             0.187          0.0            96        YES            
46     58     104    -892.994859             0.119          0.0            118       YES            
50     62     112    -953.650609             0.074          0.0            132       YES            
52     60     112    -941.133181             0.124          0.0            149       YES            
52     62     114    -961.232145             0.126          0.0            166       YES            
52     64     116    -980.676033             -0.136         0.0            173       YES            
52     68     120    -1017.126866            -0.116         0.0            193       YES            
56     64     120    -993.155588             0.34           0.0            221       YES            
56     88     144    -1189.736809            0.174          0.0            234       YES            
56     90     146    -1198.963681            0.2            0.0            251       YES            
56     94     150    -1215.922444            0.263          0.0            268       YES            
56     102    158    -1244.692336            0.303          0.0            285       YES            
58     92     150    -1229.253911            0.291          0.0            306       YES            
58     94     152    -1239.330043            0.317          0.0            323       YES            
58     96     154    -1248.68586             0.328          0.0            336       YES            
58     98     156    -1257.441866            0.334          0.0            353       YES            
58     100    158    -1265.521298            0.338          0.0            370       YES            
58     112    170    -1301.373816            0.278          0.0            387       YES            
58     114    172    -1305.962853            0.25           0.0            403       YES            
60     90     150    -1236.667692            0.281          0.0            425       YES            
60     92     152    -1249.053904            0.324          0.0            442       YES            
60     94     154    -1260.540429            0.341          0.0            455       YES            
60     96     156    -1271.143424            0.35           0.0            470       YES            
60     98     158    -1276.832997            -0.251         0.0            483       YES            
60     100    160    -1285.943234            -0.253         0.0            499       YES            
60     106    166    -1310.278966            -0.256         0.0            516       YES            
60     116    176    -1341.525072            0.265          0.0            539       YES            
62     90     152    -1252.461504            0.303          0.0            557       YES            
62     96     158    -1286.21541             -0.252         0.0            568       YES            
62     98     160    -1297.009388            -0.256         0.0            584       YES            
62     100    162    -1307.278615            -0.257         0.0            602       YES            
62     114    176    -1365.545552            0.328          0.0            625       YES            
62     118    180    -1376.336374            0.24           0.0            642       YES            
62     122    184    -1387.847936            0.066          0.0            656       YES            
