Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
12     12     24     -195.297615             -0.185         0.0            5         YES            
16     28     44     -354.323619             -0.165         0.0            25        YES            
22     14     36     -245.537059             -0.008         0.0            38        YES            
32     46     78     -677.280865             0.173          0.0            68        YES            
34     48     82     -713.254257             0.136          0.0            83        YES            
34     62     96     -772.377816             -0.255         0.0            93        YES            
34     66     100    -780.90839              -0.25          0.0            110       YES            
36     48     84     -732.792536             0.085          0.0            133       YES            
36     54     90     -771.416616             0.141          0.0            153       YES            
36     60     96     -797.798728             -0.272         0.0            161       YES            
36     64     100    -810.669363             -0.26          0.0            178       YES            
38     60     98     -824.708433             -0.234         0.0            195       YES            
38     62     100    -833.372681             -0.24          0.0            212       YES            
38     64     102    -841.487461             -0.235         0.0            229       YES            
40     34     74     -576.615448             -0.211         0.0            243       YES            
40     64     104    -870.021396             -0.221         0.0            263       YES            
40     66     106    -879.293067             -0.224         0.0            280       YES            
42     64     106    -895.385939             -0.224         0.0            297       YES            
44     34     78     -566.198453             0.15           0.0            316       YES            
44     68     112    -941.871462             -0.23          0.0            328       YES            
52     62     114    -958.384463             0.274          0.0            353       YES            
52     92     144    -1151.916678            0.182          0.0            369       YES            
52     94     146    -1156.455354            0.235          0.0            387       YES            
54     88     142    -1165.465466            0.173          0.0            404       YES            
54     90     144    -1172.299504            0.196          0.0            420       YES            
54     92     146    -1178.531953            0.22           0.0            438       YES            
54     94     148    -1184.655275            0.248          0.0            454       YES            
56     54     110    -867.640583             0.218          0.0            472       YES            
56     56     112    -895.142348             0.239          0.0            489       YES            
56     58     114    -920.600656             0.263          0.0            503       YES            
56     86     142    -1176.656603            0.156          0.0            523       YES            
56     88     144    -1186.259611            0.19           0.0            540       YES            
56     90     146    -1194.767978            0.217          0.0            556       YES            
56     92     148    -1202.675699            0.253          0.0            573       YES            
56     136    192    -1263.260134            0.179          0.0            591       YES            
56     138    194    -1260.149188            0.198          0.0            608       YES            
58     56     114    -890.718882             0.275          0.0            625       YES            
58     84     142    -1181.964975            0.1            0.0            642       YES            
58     86     144    -1193.270672            0.16           0.0            659       YES            
58     88     146    -1204.278216            0.203          0.0            676       YES            
58     90     148    -1214.632189            0.255          0.0            692       YES            
58     132    190    -1309.836958            0.118          0.0            710       YES            
58     134    192    -1307.808014            0.154          0.0            727       YES            
