Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
12     2      14     -0.0768             7.278447            7.355247            0.454587       0.248245       -0.849499      
12     14     26     -7.1e-05            -211.292035         -211.291964         0.019353       -0.158872      -0.43701       
16     4      20     -0.051518           -19.301688          -19.25017           -0.441047      0.265867       -0.067187      
24     36     60     -0.000114           -510.852326         -510.852212         0.011747       0.065967       0.584567       
26     24     50     -0.011418           -417.566223         -417.554805         0.01562        0.216499       1.688124       
26     34     60     -0.001137           -523.989962         -523.988825         0.021396       0.136678       1.375677       
26     36     62     0.002638            -537.373487         -537.376125         0.017253       0.097106       0.983943       
46     36     82     -8.7e-05            -596.794574         -596.794487         0.014418       0.113276       1.937027       
52     72     124    -0.000929           -1050.136498        -1050.135569        0.015633       0.140865       4.758966       
52     74     126    -0.000218           -1065.757204        -1065.756986        0.01209        0.111804       3.837733       
56     56     112    -0.089951           -898.389171         -898.29922          0.103366       0.232054       6.830874       
56     78     134    -0.000886           -1127.178223        -1127.177337        0.010601       0.130188       5.01692        
56     90     146    -0.189629           -1198.273           -1198.083371        0.103393       0.201646       9.284406       
56     118    174    -6e-06              -1275.972999        -1275.972993        0.019988       0.146462       9.294635       
58     88     146    -0.365104           -1208.289505        -1207.924401        0.137224       0.191195       8.495764       
58     90     148    -0.250943           -1218.516079        -1218.265136        0.126411       0.215967       10.882085      
60     60     120    0.013347            -949.817699         -949.831046         0.042451       0.39204        13.590838      
60     74     134    -6.8e-05            -1111.115174        -1111.115106        0.02763        0.230951       9.154494       
60     86     146    -0.232357           -1212.342451        -1212.110094        0.098996       0.145001       6.559483       
60     88     148    -0.299658           -1224.728001        -1224.428343        0.113104       0.19098        9.298182       
60     136    196    -0.000658           -1366.571133        -1366.570475        0.042224       0.124147       9.651517       
60     138    198    -0.060251           -1366.584412        -1366.524161        0.071964       0.14063        10.805115      
60     140    200    -0.05748            -1366.323761        -1366.266281        0.071877       0.145547       11.818571      
62     134    196    -0.241281           -1402.975937        -1402.734656        0.098068       0.109343       7.398513       
62     136    198    -0.353725           -1403.728668        -1403.374943        0.120269       0.125387       8.810031       
62     138    200    -0.351997           -1404.202419        -1403.850422        0.130586       0.137662       -11.151847     
64     132    196    -0.338469           -1435.837705        -1435.499236        0.090816       0.083613       5.718067       
64     134    198    -0.59851            -1437.560768        -1436.962258        0.133725       0.108161       -7.088335      
64     136    200    -0.458003           -1438.924648        -1438.466645        0.150716       0.122389       -10.162563     
66     88     154    -0.000318           -1262.445251        -1262.444933        0.035223       0.221128       10.847976      
66     132    198    -0.375573           -1467.685872        -1467.310299        0.101377       0.083648       6.191244       
66     134    200    -0.531619           -1470.073856        -1469.542237        0.14502        0.109062       -8.484117      
66     136    202    -0.155461           -1472.105617        -1471.950156        0.159179       0.131479       -11.454123     
68     92     160    0.003205            -1304.982659        -1304.985864        0.078908       0.296339       15.489709      
68     132    200    -0.171073           -1497.671466        -1497.500393        0.091773       0.088351       7.192398       
70     136    206    -0.001349           -1533.821141        -1533.819792        0.035779       0.181641       14.772073      
72     130    202    -0.001948           -1548.371532        -1548.369584        0.013936       0.064956       4.405407       
74     96     170    -0.002903           -1362.73296         -1362.730057        0.071457       0.29959        17.442339      
74     98     172    -0.001267           -1380.695042        -1380.693775        0.06213        0.318207       19.194738      
74     136    210    -0.001277           -1588.65612         -1588.654843        0.030182       0.162867       13.417852      
76     98     174    -0.00181            -1386.558527        -1386.556717        0.056513       0.305836       18.78857       
80     96     176    -0.000859           -1371.248561        -1371.247702        0.024005       0.264779       16.646286      
86     134    220    -0.314583           -1697.454829        -1697.140246        0.099729       0.132535       11.417003      
86     136    222    -0.157596           -1707.306188        -1707.148592        0.104441       0.151727       13.642431      
88     136    224    -1.017422           -1720.319712        -1719.30229         0.15384        0.175364       16.178404      
88     138    226    -0.515479           -1730.93087         -1730.415391        0.143121       0.193911       18.45175       
88     140    228    -0.124099           -1741.243671        -1741.119572        0.094709       0.211471       20.393221      
88     196    284    -0.282948           -1896.510121        -1896.227173        0.102968       0.137992       18.308171      
88     198    286    -0.22141            -1897.095498        -1896.874088        0.081139       0.153014       21.757651      
88     200    288    -0.115991           -1897.66254         -1897.546549        0.062          0.168579       25.060828      
88     202    290    -0.027958           -1898.183063        -1898.155105        0.025246       0.182593       27.751708      
90     134    224    -1.721265           -1718.745387        -1717.024122        0.161316       0.16837        15.803962      
90     136    226    -1.135461           -1731.080774        -1729.945313        0.170359       0.188908       18.920264      
90     138    228    -0.458448           -1742.843624        -1742.385176        0.162964       0.208653       21.178907      
90     194    284    -1.009194           -1925.679312        -1924.670118        0.131154       0.133086       14.905454      
90     196    286    -1.161727           -1927.124624        -1925.962897        0.148337       0.152381       20.432096      
90     198    288    -0.82467            -1928.341256        -1927.516586        0.153444       0.168755       25.028561      
90     200    290    -0.306009           -1929.442938        -1929.136929        0.141317       0.185111       28.368351      
90     202    292    -0.008591           -1930.539072        -1930.530481        0.084833       0.198685       30.872995      
92     134    226    -1.487443           -1726.182526        -1724.695083        0.171532       0.176978       18.142902      
92     136    228    -0.734219           -1739.75113         -1739.016911        0.177389       0.201037       21.236365      
92     138    230    -0.14123            -1752.768102        -1752.626872        0.162928       0.224498       23.271837      
92     192    284    -0.246462           -1951.672219        -1951.425757        0.122238       0.106745       6e-06          
92     194    286    -1.511265           -1953.853751        -1952.342486        0.151134       0.136138       9e-06          
92     196    288    -1.531605           -1955.952839        -1954.421234        0.169036       0.157145       23.692516      
92     198    290    -0.78906            -1957.842402        -1957.053342        0.177086       0.175475       28.059395      
92     200    292    -0.038962           -1959.577502        -1959.53854         0.164325       0.196553       31.057307      
94     130    224    -1.616131           -1701.248218        -1699.632087        0.132036       0.105029       8.90562        
94     132    226    -1.587634           -1716.541092        -1714.953458        0.162201       0.145975       15.66839       
94     134    228    -0.909264           -1731.629902        -1730.720638        0.176642       0.183273       20.81451       
94     136    230    -0.324938           -1746.405113        -1746.080175        0.173527       0.214781       23.220842      
94     138    232    -0.049918           -1760.769288        -1760.71937         0.110841       0.247104       24.796693      
