Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
16     8      24     -129.556091             -0.002         0.0            block1a-007402        YES            
16     10     26     -169.458719             -0.004         0.0            block1a-007430        YES            
16     12     28     -206.542218             0.003          -0.0           block1a-007515        YES            
16     14     30     -240.34442              -0.001         0.0            block1a-007577        YES            
16     16     32     -267.628576             0.0            -0.0           block1a-007663        YES            
16     18     34     -288.930679             0.0            0.0            block1a-007737        YES            
16     20     36     -306.706061             0.0            0.0            block1a-007827        YES            
16     22     38     -318.862973             0.001          0.0            block1a-007917        YES            
16     24     40     -330.116771             0.195          -0.0           block1a-007962        YES            
16     26     42     -339.630636             0.222          0.003          block1a-008049        YES            
16     28     44     -347.497274             -0.201         0.0            block1a-008106        YES            
16     30     46     -353.815784             -0.145         0.0            block1a-008182        YES            
16     32     48     -359.003114             0.0            0.0            block1a-008273        YES            
16     34     50     -362.085438             0.0            -0.0           block1a-008348        YES            
16     36     52     -361.833407             -0.002         0.0            block1a-008451        YES            
16     38     54     -360.941004             -0.003         -0.0           block1a-008511        YES            
16     40     56     -359.434687             -0.014         0.0            block1a-008556        YES            
16     42     58     -357.450565             0.208          0.0            block1a-008652        YES            
16     44     60     -355.758856             0.307          0.0            block1a-008772        YES            
16     46     62     -353.610456             0.323          -0.0           block1a-008817        YES            
16     48     64     -351.110535             -0.3           -0.0           block1a-008868        YES            
18     6      24     -65.232754              -0.021         -0.0           block1a-008947        YES            
18     8      26     -120.940197             0.003          -0.0           block1a-009009        YES            
18     10     28     -164.76252              0.001          -0.0           block1a-009099        YES            
18     12     30     -206.219305             -0.001         0.0            block1a-009154        YES            
18     14     32     -244.780545             -0.001         -0.0           block1a-009229        YES            
18     16     34     -276.956478             0.0            0.0            block1a-009314        YES            
18     18     36     -303.577218             0.0            0.0            block1a-009417        YES            
18     20     38     -326.516817             -0.0           -0.0           block1a-009458        YES            
18     22     40     -343.17498              0.0            -0.0           block1a-009534        YES            
18     24     42     -357.817977             -0.0           0.0            block1a-009607        YES            
18     26     44     -371.162751             0.059          -0.0           block1a-009684        YES            
18     28     46     -382.758829             -0.056         -0.0           block1a-009802        YES            
18     30     48     -392.503776             0.0            0.0            block1a-009848        YES            
18     32     50     -400.197302             -0.0           -0.0           block1a-009907        YES            
18     34     52     -405.087842             0.0            0.0            block1a-009984        YES            
18     36     54     -407.631584             0.001          0.0            block1a-010060        YES            
18     38     56     -409.404452             -0.001         -0.0           block1a-010131        YES            
18     40     58     -410.181831             -0.003         -0.0           block1a-010220        YES            
18     42     60     -409.329009             0.034          0.0            block1a-010331        YES            
18     44     62     -408.61892              0.18           -0.0           block1a-010362        YES            
18     46     64     -407.839995             0.232          -0.0           block1a-010437        YES            
18     48     66     -406.849504             -0.223         -0.0           block1a-010548        YES            
18     50     68     -405.978223             -0.245         -0.0           block1a-010608        YES            
18     52     70     -404.727289             -0.229         0.0            block1a-010672        YES            
18     54     72     -403.026326             -0.222         -0.0           block1a-010731        YES            
18     56     74     -400.946216             -0.173         0.0            block1a-010822        YES            
20     8      28     -109.929214             0.0            0.0            block1a-010943        YES            
20     10     30     -156.495413             0.0            0.0            block1a-010958        YES            
20     12     32     -201.833247             0.003          -0.0           block1a-011035        YES            
20     14     34     -244.786402             0.0            0.0            block1a-011108        YES            
20     16     36     -281.457747             0.0            0.0            block1a-011187        YES            
20     18     38     -313.144873             0.0            -0.0           block1a-011322        YES            
20     20     40     -341.140892             0.0            -0.0           block1a-011334        YES            
20     22     42     -362.265244             0.0            0.0            block1a-011423        YES            
20     24     44     -381.150738             -0.0           -0.0           block1a-011497        YES            
20     26     46     -398.506508             0.0            -0.0           block1a-011588        YES            
20     28     48     -413.764942             0.0            -0.0           block1a-011663        YES            
20     30     50     -426.417258             -0.0           -0.0           block1a-011708        YES            
20     32     52     -436.498437             -0.0           -0.0           block1a-011781        YES            
20     34     54     -443.582009             0.0            -0.0           block1a-011860        YES            
20     36     56     -448.995463             -0.001         0.0            block1a-011931        YES            
20     38     58     -453.62733              -0.001         0.0            block1a-012065        YES            
20     40     60     -457.033404             0.001          0.0            block1a-012085        YES            
20     42     62     -458.469803             0.002          0.0            block1a-012161        YES            
20     44     64     -458.961743             -0.007         -0.0           block1a-012261        YES            
20     46     66     -459.279                0.108          -0.0           block1a-012341        YES            
20     48     68     -459.584663             0.153          -0.0           block1a-012387        YES            
20     50     70     -459.659318             -0.135         -0.0           block1a-012483        YES            
20     52     72     -459.76422              -0.116         0.0            block1a-012546        YES            
20     54     74     -459.847927             -0.0           0.0            block1a-012668        YES            
20     56     76     -459.876449             0.003          0.0            block1a-012684        YES            
20     58     78     -459.571438             0.0            -0.0           block1a-012803        YES            
20     60     80     -458.833118             0.0            -0.0           block1a-012833        YES            
20     62     82     -456.903963             -0.0           -0.0           block1a-012908        YES            
22     12     34     -192.841098             -0.136         0.0            block1a-012994        YES            
22     14     36     -239.313614             0.141          0.0            block1a-013060        YES            
22     16     38     -279.752143             0.002          -0.0           block1a-013182        YES            
22     18     40     -315.836803             0.0            0.0            block1a-013212        YES            
22     20     42     -348.304378             0.002          0.0            block1a-013317        YES            
22     22     44     -373.478971             -0.0           0.0            block1a-013358        YES            
22     24     46     -396.336244             0.0            -0.0           block1a-013432        YES            
22     26     48     -417.503876             0.0            -0.0           block1a-013507        YES            
22     28     50     -436.311036             0.0            0.0            block1a-013627        YES            
22     30     52     -451.57534              0.0            0.0            block1a-013657        YES            
22     32     54     -463.982833             -0.0           -0.0           block1a-013779        YES            
22     34     56     -473.435263             -0.002         0.0            block1a-013804        YES            
22     36     58     -481.565393             -0.001         0.0            block1a-013880        YES            
22     38     60     -488.93721              -0.001         0.0            block1a-013954        YES            
