Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
16     10     26     -177.309632             0.0            -0.0           block1a-007433        YES            
16     12     28     -213.484074             -0.0           0.0            block1a-007519        YES            
16     14     30     -246.068974             -0.001         0.0            block1a-007577        YES            
16     16     32     -272.340508             -0.001         0.0            block1a-007682        YES            
16     18     34     -293.675033             0.0            -0.0           block1a-007739        YES            
16     20     36     -311.800202             0.0            0.0            block1a-007814        YES            
16     22     38     -324.50652              0.001          0.0            block1a-007904        YES            
16     24     40     -335.917758             0.158          0.004          block1a-008009        YES            
16     26     42     -346.263221             0.196          0.0            block1a-008048        YES            
16     28     44     -354.323675             -0.164         0.013          block1a-008137        YES            
16     30     46     -360.551072             -0.156         0.001          block1a-008229        YES            
16     32     48     -364.577922             -0.0           0.0            block1a-008317        YES            
16     34     50     -366.763936             -0.0           -0.0           block1a-008378        YES            
16     36     52     -366.612072             -0.0           -0.0           block1a-008408        YES            
16     38     54     -365.801871             -0.0           -0.0           block1a-008512        YES            
16     40     56     -364.117563             -0.002         -0.0           block1a-008586        YES            
16     42     58     -360.579344             -0.005         0.0            block1a-008677        YES            
16     44     60     -357.501708             0.227          -0.0           block1a-008712        YES            
16     46     62     -354.35055              0.287          -0.0           block1a-008832        YES            
16     48     64     -350.477498             0.307          -0.0           block1a-008922        YES            
18     6      24     -71.217986              0.0            0.0            block1a-008963        YES            
18     8      26     -128.642401             -0.0           -0.0           block1a-009068        YES            
18     10     28     -172.731902             -0.0           0.0            block1a-009128        YES            
18     12     30     -213.493123             0.001          -0.0           block1a-009225        YES            
18     14     32     -250.691833             0.0            0.0            block1a-009240        YES            
18     16     34     -281.501653             0.0            0.0            block1a-009314        YES            
18     18     36     -307.742822             0.0            -0.0           block1a-009390        YES            
18     20     38     -330.634417             0.0            -0.0           block1a-009464        YES            
18     22     40     -347.561305             0.001          0.0            block1a-009552        YES            
18     24     42     -362.519593             0.001          -0.0           block1a-009653        YES            
18     26     44     -376.443112             0.002          -0.0           block1a-009744        YES            
18     28     46     -388.48603              0.002          0.0            block1a-009792        YES            
18     30     48     -397.633657             0.0            -0.0           block1a-009863        YES            
18     32     50     -404.761748             0.0            0.0            block1a-009967        YES            
18     34     52     -409.412587             -0.0           -0.0           block1a-009997        YES            
18     36     54     -412.171358             0.0            -0.0           block1a-010119        YES            
18     38     56     -414.345452             -0.0           0.0            block1a-010177        YES            
18     40     58     -415.523879             0.0            0.0            block1a-010223        YES            
18     42     60     -414.560751             -0.0           0.0            block1a-010328        YES            
18     44     62     -412.56333              0.068          -0.0           block1a-010392        YES            
18     46     64     -411.04899              0.164          0.0            block1a-010452        YES            
18     48     66     -408.873127             0.198          0.0            block1a-010542        YES            
18     50     68     -406.200316             -0.184         -0.0           block1a-010608        YES            
18     52     70     -403.442262             -0.201         0.0            block1a-010698        YES            
18     54     72     -400.04836              -0.198         -0.0           block1a-010758        YES            
18     56     74     -395.907278             -0.162         0.0            block1a-010818        YES            
20     8      28     -116.263027             0.0            0.0            block1a-010913        YES            
20     10     30     -164.371129             -0.001         0.0            block1a-011017        YES            
20     12     32     -209.540115             -0.002         -0.0           block1a-011074        YES            
20     14     34     -251.175164             0.0            0.0            block1a-011113        YES            
20     16     36     -286.467021             0.0            0.0            block1a-011198        YES            
20     18     38     -317.451792             0.0            -0.0           block1a-011303        YES            
20     20     40     -344.97856              0.0            0.0            block1a-011338        YES            
20     22     42     -366.092942             0.0            -0.0           block1a-011437        YES            
20     24     44     -385.001807             -0.0           0.0            block1a-011483        YES            
20     26     46     -402.838338             0.001          -0.0           block1a-011603        YES            
20     28     48     -418.550228             0.0            -0.0           block1a-011678        YES            
20     30     50     -430.55725              0.0            0.0            block1a-011752        YES            
20     32     52     -440.325775             -0.0           0.0            block1a-011842        YES            
20     34     54     -447.603582             -0.0           0.0            block1a-011872        YES            
20     36     56     -453.336551             -0.0           -0.0           block1a-011993        YES            
20     38     58     -458.532179             0.0            0.0            block1a-012053        YES            
20     40     60     -462.561644             0.0            0.0            block1a-012114        YES            
20     42     62     -464.295912             0.0            -0.0           block1a-012188        YES            
20     44     64     -464.86868              -0.0           0.0            block1a-012247        YES            
