Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
2      2      4      -18.906339              0.003          -0.0           block1-000012         YES            
2      4      6      -23.390371              -0.006         -0.0           block1-000097         YES            
2      6      8      -24.622946              -0.02          -0.0           block1-000216         YES            
4      2      6      -21.183752              0.023          0.0            block1-000235         YES            
4      4      8      -43.535566              -0.0           0.0            block1-000352         YES            
4      6      10     -58.888186              -0.002         -0.0           block1-000425         YES            
4      8      12     -64.864685              -0.001         -0.0           block1-000487         YES            
4      10     14     -63.205375              -0.0           0.0            block1-000548         YES            
4      12     16     -61.054839              0.033          -0.0           block1-000654         YES            
4      14     18     -59.116256              0.0            -0.0           block1-000728         YES            
4      16     20     -55.888276              0.0            0.0            block1-000788         YES            
4      18     22     -50.692318              -0.025         0.0            block1-000832         YES            
4      20     24     -45.476618              0.041          -0.0           block1-000909         YES            
6      2      8      -18.622759              0.009          0.0            block1-001044         YES            
6      4      10     -54.331233              -0.005         0.0            block1-001054         YES            
6      6      12     -83.284082              -0.002         -0.0           block1-001141         YES            
6      8      14     -100.022375             0.001          0.0            block1-001226         YES            
6      10     16     -105.249838             0.015          -0.0           block1-001286         YES            
6      12     18     -109.363219             -0.0           0.0            block1-001418         YES            
6      14     20     -113.04036              0.002          -0.0           block1-001479         YES            
6      16     22     -114.857089             0.0            0.0            block1-001538         YES            
6      18     24     -111.41208              0.0            0.0            block1-001613         YES            
6      20     26     -107.644665             0.0            0.0            block1-001703         YES            
6      22     28     -103.996515             -0.075         0.0            block1-001746         YES            
8      2      10     -12.370351              -0.089         0.0            block1-001866         YES            
8      4      12     -54.967237              0.022          0.0            block1-001947         YES            
8      6      14     -94.159503              -0.001         -0.0           block1-001956         YES            
8      8      16     -121.912879             0.0            -0.0           block1-002033         YES            
8      10     18     -136.234236             -0.0           -0.0           block1-002107         YES            
8      12     20     -148.093739             0.0            0.0            block1-002213         YES            
8      14     22     -158.378422             0.0            0.0            block1-002274         YES            
8      16     24     -165.142555             -0.002         0.0            block1-002376         YES            
8      18     26     -165.594033             -0.004         0.0            block1-002436         YES            
8      20     28     -164.707847             -0.003         -0.0           block1-002497         YES            
8      22     30     -162.278403             -0.035         0.0            block1-002556         YES            
8      24     32     -159.082415             -0.058         0.0            block1-002661         YES            
8      26     34     -155.636968             -0.064         0.0            block1-002721         YES            
10     2      12     -3.027229               0.064          0.0            block1-002799         YES            
10     4      14     -48.106456              0.023          -0.0           block1-002859         YES            
10     6      16     -93.012336              0.002          -0.0           block1-002979         YES            
10     8      18     -129.477513             0.0            0.0            block1-003007         YES            
10     10     20     -152.94485              0.322          0.001          block1-003085         YES            
10     12     22     -172.404013             0.337          -0.0           block1-003160         YES            
10     14     24     -187.46008              -0.006         0.0            block1-003243         YES            
10     16     26     -199.02909              -0.001         0.0            block1-003365         YES            
10     18     28     -204.264126             -0.002         -0.0           block1-003409         YES            
10     20     30     -207.732213             -0.002         0.0            block1-003486         YES            
10     22     32     -208.430366             0.269          -0.0           block1-003538         YES            
10     24     34     -209.239083             0.386          -0.001         block1-003613         YES            
10     26     36     -208.441117             0.381          0.0            block1-003687         YES            
10     28     38     -206.895273             0.322          0.0            block1-003807         YES            
10     30     40     -205.148367             0.207          0.0            block1-003895         YES            
10     32     42     -203.85124              -0.0           -0.0           block1-003908         YES            
10     34     44     -201.694228             -0.02          -0.0           block1-004026         YES            
10     36     46     -196.696157             0.217          -0.0           block1-004092         YES            
10     38     48     -191.163523             -0.275         -0.0           block1-004188         YES            
12     2      14     9.257456                -0.112         0.0            block1-004222         YES            
12     4      16     -39.274165              -0.035         0.0            block1-004342         YES            
12     6      18     -89.214077              -0.006         -0.0           block1-004372         YES            
12     8      20     -132.935118             -0.0           0.0            block1-004447         YES            
12     10     22     -163.856641             0.348          0.002          block1-004523         YES            
12     12     24     -190.434833             0.376          0.002          block1-004586         YES            
12     14     26     -211.54583              -0.127         -0.0           block1-004654         YES            
12     16     28     -227.831881             -0.0           -0.0           block1-004729         YES            
12     18     30     -238.274692             0.0            -0.0           block1-004814         YES            
12     20     32     -246.757516             0.001          -0.0           block1-004890         YES            
12     22     34     -251.145613             0.234          0.002          block1-005023         YES            
12     24     36     -255.838971             0.369          -0.001         block1-005094         YES            
12     26     38     -258.3796               0.377          0.001          block1-005142         YES            
12     28     40     -259.248511             0.334          0.001          block1-005232         YES            
12     30     42     -259.860017             -0.206         0.0            block1-005287         YES            
12     32     44     -260.549309             -0.0           0.0            block1-005348         YES            
12     34     46     -259.73992              -0.011         0.0            block1-005451         YES            
12     36     48     -255.113536             0.174          -0.0           block1-005532         YES            
12     38     50     -250.326454             0.302          0.0            block1-005592         YES            
12     40     52     -245.890897             0.372          0.0            block1-005667         YES            
14     2      16     21.940484               -0.0           0.0            block1-005708         YES            
14     4      18     -29.077646              -0.029         0.0            block1-005812         YES            
14     6      20     -84.172899              0.0            -0.0           block1-005918         YES            
14     8      22     -133.560781             0.001          0.0            block1-005994         YES            
14     10     24     -169.119583             0.176          -0.0           block1-006010         YES            
14     12     26     -201.430066             0.191          0.001          block1-006085         YES            
14     14     28     -230.121109             -0.001         -0.0           block1-006152         YES            
14     16     30     -251.836808             -0.0           0.0            block1-006243         YES            
14     18     32     -267.564726             -0.001         0.0            block1-006302         YES            
14     20     34     -281.088946             0.0            0.0            block1-006405         YES            
14     22     36     -288.748612             0.071          0.005          block1-006509         YES            
14     24     38     -296.416184             0.252          0.002          block1-006537         YES            
14     26     40     -302.248387             0.27           0.002          block1-006627         YES            
14     28     42     -307.472945             -0.236         0.001          block1-006697         YES            
14     30     44     -310.842306             -0.139         0.006          block1-006816         YES            
14     32     46     -313.940383             0.001          0.0            block1-006849         YES            
14     34     48     -314.399405             -0.005         0.0            block1-006906         YES            
14     36     50     -310.803062             0.0            -0.0           block1-006983         YES            
14     38     52     -306.926968             0.152          -0.0           block1-007122         YES            
14     40     54     -303.561043             0.301          -0.0           block1-007167         YES            
16     4      20     -17.351537              0.039          0.0            block1-007209         YES            
16     6      22     -76.024889              -0.0           0.0            block1-007283         YES            
16     8      24     -130.017763             0.0            -0.0           block1-007418         YES            
16     10     26     -169.633722             -0.004         -0.0           block1-007429         YES            
16     12     28     -206.619628             -0.006         -0.0           block1-007518         YES            
16     14     30     -240.726635             -0.001         -0.0           block1-007592         YES            
16     16     32     -267.604921             -0.001         0.0            block1-007667         YES            
16     18     34     -288.458118             0.001          -0.0           block1-007755         YES            
16     20     36     -306.792523             -0.0           0.0            block1-007812         YES            
16     22     38     -318.590901             -0.003         -0.0           block1-007932         YES            
16     24     40     -330.586998             0.206          -0.0           block1-007962         YES            
16     26     42     -340.335006             0.213          -0.0           block1-008037         YES            
16     28     44     -348.442874             -0.17          0.0            block1-008122         YES            
16     30     46     -354.973438             0.001          -0.0           block1-008228         YES            
16     32     48     -360.37491              0.0            -0.0           block1-008304         YES            
16     34     50     -362.278615             0.0            -0.0           block1-008333         YES            
16     36     52     -361.102307             0.0            0.0            block1-008438         YES            
16     38     54     -359.527074             -0.004         -0.0           block1-008481         YES            
16     40     56     -357.75499              -0.012         -0.0           block1-008571         YES            
16     42     58     -356.039951             0.308          -0.0           block1-008697         YES            
16     44     60     -354.139222             0.346          0.0            block1-008742         YES            
16     46     62     -351.641829             0.353          0.0            block1-008847         YES            
16     48     64     -348.696076             -0.322         0.0            block1-008868         YES            
18     6      24     -64.211494              0.499          0.0            block1-008970         YES            
18     8      26     -120.449783             0.005          -0.0           block1-009024         YES            
18     10     28     -164.173158             -0.0           0.0            block1-009098         YES            
18     12     30     -205.720323             0.002          -0.0           block1-009180         YES            
18     14     32     -244.705679             0.005          0.0            block1-009270         YES            
18     16     34     -276.486391             -0.001         -0.0           block1-009302         YES            
18     18     36     -302.662998             0.0            -0.0           block1-009390         YES            
18     20     38     -326.179855             -0.0           -0.0           block1-009462         YES            
18     22     40     -342.5985               0.0            0.0            block1-009563         YES            
18     24     42     -357.892044             0.112          0.0            block1-009612         YES            
18     26     44     -371.748498             0.089          0.0            block1-009699         YES            
18     28     46     -383.983705             0.001          -0.0           block1-009772         YES            
18     30     48     -394.130779             -0.0           0.0            block1-009833         YES            
18     32     50     -401.7879               0.0            0.0            block1-009923         YES            
18     34     52     -405.443451             0.0            0.0            block1-010014         YES            
18     36     54     -407.043695             -0.0           0.0            block1-010088         YES            
18     38     56     -408.343709             -0.001         -0.0           block1-010146         YES            
18     40     58     -409.1648               -0.002         0.0            block1-010221         YES            
