Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID                Convergence    
2      2      4      -30.66859               0.004          0.0            block1a-000041        YES            
2      4      6      -34.66806               -0.005         0.0            block1a-000127        YES            
2      6      8      -36.0787                -0.017         -0.0           block1a-000216        YES            
4      2      6      -32.090797              -0.082         -0.0           block1a-000257        YES            
4      4      8      -52.937172              -0.0           0.0            block1a-000322        YES            
4      6      10     -67.667612              0.003          0.0            block1a-000434        YES            
4      8      12     -74.429477              0.0            -0.0           block1a-000458        YES            
4      10     14     -73.187355              0.129          0.0            block1a-000567        YES            
4      12     16     -71.482886              -0.029         -0.0           block1a-000622        YES            
4      14     18     -69.798017              0.0            0.0            block1a-000683        YES            
4      16     20     -66.835779              0.0            0.0            block1a-000758        YES            
4      18     22     -62.131508              0.0            -0.0           block1a-000893        YES            
4      20     24     -56.910395              0.0            0.0            block1a-000908        YES            
6      2      8      -29.781151              0.007          -0.0           block1a-000984        YES            
6      4      10     -63.381258              -0.005         0.0            block1a-001054        YES            
6      6      12     -90.375147              0.001          -0.0           block1a-001155        YES            
6      8      14     -106.958177             0.001          0.0            block1a-001211        YES            
6      10     16     -113.189492             0.008          -0.0           block1a-001302        YES            
6      12     18     -117.823199             0.0            0.0            block1a-001418        YES            
6      14     20     -121.77819              -0.0           -0.0           block1a-001433        YES            
6      16     22     -123.775019             -0.0           0.0            block1a-001508        YES            
6      18     24     -121.973805             -0.0           0.0            block1a-001628        YES            
6      20     26     -118.577055             0.007          -0.0           block1a-001674        YES            
6      22     28     -114.597766             -0.065         0.0            block1a-001776        YES            
8      2      10     -23.732273              -0.065         -0.0           block1a-001806        YES            
8      4      12     -64.775284              -0.002         0.0            block1a-001897        YES            
8      6      14     -101.186438             0.001          0.0            block1a-001961        YES            
8      8      16     -127.416212             0.0            0.0            block1a-002033        YES            
8      10     18     -142.013494             0.0            0.0            block1a-002139        YES            
8      12     20     -153.79966              -0.0           0.0            block1a-002182        YES            
8      14     22     -163.890095             0.0            0.0            block1a-002274        YES            
8      16     24     -170.970275             -0.002         0.0            block1a-002361        YES            
8      18     26     -173.527033             -0.003         -0.0           block1a-002451        YES            
8      20     28     -173.548063             -0.002         0.0            block1a-002497        YES            
8      22     30     -170.996695             0.048          -0.0           block1a-002561        YES            
8      24     32     -167.775988             -0.139         0.0            block1a-002674        YES            
8      26     34     -164.54054              -0.148         -0.0           block1a-002705        YES            
10     2      12     -13.91147               -0.067         0.0            block1a-002827        YES            
10     4      14     -57.780614              -0.029         0.0            block1a-002857        YES            
10     6      16     -100.413581             0.0            -0.0           block1a-002993        YES            
10     8      18     -134.740508             0.0            -0.0           block1a-003068        YES            
10     10     20     -157.30912              0.239          -0.001         block1a-003130        YES            
10     12     22     -176.591319             0.303          0.0            block1a-003173        YES            
10     14     24     -191.822351             -0.003         0.0            block1a-003288        YES            
10     16     26     -203.931774             -0.001         0.0            block1a-003319        YES            
10     18     28     -211.023307             -0.003         0.0            block1a-003378        YES            
10     20     30     -215.306958             0.002          -0.0           block1a-003463        YES            
10     22     32     -216.238617             0.189          -0.0           block1a-003540        YES            
10     24     34     -215.66838              -0.18          0.0            block1a-003618        YES            
10     26     36     -215.680064             -0.252         0.0            block1a-003724        YES            
10     28     38     -215.807746             0.335          0.0            block1a-003761        YES            
10     30     40     -214.019964             0.213          -0.0           block1a-003865        YES            
10     32     42     -212.728058             -0.008         -0.0           block1a-003966        YES            
10     34     44     -210.562816             -0.015         -0.0           block1a-003981        YES            
10     36     46     -205.585291             0.146          0.0            block1a-004092        YES            
10     38     48     -200.051502             0.265          0.0            block1a-004167        YES            
12     2      14     -1.26498                -0.0           0.0            block1a-004238        YES            
12     4      16     -49.178307              -0.0           -0.0           block1a-004313        YES            
12     6      18     -97.018299              -0.0           -0.0           block1a-004418        YES            
12     8      20     -138.105698             -0.001         0.0            block1a-004462        YES            
12     10     22     -168.144363             0.327          0.001          block1a-004523        YES            
12     12     24     -192.837601             -0.206         -0.0           block1a-004579        YES            
12     14     26     -214.743313             -0.137         -0.001         block1a-004654        YES            
12     16     28     -231.685981             -0.001         -0.0           block1a-004727        YES            
12     18     30     -243.537522             0.0            0.0            block1a-004858        YES            
12     20     32     -252.389735             0.001          0.0            block1a-004950        YES            
12     22     34     -257.439935             0.174          0.001          block1a-004979        YES            
12     24     36     -260.665654             -0.169         0.001          block1a-005097        YES            
12     26     38     -264.138881             -0.245         -0.031         block1a-005135        YES            
12     28     40     -267.081104             0.339          0.001          block1a-005202        YES            
