Z      N      A      Binding_Energy_(MeV)    beta2          beta3          fileID    Convergence    
82     94     176    -1348.679024            0.004          0.0            1914      YES            
82     96     178    -1370.268647            -0.003         0.0            1929      YES            
82     132    214    -1663.504793            -0.0           0.0            1947      YES            
82     134    216    -1671.119911            0.0            0.0            1965      YES            
82     136    218    -1678.5474              0.001          0.0            1982      YES            
82     138    220    -1685.766622            0.001          0.0            1999      YES            
82     140    222    -1692.799792            -0.027         0.0            2014      YES            
82     142    224    -1699.728514            -0.042         0.0            2031      YES            
82     144    226    -1706.757951            0.241          0.0            2053      YES            
84     132    216    -1675.474983            0.002          0.0            2067      YES            
84     134    218    -1684.313282            -0.048         0.0            2082      YES            
84     136    220    -1693.142322            0.088          0.0            2101      YES            
84     192    276    -1828.949808            -0.0           0.0            2117      YES            
84     194    278    -1827.997346            0.046          0.0            2136      YES            
84     196    280    -1827.322968            -0.066         0.0            2149      YES            
86     132    218    -1686.704817            0.075          0.0            2169      YES            
86     134    220    -1697.103903            0.113          0.0            2186      YES            
86     192    278    -1861.695372            0.058          0.0            2203      YES            
86     194    280    -1861.666589            0.088          0.0            2221      YES            
88     132    220    -1696.12069             0.092          0.0            2237      YES            
88     134    222    -1707.621951            0.138          0.0            2255      YES            
88     136    224    -1719.290973            0.174          0.0            2273      YES            
88     138    226    -1730.67562             0.196          0.0            2290      YES            
88     192    280    -1893.005537            0.062          0.0            2305      YES            
88     194    282    -1893.634763            0.087          0.0            2322      YES            
90     130    220    -1692.084356            -0.001         0.0            2337      YES            
90     132    222    -1703.607919            0.086          0.0            2356      YES            
90     134    224    -1716.389062            0.168          0.0            2375      YES            
90     136    226    -1729.674279            0.204          0.0            2392      YES            
90     138    228    -1742.332994            0.224          0.0            2409      YES            
90     192    282    -1922.72048             0.032          0.0            2424      YES            
90     194    284    -1923.734522            0.068          0.0            2441      YES            
92     130    222    -1697.707734            -0.001         0.0            2456      YES            
92     132    224    -1709.83974             -0.004         0.0            2473      YES            
92     134    226    -1724.035068            0.2            0.0            2494      YES            
92     136    228    -1738.639066            0.229          0.0            2511      YES            
92     138    230    -1752.437229            0.244          0.0            2528      YES            
92     192    284    -1951.173256            -0.002         0.0            2541      YES            
92     194    286    -1952.407499            -0.038         0.0            2558      YES            
92     196    288    -1953.825619            0.084          0.0            2577      YES            
94     130    224    -1700.700481            0.001          0.0            2594      YES            
94     132    226    -1714.053038            -0.06          0.0            2608      YES            
94     134    228    -1730.15492             0.235          0.0            2630      YES            
94     136    230    -1745.709541            0.249          0.0            2647      YES            
94     188    282    -1972.34707             -0.001         0.0            2660      YES            
94     190    284    -1974.084146            -0.0           0.0            2678      YES            
94     192    286    -1976.198197            -0.048         0.0            2694      YES            
94     194    288    -1978.573327            0.081          0.0            2713      YES            
94     196    290    -1980.926078            0.099          0.0            2730      YES            
94     198    292    -1983.045943            0.119          0.0            2747      YES            
96     128    224    -1687.727154            -0.001         0.0            2762      YES            
96     130    226    -1701.733704            -0.023         0.0            2778      YES            
96     132    228    -1717.55313             0.267          0.0            2802      YES            
96     134    230    -1734.545341            0.266          0.0            2817      YES            
96     186    282    -1991.655291            -0.0           0.0            2831      YES            
96     188    284    -1993.932136            -0.0           0.0            2848      YES            
96     190    286    -1996.786553            -0.053         0.0            2864      YES            
96     192    288    -1999.831062            0.085          0.0            2883      YES            
96     194    290    -2003.232944            0.106          0.0            2900      YES            
96     196    292    -2006.416563            0.126          0.0            2917      YES            
96     198    294    -2009.676894            0.183          0.0            2934      YES            
98     126    224    -1670.751783            -0.0           0.0            2950      YES            
98     128    226    -1686.537701            0.0            0.0            2967      YES            
