Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total (b)  beta3_total    fileID    Convergence    
64     136    200    -1437.96551             -0.121875      -9.735768      0.0            438       YES            
64     138    202    -1439.4392              -0.139413      -11.392305     0.0            442       YES            
64     140    204    -1440.520728            -0.152829      -12.767655     0.0            446       YES            
66     72     138    -1100.025109            0.331713       14.278351      0.0            451       YES            
66     84     150    -1230.687705            -0.017148      -0.783832      0.0            454       YES            
66     86     152    -1246.024725            -0.11125       -5.336116      0.0            457       YES            
66     88     154    -1261.613256            0.206804       10.332125      0.0            463       YES            
66     94     160    -1309.459467            0.31547        17.223883      0.0            467       YES            
66     130    196    -1457.772448            0.371729       29.843287      0.0            471       YES            
66     132    198    -1466.951004            -0.053767      -4.145591      0.0            474       YES            
66     134    200    -1469.203889            -0.108866      -8.576818      0.0            478       YES            
66     136    202    -1471.683386            -0.130084      -10.499281     0.0            482       YES            
66     138    204    -1473.918469            -0.144701      -11.944256     0.0            486       YES            
68     86     154    -1253.30337             -0.120869      -5.914959      0.0            489       YES            
68     130    198    -1487.966896            0.405429       33.195896      0.0            495       YES            
68     132    200    -1492.395096            0.401064       33.427242      0.0            499       YES            
68     134    202    -1500.147279            -0.113814      -9.065211      0.0            502       YES            
68     136    204    -1503.256222            -0.131371      -10.705853     0.0            506       YES            
68     138    206    -1506.215595            -0.14585       -12.139696     0.0            510       YES            
70     94     164    -1330.214362            0.284932       16.059022      0.0            524       YES            
70     96     166    -1346.770328            0.307204       17.767493      0.0            527       YES            
70     130    200    -1516.140882            0.414094       34.496707      0.0            531       YES            
70     132    202    -1525.401871            -0.079634      -6.257604      0.0            534       YES            
70     134    204    -1529.224246            -0.111288      -8.956012      0.0            538       YES            
70     136    206    -1532.948303            -0.128132      -10.544486     0.0            542       YES            
72     94     166    -1337.88279             0.267708       15.339954      0.0            552       YES            
72     96     168    -1355.429316            0.295938       17.416944      0.0            556       YES            
72     130    202    -1542.190916            0.425418       36.127579      0.0            559       YES            
72     132    204    -1548.391201            0.425672       36.796201      0.0            563       YES            
72     134    206    -1554.203963            0.425553       37.424562      0.0            567       YES            
72     136    208    -1561.000125            -0.120617      -10.026235     0.0            570       YES            
74     96     170    -1362.334435            0.297364       17.79648       0.0            584       YES            
74     98     172    -1380.240152            0.309222       18.941154      0.0            588       YES            
74     130    204    -1566.007767            0.449077       38.95748       0.0            591       YES            
74     132    206    -1573.177245            0.446661       39.416065      0.0            595       YES            
74     134    208    -1582.574637            -0.095629      -7.847043      0.0            598       YES            
74     136    210    -1586.14224             0.440251       40.132482      0.0            603       YES            
