Z      N      A      Binding_Energy_(MeV)    Q20_total (b)  beta3_total    fileID    Convergence    
98     192    290    -2018.095987            17.189189      0.0            885       YES            
98     194    292    -2022.593933            24.360771      0.0            889       YES            
98     196    294    -2027.304172            31.235827      0.0            893       YES            
98     230    328    -2061.31008             41.624574      0.0            897       YES            
98     234    332    -2060.315374            37.556297      0.0            901       YES            
98     238    336    -2058.118343            61.380701      0.0            905       YES            
100    126    226    -1656.016614            50.581547      0.0            910       YES            
100    128    228    -1670.583089            -47.103461     0.0            911       YES            
100    168    268    -1954.609316            40.021059      0.0            918       YES            
100    184    284    -2021.465869            -0.556976      0.0            920       YES            
100    186    286    -2026.111294            -0.61489       0.0            924       YES            
100    188    288    -2029.699087            -1.320389      0.0            928       YES            
100    190    290    -2033.399179            51.727338      0.0            933       YES            
100    192    292    -2038.887893            48.182413      0.0            937       YES            
100    194    294    -2044.172037            33.612933      0.0            941       YES            
100    196    296    -2049.616669            34.74118       0.0            945       YES            
100    230    330    -2093.670793            42.635317      0.0            949       YES            
100    232    332    -2093.628919            41.41342       0.0            953       YES            
100    234    334    -2093.353761            39.759922      0.0            957       YES            
100    236    336    -2092.897146            37.656435      0.0            961       YES            
100    262    362    -2077.104206            105.772804     0.0            965       YES            
100    264    364    -2074.879847            108.336625     0.0            969       YES            
102    128    230    -1672.772252            51.167955      0.0            974       YES            
102    184    286    -2038.281468            -0.587776      0.0            976       YES            
102    186    288    -2043.530003            -0.651512      0.0            980       YES            
102    188    290    -2047.735862            -1.551959      0.0            984       YES            
102    190    292    -2053.273969            55.257214      0.0            989       YES            
102    192    294    -2059.395425            53.016662      0.0            993       YES            
102    194    296    -2065.183558            50.493595      0.0            997       YES            
102    232    334    -2124.999547            42.688618      0.0            1001      YES            
102    234    336    -2125.069359            41.573824      0.0            1005      YES            
102    236    338    -2124.915445            39.733271      0.0            1009      YES            
102    260    362    -2115.784546            100.326919     0.0            1013      YES            
102    262    364    -2113.987956            102.154434     0.0            1017      YES            
102    264    366    -2112.060948            103.577624     0.0            1021      YES            
104    170    274    -1988.919273            57.437829      0.0            1026      YES            
104    184    288    -2053.806246            -0.611841      0.0            1028      YES            
104    186    290    -2059.666515            -0.681985      0.0            1032      YES            
104    188    292    -2064.778511            59.818795      0.0            1038      YES            
104    190    294    -2071.700439            57.757468      0.0            1041      YES            
104    198    302    -2096.545082            49.704586      0.0            1045      YES            
104    234    338    -2155.382309            42.2286        0.0            1049      YES            
104    260    364    -2151.19173             94.864822      0.0            1053      YES            
104    262    366    -2149.736398            95.037615      0.0            1057      YES            
104    264    368    -2148.187949            94.301842      0.0            1061      YES            
106    164    270    -1964.099132            59.439229      0.0            1066      YES            
