Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
14     2      16     1.70859             11.420802           13.129392           -0.094131      0.009999       0.294985       YES
22     46     68     0.083969            -511.480551         -511.396582         0.110636       0.01           -0.014099      YES
24     28     52     0.032481            -454.979832         -454.947351         0.109458       0.01           -0.072635      YES
24     46     70     0.14721             -553.467219         -553.320009         0.161886       0.01           -0.014721      YES
26     20     46     0.022549            -353.641996         -353.619447         0.000236       0.01           -0.09025       YES
32     48     80     0.060932            -689.276309         -689.215377         0.126957       0.01           -0.008464      YES
34     48     82     0.045159            -711.780228         -711.735069         0.108161       0.01           -0.005965      YES
34     56     90     0.074543            -754.811354         -754.736811         0.148608       0.01           -0.009375      YES
36     32     68     0.045692            -547.025927         -546.980235         -0.156738      0.01           0.011          YES
36     38     74     0.014194            -628.127418         -628.113224         -0.123357      0.01           0.000978       YES
36     62     98     0.06786             -806.416959         -806.349099         -0.188897      0.01           0.015601       YES
36     64     100    0.079829            -813.241546         -813.161717         -0.191283      0.01           0.016428       YES
38     62     100    0.453745            -835.829374         -835.375629         0.347529       0.01           -0.033139      YES
40     70     110    0.050794            -897.238293         -897.187499         -0.164377      0.01           0.010711       YES
46     58     104    0.06907             -891.323021         -891.253951         0.152302       0.01           -0.005619      YES
52     66     118    0.027579            -996.456003         -996.428424         -0.148455      0.01           -0.001271      YES
54     64     118    0.006525            -985.173468         -985.166943         0.259338       0.01           -0.017407      YES
54     66     120    0.018085            -1005.460704        -1005.442619        0.253311       0.01           -0.019649      YES
54     74     128    0.047916            -1077.852899        -1077.804983        0.15913        0.01           -0.005235      YES
54     90     144    0.037206            -1175.433912        -1175.396706        0.171799       0.01           -0.024225      YES
56     54     110    0.067364            -865.830226         -865.762862         0.191448       0.01           -0.008707      YES
56     88     144    0.042853            -1188.088068        -1188.045215        0.168726       0.01           -0.008008      YES
56     90     146    0.026465            -1197.34855         -1197.322085        0.191422       0.01           -0.009411      YES
56     92     148    0.044831            -1206.05689         -1206.012059        0.216711       0.01           -0.011111      YES
58     78     136    0.026246            -1135.938443        -1135.912197        0.129339       0.01           -0.008791      YES
58     86     144    0.02557             -1194.627507        -1194.601937        0.142562       0.01           -0.004301      YES
58     88     146    0.033735            -1205.992313        -1205.958578        0.18024        0.010073       -0.012122      NO
58     90     148    0.064072            -1216.808808        -1216.744736        0.219298       0.009999       -0.014258      NO
58     136    194    0.13275             -1328.041893        -1327.909143        0.139869       0.01           -0.014056      YES
58     138    196    0.137415            -1327.132892        -1326.995477        0.152218       0.01           -0.01696       YES
58     140    198    0.083676            -1325.947028        -1325.863352        0.163038       0.01           -0.017292      YES
60     78     138    0.02441             -1145.51546         -1145.49105         0.132714       0.01           -0.009512      YES
60     86     146    0.026141            -1209.048208        -1209.022067        0.143389       0.009993       -0.002818      NO
60     88     148    0.012104            -1221.794241        -1221.782137        0.194409       0.01           -0.016873      YES
60     92     152    0.214369            -1247.284416        -1247.070047        0.29272        0.01           -0.034859      YES
60     118    178    0.06177             -1344.447998        -1344.386228        0.145501       0.01           -0.012816      YES
60     120    180    0.036877            -1349.376694        -1349.339817        0.106472       0.01           -0.011945      YES
60     134    194    0.056434            -1366.788102        -1366.731668        0.116304       0.01           -0.013364      YES
60     136    196    0.062346            -1366.733433        -1366.671087        0.140288       0.01           -0.014485      YES
60     138    198    0.025708            -1366.496756        -1366.471048        0.161672       0.01           -0.013155      YES
62     90     152    0.070772            -1250.012866        -1249.942094        0.276852       0.01           -0.031319      YES
62     132    194    0.008243            -1402.387618        -1402.379375        0.071191       0.01           -0.010433      YES
62     134    196    0.021971            -1402.938751        -1402.91678         0.108575       0.009994       -0.012042      NO
62     136    198    0.044398            -1403.485045        -1403.440647        0.147097       0.009992       -0.00479       NO
64     88     152    0.02362             -1247.892758        -1247.869138        0.22116        0.01           -0.024028      YES
64     132    196    0.002422            -1436.094019        -1436.091597        0.053843       0.01           -0.026089      YES
64     134    198    0.019638            -1437.248387        -1437.228749        0.111          0.009986       -0.002899      NO
64     136    200    0.025644            -1438.691893        -1438.666249        0.162558       0.01           0.01071        YES
66     70     136    0.1339              -1070.100163        -1069.966263        0.327447       0.01           -0.022274      YES
66     88     154    0.030921            -1258.011648        -1257.980727        0.217893       0.01           -0.010397      YES
66     90     156    0.054318            -1274.516981        -1274.462663        0.263181       0.01           -0.021083      YES
66     92     158    0.104327            -1290.534026        -1290.429699        0.288861       0.01           -0.022679      YES
66     94     160    0.138383            -1305.805006        -1305.666623        0.301124       0.01           -0.023409      YES
66     132    198    0.001529            -1467.854618        -1467.853089        0.060092       0.01           -0.008804      YES
66     134    200    0.038562            -1469.934536        -1469.895974        0.12587        0.009998       0.014046       NO
68     68     136    0.207878            -1039.886321        -1039.678443        0.322173       0.01           -0.022751      YES
68     132    200    0.029463            -1497.904476        -1497.875013        0.078583       0.01           0.002273       YES
