Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
80     142    222    -1678.113621            -0.07622       0.01           97        YES            
82     92     174    -1326.708561            0.001303       0.009999       98        YES            
82     94     176    -1348.670613            0.003669       0.01           99        YES            
82     96     178    -1370.260493            -0.003038      0.01           100       YES            
82     132    214    -1663.510933            2e-05          0.01           373       YES            
82     134    216    -1671.129157            0.000464       0.01           101       YES            
82     136    218    -1678.552489            0.000662       0.01           102       YES            
82     138    220    -1685.762797            0.001159       0.01           103       YES            
82     140    222    -1692.807809            -0.025248      0.01           104       YES            
82     142    224    -1699.749636            -0.039571      0.01           105       YES            
82     144    226    -1706.674317            0.216296       0.009999       106       YES            
84     132    216    -1675.477784            0.002396       0.01           374       YES            
84     134    218    -1684.317153            -0.046811      0.01           107       YES            
84     136    220    -1693.109958            0.084273       0.01           108       YES            
84     192    276    -1828.951348            5e-06          0.01           109       YES            
84     194    278    -1828.047633            0.040072       0.01           110       YES            
84     196    280    -1827.319936            -0.057511      0.01           111       YES            
86     132    218    -1686.6861              0.072891       0.01           375       YES            
86     134    220    -1697.072491            0.107909       0.01           376       YES            
86     192    278    -1861.709272            0.051996       0.01           112       YES            
86     194    280    -1861.617982            0.076933       0.009999       113       YES            
88     132    220    -1696.118951            0.087807       0.010001       377       NO             
88     134    222    -1707.599214            0.130672       0.01           378       NO             
88     136    224    -1719.222725            0.162241       0.01           114       NO             
88     138    226    -1730.597039            0.181633       0.01           115       YES            
88     192    280    -1893.031579            0.055306       0.01           116       YES            
88     194    282    -1893.543829            0.077199       0.01           117       YES            
90     130    220    -1692.064225            -0.001128      0.01           118       YES            
90     132    222    -1703.58652             0.082421       0.010001       379       NO             
90     134    224    -1716.334393            0.157307       0.009999       380       YES            
90     136    226    -1729.520625            0.188701       0.01           119       NO             
90     138    228    -1742.192184            0.206408       0.01           120       YES            
90     192    282    -1922.71835             0.028673       0.01           121       YES            
90     194    284    -1923.782449            0.060469       0.010001       122       YES            
92     130    222    -1697.696237            -0.000627      0.01           123       YES            
92     132    224    -1709.836302            -0.004088      0.009999       124       YES            
92     134    226    -1723.954574            0.185533       0.009999       381       YES            
92     136    228    -1738.530297            0.210486       0.01           125       NO             
92     138    230    -1752.294238            0.223745       0.01           126       YES            
92     192    284    -1951.10563             -0.001677      0.01           127       YES            
92     194    286    -1952.389215            -0.033824      0.01           128       YES            
92     196    288    -1953.770144            0.073995       0.01           129       YES            
94     130    224    -1700.688616            0.001196       0.01           130       YES            
94     132    226    -1714.066915            -0.057942      0.01           131       YES            
94     134    228    -1730.075007            0.215605       0.01           382       YES            
94     136    230    -1745.602297            0.227416       0.01           132       YES            
94     188    282    -1972.345587            -0.000496      0.01           133       YES            
94     190    284    -1974.098245            2.6e-05        0.01           134       YES            
94     192    286    -1976.166554            -0.043283      0.01           135       YES            
94     194    288    -1978.496188            0.072065       0.01           136       YES            
94     196    290    -1980.841923            0.087874       0.01           137       YES            
94     198    292    -1983.017605            0.104958       0.009999       138       YES            
96     128    224    -1687.727477            -0.000647      0.01           139       YES            
96     130    226    -1701.742756            -0.022585      0.01           140       YES            
96     132    228    -1717.489772            0.243481       0.01           141       NO             
96     134    230    -1734.437853            0.24252        0.01           142       YES            
96     186    282    -1991.660597            2e-05          0.01           143       YES            
96     188    284    -1993.951483            3.1e-05        0.01           144       YES            
96     190    286    -1996.751878            -0.04898       0.01           145       YES            
96     192    288    -1999.78362             0.076577       0.010008       146       NO             
96     194    290    -2003.138266            0.094534       0.01           147       YES            
96     196    292    -2006.358486            0.111648       0.009999       148       YES            
96     198    294    -2009.506355            0.159459       0.010001       149       YES            
98     126    224    -1670.759732            1.4e-05        0.01           150       YES            
98     128    226    -1686.556112            2.1e-05        0.01           151       YES            
98     130    228    -1702.035861            -0.071843      0.01           152       YES            
98     132    230    -1719.546762            0.272991       0.01           153       YES            
98     134    232    -1737.13223             0.260899       0.01           154       YES            
98     186    284    -2011.377019            2e-05          0.01           155       YES            
98     188    286    -2014.269782            3e-05          0.01           156       YES            
98     190    288    -2018.254622            -0.061654      0.01           157       YES            
98     192    290    -2022.187084            0.094315       0.010003       158       NO             
98     194    292    -2026.538352            0.113648       0.010001       159       YES            
98     196    294    -2030.678823            0.137746       0.01           160       YES            
98     198    296    -2034.697262            0.161022       0.01           161       YES            
98     232    330    -2062.955242            -0.147742      0.01           162       YES            
98     234    332    -2063.291831            -0.145299      0.01           163       YES            
98     236    334    -2063.466942            -0.142014      0.01           164       YES            
98     238    336    -2063.475972            -0.137413      0.01           165       YES            
98     262    360    -2051.0307              0.021605       0.01           166       YES            
100    126    226    -1667.428145            8e-06          0.01           167       YES            
100    128    228    -1684.077079            1.5e-05        0.01           168       YES            
100    130    230    -1700.896042            -0.268383      0.01           169       YES            
100    132    232    -1719.758111            0.2938         0.01           170       YES            
100    134    234    -1738.046714            0.273414       0.01           171       YES            
100    184    284    -2025.436173            7e-06          0.01           172       YES            
100    186    286    -2029.867534            1.4e-05        0.01           173       YES            
100    188    288    -2033.626827            -0.042343      0.01           174       YES            
100    190    290    -2038.266145            -0.067821      0.01           383       NO             
100    192    292    -2043.242572            0.107131       0.01           384       YES            
100    194    294    -2048.448627            0.12965        0.01           175       YES            
100    196    296    -2053.448913            0.151289       0.01           176       YES            
100    198    298    -2058.233578            0.165954       0.010001       177       YES            
100    234    334    -2095.380687            -0.152094      0.01           178       YES            
100    236    336    -2096.016149            -0.148764      0.01           179       YES            
100    238    338    -2096.433324            -0.144246      0.01           180       YES            
100    240    340    -2096.604864            -0.138187      0.01           181       YES            
100    242    342    -2096.55224             -0.130491      0.01           182       YES            
100    250    350    -2094.893837            -0.082584      0.010004       183       NO             
100    260    360    -2090.956226            -3.8e-05       0.01           184       YES            
100    262    362    -2087.317905            -0.001508      0.01           185       YES            
100    264    364    -2084.238409            0.05614        0.009899       186       NO             
102    128    230    -1680.372881            -0.002982      0.01           187       YES            
102    130    232    -1698.941232            -0.267984      0.01           188       YES            
102    132    234    -1717.222273            -0.274903      0.01           189       YES            
102    134    236    -1737.504879            0.302298       0.01           190       YES            
102    182    284    -2034.476271            1e-06          0.01           191       YES            
102    184    286    -2042.097958            -1e-06         0.01           192       YES            
102    186    288    -2047.142605            6e-06          0.01           193       YES            
102    188    290    -2051.690738            -0.047622      0.01           194       YES            
102    190    292    -2056.946674            -0.072164      0.01           195       NO             
102    192    294    -2062.807503            0.118515       0.010001       196       NO             
102    194    296    -2068.71939             0.14525        0.01           197       YES            
102    196    298    -2074.505494            0.163934       0.01           198       YES            
102    214    316    -2112.653313            0.227695       0.010001       199       YES            
102    226    328    -2124.014892            0.213887       0.01           200       YES            
102    228    330    -2124.893036            0.209652       0.01           201       YES            
102    230    332    -2125.597832            0.204427       0.010001       202       YES            
102    232    334    -2126.090287            0.197922       0.01           203       YES            
102    234    336    -2126.339961            0.187265       0.010001       204       YES            
102    240    342    -2128.494238            -0.142556      0.01           205       YES            
