Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
12     2      14     1750.497317         7.355247            1757.852564         0.062764       13.208872      -0.185481      NO
12     14     26     0.068756            -211.291964         -211.223208         -0.149113      0.010001       0.009759       YES
16     4      20     0.018375            -19.25017           -19.231795          -0.005335      0.009999       -0.271202      YES
24     36     60     0.039953            -510.852212         -510.812259         0.06011        0.01           -0.005857      NO
26     24     50     0.083718            -417.554805         -417.471087         0.205105       0.01           -0.011394      YES
26     34     60     0.033869            -523.988825         -523.954956         0.128377       0.01           -0.008301      YES
26     36     62     0.042313            -537.376125         -537.333812         0.089567       0.01           -0.007539      YES
46     36     82     0.046725            -596.794487         -596.747762         0.106871       0.01           -0.006405      YES
52     72     124    0.045151            -1050.135569        -1050.090418        0.135863       0.01           -0.005002      YES
52     74     126    0.018624            -1065.756986        -1065.738362        0.107976       0.01           -0.003828      YES
56     56     112    0.061803            -898.29922          -898.237417         0.217534       0.01           -0.01452       NO
56     78     134    0.035425            -1127.177337        -1127.141912        0.126971       0.01           -0.003217      YES
56     90     146    0.043191            -1198.083371        -1198.04018         0.190535       0.01           -0.011111      NO
56     118    174    0.096231            -1275.972993        -1275.876762        0.132262       0.01           -0.0142        YES
58     88     146    0.03299             -1207.924401        -1207.891411        0.177472       0.010001       -0.013723      NO
58     90     148    0.069621            -1218.265136        -1218.195515        0.21767        0.01           0.001703       NO
60     60     120    0.29063             -949.831046         -949.540416         0.362938       0.01           -0.029102      YES
60     74     134    0.004721            -1111.115106        -1111.110385        0.218987       0.01           -0.011964      YES
60     86     146    0.015444            -1212.110094        -1212.09465         0.140711       0.010001       -0.00429       NO
60     88     148    0.030373            -1224.428343        -1224.39797         0.18949        0.01           -0.00149       NO
60     136    196    0.067126            -1366.570475        -1366.503349        0.111787       0.01           -0.01236       NO
60     138    198    0.073018            -1366.524161        -1366.451143        0.120937       0.01           -0.019693      YES
60     140    200    0.076001            -1366.266281        -1366.19028         0.128199       0.01           -0.017348      NO
62     132    194    0.031795            -1401.819578        -1401.787783        0.074295       0.01           -0.008245      YES
62     134    196    0.042357            -1402.734656        -1402.692299        0.088927       0.01           -0.020416      NO
62     136    198    0.025855            -1403.374943        -1403.349088        0.10159        0.01           -0.023797      NO
62     138    200    0.018933            -1403.850422        -1403.831489        -0.122289      0.01           -0.259951      NO
64     132    196    0.010084            -1435.499236        -1435.489152        0.070906       0.01           -0.012707      NO
64     134    198    0.036418            -1436.962258        -1436.92584         -0.083737      0.01           -0.191898      NO
64     136    200    0.050767            -1438.466645        -1438.415878        -0.115425      0.01           -0.237814      YES
66     88     154    0.039721            -1262.444933        -1262.405212        0.209477       0.01           -0.011651      YES
66     132    198    0.005899            -1467.310299        -1467.3044          0.075927       0.01           -0.007721      NO
66     134    200    0.034274            -1469.542237        -1469.507963        -0.099879      0.01           -0.208941      YES
66     136    202    0.078856            -1471.950156        -1471.8713          -0.129829      0.01           -0.261308      YES
68     92     160    0.092539            -1304.985864        -1304.893325        0.273167       0.01           -0.023172      YES
68     132    200    0.001774            -1497.500393        -1497.498619        0.087754       0.01           -0.000597      NO
68     134    202    0.047636            -1500.489356        -1500.44172         0.13241        0.01           0.008088       NO
70     92     162    0.072642            -1313.531017        -1313.458375        0.246907       0.01           -0.022365      YES
70     136    206    0.081478            -1533.819792        -1533.738314        0.166032       0.01           -0.015609      YES
72     92     164    0.029968            -1320.501728        -1320.47176         0.223463       0.01           -0.009534      YES
72     130    202    -0.023216           -1548.369584        -1548.3928          0.057571       0.01           -0.007385      YES
74     96     170    0.081186            -1362.730057        -1362.648871        0.276904       0.01           -0.022686      YES
74     98     172    0.129362            -1380.693775        -1380.564413        0.296818       0.01           -0.021389      YES
74     136    210    0.061335            -1588.654843        -1588.593508        0.150884       0.01           -0.011983      YES
76     98     174    0.140456            -1386.556717        -1386.416261        0.286702       0.01           -0.019134      YES
80     96     176    0.027986            -1371.247702        -1371.219716        0.252243       0.01           -0.012536      YES
86     132    218    0.008732            -1686.876854        -1686.868122        0.09981        0.01           -0.008757      NO
86     134    220    0.017873            -1697.140246        -1697.122373        0.12351        0.010001       -0.009025      NO
86     136    222    0.0315              -1707.148592        -1707.117092        0.143416       0.009999       -0.008311      NO
88     130    218    -0.013784           -1684.59972         -1684.613504        0.070005       0.01           -0.025019      NO
88     132    220    0.024052            -1696.404651        -1696.380599        0.117211       0.010001       -0.014932      NO
88     134    222    0.031266            -1707.941591        -1707.910325        0.143288       0.010003       -0.012034      NO
88     136    224    0.049257            -1719.30229         -1719.253033        0.167263       0.010003       -0.008101      NO
88     138    226    0.065764            -1730.415391        -1730.349627        0.185906       0.010001       -0.008005      NO
88     140    228    0.086471            -1741.119572        -1741.033101        0.200223       0.01           -0.011248      YES
88     196    284    0.105013            -1896.227173        -1896.12216         0.117243       0.01           -0.020749      YES
88     198    286    0.131979            -1896.874088        -1896.742109        0.136074       0.01           -0.01694       YES
88     200    288    0.190238            -1897.546549        -1897.356311        0.153313       0.01           -0.015266      YES
88     202    290    0.239535            -1898.155105        -1897.91557         0.166221       0.01           -0.016372      YES
90     130    220    -0.03522            -1691.193238        -1691.228458        0.083156       0.010001       -0.024885      NO
90     132    222    0.039722            -1704.100011        -1704.060289        0.13062        0.010001       -0.013008      NO
90     134    224    0.05941             -1717.024122        -1716.964712        0.164579       0.010002       -0.003791      NO
90     136    226    0.140064            -1729.945313        -1729.805249        0.192306       0.01           0.003398       NO
90     138    228    0.151201            -1742.385176        -1742.233975        0.209958       0.01           0.001305       YES
90     194    284    0.013642            -1924.670118        -1924.656476        0.097138       0.01           -0.035948      YES
90     196    286    0.034138            -1925.962897        -1925.928759        0.129975       0.01           -0.022406      NO
90     198    288    0.106675            -1927.516586        -1927.409911        0.15504        0.01           -0.013715      YES
90     200    290    0.239273            -1929.136929        -1928.897656        0.172256       0.01           -0.012855      NO
90     202    292    0.334787            -1930.530481        -1930.195694        0.183864       0.01           -0.014821      YES
92     130    222    -0.027654           -1696.160276        -1696.18793         0.088259       0.01           -0.021443      NO
92     132    224    0.009333            -1710.254217        -1710.244884        0.145615       0.010027       -0.001982      NO
92     134    226    0.089589            -1724.695083        -1724.605494        0.184945       0.01           0.007967       YES
92     136    228    0.128673            -1739.016911        -1738.888238        0.211334       0.01           0.010297       NO
92     138    230    0.19769             -1752.626872        -1752.429182        0.226648       0.01           0.00215        YES
92     192    284    0.008887            -1951.425757        -1951.41687         4e-06          0.01           -0.106741      YES
92     194    286    0.00524             -1952.342486        -1952.337246        3e-06          0.01           -0.136135      YES
92     196    288    0.218003            -1954.421234        -1954.203231        0.148737       0.009999       -0.008408      NO
92     198    290    0.256977            -1957.053342        -1956.796365        0.17273        0.01           -0.002745      NO
92     200    292    0.351165            -1959.53854         -1959.187375        0.187506       0.01           -0.009047      YES
94     130    224    -0.012687           -1699.632087        -1699.644774        0.09468        0.010003       -0.010349      NO
94     132    226    0.039108            -1714.953458        -1714.91435         0.161039       0.010002       0.015064       NO
94     134    228    0.076651            -1730.720638        -1730.643987        0.206287       0.01           0.023014       YES
94     136    230    0.075029            -1746.080175        -1746.005146        0.225094       0.010001       0.010313       NO
94     138    232    0.156667            -1760.71937         -1760.562703        0.235998       0.01           -0.011106      YES
94     190    284    -0.001878           -1974.545182        -1974.54706         1.6e-05        0.01           -0.067229      YES
94     192    286    -0.007283           -1976.157502        -1976.164785        1.5e-05        0.01           -0.103204      YES
94     194    288    0.089496            -1978.42334         -1978.333844        0.120145       0.010002       -0.011999      NO
94     196    290    0.185267            -1981.677412        -1981.492145        0.16155        0.010001       0.006418       NO
94     198    292    0.29777             -1985.081681        -1984.783911        0.182661       0.01           0.0053         YES
96     128    224    0.014571            -1686.883714        -1686.869143        -0.001075      0.01           -0.04324       YES
96     130    226    0.016205            -1701.680516        -1701.664311        0.102549       0.009997       0.004105       NO
96     132    228    0.033095            -1718.187213        -1718.154118        0.194106       0.01           0.052593       YES
96     134    230    0.079952            -1735.01531         -1734.935358        0.230075       0.010001       0.041822       NO
96     188    284    -0.010407           -1994.615008        -1994.625415        2.3e-05        0.01           -0.046865      YES
96     190    286    -0.017868           -1996.941586        -1996.959454        2.5e-05        0.01           -0.073991      YES
96     192    288    0.014254            -2000.040695        -2000.026441        0.094248       0.010004       -0.005624      NO
96     194    290    0.068506            -2003.4403          -2003.371794        0.13211        0.010003       0.003831       NO
96     196    292    0.156529            -2007.34996         -2007.193431        0.164185       0.01           0.011833       YES
96     198    294    0.216727            -2011.283157        -2011.06643         0.185273       0.01           0.008013       YES
98     128    226    0.009322            -1686.218798        -1686.209476        -0.001569      0.01           -0.045453      YES
98     130    228    0.027719            -1702.328798        -1702.301079        0.108782       0.010001       0.015091       NO
98     132    230    0.075376            -1720.107274        -1720.031898        0.265419       0.01           0.127472       YES
98     186    284    -0.010877           -2012.097076        -2012.107953        1.8e-05        0.01           -0.021746      YES
98     188    286    -0.019494           -2015.106364        -2015.125858        0.000985       0.01           -0.050753      YES
98     190    288    -0.066723           -2018.618129        -2018.684852        0.078274       0.010002       0.0024         NO
98     192    290    -0.007297           -2022.733809        -2022.741106        0.108626       0.01           0.007109       YES
98     194    292    0.030885            -2027.032553        -2027.001668        0.136742       0.01           0.005772       YES
98     196    294    0.100828            -2031.469422        -2031.368594        0.16278        0.01           0.00778        YES
98     198    296    0.149648            -2035.891998        -2035.74235         0.183721       0.01           0.005668       YES
98     262    360    0.258773            -2063.082685        -2062.823912        0.039251       0.01           -0.006034      YES
100    126    226    -0.007805           -1667.443045        -1667.45085         6e-06          0.01           -0.006361      YES
100    128    228    -0.009385           -1684.157083        -1684.166468        0.002885       0.01           -0.036356      YES
100    130    230    0.116795            -1701.990159        -1701.873364        0.315148       0.01           0.222797       YES
100    132    232    0.116897            -1720.420771        -1720.303874        0.303751       0.01           0.167422       YES
100    184    284    -0.006231           -2026.363271        -2026.369502        7e-06          0.01           -0.00387       YES
100    186    286    -0.015384           -2030.763949        -2030.779333        1.3e-05        0.01           -0.022568      YES
100    188    288    -0.025241           -2034.337354        -2034.362595        1.7e-05        0.01           -0.049649      YES
100    190    290    0.024844            -2038.902103        -2038.877259        0.089688       0.01           0.01249        NO
