 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   Be       4      22     26           -51.846192              -31.361719                2.668968            -0.000006            -0.000001              -0.000001              -0.000002                  -0.000007                     -0.000009                   2.222455                0.957747              2.546753             4.471665               4.232889               1.924912              2.589875         33.515347       60.649305       -1.517991      -5.054967         -26.534132            
   Be       4      24     28           -46.865055              -31.729792                2.955088            -0.000004            -0.000001              -0.000001              -0.000001                  -0.000006                     -0.000007                   2.222494                0.951177              2.552333             4.713641               4.469338               2.161309              2.572898         34.013873       61.657554       -1.536107      -4.981138         -27.368167            
   Be       4      26     30           -40.933377              -32.113988                3.495736            -0.000003             0.000000               0.000000              -0.000001                  -0.000003                     -0.000004                   2.185668                1.016472              2.558629             4.922612               4.676969               2.363984              2.579144         34.546673       62.794692       -1.982015      -5.931678         -27.425876            
   Be       4      28     32           -33.021675              -32.592988                4.083894            -0.000007            -0.000001              -0.000001              -0.000002                  -0.000009                     -0.000011                   2.184801                0.776718              2.570422             5.086680               4.844162               2.516259              2.568340           No_Data         No_Data       -3.059256      -7.911702         -26.582991            
   Be       4      30     34            -24.98708              -33.090862                4.114397            -0.000003             0.000000               0.000000              -0.000001                  -0.000001                     -0.000002                   2.168535                0.836799              2.585696             5.227991               4.990284               2.642296              2.583627           No_Data         No_Data       -3.210540      -8.034596            No_Data            
   Be       4      32     36              -17.281              -33.540226                4.050984            -0.000005            -0.000001              -0.000001              -0.000002                  -0.000011                     -0.000013                   2.171935                0.879433              2.598198             5.364442               5.131261               2.766245              2.573681           No_Data         No_Data       -2.994925      -7.706081            No_Data            
   Be       4      34     38            -9.866432              -33.929994                3.967878             0.000000             0.000000               0.000000               0.000000                   0.000006                      0.000006                   2.135840                0.912206              2.608020             5.497810               5.268796               2.889791              2.583597           No_Data         No_Data       -2.811465      -7.414568            No_Data            
   C        6      2      8            -29.744767                1.972911              -21.194674             0.000001             0.000001               0.000001               0.000001                   0.000000                      0.000001                   2.240114                4.784626              3.042481             2.068094               2.830507              -0.974388              3.171544          1.149957       -2.302258         No_Data        No_Data            No_Data            
   C        6      4      10           -63.125432               -3.055714              -15.324984             0.000001             0.000002               0.000001               0.000001                   0.000000                      0.000001                   2.739393                2.771720              2.619143             2.326164               2.506065              -0.292980              2.768016          7.913956       10.214857       20.468506      33.380666          -2.778409            
   C        6      6      12            -90.30522               -8.419652              -10.967612             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.859121                2.927963              2.520623             2.501213               2.510937              -0.019411              2.653195         14.234771       22.875430       16.439736      27.179789          -9.094645            
   C        6      8      14          -106.880517              -13.310966               -6.030818             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.766548                2.766528              2.523474             2.693833               2.622178               0.170359              2.655904         18.990291       32.472839       11.134894      16.575297         -11.150727            
   C        6      10     16          -113.095226              -17.359336               -2.988302             0.000000            -0.000001              -0.000001               0.000000                  -0.000001                     -0.000001                   2.701498                1.925190              2.542850             2.898949               2.770781               0.356099              2.674320         22.619754       39.961053        5.453214       6.214709         -10.387548            
   C        6      12     18          -117.794708              -20.757701               -2.175178            -0.000002            -0.000003              -0.000003              -0.000001                  -0.000004                     -0.000005                   2.620441                1.952977              2.563773             3.083178               2.920326               0.519406              2.672590         25.751987       46.342992        4.288825       4.699483         -16.360535            
   C        6      14     20          -121.753378              -23.709629               -1.377745            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.491317                1.901327              2.586094             3.251684               3.067210               0.665590              2.694009         28.465186       51.970293        3.906487       3.958670         -22.001662            
   C        6      16     22          -123.753608              -26.134074               -0.113658            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.372379                1.940245              2.616134             3.409233               3.212411               0.793099              2.722859         30.829813       56.930628        2.920902       2.000231         -25.670524            
   C        6      18     24          -121.956179              -27.934309                1.080372            -0.000001             0.000000               0.000000              -0.000001                  -0.000001                     -0.000002                   2.285131                1.487747              2.655404             3.588365               3.379359               0.932962              2.739502         32.193634       59.835442        0.815282      -1.797429         -26.833199            
   C        6      20     26          -118.561504              -29.137817                1.663803            -0.000002             0.000000              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.241637                1.267978              2.691646             3.801865               3.576382               1.110219              2.774646         33.074522       61.660346       -0.319475      -3.394676         -28.140766            
   C        6      22     28          -114.554007              -29.898936                2.061187            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000003                     -0.000004                   2.223737                1.050923              2.712685             4.065012               3.815790               1.352328              2.795060         33.577004       62.707815       -0.844298      -4.007498         -29.352849            
