 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4            -30.019440              -10.634855              -11.580629             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.880323                5.956823              1.946557             1.938885               1.942725              -0.007673              2.115416           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -37.188354              -18.274497               -4.959960             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.416633                3.842049              1.948010             2.356068               2.228366               0.408059              2.089149           No_Data         No_Data        8.483894       7.168914            No_Data            
   He       2      6      8            -39.728661              -23.621757               -2.009386             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.134650                3.396794              1.989936             2.663626               2.512198               0.673690              2.100844           No_Data         No_Data        4.889576       2.540308            No_Data            
   Be       4      2      6            -34.413891               -3.189574              -19.024576             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000000                   3.724175                5.446302              2.391576             1.947485               2.253291              -0.444092              2.553750          6.999475        4.394452         No_Data        No_Data            No_Data            
   Be       4      4      8            -56.131949               -9.556838              -11.390273             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000000                   3.253220                3.384190              2.281393             2.264815               2.273119              -0.016578              2.427067         13.806725       18.943596       15.274275      21.718058           2.187492            
   Be       4      6      10           -71.427749              -15.063896               -7.057861             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000000                   2.905741                3.457215              2.280158             2.475574               2.399318               0.195416              2.425907         19.869740       31.699089       11.068603      15.295801          -5.939396            
   Be       4      8      12           -77.404787              -19.324078               -3.326000             0.000001             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.638051                2.777292              2.324024             2.722640               2.596576               0.398617              2.443540         23.645733       39.778692        6.105773       5.977038          -9.376126            
   Be       4      10     14           -77.979158              -22.657292               -1.516174             0.000001             0.000001               0.000001               0.000000                   0.000001                      0.000001                   2.474336                2.199719              2.366494             2.964496               2.806670               0.598003              2.483968         26.244876       45.288825        2.775692       0.574371         -12.053063            
   Be       4      12     16           -78.048266              -25.485208               -0.914619             0.000003             0.000002               0.000002               0.000001                   0.000003                      0.000004                   2.356055                2.165283              2.398911             3.175051               2.999901               0.776140              2.491681         28.788365       50.619071        2.217056       0.069108         -17.057933            
   Be       4      14     18           -78.088202              -28.006221               -0.271979            -0.000005            -0.000002              -0.000002              -0.000002                  -0.000004                     -0.000005                   2.218031                2.114237              2.428770             3.347727               3.166646               0.918957              2.520442         31.246563       55.826085        2.159729       0.039936         -22.359007            
