Z      N      A      Binding_Energy_(MeV)    beta2_total    beta3_total    fileID    Convergence    
66     136    202    -1487.04886             0.193965       0.01           106       YES            
68     130    198    -1504.640214            0.055623       0.01           107       YES            
68     132    200    -1508.585506            0.074401       0.009999       108       NO             
68     134    202    -1512.271328            0.146846       0.009993       109       NO             
68     190    258    -1542.720607            0.072783       0.01           110       YES            
70     130    200    -1530.514116            0.068781       0.01           111       YES            
70     132    202    -1535.293076            0.093764       0.01           112       YES            
70     134    204    -1539.825747            0.14065        0.01           113       YES            
70     166    236    -1592.039887            0.2279         0.01           114       YES            
70     168    238    -1592.346787            0.217975       0.01           115       YES            
72     132    204    -1560.489107            0.098148       0.01           116       YES            
72     168    240    -1629.58125             0.184518       0.01           117       YES            
72     170    242    -1630.731796            0.172842       0.01           118       YES            
74     170    244    -1667.055421            0.161059       0.01           119       YES            
76     90     166    -1294.029699            0.164262       0.01           120       YES            
76     136    212    -1618.50041             0.127493       0.01           121       YES            
78     134    212    -1633.570941            0.057899       0.01           122       YES            
78     136    214    -1640.018527            0.077549       0.01           123       YES            
78     138    216    -1646.536881            -0.088591      0.01           124       YES            
80     134    214    -1653.966036            1.2e-05        0.01           125       YES            
80     136    216    -1661.219569            8e-06          0.01           126       YES            
80     138    218    -1667.991603            4e-06          0.01           127       YES            
80     140    220    -1674.780725            -0.075121      0.01           128       YES            
82     134    216    -1672.478563            1e-05          0.01           129       YES            
82     136    218    -1680.476486            7e-06          0.01           130       YES            
82     138    220    -1688.001996            3e-06          0.01           131       YES            
82     140    222    -1695.176047            -1e-06         0.01           132       YES            
82     142    224    -1702.139155            0.000545       0.01           133       YES            
84     132    216    -1672.092002            7e-06          0.01           134       YES            
84     134    218    -1681.271627            5e-06          0.01           135       YES            
84     136    220    -1690.773601            0.115974       0.01           136       YES            
84     154    238    -1767.044004            0.218466       0.01           137       YES            
84     156    240    -1773.973386            0.214113       0.01           138       YES            
84     158    242    -1780.681349            0.206003       0.01           139       YES            
84     160    244    -1787.114437            0.188951       0.01           140       YES            
84     162    246    -1793.370577            0.159217       0.01           141       YES            
84     194    278    -1856.139465            -2e-06         0.01           142       YES            
84     196    280    -1855.656261            -4e-06         0.01           143       YES            
84     198    282    -1854.852942            -0.03192       0.01           144       YES            
86     130    216    -1669.111974            0.072642       0.009929       145       NO             
86     132    218    -1680.084458            0.102265       0.009922       146       NO             
86     134    220    -1691.085875            0.127209       0.009963       147       NO             
86     136    222    -1702.08652             0.148699       0.009995       148       NO             
86     138    224    -1712.961244            0.167654       0.009302       149       NO             
86     140    226    -1723.459437            0.177753       0.01           150       YES            
86     142    228    -1733.628051            0.187413       0.01           151       YES            
86     152    238    -1778.990527            0.211929       0.01           152       YES            
86     154    240    -1786.768408            0.207274       0.01           153       YES            
86     156    242    -1794.289862            0.200893       0.01           154       YES            
86     158    244    -1801.640958            0.192463       0.01           155       YES            
86     160    246    -1808.819352            0.18119        0.01           156       YES            
86     164    250    -1822.456311            0.154736       0.01           157       YES            
86     192    278    -1884.595037            -3e-06         0.01           158       YES            
86     194    280    -1885.149683            0.081134       0.01           159       YES            
86     196    282    -1886.033149            0.116233       0.01           160       YES            
88     128    216    -1662.110768            3e-06          0.01           161       YES            
88     130    218    -1674.577976            0.094108       0.010006       162       NO             
88     132    220    -1687.074403            0.125035       0.01           163       YES            
88     134    222    -1699.715721            0.151638       0.01           164       YES            
88     136    224    -1712.283637            0.174801       0.01           474       YES            
88     138    226    -1724.367862            0.191063       0.009898       165       NO             
88     140    228    -1736.025268            0.201377       0.009946       166       NO             
88     142    230    -1747.288563            0.209417       0.01           167       YES            
88     144    232    -1758.021094            0.216991       0.01           168       YES            
88     154    242    -1804.531828            0.215641       0.01           169       YES            
88     156    244    -1812.61033             0.208535       0.01           170       YES            
88     158    246    -1820.578432            0.200361       0.01           171       YES            
88     160    248    -1828.371482            0.189787       0.01           172       YES            
88     162    250    -1835.941596            0.177194       0.01           173       YES            
88     172    260    -1870.343236            -0.113229      0.01           174       YES            
88     190    278    -1910.810974            0.000295       0.01           175       YES            
88     192    280    -1911.877549            0.029114       0.009999       176       NO             
88     194    282    -1913.35504             0.113938       0.009566       177       NO             
88     196    284    -1915.280796            0.136784       0.009991       178       NO             
88     198    286    -1917.365419            0.152667       0.01           179       YES            
88     200    288    -1919.2032              0.165293       0.01           180       YES            
88     202    290    -1920.86275             0.175131       0.01           181       YES            
88     204    292    -1922.17381             0.181977       0.01           182       YES            
90     128    218    -1665.021532            9e-06          0.01           183       YES            
90     130    220    -1678.666293            0.111376       0.01           184       YES            
90     132    222    -1692.773056            0.14924        0.01           185       YES            
90     134    224    -1707.289916            0.177703       0.00998        186       NO             
90     136    226    -1721.47624             0.198916       0.01           187       YES            
90     138    228    -1734.854755            0.213343       0.01           188       YES            
90     140    230    -1747.576754            0.223332       0.01           189       YES            
90     156    246    -1829.376401            0.221267       0.01           190       YES            
90     158    248    -1837.987405            0.212833       0.01           191       YES            
90     160    250    -1846.375732            0.203228       0.01           192       YES            
90     162    252    -1854.402607            0.191159       0.01           193       YES            
90     190    280    -1936.405603            4e-06          0.01           194       YES            
90     192    282    -1937.877356            9e-05          0.01           195       YES            
90     194    284    -1940.159049            0.132489       0.01           196       YES            
90     196    286    -1943.239014            0.15763        0.009826       197       NO             
90     198    288    -1946.268807            0.172077       0.01           198       YES            
90     222    312    -1959.120278            0.190346       0.01           199       YES            
90     224    314    -1958.740201            0.185793       0.01           200       YES            
92     128    220    -1666.798992            0.002133       0.01           201       YES            
92     130    222    -1681.522491            0.128241       0.01           202       YES            
92     132    224    -1697.226913            0.171649       0.01           203       YES            
92     134    226    -1713.389431            0.203944       0.009935       204       NO             
92     136    228    -1729.03728             0.220432       0.01           205       YES            
92     158    250    -1853.96608             0.226137       0.01           206       YES            
92     162    254    -1871.240068            0.204958       0.01           207       YES            
92     164    256    -1879.274452            0.190921       0.01           208       YES            
92     190    282    -1960.49932             4.3e-05        0.01           209       YES            
92     192    284    -1962.502939            8e-05          0.01           210       YES            
92     194    286    -1965.854913            0.15474        0.01           211       YES            
92     196    288    -1970.070359            0.173762       0.01           212       YES            
92     198    290    -1973.8408              0.186588       0.01           213       YES            
92     226    318    -1992.692501            0.191736       0.01           214       YES            
92     230    322    -1992.272252            0.172604       0.01           215       YES            
94     128    222    -1667.43542             2.4e-05        0.01           216       YES            
94     130    224    -1683.285031            0.143132       0.01           217       YES            
94     132    226    -1700.168149            0.206407       0.01           218       YES            
94     134    228    -1717.265573            0.226518       0.01           219       YES            
94     136    230    -1733.787454            0.233476       0.01           220       YES            
94     138    232    -1749.429625            0.241635       0.01           221       YES            
94     140    234    -1764.291264            0.250389       0.01           222       YES            
94     142    236    -1778.346906            0.256694       0.01           223       YES            
94     160    254    -1878.006003            0.230395       0.01           224       YES            
94     188    282    -1979.693624            0.000218       0.01           225       YES            
94     190    284    -1982.376424            -0.000126      0.01           226       YES            
94     192    286    -1985.172565            0.115865       0.01           227       YES            
94     194    288    -1990.458289            0.182372       0.01           228       YES            
94     196    290    -1995.305236            0.190012       0.01           229       YES            
94     198    292    -1999.778179            0.196952       0.01           230       YES            
94     230    324    -2026.214908            0.179446       0.01           231       YES            
94     232    326    -2026.152251            0.165991       0.01           232       YES            
94     234    328    -2026.034215            0.15525        0.01           233       YES            
96     126    222    -1651.863627            1.6e-05        0.01           234       YES            
96     128    224    -1666.886157            2.7e-05        0.01           235       YES            
96     130    226    -1683.951182            0.270104       0.01           236       YES            
96     132    228    -1702.110656            0.255687       0.01           237       YES            
96     138    234    -1753.722376            0.248884       0.01           238       YES            
96     160    256    -1892.016085            0.242227       0.01           239       YES            
96     162    258    -1901.2798              0.231572       0.01           240       YES            
96     182    278    -1984.812421            0.000596       0.01           241       YES            
96     184    280    -1992.065129            4.3e-05        0.01           242       YES            
96     186    282    -1996.115994            0.000265       0.01           243       YES            
96     188    284    -1999.454327            0.000617       0.01           244       YES            
96     190    286    -2002.712604            0.000267       0.01           245       YES            
96     192    288    -2007.715053            0.233625       0.01           246       YES            
96     194    290    -2013.222009            0.226139       0.01           247       YES            
96     196    292    -2018.54404             0.219609       0.01           248       YES            
96     234    330    -2059.363531            0.164815       0.01           249       YES            
96     256    352    -2059.921               0.000468       0.01           250       YES            
96     258    354    -2059.418105            0.000458       0.01           251       YES            
96     260    356    -2056.831291            0.000778       0.01           252       YES            
96     262    358    -2053.445908            0.001452       0.01           253       YES            
98     126    224    -1649.350806            1.4e-05        0.01           254       YES            
98     128    226    -1665.379253            0.308225       0.01           255       YES            
98     130    228    -1684.363729            0.296595       0.01           256       YES            
98     162    260    -1914.368114            0.242484       0.01           257       YES            
98     164    262    -1923.495036            0.2263         0.01           258       YES            
98     166    264    -1932.463725            0.202964       0.01           259       YES            
98     182    280    -2001.668151            0.001588       0.01           260       YES            
98     184    282    -2009.468327            0.000218       0.01           261       YES            
98     186    284    -2014.090021            0.000399       0.01           262       YES            
98     188    286    -2017.994462            0.001297       0.01           263       YES            
