Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
96     166    262    0.099226            -1919.207322        -1919.108096        0.268066       0.01           -0.022022      YES
96     192    288    0.077435            -1995.390303        -1995.312868        0.07721        0.01           -0.020984      YES
96     220    316    0.257509            -2024.168625        -2023.911116        0.24747        0.01           -0.029176      YES
96     238    334    0.162894            -2014.199734        -2014.03684         0.257197       0.01           -0.041442      YES
98     160    258    0.141579            -1907.710566        -1907.568987        0.277154       0.01           -0.020836      YES
98     162    260    0.143578            -1917.220104        -1917.076526        0.279218       0.01           -0.037128      YES
98     188    286    0.013708            -2011.175789        -2011.162081        4.6e-05        0.01           -0.004424      YES
98     190    288    0.043448            -2014.750891        -2014.707443        -6.7e-05       0.01           -0.029256      YES
98     192    290    0.064827            -2018.899568        -2018.834741        0.262309       0.01           0.181049       YES
98     218    316    0.266187            -2055.542351        -2055.276164        0.250886       0.01           -0.035098      YES
98     236    334    0.310971            -2052.138001        -2051.82703         0.269248       0.01           -0.04413       YES
98     246    344    0.416421            -2043.548615        -2043.132194        0.283052       0.01           -0.028767      YES
100    158    258    0.151667            -1908.718607        -1908.56694         0.278612       0.01           -0.015842      YES
100    162    262    0.182116            -1929.69188         -1929.509764        0.282497       0.01           -0.035249      YES
100    188    288    0.006083            -2031.098627        -2031.092544        -0.000188      0.01           -0.018066      YES
100    190    290    0.18788             -2035.669443        -2035.481563        0.296536       0.01           0.264225       YES
100    216    316    0.221019            -2083.614631        -2083.393612        0.249085       0.01           -0.039337      YES
100    228    328    0.186117            -2088.142609        -2087.956492        0.258959       0.01           -0.044897      YES
100    230    330    0.186224            -2088.024347        -2087.838123        0.262495       0.01           -0.039464      YES
100    232    332    0.156149            -2087.677479        -2087.52133         0.265506       0.01           -0.039882      YES
100    234    334    0.238223            -2087.151556        -2086.913333        0.268165       0.01           -0.040084      YES
100    236    336    0.302912            -2086.446564        -2086.143652        0.271801       0.01           -0.039572      YES
100    238    338    0.330435            -2085.522275        -2085.19184         0.275559       0.01           -0.038282      YES
100    240    340    0.358589            -2084.437043        -2084.078454        0.279343       0.01           -0.035858      YES
100    242    342    0.354323            -2083.157362        -2082.803039        0.283038       0.01           -0.031521      YES
100    244    344    0.387932            -2081.723841        -2081.335909        0.286322       0.01           -0.047724      YES
100    260    360    0.174099            -2067.40897         -2067.234871        0.000719       0.01           -0.002187      YES
100    262    362    0.177046            -2064.144759        -2063.967713        0.001051       0.01           -0.005432      YES
100    264    364    0.187691            -2060.505037        -2060.317346        -0.000285      0.01           -0.032583      YES
102    154    256    0.219688            -1893.163091        -1892.943403        0.27675        0.01           -0.015332      YES
102    156    258    0.188954            -1905.825697        -1905.636743        0.275475       0.01           -0.02906       YES
102    174    276    0.130016            -1997.385587        -1997.255571        0.302895       0.01           -0.03928       YES
102    188    290    0.003141            -2049.613287        -2049.610146        0.000199       0.01           -0.007032      YES
102    230    332    0.14905             -2119.343664        -2119.194614        0.253434       0.01           -0.034435      YES
102    232    334    0.132825            -2119.500444        -2119.367619        0.256721       0.01           -0.034685      YES
102    234    336    0.13394             -2119.439859        -2119.305919        0.260497       0.01           -0.035304      YES
102    238    340    0.297323            -2118.738437        -2118.441114        0.269247       0.01           -0.034719      YES
102    242    344    0.291543            -2117.271186        -2116.979643        0.278664       0.01           -0.047321      YES
102    244    346    0.29888             -2116.287039        -2115.988159        0.283375       0.01           -0.04825       YES
102    260    362    0.191934            -2104.516178        -2104.324244        0.001716       0.01           -0.001849      YES
102    262    364    0.229578            -2101.674365        -2101.444787        0.001312       0.01           -0.00481       YES
102    264    366    0.121631            -2098.419304        -2098.297673        0.001446       0.01           -0.01027       YES
104    148    252    0.199804            -1854.68949         -1854.489686        0.274259       0.01           -0.01395       YES
104    154    258    0.230287            -1898.966822        -1898.736535        0.270533       0.01           -0.027024      YES
104    172    276    0.087674            -2001.090669        -2001.002995        0.273838       0.01           -0.03683       YES
104    176    280    0.104353            -2019.341805        -2019.237452        0.287731       0.01           -0.037141      YES
104    180    284    0.295694            -2036.750894        -2036.4552          0.363815       0.01           -0.02707       YES
104    192    296    0.117022            -2080.196969        -2080.079947        0.306591       0.01           -0.038554      YES
104    198    302    0.167057            -2097.95624         -2097.789183        0.274409       0.01           -0.043832      YES
104    230    334    0.14937             -2149.23098         -2149.08161         0.241208       0.01           -0.031035      YES
104    232    336    0.153175            -2149.869578        -2149.716403        0.242983       0.01           -0.031285      YES
104    234    338    0.159758            -2150.275468        -2150.11571         0.246627       0.01           -0.032633      YES
104    250    354    0.429579            -2147.128454        -2146.698875        0.334894       0.01           -0.063252      YES
104    262    366    0.139029            -2137.937034        -2137.798005        0.001833       0.01           -0.001118      YES
104    264    368    0.344892            -2135.103601        -2134.758709        0.292835       0.01           0.288453       YES
106    144    250    0.124448            -1821.666331        -1821.541883        0.26921        0.01           -0.014161      YES
106    150    256    0.205278            -1872.410197        -1872.204919        0.266944       0.01           -0.023884      YES
106    166    272    0.074664            -1980.462173        -1980.387509        0.244867       0.01           -0.012661      YES
106    176    282    0.071938            -2031.532202        -2031.460264        0.261824       0.01           -0.036754      YES
106    190    296    0.029448            -2088.665952        -2088.636504        -1.4e-05       0.01           -0.355359      YES
106    200    306    0.080084            -2122.663039        -2122.582955        0.268986       0.01           -0.045004      YES
106    202    308    0.06159             -2128.428772        -2128.367182        0.259908       0.01           -0.045269      YES
106    230    336    0.158279            -2177.494315        -2177.336036        0.2307         0.01           -0.028064      YES
106    236    342    0.134548            -2180.159863        -2180.025315        0.23275        0.01           -0.025296      YES
