Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
70     134    204    0.053491            -1529.574188        -1529.520697        0.123331       0.01           0.058642       NO
70     136    206    0.099751            -1533.613233        -1533.513482        0.164391       0.010001       0.111777       YES
72     92     164    0.098377            -1319.823447        -1319.72507         0.229392       0.01           -0.020807      YES
72     94     166    0.077974            -1337.937529        -1337.859555        0.255795       0.01           -0.02339       YES
72     96     168    0.056747            -1355.480892        -1355.424145        0.280308       0.010001       -0.023929      YES
72     130    202    0.000699            -1548.382595        -1548.381896        0.054734       0.01           0.001221       YES
72     132    204    0.042984            -1552.952737        -1552.909753        0.086045       0.01           0.017845       NO
72     134    206    0.035997            -1557.319889        -1557.283892        0.120161       0.01           0.069487       NO
72     136    208    0.07606             -1561.964593        -1561.888533        0.1535         0.01           0.129412       YES
74     92     166    0.03985             -1324.607224        -1324.567374        0.207955       0.01           -0.021776      YES
74     94     168    0.058516            -1343.683109        -1343.624593        0.251703       0.01           -0.022099      YES
74     96     170    0.125315            -1362.380361        -1362.255046        0.282688       0.01           -0.022889      YES
74     98     172    0.127572            -1380.296163        -1380.168591        0.293352       0.009999       -0.021231      YES
74     130    204    -0.005835           -1572.928982        -1572.934817        0.048215       0.01           -0.000182      YES
74     132    206    0.026476            -1578.200936        -1578.17446         0.080225       0.01           0.013973       NO
74     134    208    0.040364            -1583.263522        -1583.223158        0.107658       0.01           0.073338       YES
74     136    210    0.046084            -1588.457401        -1588.411317        0.137403       0.009999       0.13107        YES
76     96     172    0.164889            -1367.223608        -1367.058719        0.27876        0.01           -0.020649      YES
76     98     174    0.13926             -1386.081183        -1385.941923        0.287095       0.010001       -0.019336      YES
76     132    208    -0.014468           -1601.823917        -1601.838385        0.064653       0.01           0.009287       YES
76     134    210    0.015426            -1607.497232        -1607.481806        0.089656       0.01           0.06098        NO
76     136    212    0.042348            -1613.170001        -1613.127653        0.114413       0.01           0.111506       YES
76     138    214    0.032545            -1618.87919         -1618.846645        0.13803        0.01           0.162838       YES
78     90     168    0.019128            -1307.583447        -1307.564319        0.131659       0.01           -0.016239      YES
78     96     174    0.080284            -1369.807983        -1369.727699        0.268732       0.01           -0.01988       YES
78     100    178    0.120149            -1408.975104        -1408.854955        0.287317       0.010001       -0.015957      YES
78     132    210    -0.019307           -1623.986071        -1624.005378        0.034078       0.01           -0.005653      YES
78     134    212    -0.023239           -1630.235191        -1630.25843         0.060774       0.01           0.030446       YES
78     136    214    0.041379            -1636.540126        -1636.498747        -0.081087      0.010001       -0.088858      YES
78     138    216    0.04323             -1642.649895        -1642.606665        -0.091178      0.01           -0.076072      YES
78     140    218    0.046723            -1648.582938        -1648.536215        0.202526       0.01           0.247478       YES
80     92     172    0.027418            -1328.227953        -1328.200535        0.100597       0.01           -0.011244      YES
80     96     176    0.038111            -1370.460164        -1370.422053        0.256871       0.01           -0.016727      YES
80     132    212    -0.004671           -1645.00302         -1645.007691        1.9e-05        0.010001       -0.02333       YES
80     134    214    -0.013658           -1651.84151         -1651.855168        1.4e-05        0.01           -0.027164      YES
80     136    216    -0.006447           -1658.505737        -1658.512184        -0.035325      0.01           -0.052159      YES
80     138    218    0.01603             -1665.30096         -1665.28493         -0.063824      0.01           -0.063916      YES
80     140    220    0.019502            -1671.842783        -1671.823281        -0.071911      0.01           -0.04377       YES
80     142    222    0.015433            -1678.129054        -1678.113621        -0.07622       0.01           -0.02453       YES
82     92     174    0.007019            -1326.71558         -1326.708561        0.001303       0.009999       -0.013577      YES
82     94     176    0.008411            -1348.679024        -1348.670613        0.003669       0.01           -0.019773      YES
82     96     178    0.008154            -1370.268647        -1370.260493        -0.003038      0.01           -0.015293      YES
82     132    214    -0.00614            -1663.504793        -1663.510933        2e-05          0.01           -0.015244      YES
82     134    216    -0.009246           -1671.119911        -1671.129157        0.000464       0.01           -0.023498      YES
82     136    218    -0.005089           -1678.5474          -1678.552489        0.000662       0.01           -0.018444      YES
82     138    220    0.003825            -1685.766622        -1685.762797        0.001159       0.01           -0.006405      YES
82     140    222    -0.008017           -1692.799792        -1692.807809        -0.025248      0.01           -0.011021      YES
82     142    224    -0.021122           -1699.728514        -1699.749636        -0.039571      0.01           -0.004336      YES
82     144    226    0.083634            -1706.757951        -1706.674317        0.216296       0.009999       0.260092       YES
84     132    216    -0.002801           -1675.474983        -1675.477784        0.002396       0.01           -0.034885      YES
84     134    218    -0.003871           -1684.313282        -1684.317153        -0.046811      0.01           -0.091206      YES
84     136    220    0.032364            -1693.142322        -1693.109958        0.084273       0.01           0.049993       YES
84     192    276    -0.00154            -1828.949808        -1828.951348        5e-06          0.01           -0.034384      YES
84     194    278    -0.050287           -1827.997346        -1828.047633        0.040072       0.01           -5.7e-05       YES
84     196    280    0.003032            -1827.322968        -1827.319936        -0.057511      0.01           -0.112334      YES
86     132    218    0.018717            -1686.704817        -1686.6861          0.072891       0.01           -0.008718      YES
86     134    220    0.031412            -1697.103903        -1697.072491        0.107909       0.01           -0.009095      YES
86     192    278    -0.0139             -1861.695372        -1861.709272        0.051996       0.01           -0.001395      YES
86     194    280    0.048607            -1861.666589        -1861.617982        0.076933       0.009999       0.006059       YES
88     132    220    0.001739            -1696.12069         -1696.118951        0.087807       0.010001       -0.028745      NO
88     134    222    0.022737            -1707.621951        -1707.599214        0.130672       0.01           -0.018788      NO
88     136    224    0.068248            -1719.290973        -1719.222725        0.162241       0.01           -0.009073      NO
88     138    226    0.078581            -1730.67562         -1730.597039        0.181633       0.01           -0.008511      YES
88     192    280    -0.026042           -1893.005537        -1893.031579        0.055306       0.01           -0.000319      YES
88     194    282    0.090934            -1893.634763        -1893.543829        0.077199       0.01           -0.000635      YES
90     130    220    0.020131            -1692.084356        -1692.064225        -0.001128      0.01           -0.090421      YES
90     132    222    0.021399            -1703.607919        -1703.58652         0.082421       0.010001       -0.045824      NO
90     134    224    0.054669            -1716.389062        -1716.334393        0.157307       0.009999       -0.00497       YES
90     136    226    0.153654            -1729.674279        -1729.520625        0.188701       0.01           0.003134       NO
90     138    228    0.14081             -1742.332994        -1742.192184        0.206408       0.01           4.6e-05        YES
90     192    282    0.00213             -1922.72048         -1922.71835         0.028673       0.01           -0.012241      YES
90     194    284    -0.047927           -1923.734522        -1923.782449        0.060469       0.010001       0.006036       YES
92     130    222    0.011497            -1697.707734        -1697.696237        -0.000627      0.01           -0.088392      YES
92     132    224    0.003438            -1709.83974         -1709.836302        -0.004088      0.009999       -0.132254      YES
92     134    226    0.080494            -1724.035068        -1723.954574        0.185533       0.009999       0.017759       YES
92     136    228    0.108769            -1738.639066        -1738.530297        0.210486       0.01           0.014428       NO
92     138    230    0.142991            -1752.437229        -1752.294238        0.223745       0.01           0.002546       YES
92     192    284    0.067626            -1951.173256        -1951.10563         -0.001677      0.01           -0.041491      YES
92     194    286    0.018284            -1952.407499        -1952.389215        -0.033824      0.01           -0.079332      YES
92     196    288    0.055475            -1953.825619        -1953.770144        0.073995       0.01           0.028681       YES
94     130    224    0.011865            -1700.700481        -1700.688616        0.001196       0.01           -0.081701      YES
94     132    226    -0.013877           -1714.053038        -1714.066915        -0.057942      0.01           -0.174766      YES
94     134    228    0.079913            -1730.15492         -1730.075007        0.215605       0.01           0.050282       YES
94     136    230    0.107244            -1745.709541        -1745.602297        0.227416       0.01           0.020659       YES
94     188    282    0.001483            -1972.34707         -1972.345587        -0.000496      0.01           -0.02393       YES
94     190    284    -0.014099           -1974.084146        -1974.098245        2.6e-05        0.01           -0.049542      YES
94     192    286    0.031643            -1976.198197        -1976.166554        -0.043283      0.01           -0.104492      YES
94     194    288    0.077139            -1978.573327        -1978.496188        0.072065       0.01           0.00377        YES
94     196    290    0.084155            -1980.926078        -1980.841923        0.087874       0.01           0.00492        YES
94     198    292    0.028338            -1983.045943        -1983.017605        0.104958       0.009999       -0.043373      YES
96     128    224    -0.000323           -1687.727154        -1687.727477        -0.000647      0.01           -0.036032      YES
96     130    226    -0.009052           -1701.733704        -1701.742756        -0.022585      0.01           -0.104705      YES
96     132    228    0.063358            -1717.55313         -1717.489772        0.243481       0.01           0.135375       NO
96     134    230    0.107488            -1734.545341        -1734.437853        0.24252        0.01           0.091127       YES
96     186    282    -0.005306           -1991.655291        -1991.660597        2e-05          0.01           -0.007716      YES
96     188    284    -0.019347           -1993.932136        -1993.951483        3.1e-05        0.01           -0.047131      YES
96     190    286    0.034675            -1996.786553        -1996.751878        -0.04898       0.01           -0.114401      YES
96     192    288    0.047442            -1999.831062        -1999.78362         0.076577       0.010008       0.000811       NO
96     194    290    0.094678            -2003.232944        -2003.138266        0.094534       0.01           0.008956       YES
96     196    292    0.058077            -2006.416563        -2006.358486        0.111648       0.009999       0.008698       YES
96     198    294    0.170539            -2009.676894        -2009.506355        0.159459       0.010001       0.018327       YES
98     126    224    -0.007949           -1670.751783        -1670.759732        1.4e-05        0.01           -0.00759       YES
