Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
70     170    240    -0.016816           -1532.72961         -1532.712794        0.063639       0.208392       21.716788      
72     86     158    -0.001629           -1258.553602        -1258.551973        0.029512       0.151979       7.425276       
72     166    238    -0.022576           -1577.227169        -1577.204593        0.074332       0.229189       23.293679      
72     168    240    -0.01908            -1576.339298        -1576.320218        0.06882        0.215638       22.164676      
72     174    246    -0.010272           -1570.995208        -1570.984936        0.040118       0.153257       16.289865      
82     140    222    -0.008111           -1681.266115        -1681.258004        0.017639       0.000281       0.0            
84     134    218    -0.001144           -1676.441607        -1676.440463        0.026712       0.100871       8.723658       
84     156    240    -0.006358           -1752.427361        -1752.421003        0.07499        0.256677       26.182539      
84     160    244    -0.019208           -1762.292436        -1762.273228        0.076141       0.238823       24.573036      
84     162    246    -0.026695           -1766.533887        -1766.507192        0.07222        0.223559       23.034597      
84     196    280    -0.035885           -1792.416943        -1792.381058        0.056921       0.106843       14.565487      
86     130    216    -0.043844           -1669.349401        -1669.305557        0.019396       0.077408       6.426716       
86     132    218    -0.533476           -1679.961588        -1679.428112        0.102753       0.119574       9.494059       
86     134    220    -0.677594           -1689.725931        -1689.048337        0.128804       0.140783       11.687136      
86     136    222    -0.574468           -1698.942884        -1698.368416        0.144732       0.159387       13.788893      
86     138    224    -0.275123           -1707.889471        -1707.614348        0.1279         0.177657       15.861008      
86     140    226    -0.025916           -1716.693578        -1716.667662        0.049943       0.188167       17.773662      
86     152    238    -0.001501           -1763.076156        -1763.074655        0.050695       0.247467       25.494646      
86     154    240    -0.005211           -1769.195832        -1769.190621        0.065463       0.249042       25.58455       
86     156    242    -0.009518           -1775.213184        -1775.203666        0.071811       0.247535       25.499546      
86     158    244    -0.011037           -1781.048246        -1781.037209        0.074129       0.241167       24.931853      
86     192    278    -0.136328           -1831.180504        -1831.044176        0.073354       0.099017       11.47163       
86     194    280    -0.367954           -1829.83274         -1829.464786        0.115438       0.12286        15.481558      
86     196    282    -0.364614           -1828.371102        -1828.006488        0.129575       0.139933       18.700277      
86     198    284    -0.042943           -1826.75537         -1826.712427        0.063652       0.152226       21.818298      
88     130    218    -0.803592           -1677.896045        -1677.092453        0.102117       0.107839       8.082156       
88     132    220    -1.59444            -1690.213072        -1688.618632        0.13944        0.140765       11.213917      
88     134    222    -1.82366            -1701.514342        -1699.690682        0.167107       0.162781       13.799551      
88     136    224    -1.669555           -1712.1923          -1710.522745        0.188186       0.182669       16.319917      
88     138    226    -1.18922            -1722.409969        -1721.220749        0.193085       0.202211       18.468592      
88     140    228    -0.433573           -1731.981704        -1731.548131        0.156114       0.217252       20.198834      
88     142    230    -0.018996           -1741.451073        -1741.432077        0.029485       0.220841       21.760568      
88     152    240    -0.000723           -1782.970076        -1782.969353        0.026579       0.242953       25.796879      
88     154    242    -0.00315            -1789.745987        -1789.742837        0.060947       0.246215       25.715109      
88     156    244    -0.01237            -1796.457856        -1796.445486        0.069637       0.244201       25.482699      
88     192    280    -1.01774            -1863.472072        -1862.454332        0.125167       0.117135       13.259854      
88     194    282    -1.506621           -1863.297989        -1861.791368        0.146803       0.137353       17.233355      
88     196    284    -1.57675            -1862.881214        -1861.304464        0.156194       0.153367       20.882036      
88     198    286    -0.901611           -1861.979355        -1861.077744        0.113798       0.170031       24.202926      
88     200    288    -0.194958           -1860.998745        -1860.803787        0.065196       0.182497       26.873758      
90     118    208    -0.002259           -1585.340726        -1585.338467        0.023009       0.137964       10.790166      
90     130    220    -1.256995           -1684.430084        -1683.173089        0.123882       0.117031       9.018331       
90     132    222    -1.9245             -1697.921235        -1695.996735        0.159588       0.151707       12.774547      
90     134    224    -1.859357           -1710.552411        -1708.693054        0.187741       0.1753         16.139166      
90     136    226    -1.191097           -1722.580741        -1721.389644        0.209532       0.196797       19.159183      
90     138    228    -0.636241           -1734.132901        -1733.49666         0.196802       0.212481       21.212477      
90     154    244    -6.8e-05            -1808.636883        -1808.636815        0.045583       0.24753        26.62459       
90     156    246    -0.011122           -1816.035335        -1816.024213        0.066429       0.247189       26.279884      
90     158    248    -0.015559           -1823.305835        -1823.290276        0.072485       0.241861       25.653928      
90     160    250    -0.02258            -1830.330206        -1830.307626        0.073519       0.233181       24.735815      
90     190    280    -0.239275           -1893.18            -1892.940725        0.110371       0.089774       -0.0           
90     192    282    -1.661327           -1893.784035        -1892.122708        0.143148       0.12226        13.855279      
