  Z      N    UNEDF0    UNEDF1    UNEDF2    SV_MIN      SLY4      SKMS       SKP     Total
 42     36         0         0         0         0         0         1         0         1
 42     38         0         0         0         0         0         1         0         1
 42     42         0         0         0         0         0         1         0         1
 42     58         0         0         1         0         0         1         0         2
 42     64         0         0         0         0         1         1         0         2
 42     74         0         0         1         0         0         0         0         1
 42     96         0         0         0         0         0         1         0         1
 42     98         0         0         0         0         0         1         0         1
 42    104         0         0         1         0         0         0         0         1
 44     34         0         0         0         0         1         0         0         1
 44     68         0         0         0         0         1         0         0         1
 46     36         0         1         0         0         0         1         0         2
 46     58         1         0         0         1         0         0         0         2
 50     62         1         0         0         0         0         0         0         1
 52     56         0         0         0         0         0         1         0         1
 52     58         0         0         1         0         0         0         0         1
 52     60         1         0         0         0         0         0         0         1
 52     62         1         0         0         0         1         0         0         2
 52     64         1         0         0         0         0         0         0         1
 52     66         0         0         0         1         0         0         0         1
 52     68         1         0         0         0         0         0         0         1
 52     72         0         1         1         0         0         0         0         2
 52     74         0         1         0         0         0         0         0         1
 52     90         0         0         0         0         0         1         0         1
 52     92         0         0         0         0         1         0         0         1
 52     94         0         0         0         0         1         0         0         1
 54     54         0         0         1         0         0         1         0         2
 54     56         0         0         1         0         0         1         0         2
 54     58         0         0         1         0         0         1         0         2
 54     64         0         0         0         1         0         0         0         1
 54     66         0         0         0         1         0         0         0         1
 54     72         0         0         1         0         0         0         1         2
 54     74         0         0         1         1         0         0         0         2
 54     86         0         0         0         0         0         1         0         1
 54     88         0         0         1         0         1         1         0         3
 54     90         0         0         1         1         1         1         0         4
 54     92         0         0         0         0         1         1         0         2
 54     94         0         0         0         0         1         1         0         2
 54     96         0         0         0         0         0         1         0         1
 56     52         0         0         0         0         0         1         0         1
 56     54         0         0         1         1         1         1         0         4
 56     56         0         1         1         0         1         1         0         4
 56     58         0         0         1         0         1         1         0         3
 56     64         1         0         0         0         0         0         0         1
 56     66         0         0         0         0         0         1         1         2
 56     78         0         1         0         0         0         0         0         1
 56     84         0         0         0         0         0         1         0         1
 56     86         0         0         1         0         1         1         0         3
 56     88         1         0         1         1         1         1         0         5
 56     90         1         1         1         1         1         1         0         6
 56     92         0         0         0         1         1         1         0         3
 56     94         1         0         0         0         0         1         0         2
 56     96         0         0         0         0         0         1         0         1
 56    102         1         0         0         0         0         0         0         1
 56    118         0         1         0         0         0         0         0         1
 56    132         0         0         0         0         0         1         0         1
 56    134         0         0         0         0         0         1         0         1
 56    136         0         0         0         0         1         1         0         2
 56    138         0         0         0         0         1         1         0         2
 58     54         0         0         1         0         0         1         0         2
 58     56         0         0         1         0         1         1         0         3
 58     58         0         0         0         0         0         1         0         1
 58     66         0         0         0         0         1         0         0         1
 58     78         0         0         0         1         0         0         0         1
 58     84         0         0         0         0         1         1         0         2
 58     86         0         0         1         1         1         1         0         4
 58     88         0         1         1         1         1         1         0         5
 58     90         0         1         1         1         1         1         0         5
 58     92         1         0         0         0         0         1         0         2
 58     94         1         0         0         0         0         0         0         1
 58     96         1         0         0         0         0         0         0         1
 58     98         1         0         0         0         0         0         0         1
 58    100         1         0         0         0         0         0         0         1
 58    112         1         0         0         0         0         0         0         1
 58    114         1         0         0         0         0         0         0         1
 58    132         0         0         0         0         1         1         0         2
 58    134         0         0         0         0         1         1         0         2
 58    136         0         0         0         1         1         1         0         3
 58    138         0         0         0         1         1         1         0         3
 58    140         0         0         0         1         0         0         0         1
 60     60         0         1         0         0         0         0         0         1
 60     62         0         0         1         0         0         0         0         1
 60     68         0         0         0         0         1         0         0         1
 60     74         0         1         0         0         0         0         0         1
 60     78         0         0         0         1         0         0         0         1
 60     84         0         0         0         0         0         1         0         1
 60     86         0         1         1         1         1         1         0         5
 60     88         0         1         1         1         1         1         0         5
 60     90         1         0         0         0         0         1         0         2
 60     92         1         0         0         1         0         0         0         2
 60     94         1         0         0         0         0         0         0         1
 60     96         1         0         0         0         0         0         0         1
 60     98         1         0         0         0         0         0         0         1
 60    100         1         0         0         0         0         0         0         1
 60    106         1         0         0         0         0         0         0         1
 60    116         1         0         0         0         0         0         0         1
 60    118         0         0         0         1         0         0         0         1
 60    120         0         0         0         1         0         0         0         1
 60    130         0         0         0         0         0         1         0         1
