Z      N      A      Energy_new(MeV)     Energy_old(MeV)     Energy_diff(MeV)    beta2_new    beta2_old    beta3_new    fileID    
2      2      4      -18.906339          -18.895319          -0.01102            0.001764     0.000000     -0.0         12        
2      4      6      -23.390371          -23.400261          0.00989             -0.002871    0.000000     -0.0         97        
2      6      8      -24.622946          -24.620786          -0.00216            -0.009125    0.000000     -0.0         156       
4      2      6      -21.183752          -21.158666          -0.025086           0.01081      0.000000     0.0          235       
4      4      8      -43.535566          -43.573356          0.03779             -0.000139    0.000000     0.0          367       
4      6      10     -58.888186          -58.735468          -0.152718           -0.001463    0.000000     -0.0         425       
4      8      12     -64.864685          -64.887207          0.022522            -0.000924    0.000000     -0.0         487       
4      10     14     -63.205375          -63.23157           0.026195            -3e-06       0.000000     0.0          548       
4      12     16     -61.054839          -61.075955          0.021116            0.01668      0.000001     -9e-06       654       
4      14     18     -59.116256          -59.13676           0.020504            1e-06        0.000000     -0.0         728       
4      16     20     -55.888276          -55.906463          0.018187            0.0          0.000000     0.0          788       
4      18     22     -50.692318          -50.699568          0.00725             -0.011403    0.000000     0.0          832       
4      20     24     -45.476618          -45.479354          0.002736            0.017642     0.000000     -4e-06       909       
6      2      8      -18.622759          -18.647481          0.024722            0.003855     0.000000     0.0          1044      
6      4      10     -54.331233          -54.169577          -0.161656           -0.003002    0.000000     0.0          1054      
6      6      12     -83.284082          -83.311492          0.02741             -0.001133    0.000000     -0.0         1141      
6      8      14     -100.022375         -100.03532          0.012945            0.000387     0.000000     1.2e-05      1226      
6      10     16     -105.249838         -105.231857         -0.017981           0.010788     0.000000     -1.9e-05     1286      
6      12     18     -109.363219         -109.392142         0.028923            -9e-06       0.000000     0.0          1418      
6      14     20     -113.04036          -113.035947         -0.004413           0.001068     0.000000     -0.0         1479      
6      16     22     -114.857089         -114.881098         0.024009            -0.0         0.000000     0.0          1523      
6      18     24     -111.41208          -111.432297         0.020217            0.0          0.000000     0.0          1613      
6      20     26     -107.644665         -107.663043         0.018378            0.0          0.000000     0.0          1703      
6      22     28     -103.996515         -104.001147         0.004632            -0.039087    0.000000     6e-06        1746      
8      2      10     -12.370351          -12.384649          0.014298            -0.032653    0.000000     0.0          1866      
8      4      12     -54.967237          -54.974216          0.006979            0.012984     0.000000     0.0          1947      
8      6      14     -94.159503          -94.1929            0.033397            -0.000501    0.000000     -0.0         1956      
8      8      16     -121.912879         -121.950687         0.037808            0.0          0.000000     -0.0         2033      
8      10     18     -136.234236         -136.259511         0.025275            -0.000301    0.000000     -0.0         2107      
8      12     20     -148.093739         -148.128389         0.03465             2e-06        0.000000     0.0          2213      
8      14     22     -158.378422         -158.409799         0.031377            0.000175     0.000000     -0.0         2304      
8      16     24     -165.142555         -165.167568         0.025013            -0.001876    0.000000     0.0          2376      
8      18     26     -165.594033         -165.609274         0.015241            -0.003227    0.000000     0.0          2436      
8      20     28     -164.707847         -164.726313         0.018466            -0.001847    0.000000     -0.0         2497      
8      22     30     -162.278403         -162.265034         -0.013369           -0.022014    0.000000     0.0          2571      
8      24     32     -159.082415         -159.026849         -0.055566           -0.034491    -0.000001    -5e-06       2646      
8      26     34     -155.636968         -155.531775         -0.105193           -0.037033    -0.000001    -0.0         2751      
10     2      12     -3.027229           -3.048276           0.021047            0.020117     0.000000     -0.0         2799      
10     4      14     -48.106456          -48.123501          0.017045            0.01144      0.000000     0.0          2919      
10     6      16     -93.012336          -93.042794          0.030458            0.0017       0.000000     -0.0         2979      
10     8      18     -129.477513         -129.514847         0.037334            0.000137     0.000000     0.0          3007      
10     10     20     -152.94485          -153.024112         0.079262            0.255993     0.251112     0.000594     3085      
10     12     22     -172.404013         -172.479199         0.075186            0.272806     0.269609     -4.5e-05     3160      
10     14     24     -187.46008          -187.477726         0.017646            -0.004779    0.000000     4.2e-05      3243      
10     16     26     -199.02909          -198.983488         -0.045602           -0.00119     0.000000     7e-06        3305      
10     18     28     -204.264126         -204.132895         -0.131231           -0.001265    0.000000     3e-06        3424      
10     20     30     -207.732213         -207.74933          0.017117            -0.001432    0.000000     3e-06        3486      
10     22     32     -208.430366         -208.446932         0.016566            0.198614     0.190604     -0.00031     3538      
10     24     34     -209.239083         -209.223947         -0.015136           0.275122     0.267866     -0.000501    3613      
10     26     36     -208.441117         -208.379823         -0.061294           0.265009     0.257138     3.9e-05      3687      
